,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,OKLAHOMA CITY_ACTION,CHARLOTTE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:34.0,,V. Oladipo misses 3-pt jump shot from 26 ft,0,0
1,1,11:34.0,Defensive rebound by M. Kidd-Gilchrist,,0,0
2,1,11:24.0,K. Walker misses 3-pt jump shot from 24 ft,,0,0
3,1,11:24.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:21.0,,Turnover by R. Westbrook (bad pass; steal by N. Batum),0,0
5,1,11:03.0,M. Williams misses 3-pt jump shot from 25 ft,,0,0
6,1,11:03.0,,Defensive rebound by R. Westbrook,0,0
7,1,10:46.0,,S. Adams makes 2-pt dunk at rim (assist by T. Gibson),0,2
8,1,10:27.0,Shooting foul by V. Oladipo (drawn by M. Kidd-Gilchrist),,0,2
9,1,10:27.0,M. Kidd-Gilchrist makes free throw 1 of 2,,1,2
10,1,10:27.0,M. Kidd-Gilchrist makes free throw 2 of 2,,2,2
11,1,10:17.0,,Turnover by S. Adams (lost ball; steal by N. Batum),2,2
12,1,10:06.0,C. Zeller misses 2-pt dunk at rim (block by T. Gibson),,2,2
13,1,10:06.0,,Defensive rebound by R. Westbrook,2,2
14,1,10:00.0,,T. Gibson makes 2-pt layup from 1 ft (assist by R. Westbrook),2,4
15,1,9:49.0,Personal foul by T. Gibson (drawn by M. Williams),,2,4
16,1,9:43.0,M. Williams misses 3-pt jump shot from 25 ft,,2,4
17,1,9:42.0,,Defensive rebound by R. Westbrook,2,4
18,1,9:36.0,,R. Westbrook misses 2-pt jump shot from 16 ft,2,4
19,1,9:35.0,Defensive rebound by M. Williams,,2,4
20,1,9:29.0,Turnover by N. Batum (traveling),,2,4
21,1,9:18.0,,Turnover by V. Oladipo (bad pass; steal by K. Walker),2,4
22,1,9:07.0,K. Walker makes 3-pt jump shot from 25 ft (assist by C. Zeller),,5,4
23,1,8:53.0,,V. Oladipo makes 2-pt jump shot from 14 ft (assist by R. Westbrook),5,6
24,1,8:34.0,C. Zeller misses 2-pt jump shot from 17 ft,,5,6
25,1,8:33.0,,Defensive rebound by T. Gibson,5,6
26,1,8:23.0,,R. Westbrook misses 2-pt jump shot from 12 ft,5,6
27,1,8:23.0,Defensive rebound by M. Williams,,5,6
28,1,8:18.0,Shooting foul by S. Adams (drawn by C. Zeller),,5,6
29,1,8:18.0,C. Zeller misses free throw 1 of 2,,5,6
30,1,8:18.0,Offensive rebound by Team,,5,6
31,1,8:18.0,C. Zeller makes free throw 2 of 2,,6,6
32,1,8:07.0,,Turnover by S. Adams (lost ball; steal by C. Zeller),6,6
33,1,8:04.0,Turnover by M. Williams (bad pass; steal by V. Oladipo),,6,6
34,1,7:56.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),6,8
35,1,7:33.0,M. Williams misses 2-pt layup from 2 ft,,6,8
36,1,7:31.0,Offensive rebound by C. Zeller,,6,8
37,1,7:31.0,C. Zeller misses 2-pt layup from 1 ft,,6,8
38,1,7:30.0,,Defensive rebound by T. Gibson,6,8
39,1,7:23.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by A. Roberson),6,11
40,1,7:02.0,C. Zeller misses 2-pt layup from 1 ft,,6,11
41,1,7:01.0,,Defensive rebound by R. Westbrook,6,11
42,1,6:53.0,,T. Gibson makes 2-pt layup from 1 ft (assist by R. Westbrook),6,13
43,1,6:44.0,Charlotte full timeout,,6,13
44,1,6:39.0,N. Batum makes 3-pt jump shot from 24 ft (assist by K. Walker),,9,13
45,1,6:22.0,,Turnover by V. Oladipo (bad pass; steal by K. Walker),9,13
46,1,6:06.0,N. Batum misses 2-pt jump shot from 9 ft,,9,13
47,1,6:05.0,,Defensive rebound by R. Westbrook,9,13
48,1,5:59.0,,T. Gibson misses 2-pt layup from 2 ft (block by M. Williams),9,13
49,1,5:58.0,Defensive rebound by K. Walker,,9,13
50,1,5:46.0,M. Williams makes 2-pt jump shot from 10 ft,,11,13
51,1,5:30.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by V. Oladipo),11,16
52,1,5:15.0,Shooting foul by S. Adams (drawn by C. Zeller),,11,16
53,1,5:15.0,C. Zeller makes free throw 1 of 2,,12,16
54,1,5:15.0,F. Kaminsky enters the game for M. Williams,,12,16
55,1,5:15.0,,Á. Abrines enters the game for V. Oladipo,12,16
56,1,5:15.0,,E. Freedom enters the game for S. Adams,12,16
57,1,5:15.0,C. Zeller makes free throw 2 of 2,,13,16
58,1,5:01.0,,E. Freedom misses 2-pt jump shot from 9 ft,13,16
59,1,5:01.0,Defensive rebound by C. Zeller,,13,16
60,1,4:50.0,N. Batum makes 2-pt dunk at rim,,15,16
61,1,4:35.0,,R. Westbrook misses 3-pt jump shot from 24 ft,15,16
62,1,4:34.0,Defensive rebound by N. Batum,,15,16
63,1,4:29.0,Turnover by K. Walker (lost ball; steal by T. Gibson),,15,16
64,1,4:26.0,,Turnover by T. Gibson (bad pass; steal by F. Kaminsky),15,16
65,1,4:17.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,17,16
66,1,4:17.0,,Oklahoma City full timeout,17,16
67,1,4:17.0,,D. Sabonis enters the game for T. Gibson,17,16
68,1,4:01.0,,Á. Abrines misses 3-pt jump shot from 24 ft,17,16
69,1,4:01.0,Defensive rebound by Team,,17,16
