,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:38.0,K. Irving misses 2-pt jump shot from 13 ft,,0,0
1,1,11:37.0,,Defensive rebound by M. Gortat,0,0
2,1,11:29.0,,Turnover by J. Wall (lost ball; steal by T. Thompson),0,0
3,1,11:29.0,Turnover by T. Thompson (traveling),,0,0
4,1,11:16.0,,J. Wall makes 2-pt jump shot from 14 ft,0,2
5,1,11:03.0,Personal foul by O. Porter (drawn by L. James),,0,2
6,1,10:52.0,L. James misses 2-pt hook shot from 8 ft,,0,2
7,1,10:50.0,,Defensive rebound by M. Gortat,0,2
8,1,10:40.0,,J. Wall misses 3-pt jump shot from 23 ft,0,2
9,1,10:39.0,Defensive rebound by K. Love,,0,2
10,1,10:35.0,K. Irving makes 2-pt layup from 1 ft (assist by K. Love),,2,2
11,1,10:35.0,Shooting foul by M. Thornton (drawn by K. Irving),,2,2
12,1,10:35.0,K. Irving misses free throw 1 of 1,,2,2
13,1,10:35.0,,Defensive rebound by M. Gortat,2,2
14,1,10:17.0,,Turnover by M. Gortat (bad pass; steal by L. James),2,2
15,1,10:14.0,L. James makes 2-pt dunk at rim,,4,2
16,1,9:54.0,,M. Morris misses 2-pt jump shot from 17 ft,4,2
17,1,9:53.0,,Offensive rebound by M. Gortat,4,2
18,1,9:49.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by J. Wall),4,5
19,1,9:27.0,Shooting foul by M. Gortat (drawn by L. James),,4,5
20,1,9:27.0,L. James makes free throw 1 of 2,,5,5
21,1,9:27.0,L. James misses free throw 2 of 2,,5,5
22,1,9:26.0,,Defensive rebound by O. Porter,5,5
23,1,9:14.0,,M. Morris makes 2-pt jump shot from 5 ft,5,7
24,1,8:55.0,L. James makes 3-pt jump shot from 28 ft (assist by K. Irving),,8,7
25,1,8:38.0,,M. Morris makes 2-pt jump shot from 13 ft,8,9
26,1,8:26.0,,Offensive charge foul by K. Love (drawn by M. Gortat),8,9
27,1,8:26.0,Turnover by K. Love (offensive foul),,8,9
28,1,8:09.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by O. Porter),8,11
29,1,7:50.0,K. Love makes 2-pt layup from 1 ft (assist by L. James),,10,11
30,1,7:36.0,,M. Morris misses 2-pt jump shot from 19 ft,10,11
31,1,7:35.0,Defensive rebound by L. James,,10,11
32,1,7:29.0,Turnover by K. Irving (bad pass; steal by J. Wall),,10,11
33,1,7:23.0,,J. Wall misses 2-pt layup from 1 ft,10,11
34,1,7:22.0,Defensive rebound by K. Love,,10,11
35,1,7:18.0,K. Irving misses 2-pt layup from 1 ft,,10,11
36,1,7:17.0,,Defensive rebound by M. Gortat,10,11
37,1,7:05.0,,M. Gortat misses 2-pt layup from 1 ft,10,11
38,1,7:03.0,,Offensive rebound by O. Porter,10,11
39,1,7:02.0,,O. Porter makes 2-pt layup at rim,10,13
40,1,6:44.0,K. Love misses 2-pt jump shot from 14 ft,,10,13
41,1,6:43.0,,Defensive rebound by M. Morris,10,13
42,1,6:38.0,,J. Wall makes 2-pt jump shot from 16 ft,10,15
43,1,6:37.0,Cleveland full timeout,,10,15
44,1,6:27.0,Turnover by L. James (bad pass; steal by M. Thornton),,10,15
45,1,6:23.0,,J. Wall makes 2-pt dunk at rim (assist by O. Porter),10,17
46,1,5:59.0,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),,13,17
47,1,5:41.0,,J. Wall makes 2-pt jump shot from 17 ft,13,19
48,1,5:33.0,Personal foul by M. Morris (drawn by K. Irving),,13,19
49,1,5:33.0,R. Jefferson enters the game for K. Love,,13,19
50,1,5:33.0,,T. Satoranský enters the game for M. Morris,13,19
51,1,5:23.0,K. Irving makes 3-pt jump shot from 29 ft (assist by R. Jefferson),,16,19
52,1,5:09.0,,M. Thornton misses 3-pt jump shot from 24 ft,16,19
53,1,5:07.0,Defensive rebound by L. James,,16,19
54,1,5:02.0,Turnover by L. James (lost ball; steal by J. Wall),,16,19
