,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,,Personal block foul by N. Powell (drawn by T. Maker),0,0
1,1,11:38.0,,Turnover by M. Brogdon (lost ball),0,0
2,1,11:19.0,D. DeRozan misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,0,0
3,1,11:17.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:07.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,0,0
5,1,11:05.0,Defensive rebound by N. Powell,,0,0
6,1,10:54.0,S. Ibaka misses 2-pt jump shot from 15 ft,,0,0
7,1,10:53.0,,Defensive rebound by K. Middleton,0,0
8,1,10:30.0,,K. Middleton misses 2-pt jump shot from 16 ft,0,0
9,1,10:29.0,Defensive rebound by D. Carroll,,0,0
10,1,10:20.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,2,0
11,1,10:00.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by S. Ibaka),2,0
12,1,9:57.0,Defensive rebound by D. Carroll,,2,0
13,1,9:51.0,S. Ibaka misses 2-pt dunk at rim,,2,0
14,1,9:49.0,,Defensive rebound by K. Middleton,2,0
15,1,9:36.0,,K. Middleton makes 2-pt layup from 1 ft,2,2
16,1,9:15.0,N. Powell misses 2-pt dunk at rim,,2,2
17,1,9:14.0,,Defensive rebound by T. Snell,2,2
18,1,9:03.0,,K. Middleton misses 2-pt layup from 2 ft (block by S. Ibaka),2,2
19,1,9:01.0,,Offensive rebound by T. Maker,2,2
20,1,8:55.0,,G. Antetokounmpo misses 2-pt jump shot from 7 ft,2,2
21,1,8:55.0,Defensive rebound by Team,,2,2
22,1,8:55.0,,Loose ball foul by T. Maker (drawn by D. DeRozan),2,2
23,1,8:36.0,D. DeRozan makes 2-pt jump shot from 15 ft,,4,2
24,1,8:18.0,,Turnover by T. Snell (lost ball; steal by D. Carroll),4,2
25,1,8:11.0,S. Ibaka misses 3-pt jump shot from 24 ft,,4,2
26,1,8:10.0,,Defensive rebound by K. Middleton,4,2
27,1,8:06.0,,Personal foul by N. Powell (drawn by K. Middleton),4,2
