,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:34.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by H. Whiteside),0,3
1,1,11:15.0,D. Carroll makes 2-pt layup from 2 ft (assist by D. DeRozan),,2,3
2,1,10:56.0,,H. Whiteside makes 2-pt dunk at rim (assist by R. McGruder),2,5
3,1,10:37.0,P. Tucker misses 2-pt jump shot from 12 ft,,2,5
4,1,10:36.0,,Defensive rebound by H. Whiteside,2,5
5,1,10:28.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),2,7
6,1,10:23.0,Toronto full timeout,,2,7
7,1,10:15.0,C. Joseph makes 2-pt jump shot from 15 ft,,4,7
8,1,9:57.0,,L. Babbitt misses 3-pt jump shot from 25 ft,4,7
9,1,9:56.0,,Offensive rebound by H. Whiteside,4,7
10,1,9:48.0,,G. Dragić makes 2-pt layup from 2 ft (assist by H. Whiteside),4,9
11,1,9:36.0,Shooting foul by R. McGruder (drawn by D. DeRozan),,4,9
12,1,9:36.0,D. DeRozan makes free throw 1 of 2,,5,9
13,1,9:36.0,D. DeRozan misses free throw 2 of 2,,5,9
14,1,9:35.0,,Defensive rebound by H. Whiteside,5,9
15,1,9:26.0,,J. Richardson misses 2-pt layup from 1 ft,5,9
16,1,9:25.0,Defensive rebound by P. Tucker,,5,9
17,1,9:13.0,D. Carroll misses 3-pt jump shot from 23 ft,,5,9
18,1,9:12.0,,Defensive rebound by Team,5,9
19,1,8:52.0,,R. McGruder makes 3-pt jump shot from 25 ft (assist by G. Dragić),5,12
20,1,8:41.0,Turnover by C. Joseph (bad pass; steal by G. Dragić),,5,12
21,1,8:33.0,,G. Dragić makes 2-pt jump shot from 16 ft,5,14
22,1,8:13.0,C. Joseph misses 2-pt jump shot from 13 ft,,5,14
23,1,8:12.0,,Defensive rebound by G. Dragić,5,14
24,1,8:06.0,,G. Dragić misses 2-pt layup from 2 ft,5,14
25,1,8:05.0,Defensive rebound by C. Joseph,,5,14
26,1,7:55.0,D. DeRozan makes 2-pt jump shot from 14 ft,,7,14
27,1,7:39.0,,G. Dragić misses 2-pt jump shot from 7 ft,7,14
28,1,7:38.0,Defensive rebound by C. Joseph,,7,14
29,1,7:23.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by R. McGruder),,7,14
30,1,7:22.0,Offensive rebound by P. Tucker,,7,14
31,1,7:18.0,Turnover by P. Tucker (traveling),,7,14
32,1,7:02.0,,G. Dragić misses 2-pt layup at rim,7,14
33,1,7:01.0,,Offensive rebound by H. Whiteside,7,14
34,1,6:56.0,,H. Whiteside misses 2-pt jump shot from 6 ft,7,14
35,1,6:55.0,Defensive rebound by D. DeRozan,,7,14
