,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,L. Aldridge misses 2-pt layup from 1 ft,0,0
1,1,11:36.0,Defensive rebound by L. Nance,,0,0
2,1,11:18.0,J. Clarkson misses 2-pt jump shot from 18 ft,,0,0
3,1,11:16.0,Offensive rebound by L. Nance,,0,0
4,1,11:14.0,L. Nance makes 2-pt layup from 3 ft,,2,0
5,1,10:53.0,,K. Leonard misses 3-pt jump shot from 25 ft,2,0
6,1,10:51.0,,Offensive rebound by D. Dedmon,2,0
7,1,10:45.0,,K. Leonard makes 2-pt jump shot from 10 ft,2,2
8,1,10:18.0,L. Nance makes 2-pt jump shot from 7 ft (assist by B. Ingram),,4,2
9,1,9:49.0,,T. Parker makes 2-pt layup from 1 ft (assist by L. Aldridge),4,4
10,1,9:31.0,T. Ennis makes 2-pt jump shot from 16 ft,,6,4
11,1,9:15.0,,D. Dedmon misses 2-pt layup from 2 ft,6,4
12,1,9:12.0,,Offensive rebound by L. Aldridge,6,4
13,1,9:12.0,,L. Aldridge makes 2-pt layup from 1 ft,6,6
14,1,9:00.0,B. Ingram misses 2-pt jump shot from 20 ft,,6,6
15,1,8:59.0,,Defensive rebound by D. Dedmon,6,6
16,1,8:49.0,,T. Parker misses 2-pt layup from 1 ft,6,6
17,1,8:49.0,Defensive rebound by J. Randle,,6,6
18,1,8:42.0,J. Clarkson misses 3-pt jump shot from 24 ft,,6,6
19,1,8:40.0,Offensive rebound by B. Ingram,,6,6
20,1,8:34.0,L. Nance makes 2-pt jump shot from 8 ft (assist by B. Ingram),,8,6
21,1,8:20.0,,K. Leonard misses 2-pt jump shot from 17 ft (block by B. Ingram),8,6
22,1,8:18.0,Defensive rebound by J. Clarkson,,8,6
23,1,8:09.0,J. Randle misses 2-pt layup from 1 ft,,8,6
24,1,8:09.0,,Defensive rebound by Team,8,6
25,1,7:47.0,,T. Parker misses 3-pt jump shot from 23 ft,8,6
26,1,7:46.0,Defensive rebound by L. Nance,,8,6
27,1,7:33.0,J. Clarkson misses 2-pt jump shot from 10 ft,,8,6
28,1,7:32.0,,Defensive rebound by L. Aldridge,8,6
29,1,7:25.0,,Personal foul by J. Clarkson (drawn by K. Leonard),8,6
30,1,7:19.0,,K. Leonard makes 2-pt jump shot from 14 ft (assist by J. Simmons),8,8
31,1,7:16.0,B. Ingram makes 2-pt layup from 2 ft (assist by T. Ennis),,10,8
32,1,7:16.0,Shooting foul by K. Leonard (drawn by B. Ingram),,10,8
33,1,7:16.0,B. Ingram makes free throw 1 of 1,,11,8
34,1,6:52.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by K. Leonard),11,10
35,1,6:37.0,T. Ennis makes 3-pt jump shot from 24 ft (assist by J. Randle),,14,10
36,1,6:37.0,,San Antonio full timeout,14,10
37,1,6:37.0,,P. Mills enters the game for T. Parker,14,10
38,1,6:37.0,,K. Anderson enters the game for K. Leonard,14,10
