,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:52.0,,Turnover by M. Chriss (bad pass),0,0
1,1,11:35.0,J. Nurkić makes 2-pt jump shot from 9 ft,,2,0
2,1,11:20.0,,D. Booker misses 2-pt jump shot from 16 ft,2,0
3,1,11:17.0,Defensive rebound by J. Nelson,,2,0
4,1,11:16.0,Shooting foul by E. Bledsoe (drawn by E. Mudiay),,2,0
5,1,11:16.0,E. Mudiay makes free throw 1 of 2,,3,0
6,1,11:16.0,E. Mudiay makes free throw 2 of 2,,4,0
7,1,10:50.0,,P. Tucker misses 2-pt jump shot from 12 ft,4,0
8,1,10:48.0,Defensive rebound by W. Chandler,,4,0
9,1,10:38.0,J. Nurkić makes 2-pt layup from 1 ft (assist by E. Mudiay),,6,0
10,1,10:14.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,6,0
11,1,10:12.0,Defensive rebound by W. Chandler,,6,0
12,1,10:00.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by J. Nelson),,9,0
13,1,9:59.0,,Phoenix full timeout,9,0
14,1,9:47.0,,D. Booker misses 2-pt jump shot from 21 ft,9,0
15,1,9:45.0,Defensive rebound by K. Faried,,9,0
16,1,9:42.0,,Offensive charge foul by K. Faried (drawn by T. Chandler),9,0
17,1,9:42.0,Turnover by K. Faried (offensive foul),,9,0
18,1,9:28.0,,P. Tucker misses 3-pt jump shot from 23 ft,9,0
19,1,9:26.0,Defensive rebound by K. Faried,,9,0
20,1,9:14.0,Shooting block foul by M. Chriss (drawn by E. Mudiay),,9,0
21,1,9:14.0,E. Mudiay makes free throw 1 of 2,,10,0
22,1,9:14.0,E. Mudiay makes free throw 2 of 2,,11,0
23,1,8:55.0,,M. Chriss misses 2-pt jump shot from 16 ft,11,0
24,1,8:53.0,Defensive rebound by W. Chandler,,11,0
25,1,8:42.0,J. Nurkić misses 2-pt hook shot from 6 ft,,11,0
26,1,8:39.0,Offensive rebound by K. Faried,,11,0
27,1,8:35.0,J. Nurkić misses 2-pt jump shot from 3 ft,,11,0
28,1,8:34.0,,Defensive rebound by E. Bledsoe,11,0
29,1,8:23.0,,E. Bledsoe makes 3-pt jump shot from 25 ft,11,3
30,1,8:01.0,J. Nelson misses 2-pt layup from 3 ft,,11,3
31,1,7:58.0,,Defensive rebound by D. Booker,11,3
32,1,7:45.0,,D. Booker makes 2-pt jump shot from 17 ft,11,5
33,1,7:33.0,E. Mudiay makes 2-pt layup from 1 ft (assist by J. Nurkić),,13,5
34,1,7:21.0,,E. Bledsoe makes 2-pt jump shot from 16 ft,13,7
35,1,7:12.0,K. Faried makes 2-pt layup from 2 ft (assist by J. Nurkić),,15,7
36,1,7:12.0,Shooting foul by M. Chriss (drawn by K. Faried),,15,7
37,1,7:12.0,,D. Bender enters the game for M. Chriss,15,7
38,1,7:12.0,K. Faried makes free throw 1 of 1,,16,7
39,1,6:58.0,,T. Chandler makes 2-pt layup from 2 ft (assist by D. Booker),16,9
40,1,6:44.0,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay),,18,9
41,1,6:44.0,,Technical foul by M. Chriss,18,9
42,1,6:44.0,E. Mudiay makes technical free throw,,19,9
43,1,6:30.0,,Personal foul by J. Nelson (drawn by D. Booker),19,9
44,1,6:20.0,,D. Booker makes 3-pt jump shot from 25 ft,19,12
45,1,6:07.0,Personal foul by P. Tucker (drawn by J. Nurkić),,19,12
46,1,6:00.0,W. Chandler misses 3-pt jump shot from 25 ft,,19,12
47,1,5:57.0,,Defensive rebound by T. Chandler,19,12
48,1,5:56.0,Violation by K. Faried (def goaltending),,19,12
49,1,5:56.0,,E. Bledsoe makes 2-pt layup from 2 ft,19,14
50,1,5:41.0,J. Nelson misses 3-pt jump shot from 26 ft,,19,14
51,1,5:39.0,,Defensive rebound by T. Chandler,19,14
52,1,5:32.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by D. Booker),19,17
53,1,5:31.0,Denver full timeout,,19,17
54,1,5:31.0,D. Arthur enters the game for K. Faried,,19,17
55,1,5:31.0,J. Murray enters the game for J. Nelson,,19,17
56,1,5:20.0,Turnover by J. Murray (lost ball),,19,17
57,1,5:06.0,,D. Bender misses 3-pt jump shot from 25 ft,19,17
58,1,5:06.0,Defensive rebound by Team,,19,17
59,1,4:52.0,W. Chandler misses 2-pt jump shot from 10 ft,,19,17
60,1,4:50.0,,Defensive rebound by P. Tucker,19,17
61,1,4:41.0,,E. Bledsoe misses 2-pt jump shot from 9 ft,19,17
62,1,4:39.0,Defensive rebound by J. Nurkić,,19,17
63,1,4:27.0,E. Mudiay misses 3-pt jump shot from 25 ft,,19,17
64,1,4:25.0,,Defensive rebound by T. Chandler,19,17
65,1,4:16.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by P. Tucker),19,20
66,1,3:54.0,D. Arthur makes 3-pt jump shot from 23 ft (assist by J. Murray),,22,20
67,1,3:41.0,,Personal foul by J. Murray (drawn by D. Bender),22,20
68,1,3:41.0,N. Jokić enters the game for J. Nurkić,,22,20
69,1,3:41.0,,A. Len enters the game for T. Chandler,22,20
70,1,3:41.0,,B. Knight enters the game for E. Bledsoe,22,20
71,1,3:38.0,,Turnover by D. Bender (3 sec),22,20
72,1,3:26.0,N. Jokić misses 2-pt jump shot from 15 ft,,22,20
73,1,3:24.0,Offensive rebound by W. Chandler,,22,20
74,1,3:18.0,J. Murray misses 3-pt jump shot from 25 ft,,22,20
75,1,3:14.0,,Defensive rebound by B. Knight,22,20
76,1,3:11.0,,Personal block foul by J. Murray (drawn by D. Bender),22,20
77,1,3:02.0,,A. Len misses 2-pt jump shot from 8 ft,22,20
78,1,3:00.0,Defensive rebound by E. Mudiay,,22,20
79,1,2:48.0,D. Arthur misses 2-pt hook shot from 9 ft,,22,20
80,1,2:41.0,,Defensive rebound by D. Booker,22,20
81,1,2:38.0,,Turnover by D. Booker (bad pass; steal by W. Chandler),22,20
82,1,2:33.0,E. Mudiay makes 2-pt layup from 1 ft (assist by J. Murray),,24,20
83,1,2:16.0,,B. Knight misses 2-pt jump shot from 10 ft,24,20
84,1,2:14.0,,Offensive rebound by B. Knight,24,20
85,1,2:14.0,,B. Knight misses 2-pt layup from 2 ft,24,20
86,1,2:14.0,,Offensive rebound by A. Len,24,20
87,1,2:14.0,,Shooting foul by D. Arthur (drawn by A. Len),24,20
88,1,2:14.0,,A. Len makes 2-pt layup at rim,24,22
89,1,2:14.0,A. Gee enters the game for W. Chandler,,24,22
90,1,2:14.0,J. Nelson enters the game for E. Mudiay,,24,22
91,1,2:14.0,,E. Bledsoe enters the game for D. Booker,24,22
92,1,2:14.0,,A. Len makes free throw 1 of 1,24,23
93,1,2:06.0,Turnover by J. Nelson (traveling),,24,23
94,1,1:53.0,,E. Bledsoe makes 2-pt jump shot from 9 ft,24,25
95,1,1:34.0,J. Murray misses 2-pt jump shot from 16 ft,,24,25
96,1,1:32.0,,Defensive rebound by P. Tucker,24,25
97,1,1:17.0,,Personal foul by J. Nelson (drawn by P. Tucker),24,25
98,1,1:17.0,,P. Tucker makes free throw 1 of 2,24,26
99,1,1:17.0,,P. Tucker misses free throw 2 of 2,24,26
100,1,1:17.0,M. Beasley enters the game for J. Murray,,24,26
101,1,1:16.0,Defensive rebound by A. Gee,,24,26
102,1,0:59.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by N. Jokić),,27,26
103,1,0:52.0,,Personal foul by A. Gee (drawn by B. Knight),27,26
104,1,0:52.0,,B. Knight makes free throw 1 of 2,27,27
105,1,0:52.0,,B. Knight makes free throw 2 of 2,27,28
106,1,0:40.0,M. Beasley misses 2-pt jump shot from 7 ft,,27,28
107,1,0:38.0,Offensive rebound by N. Jokić,,27,28
108,1,0:38.0,N. Jokić makes 2-pt layup from 2 ft,,29,28
109,1,0:28.0,,P. Tucker misses 3-pt jump shot from 24 ft,29,28
110,1,0:25.0,Defensive rebound by D. Arthur,,29,28
111,1,0:04.0,,Violation by P. Tucker (kicked ball),29,28
112,1,0:01.0,J. Nelson misses 2-pt jump shot from 15 ft (block by E. Bledsoe),,29,28
113,1,0:00.0,,Defensive rebound by D. Bender,29,28
114,2,11:43.0,D. Arthur misses 2-pt jump shot from 17 ft,,29,28
115,2,11:41.0,,Defensive rebound by A. Len,29,28
116,2,11:25.0,,B. Knight misses 2-pt jump shot from 18 ft,29,28
117,2,11:23.0,Defensive rebound by N. Jokić,,29,28
118,2,11:12.0,D. Arthur misses 2-pt jump shot from 17 ft,,29,28
119,2,11:10.0,,Defensive rebound by L. Barbosa,29,28
120,2,11:04.0,,Turnover by A. Len (lost ball),29,28
121,2,10:52.0,J. Nelson makes 2-pt jump shot from 16 ft,,31,28
122,2,10:35.0,,L. Barbosa misses 2-pt jump shot from 16 ft,31,28
123,2,10:33.0,Defensive rebound by M. Beasley,,31,28
124,2,10:17.0,Shooting block foul by A. Len (drawn by N. Jokić),,31,28
125,2,10:17.0,N. Jokić makes free throw 1 of 2,,32,28
126,2,10:17.0,K. Faried enters the game for D. Arthur,,32,28
127,2,10:17.0,N. Jokić makes free throw 2 of 2,,33,28
128,2,10:01.0,,D. Bender misses 2-pt jump shot from 23 ft,33,28
129,2,9:59.0,Defensive rebound by A. Gee,,33,28
130,2,9:54.0,K. Faried makes 2-pt layup from 2 ft (assist by J. Nelson),,35,28
131,2,9:30.0,,A. Len misses 2-pt hook shot from 3 ft,35,28
132,2,9:27.0,Defensive rebound by J. Nelson,,35,28
133,2,9:17.0,N. Jokić makes 3-pt jump shot from 24 ft (assist by J. Nelson),,38,28
134,2,9:16.0,,Phoenix full timeout,38,28
135,2,9:07.0,,L. Barbosa misses 2-pt jump shot from 17 ft,38,28
136,2,9:05.0,Defensive rebound by A. Gee,,38,28
137,2,8:53.0,J. Nelson makes 2-pt jump shot from 22 ft,,40,28
138,2,8:46.0,,Turnover by D. Bender (step out of bounds),40,28
139,2,8:29.0,M. Beasley misses 2-pt jump shot from 18 ft,,40,28
140,2,8:27.0,,Defensive rebound by A. Len,40,28
141,2,8:18.0,,A. Len misses 2-pt layup from 2 ft,40,28
142,2,8:16.0,Defensive rebound by K. Faried,,40,28
143,2,8:10.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by K. Faried),,43,28
144,2,8:03.0,,Phoenix full timeout,43,28
145,2,8:03.0,,T. Chandler enters the game for D. Bender,43,28
146,2,8:03.0,,E. Bledsoe enters the game for A. Len,43,28
147,2,8:03.0,,D. Booker enters the game for T. Ulis,43,28
148,2,8:03.0,,P. Tucker enters the game for L. Barbosa,43,28
149,2,8:03.0,E. Mudiay enters the game for J. Nelson,,43,28
150,2,7:55.0,,B. Knight makes 2-pt jump shot from 16 ft,43,30
151,2,7:39.0,N. Jokić misses 2-pt jump shot from 16 ft,,43,30
152,2,7:37.0,,Defensive rebound by P. Tucker,43,30
153,2,7:30.0,,Offensive foul by B. Knight (drawn by M. Beasley),43,30
154,2,7:30.0,,Turnover by B. Knight (offensive foul),43,30
155,2,7:19.0,M. Beasley misses 3-pt jump shot from 25 ft,,43,30
156,2,7:17.0,,Defensive rebound by T. Chandler,43,30
157,2,7:14.0,,B. Knight misses 2-pt layup from 1 ft,43,30
158,2,7:11.0,Defensive rebound by N. Jokić,,43,30
159,2,7:05.0,M. Beasley misses 3-pt jump shot from 25 ft,,43,30
160,2,7:03.0,,Defensive rebound by T. Chandler,43,30
161,2,7:00.0,,Shooting foul by E. Mudiay (drawn by P. Tucker),43,30
