,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
0,1,11:41.0,C. Capela misses 2-pt dunk at rim,,0,0
1,1,11:38.0,,Defensive rebound by J. Hernangómez,0,0
2,1,11:32.0,,N. Jokić misses 2-pt jump shot from 17 ft,0,0
3,1,11:31.0,Defensive rebound by J. Harden,,0,0
4,1,11:23.0,T. Ariza misses 3-pt jump shot from 26 ft,,0,0
5,1,11:22.0,Offensive rebound by C. Capela,,0,0
6,1,11:15.0,Turnover by J. Harden (bad pass; steal by G. Harris),,0,0
7,1,11:09.0,,G. Harris makes 2-pt layup from 2 ft,0,2
8,1,10:52.0,P. Beverley makes 2-pt jump shot from 8 ft,,2,2
9,1,10:31.0,,N. Jokić makes 2-pt layup from 1 ft (assist by J. Nelson),2,4
10,1,10:08.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,4,4
11,1,9:52.0,,J. Nelson misses 2-pt jump shot from 6 ft,4,4
12,1,9:52.0,Defensive rebound by C. Capela,,4,4
13,1,9:37.0,Turnover by J. Harden (offensive foul),,4,4
14,1,9:37.0,Offensive foul by J. Harden (drawn by M. Plumlee),,4,4
15,1,9:18.0,,Turnover by G. Harris (step out of bounds),4,4
16,1,9:04.0,C. Capela misses 2-pt hook shot from 4 ft,,4,4
17,1,9:03.0,Offensive rebound by C. Capela,,4,4
18,1,9:03.0,C. Capela makes 2-pt layup from 1 ft,,6,4
19,1,8:49.0,,N. Jokić misses 3-pt jump shot from 25 ft,6,4
20,1,8:48.0,Defensive rebound by T. Ariza,,6,4
21,1,8:31.0,J. Harden misses 2-pt jump shot from 6 ft,,6,4
22,1,8:30.0,,Defensive rebound by M. Plumlee,6,4
23,1,8:26.0,,Turnover by J. Hernangómez (lost ball; steal by P. Beverley),6,4
24,1,8:26.0,Personal block foul by M. Plumlee (drawn by P. Beverley),,6,4
25,1,8:09.0,C. Capela misses 2-pt layup from 1 ft,,6,4
26,1,8:07.0,Offensive rebound by C. Capela,,6,4
27,1,8:07.0,C. Capela makes 2-pt dunk at rim,,8,4
28,1,7:55.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),8,6
29,1,7:41.0,R. Anderson makes 2-pt layup from 1 ft (assist by J. Harden),,10,6
30,1,7:30.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by J. Nelson),10,9
31,1,7:20.0,R. Anderson misses 3-pt jump shot from 29 ft,,10,9
32,1,7:19.0,,Defensive rebound by Team,10,9
33,1,7:02.0,,N. Jokić misses 2-pt jump shot from 12 ft,10,9
34,1,7:02.0,,Offensive rebound by M. Plumlee,10,9
35,1,7:01.0,,Turnover by M. Plumlee (bad pass),10,9
