,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHOENIX_ACTION,MIAMI_SCORE,PHOENIX_SCORE
0,1,11:49.0,R. McGruder misses 3-pt jump shot from 24 ft,,0,0
1,1,11:47.0,,Defensive rebound by M. Chriss,0,0
2,1,11:47.0,,Personal foul by J. Richardson (drawn by M. Chriss),0,0
3,1,11:38.0,,T. Warren misses 2-pt jump shot from 14 ft,0,0
4,1,11:36.0,Defensive rebound by G. Dragić,,0,0
5,1,11:26.0,L. Babbitt makes 2-pt jump shot from 13 ft,,2,0
6,1,11:15.0,,D. Booker makes 2-pt layup from 1 ft,2,2
7,1,10:55.0,W. Reed makes 2-pt jump shot from 13 ft (assist by J. Richardson),,4,2
8,1,10:44.0,,Offensive foul by T. Chandler (drawn by W. Reed),4,2
9,1,10:44.0,,Turnover by T. Chandler (offensive foul),4,2
10,1,10:12.0,R. McGruder makes 2-pt jump shot from 17 ft (assist by W. Reed),,6,2
11,1,9:50.0,,T. Chandler misses 2-pt layup from 2 ft,6,2
12,1,9:45.0,Defensive rebound by W. Reed,,6,2
13,1,9:40.0,W. Reed makes 2-pt jump shot from 6 ft (assist by G. Dragić),,8,2
14,1,9:36.0,,Phoenix full timeout,8,2
15,1,9:19.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,8,2
16,1,9:18.0,,Offensive rebound by Team,8,2
17,1,9:18.0,,Personal foul by W. Reed (drawn by T. Chandler),8,2
18,1,9:16.0,,D. Booker misses 2-pt jump shot from 17 ft,8,2
19,1,9:15.0,Defensive rebound by W. Reed,,8,2
20,1,9:04.0,Turnover by G. Dragić (lost ball; steal by M. Chriss),,8,2
21,1,8:59.0,,Shooting foul by L. Babbitt (drawn by M. Chriss),8,2
22,1,8:59.0,,M. Chriss makes free throw 1 of 2,8,3
23,1,8:59.0,,M. Chriss makes free throw 2 of 2,8,4
24,1,8:43.0,Turnover by G. Dragić (lost ball; steal by D. Booker),,8,4
25,1,8:38.0,,Turnover by D. Booker (lost ball; steal by G. Dragić),8,4
26,1,8:32.0,J. Richardson misses 2-pt jump shot from 21 ft,,8,4
27,1,8:30.0,,Defensive rebound by E. Bledsoe,8,4
28,1,8:30.0,,Personal foul by R. McGruder (drawn by E. Bledsoe),8,4
29,1,8:14.0,,M. Chriss makes 2-pt layup from 3 ft (assist by E. Bledsoe),8,6
30,1,7:56.0,W. Reed makes 2-pt dunk at rim (assist by G. Dragić),,10,6
