,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,P. Gasol makes 2-pt jump shot from 5 ft (assist by T. Parker),0,2
1,1,11:29.0,Shooting foul by P. Gasol (drawn by J. Randle),,0,2
2,1,11:29.0,J. Randle makes free throw 1 of 2,,1,2
3,1,11:29.0,J. Randle makes free throw 2 of 2,,2,2
4,1,11:16.0,,T. Parker makes 2-pt jump shot from 5 ft (assist by P. Gasol),2,4
5,1,10:58.0,N. Young misses 3-pt jump shot from 24 ft,,2,4
6,1,10:57.0,,Defensive rebound by L. Aldridge,2,4
7,1,10:51.0,,K. Leonard makes 2-pt jump shot from 13 ft,2,6
8,1,10:26.0,T. Mozgov misses 2-pt layup from 2 ft (block by L. Aldridge),,2,6
9,1,10:19.0,Offensive rebound by T. Mozgov,,2,6
10,1,10:19.0,T. Mozgov misses 2-pt hook shot from 2 ft,,2,6
11,1,10:17.0,,Defensive rebound by P. Gasol,2,6
12,1,10:11.0,,L. Aldridge misses 2-pt jump shot from 13 ft,2,6
13,1,10:09.0,,Offensive rebound by P. Gasol,2,6
14,1,10:03.0,,P. Gasol makes 2-pt jump shot from 10 ft,2,8
15,1,10:00.0,Offensive foul by T. Mozgov (drawn by P. Gasol),,2,8
16,1,10:00.0,Turnover by T. Mozgov (offensive foul),,2,8
17,1,9:52.0,,L. Aldridge misses 2-pt jump shot from 19 ft,2,8
18,1,9:50.0,Defensive rebound by D. Russell,,2,8
19,1,9:37.0,L. Deng makes 3-pt jump shot from 22 ft (assist by J. Randle),,5,8
20,1,9:22.0,Violation by T. Mozgov (def goaltending),,5,8
21,1,9:22.0,,T. Parker makes 2-pt jump shot from 3 ft (assist by P. Gasol),5,10
22,1,9:10.0,D. Russell misses 2-pt jump shot from 3 ft (block by P. Gasol),,5,10
23,1,9:09.0,,Defensive rebound by P. Gasol,5,10
24,1,9:06.0,,T. Parker misses 2-pt layup from 2 ft (block by T. Mozgov),5,10
25,1,9:05.0,,Offensive rebound by L. Aldridge,5,10
26,1,9:04.0,,L. Aldridge makes 2-pt layup from 3 ft,5,12
27,1,8:41.0,J. Randle makes 2-pt jump shot from 19 ft (assist by N. Young),,7,12
28,1,8:17.0,,L. Aldridge misses 2-pt hook shot from 4 ft,7,12
29,1,8:15.0,Defensive rebound by J. Randle,,7,12
30,1,8:07.0,D. Russell makes 2-pt jump shot from 16 ft (assist by J. Randle),,9,12
31,1,7:51.0,,Def 3 sec tech foul by T. Mozgov,9,12
32,1,7:51.0,,K. Leonard misses technical free throw,9,12
33,1,7:51.0,,Offensive rebound by Team,9,12
34,1,7:44.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by D. Green),9,15
35,1,7:19.0,N. Young misses 2-pt layup from 3 ft,,9,15
36,1,7:18.0,,Defensive rebound by T. Parker,9,15
37,1,7:03.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Parker),9,17
38,1,6:50.0,D. Russell makes 2-pt jump shot from 17 ft,,11,17
39,1,6:38.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by P. Gasol),11,20
40,1,6:25.0,D. Russell makes 2-pt jump shot from 5 ft,,13,20
41,1,6:25.0,,San Antonio full timeout,13,20
42,1,6:00.0,,P. Gasol makes 2-pt jump shot from 10 ft (assist by T. Parker),13,22
43,1,5:46.0,Offensive foul by T. Mozgov (drawn by D. Green),,13,22
44,1,5:46.0,Turnover by T. Mozgov (offensive foul),,13,22
45,1,5:46.0,T. Black enters the game for T. Mozgov,,13,22
46,1,5:27.0,,K. Leonard makes 3-pt jump shot from 25 ft,13,25
47,1,5:16.0,D. Russell misses 2-pt jump shot from 14 ft,,13,25
48,1,5:16.0,,Defensive rebound by Team,13,25
49,1,5:16.0,Loose ball foul by T. Black (drawn by P. Gasol),,13,25
50,1,5:16.0,J. Clarkson enters the game for N. Young,,13,25
51,1,5:16.0,B. Ingram enters the game for L. Deng,,13,25
52,1,5:16.0,,D. Lee enters the game for L. Aldridge,13,25
53,1,5:03.0,,T. Parker misses 2-pt jump shot from 5 ft,13,25
54,1,5:02.0,Defensive rebound by J. Randle,,13,25
55,1,4:50.0,J. Clarkson misses 2-pt jump shot from 10 ft,,13,25
56,1,4:49.0,,Defensive rebound by K. Leonard,13,25
57,1,4:43.0,,T. Parker makes 2-pt jump shot from 5 ft,13,27
58,1,4:24.0,D. Russell misses 2-pt jump shot from 17 ft,,13,27
59,1,4:22.0,,Defensive rebound by D. Lee,13,27
60,1,4:09.0,,T. Parker misses 2-pt jump shot from 17 ft,13,27
61,1,4:08.0,,Offensive rebound by P. Gasol,13,27
62,1,4:05.0,,Turnover by P. Gasol (bad pass; steal by D. Russell),13,27
63,1,4:05.0,Personal foul by T. Parker (drawn by D. Russell),,13,27
64,1,4:05.0,,P. Mills enters the game for T. Parker,13,27
65,1,4:05.0,,M. Ginóbili enters the game for D. Green,13,27
66,1,3:55.0,J. Randle makes 2-pt jump shot from 11 ft,,15,27
67,1,3:44.0,,K. Leonard makes 2-pt jump shot from 6 ft,15,29
68,1,3:44.0,,Shooting foul by B. Ingram (drawn by K. Leonard),15,29
69,1,3:44.0,L. Williams enters the game for D. Russell,,15,29
70,1,3:44.0,,K. Leonard makes free throw 1 of 1,15,30
71,1,3:28.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by L. Williams),,18,30
72,1,3:12.0,,Shooting foul by J. Clarkson (drawn by D. Lee),18,30
73,1,3:12.0,,D. Lee makes free throw 1 of 2,18,31
74,1,3:12.0,LA Lakers full timeout,,18,31
