,QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
0,1,11:37.0,K. Korver misses 2-pt jump shot from 18 ft,,0,0
1,1,11:36.0,Offensive rebound by Team,,0,0
2,1,11:36.0,,Loose ball foul by B. Diaw (drawn by D. Howard),0,0
3,1,11:24.0,D. Howard misses 2-pt jump shot from 4 ft (block by R. Gobert),,0,0
4,1,11:24.0,,Defensive rebound by R. Gobert,0,0
5,1,11:05.0,,G. Hayward makes 2-pt layup from 2 ft (assist by B. Diaw),0,2
6,1,11:05.0,,Shooting foul by K. Bazemore (drawn by G. Hayward),0,2
7,1,11:05.0,,G. Hayward makes free throw 1 of 1,0,3
8,1,10:50.0,Shooting foul by B. Diaw (drawn by P. Millsap),,0,3
9,1,10:50.0,P. Millsap makes free throw 1 of 2,,1,3
10,1,10:50.0,P. Millsap makes free throw 2 of 2,,2,3
11,1,10:30.0,,R. Hood misses 2-pt jump shot from 20 ft,2,3
12,1,10:29.0,,Offensive rebound by R. Hood,2,3
13,1,10:20.0,,G. Hayward makes 2-pt layup from 2 ft (assist by B. Diaw),2,5
14,1,10:07.0,D. Schröder makes 2-pt jump shot from 17 ft,,4,5
15,1,9:47.0,,G. Hill misses 2-pt layup from 2 ft,4,5
16,1,9:47.0,Defensive rebound by K. Bazemore,,4,5
17,1,9:36.0,P. Millsap misses 3-pt jump shot from 24 ft,,4,5
18,1,9:35.0,,Defensive rebound by B. Diaw,4,5
19,1,9:28.0,,G. Hill makes 3-pt jump shot from 25 ft,4,8
20,1,9:14.0,D. Schröder misses 3-pt jump shot from 25 ft,,4,8
21,1,9:13.0,,Defensive rebound by R. Gobert,4,8
22,1,8:57.0,,G. Hill misses 3-pt jump shot from 25 ft,4,8
23,1,8:57.0,Defensive rebound by K. Bazemore,,4,8
24,1,8:37.0,K. Bazemore misses 2-pt layup from 3 ft,,4,8
25,1,8:36.0,,Defensive rebound by R. Gobert,4,8
26,1,8:20.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by B. Diaw),4,11
27,1,7:58.0,P. Millsap misses 2-pt jump shot from 17 ft,,4,11
28,1,7:57.0,,Defensive rebound by G. Hill,4,11
29,1,7:48.0,,B. Diaw misses 3-pt jump shot from 24 ft,4,11
30,1,7:48.0,Defensive rebound by Team,,4,11
31,1,7:37.0,D. Schröder makes 3-pt jump shot from 24 ft,,7,11
32,1,7:20.0,,G. Hayward makes 2-pt jump shot from 10 ft,7,13
33,1,7:13.0,Offensive foul by D. Howard (drawn by R. Gobert),,7,13
34,1,7:13.0,Turnover by D. Howard (offensive foul),,7,13
35,1,7:02.0,,Turnover by G. Hayward (lost ball),7,13
36,1,7:02.0,M. Muscala enters the game for P. Millsap,,7,13
37,1,6:49.0,D. Schröder makes 2-pt jump shot from 9 ft,,9,13
38,1,6:29.0,,Shooting foul by K. Bazemore (drawn by G. Hayward),9,13
39,1,6:29.0,,G. Hayward makes free throw 1 of 2,9,14
40,1,6:29.0,T. Sefolosha enters the game for K. Bazemore,,9,14
41,1,6:29.0,,T. Lyles enters the game for B. Diaw,9,14
42,1,6:29.0,,G. Hayward makes free throw 2 of 2,9,15
43,1,6:12.0,D. Schröder makes 2-pt layup from 3 ft,,11,15
44,1,6:08.0,,Turnover by T. Lyles (bad pass; steal by D. Schröder),11,15
45,1,6:04.0,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Schröder),,14,15
46,1,6:04.0,,Utah full timeout,14,15
47,1,5:42.0,,R. Hood misses 3-pt jump shot from 25 ft,14,15
48,1,5:41.0,Defensive rebound by T. Sefolosha,,14,15
49,1,5:21.0,D. Howard misses 2-pt hook shot from 7 ft,,14,15
50,1,5:19.0,Offensive rebound by T. Sefolosha,,14,15
51,1,5:18.0,T. Sefolosha misses 2-pt jump shot from 6 ft,,14,15
52,1,5:17.0,,Defensive rebound by R. Gobert,14,15
53,1,5:02.0,,T. Lyles misses 2-pt jump shot from 20 ft,14,15
54,1,5:02.0,Defensive rebound by K. Korver,,14,15
55,1,4:54.0,K. Korver misses 3-pt jump shot from 25 ft,,14,15
56,1,4:54.0,,Defensive rebound by Team,14,15
57,1,4:54.0,,J. Johnson enters the game for G. Hayward,14,15
58,1,4:54.0,T. Hardaway enters the game for K. Korver,,14,15
59,1,4:46.0,,R. Gobert makes 2-pt layup from 2 ft (assist by R. Hood),14,17
60,1,4:23.0,D. Howard misses 2-pt dunk at rim,,14,17
61,1,4:23.0,,Defensive rebound by T. Lyles,14,17
62,1,4:10.0,,G. Hill misses 2-pt jump shot from 10 ft,14,17
63,1,4:09.0,Defensive rebound by T. Sefolosha,,14,17
64,1,3:54.0,D. Howard misses 2-pt layup from 2 ft (block by R. Gobert),,14,17
65,1,3:53.0,Offensive rebound by T. Sefolosha,,14,17
66,1,3:49.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),,17,17
67,1,3:34.0,,Def 3 sec tech foul by D. Howard,17,17
68,1,3:34.0,,G. Hill makes technical free throw,17,18
69,1,3:34.0,M. Delaney enters the game for D. Schröder,,17,18
70,1,3:34.0,P. Millsap enters the game for D. Howard,,17,18
71,1,3:34.0,,S. Mack enters the game for G. Hill,17,18
72,1,3:26.0,,J. Johnson misses 3-pt jump shot from 25 ft,17,18
73,1,3:24.0,,Offensive rebound by T. Lyles,17,18
74,1,3:16.0,,T. Lyles misses 3-pt jump shot from 25 ft,17,18
75,1,3:15.0,Defensive rebound by M. Muscala,,17,18
76,1,3:01.0,T. Sefolosha makes 2-pt jump shot from 17 ft,,19,18
77,1,2:32.0,,S. Mack misses 2-pt jump shot from 6 ft,19,18
78,1,2:32.0,Defensive rebound by P. Millsap,,19,18
79,1,2:23.0,M. Delaney misses 2-pt jump shot from 7 ft,,19,18
80,1,2:23.0,,Defensive rebound by T. Lyles,19,18
81,1,2:11.0,,Turnover by T. Lyles (bad pass),19,18
82,1,2:11.0,Atlanta full timeout,,19,18
83,1,2:11.0,,J. Withey enters the game for R. Gobert,19,18
84,1,2:11.0,,G. Hayward enters the game for R. Hood,19,18
