,QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
0,1,11:32.0,,D. Gallinari misses 2-pt jump shot from 22 ft,0,0
1,1,11:31.0,Defensive rebound by D. Finney-Smith,,0,0
2,1,11:16.0,H. Barnes makes 2-pt jump shot from 8 ft (assist by W. Matthews),,2,0
3,1,11:04.0,,N. Jokić makes 2-pt hook shot from 2 ft (assist by D. Gallinari),2,2
4,1,10:45.0,D. Williams misses 2-pt jump shot from 13 ft,,2,2
5,1,10:44.0,,Defensive rebound by W. Chandler,2,2
6,1,10:40.0,,Personal foul by S. Mejri (drawn by N. Jokić),2,2
7,1,10:31.0,,E. Mudiay misses 2-pt layup from 2 ft,2,2
8,1,10:31.0,,Offensive rebound by N. Jokić,2,2
9,1,10:27.0,,N. Jokić misses 2-pt hook shot from 6 ft,2,2
10,1,10:26.0,Defensive rebound by D. Williams,,2,2
11,1,10:15.0,D. Williams makes 2-pt jump shot from 13 ft,,4,2
12,1,10:13.0,,W. Chandler makes 2-pt layup from 2 ft (assist by N. Jokić),4,4
13,1,10:13.0,,Shooting foul by S. Mejri (drawn by N. Jokić),4,4
14,1,10:13.0,D. Powell enters the game for S. Mejri,,4,4
15,1,10:13.0,,W. Chandler makes free throw 1 of 1,4,5
16,1,9:59.0,Turnover by D. Finney-Smith (bad pass; steal by D. Gallinari),,4,5
17,1,9:59.0,,Denver full timeout,4,5
18,1,9:44.0,,G. Harris makes 2-pt hook shot from 5 ft (assist by N. Jokić),4,7
19,1,9:26.0,H. Barnes makes 2-pt jump shot from 13 ft,,6,7
20,1,9:12.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by G. Harris),6,10
21,1,8:53.0,D. Williams makes 3-pt jump shot from 26 ft (assist by W. Matthews),,9,10
22,1,8:41.0,,Turnover by G. Harris (lost ball; steal by D. Williams),9,10
23,1,8:35.0,D. Finney-Smith makes 2-pt dunk at rim (assist by D. Williams),,11,10
24,1,8:11.0,,N. Jokić misses 2-pt layup from 3 ft,11,10
25,1,8:09.0,,Offensive rebound by N. Jokić,11,10
26,1,8:09.0,,N. Jokić makes 2-pt layup from 1 ft,11,12
27,1,7:52.0,Turnover by D. Finney-Smith (lost ball; steal by D. Gallinari),,11,12
28,1,7:51.0,,Personal foul by D. Williams (drawn by W. Chandler),11,12
29,1,7:37.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by G. Harris),11,15
30,1,7:18.0,H. Barnes misses 3-pt jump shot from 26 ft,,11,15
31,1,7:17.0,,Defensive rebound by W. Chandler,11,15
32,1,7:11.0,,W. Chandler makes 2-pt jump shot from 15 ft,11,17
33,1,7:10.0,Dallas full timeout,,11,17
34,1,6:54.0,D. Powell makes 2-pt dunk at rim (assist by D. Williams),,13,17
35,1,6:36.0,,W. Chandler misses 2-pt jump shot from 3 ft,13,17
36,1,6:33.0,,Offensive rebound by W. Chandler,13,17
37,1,6:33.0,,W. Chandler misses 2-pt hook shot from 2 ft,13,17
38,1,6:32.0,Defensive rebound by D. Powell,,13,17
39,1,6:21.0,D. Finney-Smith misses 2-pt jump shot from 16 ft,,13,17
40,1,6:20.0,,Defensive rebound by N. Jokić,13,17
41,1,6:12.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by W. Chandler),13,20
42,1,5:54.0,D. Powell misses 2-pt layup from 2 ft,,13,20
43,1,5:53.0,,Defensive rebound by E. Mudiay,13,20
44,1,5:48.0,Offensive charge foul by G. Harris (drawn by D. Powell),,13,20
45,1,5:48.0,,Turnover by G. Harris (offensive foul),13,20
46,1,5:48.0,J. Barea enters the game for H. Barnes,,13,20
47,1,5:48.0,A. Hammons enters the game for D. Williams,,13,20
48,1,5:48.0,S. Curry enters the game for D. Powell,,13,20
49,1,5:28.0,Turnover by A. Hammons (traveling),,13,20
50,1,5:23.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),13,22
51,1,5:23.0,Dallas full timeout,,13,22
52,1,5:23.0,J. Anderson enters the game for D. Finney-Smith,,13,22
53,1,5:23.0,,W. Barton enters the game for W. Chandler,13,22
54,1,5:15.0,J. Barea misses 2-pt jump shot from 22 ft,,13,22
55,1,5:09.0,Offensive rebound by A. Hammons,,13,22
56,1,4:49.0,J. Barea makes 2-pt jump shot from 9 ft,,15,22
57,1,4:39.0,,D. Gallinari makes 2-pt layup from 2 ft,15,24
58,1,4:24.0,J. Barea makes 2-pt jump shot from 21 ft,,17,24
59,1,4:16.0,,Offensive foul by E. Mudiay (drawn by J. Barea),17,24
60,1,4:16.0,,Turnover by E. Mudiay (offensive foul),17,24
61,1,4:16.0,,K. Faried enters the game for N. Jokić,17,24
62,1,4:16.0,,J. Nelson enters the game for E. Mudiay,17,24
63,1,3:58.0,A. Hammons makes 3-pt jump shot from 25 ft (assist by J. Barea),,20,24
64,1,3:46.0,,G. Harris misses 3-pt jump shot from 25 ft,20,24
65,1,3:44.0,Defensive rebound by J. Barea,,20,24
66,1,3:33.0,J. Barea makes 2-pt layup from 1 ft,,22,24
67,1,3:33.0,,Denver full timeout,22,24
68,1,3:33.0,,J. Murray enters the game for G. Harris,22,24
69,1,3:20.0,,D. Gallinari misses 3-pt jump shot from 26 ft,22,24
70,1,3:19.0,Defensive rebound by J. Barea,,22,24
71,1,2:59.0,A. Hammons makes 2-pt dunk at rim (assist by J. Barea),,24,24
72,1,2:48.0,,W. Barton makes 2-pt jump shot from 12 ft,24,26
73,1,2:28.0,Turnover by A. Hammons (dbl dribble),,24,26
74,1,2:28.0,,W. Chandler enters the game for D. Gallinari,24,26
75,1,2:14.0,,J. Nelson misses 3-pt jump shot from 26 ft,24,26
76,1,2:13.0,Defensive rebound by S. Curry,,24,26
77,1,2:02.0,J. Barea makes 3-pt jump shot from 25 ft,,27,26
78,1,1:55.0,,Offensive foul by K. Faried (drawn by J. Barea),27,26
79,1,1:55.0,,Turnover by K. Faried (offensive foul),27,26
80,1,1:41.0,A. Hammons misses 3-pt jump shot from 24 ft,,27,26
81,1,1:40.0,,Defensive rebound by J. Murray,27,26
82,1,1:33.0,,Shooting foul by J. Anderson (drawn by W. Barton),27,26
83,1,1:33.0,,W. Barton makes free throw 1 of 2,27,27
84,1,1:33.0,D. Finney-Smith enters the game for J. Anderson,,27,27
85,1,1:33.0,H. Barnes enters the game for W. Matthews,,27,27
86,1,1:33.0,D. Powell enters the game for A. Hammons,,27,27
87,1,1:33.0,,W. Barton makes free throw 2 of 2,27,28
88,1,1:13.0,Turnover by H. Barnes (lost ball; steal by J. Nelson),,27,28
89,1,1:00.0,,Turnover by W. Barton (traveling),27,28
90,1,0:46.0,Personal foul by J. Murray (drawn by H. Barnes),,27,28
91,1,0:40.0,D. Powell makes 2-pt dunk at rim (assist by J. Barea),,29,28
92,1,0:28.0,,J. Murray misses 2-pt jump shot from 20 ft,29,28
93,1,0:27.0,Defensive rebound by J. Barea,,29,28
94,1,0:08.0,Shooting foul by K. Faried (drawn by S. Curry),,29,28
95,1,0:08.0,S. Curry makes free throw 1 of 2,,30,28
96,1,0:08.0,S. Curry makes free throw 2 of 2,,31,28
97,1,0:00.0,,W. Barton misses 3-pt jump shot from 25 ft,31,28
98,1,0:00.0,,Offensive rebound by Team,31,28
99,2,11:48.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Williams),,34,28
100,2,11:33.0,,J. Murray misses 2-pt jump shot from 5 ft (block by D. Powell),34,28
101,2,11:32.0,Defensive rebound by H. Barnes,,34,28
102,2,11:20.0,Def 3 sec tech foul by N. Jokić,,34,28
103,2,11:20.0,D. Williams makes technical free throw,,35,28
104,2,11:06.0,D. Williams makes 3-pt jump shot from 26 ft (assist by H. Barnes),,38,28
105,2,10:51.0,,W. Chandler makes 2-pt jump shot from 13 ft,38,30
106,2,10:42.0,Turnover by S. Curry (bad pass),,38,30
107,2,10:31.0,,W. Chandler misses 2-pt jump shot from 11 ft,38,30
108,2,10:31.0,Defensive rebound by D. Powell,,38,30
109,2,10:20.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Williams),,41,30
110,2,10:20.0,,Denver full timeout,41,30
111,2,10:20.0,,E. Mudiay enters the game for J. Nelson,41,30
112,2,10:20.0,,G. Harris enters the game for J. Murray,41,30
113,2,10:00.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),41,32
114,2,9:43.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by D. Williams),,44,32
115,2,9:29.0,,E. Mudiay misses 2-pt layup from 1 ft,44,32
116,2,9:29.0,Defensive rebound by Team,,44,32
117,2,9:18.0,D. Williams makes 2-pt jump shot from 17 ft,,46,32
118,2,9:03.0,,G. Harris misses 2-pt jump shot from 21 ft,46,32
119,2,9:02.0,Defensive rebound by D. Finney-Smith,,46,32
120,2,8:52.0,D. Williams makes 2-pt jump shot from 9 ft,,48,32
121,2,8:35.0,,N. Jokić makes 2-pt jump shot from 15 ft (assist by E. Mudiay),48,34
122,2,8:26.0,H. Barnes misses 3-pt jump shot from 24 ft,,48,34
123,2,8:25.0,,Defensive rebound by N. Jokić,48,34
124,2,8:13.0,,E. Mudiay misses 2-pt jump shot from 13 ft,48,34
125,2,8:12.0,,Offensive rebound by W. Chandler,48,34
126,2,8:11.0,,Personal foul by D. Finney-Smith (drawn by W. Chandler),48,34
127,2,8:11.0,J. Barea enters the game for S. Curry,,48,34
128,2,8:11.0,J. Anderson enters the game for H. Barnes,,48,34
129,2,7:50.0,,N. Jokić misses 2-pt hook shot from 5 ft,48,34
130,2,7:47.0,,Offensive rebound by W. Barton,48,34
131,2,7:47.0,,W. Barton makes 2-pt dunk at rim,48,36
132,2,7:41.0,Dallas full timeout,,48,36
133,2,7:41.0,S. Mejri enters the game for D. Finney-Smith,,48,36
134,2,7:41.0,W. Matthews enters the game for D. Powell,,48,36
135,2,7:35.0,Offensive foul by J. Anderson (drawn by E. Mudiay),,48,36
136,2,7:35.0,Turnover by J. Anderson (offensive foul),,48,36
137,2,7:13.0,,G. Harris makes 2-pt layup from 2 ft (assist by W. Barton),48,38
138,2,7:03.0,S. Mejri makes 2-pt layup from 1 ft (assist by J. Barea),,50,38
139,2,7:03.0,Personal foul by W. Chandler (drawn by S. Mejri),,50,38
140,2,7:03.0,,D. Gallinari enters the game for W. Chandler,48,38
141,2,7:03.0,S. Mejri misses free throw 1 of 1,,50,38
142,2,7:03.0,,Defensive rebound by N. Jokić,50,38
143,2,6:55.0,,E. Mudiay misses 3-pt jump shot,50,38
144,2,6:54.0,,Offensive rebound by N. Jokić,50,38
145,2,6:43.0,,E. Mudiay makes 2-pt dunk at rim (assist by N. Jokić),50,40
146,2,6:22.0,J. Barea misses 3-pt jump shot from 25 ft,,50,40
147,2,6:21.0,,Defensive rebound by E. Mudiay,50,40
148,2,6:09.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),50,42
149,2,5:50.0,D. Williams misses 2-pt jump shot from 20 ft,,50,42
150,2,5:48.0,,Defensive rebound by N. Jokić,50,42
151,2,5:43.0,,Turnover by N. Jokić (bad pass; steal by W. Matthews),50,42
152,2,5:43.0,Personal take foul by N. Jokić (drawn by W. Matthews),,50,42
153,2,5:43.0,S. Curry enters the game for D. Williams,,50,42
154,2,5:43.0,H. Barnes enters the game for J. Anderson,,50,42
155,2,5:28.0,Turnover by W. Matthews (bad pass; steal by G. Harris),,50,42
156,2,5:24.0,,G. Harris makes 2-pt layup from 2 ft,50,44
157,2,5:13.0,J. Barea misses 2-pt jump shot from 6 ft,,50,44
158,2,5:13.0,,Defensive rebound by N. Jokić,50,44
159,2,4:48.0,,D. Gallinari misses 2-pt jump shot from 22 ft,50,44
160,2,4:46.0,Defensive rebound by S. Mejri,,50,44
161,2,4:32.0,H. Barnes makes 2-pt hook shot from 6 ft,,52,44
162,2,4:20.0,,W. Barton makes 3-pt jump shot from 27 ft (assist by E. Mudiay),52,47
163,2,3:59.0,H. Barnes misses 2-pt jump shot from 14 ft,,52,47
164,2,3:56.0,Offensive rebound by S. Curry,,52,47
165,2,3:56.0,S. Curry makes 2-pt layup from 2 ft,,54,47
166,2,3:50.0,,Shooting foul by H. Barnes (drawn by D. Gallinari),54,47
167,2,3:50.0,,D. Gallinari makes free throw 1 of 2,54,48
168,2,3:50.0,,W. Chandler enters the game for W. Barton,54,48
169,2,3:50.0,,D. Gallinari makes free throw 2 of 2,54,49
170,2,3:33.0,H. Barnes misses 2-pt jump shot from 3 ft,,54,49
171,2,3:32.0,,Defensive rebound by N. Jokić,54,49
172,2,3:30.0,,Turnover by N. Jokić (bad pass; steal by J. Barea),54,49
173,2,3:26.0,J. Barea makes 2-pt layup from 3 ft,,56,49
174,2,3:12.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),56,51
175,2,2:52.0,W. Matthews misses 2-pt jump shot from 22 ft,,56,51
176,2,2:51.0,,Defensive rebound by N. Jokić,56,51
177,2,2:44.0,,N. Jokić misses 2-pt jump shot from 4 ft,56,51
178,2,2:43.0,,Offensive rebound by Team,56,51
