,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:43.0,A. Drummond makes 2-pt hook shot from 11 ft,,2,0
1,1,11:20.0,,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,2,0
2,1,11:19.0,Defensive rebound by A. Drummond,,2,0
3,1,11:12.0,Turnover by M. Morris (lost ball; steal by C. LeVert),,2,0
4,1,11:09.0,,C. LeVert makes 2-pt layup from 2 ft,2,2
5,1,10:41.0,A. Drummond misses 2-pt hook shot from 15 ft,,2,2
6,1,10:40.0,,Defensive rebound by S. Dinwiddie,2,2
7,1,10:28.0,,R. Foye misses 2-pt jump shot from 18 ft,2,2
8,1,10:27.0,Defensive rebound by A. Drummond,,2,2
9,1,10:16.0,T. Harris makes 2-pt layup from 1 ft,,4,2
10,1,10:00.0,,C. LeVert misses 3-pt jump shot from 25 ft,4,2
11,1,9:58.0,Defensive rebound by A. Drummond,,4,2
12,1,9:52.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Jackson),,7,2
13,1,9:33.0,,R. Foye misses 3-pt jump shot from 25 ft,7,2
14,1,9:32.0,Defensive rebound by M. Morris,,7,2
15,1,9:19.0,M. Morris misses 2-pt jump shot from 18 ft,,7,2
16,1,9:18.0,,Defensive rebound by R. Hollis-Jefferson,7,2
17,1,9:12.0,,Personal foul by M. Morris (drawn by R. Hollis-Jefferson),7,2
18,1,9:09.0,,B. Lopez makes 2-pt dunk at rim (assist by R. Foye),7,4
19,1,8:55.0,Turnover by R. Jackson (bad pass),,7,4
20,1,8:42.0,,Personal block foul by A. Drummond (drawn by B. Lopez),7,4
21,1,8:30.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by R. Foye),7,7
22,1,8:09.0,R. Jackson misses 3-pt jump shot from 24 ft,,7,7
23,1,8:08.0,,Defensive rebound by R. Foye,7,7
24,1,7:57.0,,B. Lopez misses 3-pt jump shot from 26 ft,7,7
25,1,7:56.0,Defensive rebound by K. Caldwell-Pope,,7,7
26,1,7:46.0,Shooting foul by S. Dinwiddie (drawn by T. Harris),,7,7
27,1,7:46.0,T. Harris misses free throw 1 of 2,,7,7
28,1,7:46.0,Offensive rebound by Team,,7,7
29,1,7:46.0,T. Harris makes free throw 2 of 2,,8,7
30,1,7:34.0,,B. Lopez misses 2-pt dunk from 1 ft,8,7
31,1,7:33.0,,Offensive rebound by B. Lopez,8,7
32,1,7:29.0,,B. Lopez makes 2-pt hook shot from 2 ft,8,9
33,1,7:13.0,A. Drummond misses 2-pt layup from 2 ft (block by S. Dinwiddie),,8,9
34,1,7:11.0,,Defensive rebound by S. Dinwiddie,8,9
35,1,7:02.0,,Turnover by R. Foye (lost ball; steal by A. Drummond),8,9
36,1,6:57.0,Turnover by A. Drummond (bad pass),,8,9
37,1,6:57.0,,I. Whitehead enters the game for R. Foye,8,9
38,1,6:44.0,,C. LeVert makes 2-pt layup from 1 ft,8,11
39,1,6:37.0,Detroit full timeout,,8,11
40,1,6:29.0,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,,8,11
41,1,6:28.0,,Defensive rebound by B. Lopez,8,11
42,1,6:06.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,8,11
43,1,6:04.0,Defensive rebound by A. Drummond,,8,11
44,1,5:55.0,R. Jackson makes 2-pt jump shot from 6 ft,,10,11
45,1,5:26.0,,B. Lopez misses 3-pt jump shot from 25 ft,10,11
46,1,5:25.0,Defensive rebound by M. Morris,,10,11
47,1,5:17.0,R. Jackson misses 2-pt jump shot from 20 ft,,10,11
48,1,5:16.0,,Defensive rebound by B. Lopez,10,11
49,1,5:09.0,,S. Dinwiddie makes 2-pt layup from 1 ft,10,13
50,1,4:55.0,T. Harris makes 2-pt jump shot from 7 ft (assist by K. Caldwell-Pope),,12,13
51,1,4:45.0,,Shooting foul by R. Jackson (drawn by S. Dinwiddie),12,13
52,1,4:45.0,,S. Dinwiddie misses free throw 1 of 3,12,13
53,1,4:45.0,,Offensive rebound by Team,12,13
54,1,4:45.0,,S. Dinwiddie makes free throw 2 of 3,12,14
55,1,4:45.0,I. Smith enters the game for R. Jackson,,12,14
56,1,4:45.0,J. Leuer enters the game for M. Morris,,12,14
57,1,4:45.0,,Q. Acy enters the game for R. Hollis-Jefferson,12,14
58,1,4:45.0,,K. McDaniels enters the game for C. LeVert,12,14
59,1,4:45.0,,S. Dinwiddie makes free throw 3 of 3,12,15
60,1,4:28.0,I. Smith misses 2-pt jump shot from 11 ft,,12,15
61,1,4:27.0,Offensive rebound by A. Drummond,,12,15
62,1,4:26.0,Shooting foul by Q. Acy (drawn by A. Drummond),,12,15
63,1,4:26.0,A. Drummond makes 2-pt layup from 1 ft,,14,15
64,1,4:26.0,A. Drummond misses free throw 1 of 1,,14,15
65,1,4:26.0,,A. Goodwin enters the game for S. Dinwiddie,14,15
66,1,4:25.0,,Defensive rebound by Q. Acy,14,15
67,1,4:13.0,,K. McDaniels misses 2-pt layup from 2 ft,14,15
