,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
0,1,11:34.0,,D. Collison makes 2-pt jump shot from 19 ft,0,2
1,1,11:20.0,J. Embiid makes 2-pt layup from 2 ft (assist by S. Rodríguez),,2,2
2,1,10:57.0,,D. Collison misses 3-pt jump shot from 23 ft,2,2
3,1,10:55.0,Defensive rebound by J. Embiid,,2,2
4,1,10:42.0,Turnover by J. Embiid (lost ball; steal by K. Koufos),,2,2
5,1,10:39.0,,R. Gay makes 2-pt dunk at rim (assist by B. McLemore),2,4
6,1,10:24.0,Personal foul by B. McLemore (drawn by J. Okafor),,2,4
7,1,10:08.0,G. Henderson misses 3-pt jump shot from 25 ft,,2,4
8,1,10:08.0,,Defensive rebound by D. Cousins,2,4
9,1,9:55.0,,K. Koufos makes 2-pt dunk at rim (assist by D. Cousins),2,6
10,1,9:37.0,J. Okafor misses 2-pt layup from 2 ft,,2,6
11,1,9:36.0,,Defensive rebound by R. Gay,2,6
12,1,9:21.0,,D. Collison misses 2-pt layup from 2 ft,2,6
13,1,9:19.0,,Offensive rebound by D. Cousins,2,6
14,1,9:19.0,,D. Cousins makes 2-pt layup from 1 ft,2,8
15,1,9:01.0,S. Rodríguez misses 3-pt jump shot from 24 ft,,2,8
16,1,9:00.0,,Defensive rebound by K. Koufos,2,8
17,1,8:48.0,,K. Koufos makes 2-pt layup from 3 ft (assist by R. Gay),2,10
18,1,8:47.0,Philadelphia full timeout,,2,10
19,1,8:29.0,G. Henderson misses 2-pt jump shot from 5 ft,,2,10
20,1,8:28.0,,Defensive rebound by B. McLemore,2,10
21,1,8:14.0,,Personal foul by S. Rodríguez (drawn by R. Gay),2,10
22,1,8:14.0,E. İlyasova enters the game for J. Okafor,,2,10
23,1,8:12.0,,Personal foul by J. Embiid (drawn by D. Cousins),2,10
24,1,7:59.0,,D. Collison misses 2-pt jump shot from 4 ft,2,10
25,1,7:58.0,Defensive rebound by J. Embiid,,2,10
26,1,7:53.0,R. Covington misses 2-pt layup from 2 ft,,2,10
27,1,7:52.0,,Defensive rebound by D. Cousins,2,10
28,1,7:41.0,,R. Gay misses 3-pt jump shot from 25 ft,2,10
29,1,7:41.0,Defensive rebound by E. İlyasova,,2,10
30,1,7:34.0,Turnover by J. Embiid (traveling),,2,10
31,1,7:17.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Collison),2,13
32,1,7:10.0,,Violation by D. Cousins (kicked ball),2,13
33,1,7:02.0,Personal foul by K. Koufos (drawn by J. Embiid),,2,13
34,1,6:54.0,S. Rodríguez makes 2-pt jump shot from 20 ft,,4,13
35,1,6:36.0,,B. McLemore misses 2-pt jump shot from 14 ft,4,13
36,1,6:36.0,Defensive rebound by R. Covington,,4,13
37,1,6:16.0,Turnover by R. Covington (traveling),,4,13
38,1,6:07.0,,D. Cousins misses 3-pt jump shot from 26 ft,4,13
39,1,6:06.0,Defensive rebound by R. Covington,,4,13
40,1,5:52.0,S. Rodríguez misses 2-pt jump shot from 15 ft,,4,13
41,1,5:51.0,,Defensive rebound by R. Gay,4,13
42,1,5:43.0,,R. Gay misses 2-pt jump shot from 3 ft,4,13
43,1,5:42.0,Defensive rebound by E. İlyasova,,4,13
44,1,5:36.0,G. Henderson makes 2-pt layup from 1 ft (assist by E. İlyasova),,6,13
45,1,5:26.0,J. Okafor enters the game for J. Embiid,,6,13
46,1,5:26.0,T. McConnell enters the game for S. Rodríguez,,6,13
