,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
113,2,11:13.0,,Offensive rebound by T. Robinson,33,27
114,2,10:57.0,,Turnover by J. Clarkson (lost ball; steal by A. Rivers),33,27
115,2,10:53.0,A. Rivers misses 2-pt layup from 4 ft (block by L. Williams),,33,27
116,2,10:48.0,Offensive rebound by R. Felton,,33,27
117,2,10:44.0,A. Rivers misses 3-pt jump shot from 25 ft,,33,27
118,2,10:42.0,,Defensive rebound by L. Williams,33,27
119,2,10:38.0,,Personal foul by A. Rivers (drawn by B. Ingram),33,27
120,2,10:38.0,,Technical foul by B. Ingram,33,27
121,2,10:38.0,J. Crawford makes technical free throw,,34,27
122,2,10:36.0,,Personal foul by M. Speights (drawn by T. Robinson),34,27
123,2,10:31.0,,J. Clarkson misses 3-pt jump shot from 23 ft,34,27
124,2,10:28.0,,Offensive rebound by B. Ingram,34,27
125,2,10:28.0,,B. Ingram makes 2-pt dunk at rim,34,29
126,2,10:28.0,LA Clippers full timeout,,34,29
127,2,10:28.0,B. Bass enters the game for A. Rivers,,34,29
128,2,10:17.0,M. Speights makes 3-pt jump shot from 25 ft (assist by J. Crawford),,37,29
129,2,10:04.0,,Turnover by L. Williams (bad pass; steal by J. Crawford),37,29
130,2,10:01.0,Turnover by J. Crawford (lost ball),,37,29
131,2,9:44.0,,J. Clarkson misses 3-pt jump shot from 27 ft,37,29
132,2,9:43.0,Defensive rebound by R. Felton,,37,29
133,2,9:32.0,M. Speights misses 3-pt jump shot from 27 ft,,37,29
134,2,9:31.0,,Defensive rebound by B. Ingram,37,29
135,2,9:27.0,,Shooting foul by M. Speights (drawn by B. Ingram),37,29
136,2,9:27.0,,B. Ingram makes 2-pt layup from 2 ft,37,31
137,2,9:27.0,,B. Ingram makes free throw 1 of 1,37,32
138,2,9:09.0,R. Felton misses 2-pt jump shot from 14 ft,,37,32
139,2,9:08.0,,Defensive rebound by T. Robinson,37,32
140,2,9:02.0,,L. Deng misses 3-pt jump shot from 26 ft,37,32
141,2,8:58.0,Defensive rebound by R. Felton,,37,32
142,2,8:50.0,J. Crawford misses 2-pt jump shot from 16 ft (block by T. Robinson),,37,32
143,2,8:46.0,,Defensive rebound by L. Williams,37,32
144,2,8:44.0,,B. Ingram misses 2-pt jump shot from 7 ft (block by R. Felton),37,32
145,2,8:43.0,Defensive rebound by M. Speights,,37,32
146,2,8:36.0,W. Johnson makes 2-pt layup from 1 ft (assist by M. Speights),,39,32
147,2,8:13.0,,L. Williams makes 3-pt jump shot from 27 ft (assist by T. Robinson),39,35
148,2,7:50.0,J. Crawford misses 2-pt jump shot from 20 ft,,39,35
149,2,7:50.0,Offensive rebound by Team,,39,35
150,2,7:50.0,,Loose ball foul by J. Clarkson (drawn by M. Speights),39,35
151,2,7:33.0,B. Bass makes 2-pt hook shot from 10 ft,,41,35
152,2,7:13.0,,Shooting foul by J. Crawford (drawn by B. Ingram),41,35
153,2,7:13.0,,B. Ingram misses free throw 1 of 2,41,35
154,2,7:13.0,,Offensive rebound by Team,41,35
155,2,7:13.0,,B. Ingram makes free throw 2 of 2,41,36
