,QUARTER,TIME_REMAINING,UTAH_ACTION,MIAMI_ACTION,UTAH_SCORE,MIAMI_SCORE
0,1,11:39.0,,H. Whiteside misses 2-pt layup from 2 ft (block by R. Gobert),0,0
1,1,11:38.0,,Offensive rebound by H. Whiteside,0,0
2,1,11:36.0,,H. Whiteside makes 2-pt jump shot from 2 ft,0,2
3,1,11:12.0,D. Favors makes 2-pt jump shot from 8 ft (assist by R. Hood),,2,2
4,1,10:52.0,,J. Richardson misses 3-pt jump shot from 25 ft,2,2
5,1,10:51.0,Defensive rebound by R. Hood,,2,2
6,1,10:39.0,Shooting foul by H. Whiteside (drawn by R. Gobert),,2,2
7,1,10:39.0,R. Gobert misses free throw 1 of 2,,2,2
8,1,10:39.0,Offensive rebound by Team,,2,2
9,1,10:39.0,R. Gobert makes free throw 2 of 2,,3,2
10,1,10:14.0,,J. Winslow misses 3-pt jump shot from 24 ft,3,2
11,1,10:13.0,Defensive rebound by R. Gobert,,3,2
12,1,10:03.0,R. Hood misses 2-pt jump shot from 18 ft,,3,2
13,1,10:02.0,,Defensive rebound by H. Whiteside,3,2
14,1,9:56.0,,H. Whiteside misses 2-pt jump shot from 4 ft,3,2
15,1,9:55.0,,Offensive rebound by H. Whiteside,3,2
16,1,9:54.0,,Shooting foul by R. Hood (drawn by H. Whiteside),3,2
17,1,9:54.0,,H. Whiteside misses free throw 1 of 2,3,2
18,1,9:54.0,,Offensive rebound by Team,3,2
19,1,9:54.0,,H. Whiteside misses free throw 2 of 2,3,2
20,1,9:53.0,Defensive rebound by D. Favors,,3,2
21,1,9:35.0,D. Favors makes 2-pt jump shot from 9 ft (assist by G. Hayward),,5,2
22,1,9:23.0,,L. Babbitt misses 3-pt jump shot from 24 ft,5,2
23,1,9:22.0,Defensive rebound by G. Hayward,,5,2
24,1,9:07.0,R. Hood makes 2-pt jump shot from 14 ft,,7,2
25,1,8:48.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Waiters),7,4
26,1,8:41.0,Turnover by D. Favors (bad pass; steal by J. Richardson),,7,4
27,1,8:37.0,,L. Babbitt misses 3-pt jump shot from 25 ft,7,4
28,1,8:36.0,Defensive rebound by Team,,7,4
29,1,8:21.0,G. Hayward misses 2-pt jump shot from 18 ft,,7,4
30,1,8:20.0,,Defensive rebound by L. Babbitt,7,4
31,1,8:10.0,,D. Waiters makes 2-pt jump shot from 11 ft,7,6
32,1,7:51.0,,Violation by H. Whiteside (def goaltending),7,6
33,1,7:51.0,D. Favors makes 2-pt hook shot from 4 ft (assist by G. Hayward),,9,6
34,1,7:34.0,,L. Babbitt misses 3-pt jump shot from 24 ft,9,6
35,1,7:33.0,Defensive rebound by D. Exum,,9,6
36,1,7:28.0,D. Exum makes 2-pt layup from 2 ft,,11,6
37,1,7:15.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Waiters),11,8
38,1,6:49.0,D. Exum misses 2-pt layup from 2 ft,,11,8
39,1,6:48.0,,Defensive rebound by H. Whiteside,11,8
40,1,6:45.0,,Shooting block foul by R. Hood (drawn by D. Waiters),11,8
41,1,6:45.0,,D. Waiters misses free throw 1 of 2,11,8
42,1,6:45.0,,Offensive rebound by Team,11,8
43,1,6:45.0,,J. Johnson enters the game for L. Babbitt,11,8
44,1,6:45.0,J. Johnson enters the game for R. Hood,,11,8
45,1,6:45.0,,D. Waiters makes free throw 2 of 2,11,9
46,1,6:26.0,Turnover by D. Exum (lost ball),,11,9
47,1,6:10.0,,J. Richardson makes 2-pt jump shot from 16 ft,11,11
48,1,6:05.0,Utah full timeout,,11,11
49,1,6:05.0,T. Lyles enters the game for D. Favors,,11,11
50,1,6:05.0,,T. Johnson enters the game for J. Winslow,11,11
51,1,5:57.0,G. Hayward misses 3-pt jump shot from 24 ft (block by J. Richardson),,11,11
52,1,5:56.0,,Defensive rebound by J. Johnson,11,11
53,1,5:33.0,,Turnover by Team (shot clock),11,11
54,1,5:24.0,Personal foul by D. Waiters (drawn by J. Johnson),,11,11
55,1,5:15.0,Personal foul by T. Johnson (drawn by D. Exum),,11,11
56,1,5:07.0,G. Hayward makes 2-pt jump shot from 11 ft,,13,11
57,1,5:07.0,Shooting foul by J. Richardson (drawn by G. Hayward),,13,11
58,1,5:07.0,G. Hayward makes free throw 1 of 1,,14,11
59,1,4:59.0,,Shooting foul by J. Johnson (drawn by T. Johnson),14,11
60,1,4:59.0,,D. Waiters makes free throw 1 of 2,14,12
61,1,4:59.0,,D. Waiters misses free throw 2 of 2,14,12
62,1,4:59.0,S. Mack enters the game for D. Exum,,14,12
63,1,4:58.0,Defensive rebound by J. Johnson,,14,12
64,1,4:49.0,J. Johnson makes 3-pt jump shot from 25 ft,,17,12
65,1,4:32.0,,Turnover by J. Johnson (lost ball),17,12
66,1,4:15.0,J. Johnson misses 2-pt jump shot from 20 ft,,17,12
67,1,4:14.0,,Defensive rebound by H. Whiteside,17,12
68,1,4:05.0,,Turnover by D. Waiters (step out of bounds),17,12
69,1,3:41.0,T. Lyles misses 3-pt jump shot from 25 ft,,17,12
70,1,3:40.0,,Defensive rebound by Team,17,12
71,1,3:40.0,,R. McGruder enters the game for J. Richardson,17,12
72,1,3:40.0,,Miami full timeout,17,12
73,1,3:40.0,,J. Winslow enters the game for D. Waiters,17,12
74,1,3:16.0,,J. Johnson misses 2-pt layup from 2 ft,17,12
75,1,3:15.0,Defensive rebound by R. Gobert,,17,12
76,1,3:08.0,Shooting foul by J. Johnson (drawn by R. Gobert),,17,12
77,1,3:08.0,R. Gobert misses free throw 1 of 2,,17,12
78,1,3:08.0,Offensive rebound by Team,,17,12
79,1,3:08.0,R. Gobert makes free throw 2 of 2,,18,12
80,1,2:49.0,,T. Johnson misses 2-pt jump shot from 17 ft,18,12
81,1,2:48.0,Defensive rebound by S. Mack,,18,12
82,1,2:26.0,J. Johnson makes 2-pt jump shot from 7 ft,,20,12
83,1,2:06.0,,R. McGruder makes 2-pt jump shot from 6 ft,20,14
84,1,1:50.0,T. Lyles misses 2-pt jump shot from 16 ft,,20,14
85,1,1:49.0,,Defensive rebound by R. McGruder,20,14
86,1,1:35.0,,J. Winslow makes 2-pt jump shot from 16 ft,20,16
87,1,1:19.0,G. Hayward makes 2-pt jump shot from 17 ft,,22,16
88,1,1:19.0,Shooting foul by J. Winslow (drawn by G. Hayward),,22,16
89,1,1:19.0,,J. McRoberts enters the game for H. Whiteside,22,16
90,1,1:19.0,J. Withey enters the game for R. Gobert,,22,16
91,1,1:19.0,G. Hayward makes free throw 1 of 1,,23,16
92,1,1:06.0,,R. McGruder makes 3-pt jump shot from 25 ft (assist by T. Johnson),23,19
93,1,1:00.0,Turnover by S. Mack (step out of bounds),,23,19
94,1,1:00.0,J. Ingles enters the game for G. Hayward,,23,19
95,1,0:44.0,,J. McRoberts misses 2-pt jump shot from 12 ft,23,19
96,1,0:42.0,Defensive rebound by J. Johnson,,23,19
97,1,0:34.0,J. Johnson misses 2-pt jump shot from 17 ft,,23,19
98,1,0:33.0,,Defensive rebound by J. Johnson,23,19
99,1,0:26.0,,J. Johnson makes 2-pt layup from 2 ft,23,21
100,1,0:26.0,,Shooting foul by J. Withey (drawn by J. Johnson),23,21
101,1,0:26.0,,J. Johnson misses free throw 1 of 1,23,21
102,1,0:26.0,G. Hayward enters the game for J. Withey,,23,21
103,1,0:25.0,Defensive rebound by G. Hayward,,23,21
104,1,0:03.0,G. Hayward misses 2-pt jump shot from 18 ft,,23,21
105,1,0:02.0,,Defensive rebound by J. Winslow,23,21
106,1,0:00.0,,J. Winslow misses 2-pt jump shot from 19 ft,23,21
107,1,0:00.0,,Offensive rebound by Team,23,21
108,2,11:47.0,R. Hood makes 2-pt jump shot from 18 ft (assist by J. Withey),,25,21
109,2,11:26.0,,J. Johnson makes 2-pt layup from 2 ft,25,23
110,2,11:13.0,Turnover by J. Withey (lost ball; steal by J. Johnson),,25,23
111,2,11:08.0,,J. Winslow makes 2-pt dunk at rim (assist by J. Johnson),25,25
112,2,10:49.0,S. Mack makes 2-pt jump shot from 9 ft,,27,25
113,2,10:26.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by R. McGruder),27,28
114,2,10:08.0,R. Hood makes 2-pt jump shot from 18 ft,,29,28
115,2,9:54.0,,Turnover by J. Johnson (bad pass; steal by J. Withey),29,28
116,2,9:48.0,T. Lyles makes 2-pt layup from 2 ft,,31,28
117,2,9:37.0,,Turnover by J. McRoberts (traveling),31,28
118,2,9:37.0,,J. Richardson enters the game for T. Johnson,31,28
119,2,9:37.0,J. Johnson enters the game for T. Lyles,,31,28
120,2,9:17.0,Shooting foul by J. Richardson (drawn by R. Hood),,31,28
121,2,9:17.0,R. Hood makes free throw 1 of 2,,32,28
122,2,9:17.0,R. Hood makes free throw 2 of 2,,33,28
123,2,9:03.0,,J. Richardson makes 2-pt jump shot from 16 ft (assist by J. Winslow),33,30
124,2,8:44.0,J. Ingles makes 2-pt layup from 2 ft (assist by S. Mack),,35,30
125,2,8:19.0,,J. Winslow makes 2-pt layup from 1 ft,35,32
126,2,8:00.0,R. Hood makes 2-pt jump shot from 13 ft,,37,32
127,2,7:43.0,,J. Winslow makes 2-pt layup from 3 ft (assist by J. McRoberts),37,34
128,2,7:43.0,,Shooting block foul by J. Withey (drawn by J. Winslow),37,34
129,2,7:43.0,Official timeout,,37,34
130,2,7:43.0,,H. Whiteside enters the game for J. McRoberts,37,34
131,2,7:43.0,D. Exum enters the game for S. Mack,,37,34
132,2,7:43.0,R. Gobert enters the game for J. Withey,,37,34
133,2,7:43.0,,J. Winslow makes free throw 1 of 1,37,35
134,2,7:34.0,Turnover by R. Hood (bad pass),,37,35
135,2,7:15.0,,Turnover by J. Richardson (lost ball; steal by D. Exum),37,35
136,2,7:02.0,J. Johnson makes 2-pt jump shot from 12 ft,,39,35
137,2,6:46.0,,J. Richardson misses 3-pt jump shot from 25 ft,39,35
138,2,6:45.0,Defensive rebound by R. Hood,,39,35
139,2,6:26.0,R. Hood misses 3-pt jump shot from 25 ft,,39,35
140,2,6:25.0,,Defensive rebound by J. Richardson,39,35
141,2,6:14.0,,J. Johnson makes 2-pt layup from 1 ft (assist by J. Richardson),39,37
142,2,5:51.0,Shooting foul by J. Johnson (drawn by R. Gobert),,39,37
143,2,5:51.0,,Miami full timeout,39,37
144,2,5:51.0,R. Gobert makes free throw 1 of 2,,40,37
145,2,5:51.0,G. Hayward enters the game for J. Ingles,,39,37
146,2,5:51.0,,D. Waiters enters the game for J. Winslow,39,37
147,2,5:51.0,,T. Johnson enters the game for J. Johnson,39,37
148,2,5:51.0,,D. Williams enters the game for R. McGruder,39,37
149,2,5:51.0,R. Gobert makes free throw 2 of 2,,41,37
150,2,5:41.0,,Personal foul by R. Gobert (drawn by H. Whiteside),41,37
151,2,5:27.0,,T. Johnson makes 2-pt jump shot from 7 ft (assist by D. Williams),41,39
152,2,5:03.0,J. Johnson misses 3-pt jump shot from 25 ft,,41,39
153,2,5:02.0,,Defensive rebound by D. Waiters,41,39
154,2,4:54.0,,Personal foul by R. Gobert (drawn by H. Whiteside),41,39
155,2,4:37.0,,D. Williams misses 3-pt jump shot from 24 ft,41,39
156,2,4:36.0,,Offensive rebound by T. Johnson,41,39
157,2,4:18.0,,H. Whiteside misses 2-pt layup from 2 ft,41,39
158,2,4:17.0,Defensive rebound by G. Hayward,,41,39
159,2,4:08.0,G. Hayward makes 2-pt jump shot from 6 ft,,43,39
160,2,3:53.0,,J. Richardson makes 2-pt layup from 2 ft,43,41
161,2,3:31.0,R. Hood makes 2-pt jump shot from 18 ft,,45,41
162,2,3:16.0,,T. Johnson misses 2-pt jump shot from 20 ft,45,41
163,2,3:15.0,Defensive rebound by J. Johnson,,45,41
164,2,3:09.0,Offensive foul by R. Gobert (drawn by H. Whiteside),,45,41
165,2,3:09.0,Turnover by R. Gobert (offensive foul),,45,41
166,2,3:09.0,J. Withey enters the game for R. Gobert,,45,41
167,2,2:57.0,,J. Richardson misses 2-pt layup from 3 ft,45,41
168,2,2:56.0,Defensive rebound by J. Johnson,,45,41
