,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SACRAMENTO_ACTION,GOLDEN STATE_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,,D. Cousins makes 2-pt dunk at rim,0,2
1,1,11:42.0,Golden State full timeout,,0,2
2,1,11:30.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by S. Curry),,2,2
3,1,11:14.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by D. Cousins),2,5
4,1,11:06.0,K. Thompson misses 3-pt jump shot from 25 ft,,2,5
5,1,11:06.0,,Defensive rebound by A. Tolliver,2,5
6,1,10:54.0,,D. Cousins misses 3-pt jump shot from 25 ft,2,5
7,1,10:53.0,Defensive rebound by D. Green,,2,5
8,1,10:46.0,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),,4,5
9,1,10:32.0,Violation by Z. Pachulia (def goaltending),,4,5
10,1,10:32.0,,D. Collison makes 2-pt layup from 3 ft,4,7
11,1,10:25.0,Turnover by D. Green (bad pass),,4,7
12,1,10:17.0,,Offensive foul by D. Cousins (drawn by S. Curry),4,7
13,1,10:17.0,,Turnover by D. Cousins (offensive foul),4,7
14,1,9:58.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by K. Durant),,6,7
15,1,9:43.0,,R. Gay makes 2-pt jump shot from 20 ft (assist by D. Cousins),6,9
16,1,9:29.0,K. Thompson misses 3-pt jump shot from 26 ft,,6,9
17,1,9:29.0,,Defensive rebound by Team,6,9
18,1,9:29.0,Loose ball foul by Z. Pachulia (drawn by D. Cousins),,6,9
19,1,9:17.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Cousins),6,12
20,1,9:06.0,Turnover by S. Curry (bad pass; steal by R. Gay),,6,12
21,1,9:03.0,,Turnover by G. Temple (lost ball),6,12
22,1,8:59.0,Turnover by S. Curry (bad pass; steal by D. Cousins),,6,12
23,1,8:45.0,,A. Tolliver misses 2-pt layup from 3 ft,6,12
24,1,8:44.0,Defensive rebound by D. Green,,6,12
25,1,8:38.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,9,12
26,1,8:15.0,,Personal foul by D. Green (drawn by D. Cousins),9,12
27,1,8:00.0,,R. Gay misses 3-pt jump shot from 28 ft,9,12
28,1,8:00.0,,Offensive rebound by Team,9,12
29,1,8:00.0,,Turnover by Team (shot clock),9,12
30,1,7:47.0,S. Curry misses 3-pt jump shot from 26 ft,,9,12
31,1,7:47.0,Offensive rebound by Z. Pachulia,,9,12
32,1,7:41.0,D. Green misses 3-pt jump shot from 25 ft,,9,12
33,1,7:40.0,Offensive rebound by Z. Pachulia,,9,12
34,1,7:35.0,K. Durant makes 2-pt jump shot from 11 ft (assist by Z. Pachulia),,11,12
35,1,7:19.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by D. Collison),11,15
36,1,7:00.0,K. Durant misses 3-pt jump shot from 24 ft,,11,15
37,1,7:00.0,,Defensive rebound by D. Cousins,11,15
38,1,6:49.0,,G. Temple misses 3-pt jump shot from 23 ft,11,15
39,1,6:49.0,Defensive rebound by D. Green,,11,15
40,1,6:38.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,14,15
41,1,6:23.0,,D. Cousins makes 2-pt layup from 1 ft (assist by R. Gay),14,17
42,1,6:08.0,S. Curry misses 2-pt jump shot from 9 ft,,14,17
43,1,6:07.0,,Defensive rebound by D. Cousins,14,17
44,1,6:01.0,,D. Cousins makes 2-pt layup from 2 ft,14,19
45,1,6:01.0,,Shooting foul by Z. Pachulia (drawn by D. Cousins),14,19
46,1,6:01.0,J. McGee enters the game for Z. Pachulia,,14,19
47,1,6:01.0,,D. Cousins makes free throw 1 of 1,14,20
48,1,5:54.0,Shooting block foul by D. Cousins (drawn by K. Durant),,14,20
49,1,5:54.0,K. Durant makes free throw 1 of 2,,15,20
50,1,5:54.0,,K. Koufos enters the game for D. Cousins,15,20
51,1,5:54.0,K. Durant makes free throw 2 of 2,,16,20
52,1,5:40.0,,K. Koufos misses 2-pt hook shot from 4 ft,16,20
53,1,5:39.0,Defensive rebound by D. Green,,16,20
54,1,5:34.0,Turnover by K. Thompson (lost ball; steal by R. Gay),,16,20
55,1,5:27.0,,D. Collison misses 2-pt jump shot from 22 ft,16,20
56,1,5:26.0,,Offensive rebound by K. Koufos,16,20
57,1,5:22.0,,R. Gay makes 2-pt layup from 2 ft (assist by G. Temple),16,22
58,1,5:12.0,D. Green misses 2-pt layup from 3 ft,,16,22
59,1,5:11.0,,Defensive rebound by K. Koufos,16,22
60,1,5:03.0,,D. Collison misses 2-pt jump shot from 3 ft,16,22
61,1,5:01.0,Defensive rebound by K. Durant,,16,22
62,1,4:58.0,Turnover by K. Thompson (bad pass; steal by A. Tolliver),,16,22
63,1,4:53.0,,Sacramento full timeout,16,22
64,1,4:53.0,A. Iguodala enters the game for K. Durant,,16,22
65,1,4:47.0,,Shooting foul by J. McGee (drawn by R. Gay),16,22
66,1,4:47.0,,R. Gay makes free throw 1 of 2,16,23
67,1,4:47.0,,R. Gay makes free throw 2 of 2,16,24
68,1,4:35.0,J. McGee makes 2-pt dunk at rim (assist by D. Green),,18,24
69,1,4:12.0,,R. Gay makes 2-pt layup from 3 ft,18,26
70,1,3:53.0,A. Iguodala makes 2-pt dunk at rim (assist by D. Green),,20,26
71,1,3:40.0,,D. Collison misses 3-pt jump shot from 25 ft,20,26
72,1,3:40.0,Defensive rebound by A. Iguodala,,20,26
73,1,3:30.0,S. Curry makes 2-pt jump shot from 17 ft (assist by A. Iguodala),,22,26
74,1,3:06.0,,R. Gay makes 2-pt jump shot from 19 ft,22,28
75,1,2:54.0,S. Curry misses 2-pt jump shot from 14 ft,,22,28
76,1,2:53.0,,Defensive rebound by R. Gay,22,28
77,1,2:48.0,I. Clark enters the game for K. Thompson,,22,28
78,1,2:48.0,,T. Lawson enters the game for A. Tolliver,22,28
79,1,2:48.0,,M. Barnes enters the game for G. Temple,22,28
80,1,2:48.0,K. Durant enters the game for D. Green,,22,28
81,1,2:33.0,,R. Gay makes 2-pt jump shot from 8 ft,22,30
82,1,2:12.0,A. Iguodala misses 2-pt jump shot from 21 ft,,22,30
83,1,2:11.0,Offensive rebound by J. McGee,,22,30
84,1,2:06.0,Golden State full timeout,,22,30
85,1,2:06.0,D. West enters the game for J. McGee,,22,30
86,1,2:04.0,Shooting foul by R. Gay (drawn by K. Durant),,22,30
87,1,2:04.0,K. Durant makes free throw 1 of 2,,23,30
88,1,2:04.0,K. Durant makes free throw 2 of 2,,24,30
89,1,1:44.0,,R. Gay misses 3-pt jump shot from 25 ft,24,30
90,1,1:43.0,Defensive rebound by A. Iguodala,,24,30
91,1,1:35.0,I. Clark misses 3-pt jump shot from 24 ft,,24,30
92,1,1:34.0,,Defensive rebound by K. Koufos,24,30
93,1,1:17.0,,T. Lawson misses 3-pt jump shot from 25 ft,24,30
94,1,1:16.0,Defensive rebound by D. West,,24,30
95,1,1:02.0,S. Curry misses 3-pt jump shot from 24 ft,,24,30
96,1,1:01.0,,Defensive rebound by Team,24,30
