,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,,E. İlyasova misses 2-pt jump shot from 12 ft,0,0
1,1,11:39.0,,Offensive rebound by T. McConnell,0,0
2,1,11:36.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by T. McConnell),0,3
3,1,11:08.0,K. Walker misses 2-pt jump shot from 21 ft,,0,3
4,1,11:07.0,,Defensive rebound by E. İlyasova,0,3
5,1,10:51.0,,Turnover by J. Embiid (lost ball; steal by M. Kidd-Gilchrist),0,3
6,1,10:46.0,Shooting foul by R. Covington (drawn by M. Kidd-Gilchrist),,0,3
7,1,10:46.0,M. Kidd-Gilchrist makes free throw 1 of 2,,1,3
8,1,10:46.0,M. Kidd-Gilchrist makes free throw 2 of 2,,2,3
9,1,10:35.0,,Shooting foul by C. Zeller (drawn by J. Embiid),2,3
10,1,10:35.0,,J. Embiid makes free throw 1 of 2,2,4
11,1,10:35.0,,J. Embiid makes free throw 2 of 2,2,5
12,1,10:21.0,C. Zeller misses 2-pt layup from 1 ft,,2,5
13,1,10:20.0,,Defensive rebound by R. Covington,2,5
14,1,10:13.0,,N. Stauskas misses 3-pt jump shot from 25 ft,2,5
15,1,10:12.0,Defensive rebound by N. Batum,,2,5
16,1,9:59.0,Turnover by C. Zeller (lost ball; steal by T. McConnell),,2,5
17,1,9:45.0,,E. İlyasova misses 2-pt jump shot from 19 ft,2,5
18,1,9:43.0,Defensive rebound by C. Zeller,,2,5
19,1,9:30.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,2,5
20,1,9:29.0,,Defensive rebound by E. İlyasova,2,5
21,1,9:16.0,,Personal foul by K. Walker (drawn by T. McConnell),2,5
22,1,9:10.0,,J. Embiid misses 2-pt jump shot from 4 ft (block by C. Zeller),2,5
23,1,9:10.0,,Offensive rebound by Team,2,5
24,1,9:08.0,,J. Embiid makes 2-pt layup from 3 ft (assist by T. McConnell),2,7
25,1,8:46.0,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),,4,7
26,1,8:31.0,,T. McConnell misses 2-pt jump shot from 9 ft,4,7
27,1,8:28.0,,Offensive rebound by E. İlyasova,4,7
28,1,8:28.0,,E. İlyasova makes 2-pt layup from 1 ft,4,9
29,1,8:17.0,K. Walker misses 3-pt jump shot from 24 ft,,4,9
30,1,8:15.0,,Defensive rebound by N. Stauskas,4,9
31,1,8:07.0,,J. Embiid misses 3-pt jump shot from 25 ft,4,9
32,1,8:06.0,Defensive rebound by M. Kidd-Gilchrist,,4,9
33,1,8:04.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by T. McConnell),,4,9
34,1,8:00.0,,T. McConnell makes 2-pt layup from 1 ft,4,11
35,1,7:45.0,N. Batum makes 2-pt jump shot from 13 ft,,6,11
36,1,7:27.0,,Turnover by R. Covington (bad pass; steal by K. Walker),6,11
37,1,7:19.0,N. Batum makes 2-pt jump shot from 12 ft,,8,11
38,1,7:19.0,Shooting foul by T. McConnell (drawn by N. Batum),,8,11
39,1,7:19.0,,G. Henderson enters the game for N. Stauskas,8,11
40,1,7:19.0,,N. Noel enters the game for J. Embiid,8,11
41,1,7:19.0,N. Batum makes free throw 1 of 1,,9,11
42,1,7:10.0,,E. İlyasova misses 3-pt jump shot from 26 ft,9,11
43,1,7:08.0,Defensive rebound by M. Kidd-Gilchrist,,9,11
44,1,6:56.0,Shooting foul by G. Henderson (drawn by M. Kidd-Gilchrist),,9,11
45,1,6:56.0,M. Kidd-Gilchrist makes free throw 1 of 2,,10,11
46,1,6:56.0,M. Kidd-Gilchrist makes free throw 2 of 2,,11,11
47,1,6:43.0,,E. İlyasova misses 2-pt jump shot from 5 ft,11,11
48,1,6:41.0,Defensive rebound by M. Kidd-Gilchrist,,11,11
49,1,6:33.0,,Violation by R. Covington (kicked ball),11,11
50,1,6:30.0,K. Walker misses 2-pt jump shot from 5 ft,,11,11
51,1,6:27.0,Offensive rebound by K. Walker,,11,11
52,1,6:25.0,K. Walker misses 2-pt jump shot from 11 ft,,11,11
53,1,6:23.0,Offensive rebound by M. Kidd-Gilchrist,,11,11
54,1,6:21.0,M. Williams misses 3-pt jump shot from 27 ft,,11,11
55,1,6:19.0,,Defensive rebound by G. Henderson,11,11
56,1,6:06.0,,G. Henderson makes 3-pt jump shot from 25 ft (assist by E. İlyasova),11,14
57,1,5:53.0,Shooting foul by R. Covington (drawn by N. Batum),,11,14
58,1,5:53.0,,Philadelphia full timeout,11,14
59,1,5:53.0,N. Batum makes free throw 1 of 3,,12,14
60,1,5:53.0,N. Batum makes free throw 2 of 3,,13,14
61,1,5:53.0,M. Belinelli enters the game for M. Williams,,11,14
62,1,5:53.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,11,14
63,1,5:53.0,,D. Šarić enters the game for R. Covington,11,14
64,1,5:53.0,,N. Stauskas enters the game for E. İlyasova,11,14
65,1,5:53.0,N. Batum makes free throw 3 of 3,,14,14
