,QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
0,1,11:41.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,0
1,1,11:41.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:20.0,D. Carroll misses 3-pt jump shot from 26 ft,,0,0
3,1,11:20.0,,Defensive rebound by J. Leuer,0,0
4,1,11:06.0,,M. Morris misses 2-pt jump shot from 11 ft,0,0
5,1,11:05.0,,Offensive rebound by R. Bullock,0,0
6,1,11:03.0,,R. Bullock makes 2-pt layup from 1 ft,0,2
7,1,10:35.0,D. DeRozan misses 2-pt jump shot from 17 ft,,0,2
8,1,10:35.0,,Defensive rebound by I. Smith,0,2
9,1,10:14.0,,A. Drummond makes 2-pt hook shot from 8 ft,0,4
10,1,10:05.0,Turnover by D. DeRozan (bad pass; steal by R. Bullock),,0,4
11,1,10:00.0,,R. Bullock misses 2-pt layup from 1 ft,0,4
12,1,10:00.0,,Offensive rebound by J. Leuer,0,4
13,1,9:57.0,,J. Leuer makes 2-pt layup at rim,0,6
14,1,9:33.0,D. Carroll misses 2-pt jump shot from 7 ft,,0,6
15,1,9:33.0,Offensive rebound by D. Carroll,,0,6
16,1,9:30.0,D. Carroll makes 2-pt layup at rim,,2,6
17,1,9:11.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Leuer),2,9
18,1,9:02.0,Personal foul by M. Morris (drawn by D. DeRozan),,2,9
19,1,8:53.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),,4,9
20,1,8:38.0,,R. Bullock misses 3-pt jump shot from 26 ft,4,9
21,1,8:38.0,Defensive rebound by S. Ibaka,,4,9
22,1,8:25.0,D. DeRozan misses 2-pt jump shot from 20 ft,,4,9
23,1,8:25.0,,Defensive rebound by J. Leuer,4,9
24,1,8:19.0,,M. Morris misses 2-pt jump shot from 4 ft,4,9
25,1,8:19.0,,Offensive rebound by I. Smith,4,9
26,1,8:13.0,,I. Smith makes 2-pt jump shot from 7 ft,4,11
27,1,7:58.0,J. Valančiūnas misses 2-pt jump shot from 15 ft,,4,11
28,1,7:58.0,,Defensive rebound by I. Smith,4,11
29,1,7:49.0,,Shooting foul by J. Valančiūnas (drawn by A. Drummond),4,11
30,1,7:49.0,,A. Drummond misses free throw 1 of 2,4,11
31,1,7:49.0,,Offensive rebound by Team,4,11
32,1,7:49.0,,A. Drummond misses free throw 2 of 2,4,11
33,1,7:48.0,Defensive rebound by J. Valančiūnas,,4,11
34,1,7:43.0,Toronto full timeout,,4,11
35,1,7:31.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,7,11
36,1,7:11.0,,J. Leuer makes 2-pt jump shot from 18 ft (assist by M. Morris),7,13
37,1,6:48.0,D. Carroll misses 3-pt jump shot from 24 ft,,7,13
38,1,6:48.0,,Defensive rebound by A. Drummond,7,13
39,1,6:34.0,,J. Leuer misses 2-pt jump shot from 13 ft,7,13
40,1,6:34.0,,Offensive rebound by A. Drummond,7,13
41,1,6:30.0,,A. Drummond makes 2-pt layup from 1 ft,7,15
42,1,6:22.0,Personal foul by M. Morris (drawn by D. DeRozan),,7,15
43,1,6:22.0,,S. Johnson enters the game for M. Morris,7,15
44,1,6:14.0,S. Ibaka misses 3-pt jump shot from 26 ft,,7,15
45,1,6:11.0,,Defensive rebound by S. Johnson,7,15
46,1,6:04.0,,I. Smith makes 2-pt layup from 1 ft,7,17
47,1,5:53.0,K. Lowry makes 2-pt layup at rim,,9,17
48,1,5:46.0,,R. Bullock makes 3-pt jump shot from 24 ft (assist by I. Smith),9,20
49,1,5:27.0,D. DeRozan makes 2-pt jump shot from 13 ft (assist by J. Valančiūnas),,11,20
50,1,5:14.0,,Turnover by J. Leuer (bad pass),11,20
51,1,5:14.0,,T. Harris enters the game for J. Leuer,11,20
52,1,5:03.0,D. Carroll misses 3-pt jump shot from 25 ft,,11,20
53,1,5:02.0,,Defensive rebound by T. Harris,11,20
54,1,4:53.0,,I. Smith makes 2-pt layup from 1 ft,11,22
55,1,4:40.0,K. Lowry makes 2-pt layup from 1 ft,,13,22
56,1,4:15.0,,I. Smith makes 2-pt layup at rim (assist by T. Harris),13,24
57,1,3:54.0,Turnover by J. Valančiūnas (3 sec),,13,24
58,1,3:54.0,P. Patterson enters the game for D. Carroll,,13,24
59,1,3:54.0,P. Tucker enters the game for S. Ibaka,,13,24
60,1,3:38.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by S. Johnson),13,27
61,1,3:26.0,K. Lowry misses 2-pt jump shot from 12 ft,,13,27
62,1,3:24.0,,Defensive rebound by A. Drummond,13,27
63,1,3:18.0,,I. Smith misses 2-pt layup at rim,13,27
64,1,3:16.0,,Offensive rebound by A. Drummond,13,27
65,1,3:09.0,,T. Harris makes 2-pt layup at rim (assist by R. Bullock),13,29
66,1,3:05.0,Toronto full timeout,,13,29
67,1,3:05.0,,B. Udrih enters the game for A. Drummond,13,29
68,1,3:05.0,,A. Baynes enters the game for I. Smith,13,29
69,1,3:05.0,C. Joseph enters the game for K. Lowry,,13,29
70,1,2:53.0,P. Patterson makes 2-pt jump shot from 5 ft (assist by J. Valančiūnas),,15,29
71,1,2:30.0,,T. Harris makes 2-pt jump shot from 18 ft (assist by B. Udrih),15,31
72,1,2:08.0,Personal foul by T. Harris (drawn by J. Valančiūnas),,15,31
73,1,2:08.0,,Detroit full timeout,15,31
74,1,2:08.0,J. Poeltl enters the game for J. Valančiūnas,,15,31
75,1,1:58.0,C. Joseph misses 2-pt jump shot from 16 ft,,15,31
76,1,1:58.0,,Defensive rebound by A. Baynes,15,31
77,1,1:50.0,,A. Baynes makes 2-pt dunk at rim (assist by B. Udrih),15,33
78,1,1:33.0,D. DeRozan misses 2-pt jump shot from 16 ft (block by S. Johnson),,15,33
79,1,1:32.0,Offensive rebound by D. DeRozan,,15,33
80,1,1:22.0,Turnover by Team (shot clock),,15,33
81,1,1:01.0,,S. Johnson misses 2-pt jump shot from 17 ft,15,33
82,1,1:01.0,Defensive rebound by D. DeRozan,,15,33
83,1,0:47.0,D. DeRozan misses 2-pt jump shot from 10 ft,,15,33
84,1,0:47.0,,Defensive rebound by A. Baynes,15,33
85,1,0:27.0,,Turnover by S. Johnson (bad pass),15,33
86,1,0:07.0,Personal foul by B. Udrih (drawn by C. Joseph),,15,33
87,1,0:02.0,P. Patterson misses 3-pt jump shot from 25 ft,,15,33
88,1,0:00.0,Offensive rebound by Team,,15,33
89,2,11:45.0,C. Joseph makes 2-pt layup at rim,,17,33
90,2,11:22.0,,Turnover by D. Hilliard (bad pass; steal by P. Patterson),17,33
91,2,11:05.0,C. Joseph misses 3-pt jump shot from 27 ft,,17,33
92,2,11:02.0,,Defensive rebound by D. Hilliard,17,33
93,2,10:59.0,,Personal foul by P. Patterson (drawn by A. Baynes),17,33
94,2,10:48.0,,B. Udrih misses 2-pt layup from 1 ft,17,33
95,2,10:47.0,,Offensive rebound by A. Baynes,17,33
96,2,10:41.0,,T. Harris misses 3-pt jump shot from 26 ft,17,33
97,2,10:40.0,Defensive rebound by P. Tucker,,17,33
98,2,10:29.0,S. Ibaka misses 2-pt hook shot from 6 ft,,17,33
99,2,10:29.0,,Defensive rebound by B. Udrih,17,33
100,2,10:15.0,,B. Udrih misses 2-pt jump shot from 11 ft,17,33
101,2,10:15.0,Defensive rebound by P. Tucker,,17,33
102,2,10:06.0,S. Ibaka misses 3-pt jump shot from 27 ft,,17,33
103,2,10:06.0,,Defensive rebound by B. Udrih,17,33
104,2,9:58.0,,S. Johnson misses 3-pt jump shot from 23 ft,17,33
105,2,9:57.0,Defensive rebound by P. Patterson,,17,33
106,2,9:53.0,K. Lowry misses 2-pt layup from 1 ft (block by T. Harris),,17,33
107,2,9:52.0,Offensive rebound by Team,,17,33
108,2,9:38.0,S. Ibaka misses 2-pt jump shot from 15 ft,,17,33
109,2,9:38.0,,Defensive rebound by B. Udrih,17,33
110,2,9:30.0,,D. Hilliard makes 2-pt dunk at rim (assist by B. Udrih),17,35
111,2,9:12.0,Turnover by K. Lowry (lost ball; steal by D. Hilliard),,17,35
