,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA LAKERS_ACTION,NEW YORK_SCORE,LA LAKERS_SCORE
0,1,11:40.0,C. Anthony makes 2-pt jump shot from 18 ft,,2,0
1,1,11:23.0,,D. Russell misses 2-pt jump shot from 15 ft (block by D. Rose),2,0
2,1,11:23.0,,Offensive rebound by Team,2,0
3,1,11:21.0,,D. Russell misses 2-pt jump shot from 18 ft,2,0
4,1,11:19.0,Defensive rebound by D. Rose,,2,0
5,1,11:15.0,D. Rose makes 2-pt jump shot from 7 ft,,4,0
6,1,10:57.0,,N. Young misses 3-pt jump shot from 25 ft,4,0
7,1,10:56.0,Defensive rebound by J. Noah,,4,0
8,1,10:40.0,Shooting foul by N. Young (drawn by C. Lee),,4,0
9,1,10:40.0,C. Lee makes free throw 1 of 2,,5,0
10,1,10:40.0,C. Lee makes free throw 2 of 2,,6,0
11,1,10:23.0,,T. Mozgov misses 2-pt hook shot from 5 ft,6,0
12,1,10:21.0,,Offensive rebound by N. Young,6,0
13,1,10:18.0,,N. Young makes 2-pt jump shot from 19 ft,6,2
14,1,10:02.0,K. Porziņģis misses 2-pt jump shot from 19 ft,,6,2
15,1,10:01.0,,Defensive rebound by J. Randle,6,2
16,1,9:51.0,,L. Deng makes 3-pt jump shot from 26 ft,6,5
17,1,9:38.0,C. Anthony misses 2-pt jump shot from 21 ft,,6,5
18,1,9:33.0,,Defensive rebound by N. Young,6,5
19,1,9:30.0,,N. Young makes 2-pt jump shot from 18 ft (assist by D. Russell),6,7
20,1,9:19.0,K. Porziņģis makes 2-pt layup from 5 ft (assist by C. Anthony),,8,7
21,1,9:19.0,Shooting foul by T. Mozgov (drawn by K. Porziņģis),,8,7
22,1,9:19.0,K. Porziņģis makes free throw 1 of 1,,9,7
23,1,9:04.0,,D. Russell misses 3-pt jump shot from 26 ft,9,7
24,1,9:02.0,Defensive rebound by K. Porziņģis,,9,7
25,1,8:54.0,D. Rose makes 2-pt jump shot from 12 ft,,11,7
26,1,8:41.0,,J. Randle makes 2-pt hook shot from 8 ft,11,9
27,1,8:28.0,J. Noah makes 2-pt dunk at rim (assist by C. Anthony),,13,9
28,1,8:17.0,,L. Deng makes 3-pt jump shot from 27 ft (assist by D. Russell),13,12
29,1,8:06.0,D. Rose makes 2-pt jump shot from 16 ft (assist by J. Noah),,15,12
30,1,7:51.0,,N. Young misses 3-pt jump shot from 25 ft,15,12
31,1,7:48.0,Defensive rebound by C. Anthony,,15,12
32,1,7:35.0,J. Noah makes 2-pt layup from 1 ft (assist by D. Rose),,17,12
33,1,7:18.0,,J. Randle misses 2-pt layup from 2 ft (block by K. Porziņģis),17,12
34,1,7:15.0,Defensive rebound by C. Anthony,,17,12
35,1,6:55.0,C. Anthony misses 2-pt jump shot from 18 ft,,17,12
36,1,6:53.0,,Defensive rebound by T. Mozgov,17,12
37,1,6:46.0,,L. Deng misses 3-pt jump shot from 25 ft,17,12
38,1,6:44.0,,Offensive rebound by N. Young,17,12
39,1,6:37.0,,N. Young makes 2-pt layup from 1 ft,17,14
