,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHOENIX_ACTION,LA CLIPPERS_SCORE,PHOENIX_SCORE
0,1,11:48.0,Def 3 sec tech foul by T. Chandler,,0,0
1,1,11:48.0,J. Redick makes technical free throw,,1,0
2,1,11:43.0,R. Felton misses 2-pt jump shot from 9 ft,,1,0
3,1,11:40.0,Offensive rebound by D. Jordan,,1,0
4,1,11:40.0,D. Jordan makes 2-pt dunk at rim,,3,0
5,1,11:22.0,,M. Chriss misses 3-pt jump shot from 25 ft,3,0
6,1,11:21.0,Defensive rebound by A. Rivers,,3,0
7,1,11:10.0,Shooting foul by T. Warren (drawn by D. Jordan),,3,0
8,1,11:10.0,D. Jordan misses free throw 1 of 2,,3,0
9,1,11:10.0,Offensive rebound by Team,,3,0
10,1,11:10.0,D. Jordan misses free throw 2 of 2,,3,0
11,1,11:09.0,Offensive rebound by B. Griffin,,3,0
12,1,11:01.0,J. Redick makes 2-pt jump shot from 21 ft,,5,0
13,1,10:44.0,,M. Chriss misses 3-pt jump shot from 26 ft,5,0
14,1,10:44.0,Defensive rebound by D. Jordan,,5,0
15,1,10:36.0,J. Redick misses 2-pt jump shot from 22 ft,,5,0
16,1,10:36.0,,Defensive rebound by T. Chandler,5,0
17,1,10:29.0,,D. Booker misses 2-pt jump shot from 22 ft,5,0
18,1,10:27.0,,Offensive rebound by M. Chriss,5,0
19,1,10:27.0,,M. Chriss misses 2-pt layup from 1 ft,5,0
20,1,10:25.0,Defensive rebound by D. Jordan,,5,0
21,1,10:23.0,Shooting foul by T. Chandler (drawn by B. Griffin),,5,0
22,1,10:23.0,B. Griffin makes free throw 1 of 2,,6,0
23,1,10:23.0,B. Griffin makes free throw 2 of 2,,7,0
24,1,10:04.0,,D. Booker misses 2-pt jump shot from 5 ft,7,0
25,1,10:02.0,,Offensive rebound by M. Chriss,7,0
26,1,10:02.0,,M. Chriss misses 2-pt layup from 2 ft,7,0
27,1,10:01.0,,Offensive rebound by D. Booker,7,0
28,1,9:58.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),7,2
29,1,9:37.0,B. Griffin makes 2-pt hook shot from 3 ft,,9,2
30,1,9:23.0,,E. Bledsoe misses 2-pt jump shot from 21 ft,9,2
31,1,9:23.0,Defensive rebound by D. Jordan,,9,2
32,1,9:18.0,Turnover by R. Felton (bad pass; steal by M. Chriss),,9,2
33,1,9:05.0,,M. Chriss misses 2-pt layup from 2 ft (block by D. Jordan),9,2
34,1,9:04.0,Defensive rebound by D. Jordan,,9,2
35,1,9:04.0,Turnover by D. Jordan (lost ball; steal by M. Chriss),,9,2
36,1,9:00.0,,T. Chandler makes 2-pt layup from 1 ft,9,4
37,1,8:44.0,R. Felton makes 3-pt jump shot from 26 ft (assist by J. Redick),,12,4
38,1,8:32.0,,M. Chriss misses 2-pt hook shot from 3 ft,12,4
39,1,8:31.0,Defensive rebound by D. Jordan,,12,4
40,1,8:27.0,B. Griffin makes 2-pt dunk at rim (assist by J. Redick),,14,4
41,1,8:26.0,,Phoenix full timeout,14,4
42,1,8:09.0,,Shooting foul by D. Jordan (drawn by T. Chandler),14,4
43,1,8:09.0,,T. Chandler makes free throw 1 of 2,14,5
44,1,8:09.0,,T. Chandler misses free throw 2 of 2,14,5
45,1,8:08.0,,Offensive rebound by T. Warren,14,5
46,1,8:00.0,,D. Booker misses 2-pt jump shot from 20 ft,14,5
47,1,7:59.0,Defensive rebound by D. Jordan,,14,5
48,1,7:42.0,J. Redick misses 3-pt jump shot from 26 ft,,14,5
49,1,7:42.0,,Defensive rebound by T. Chandler,14,5
50,1,7:36.0,,E. Bledsoe misses 2-pt jump shot from 19 ft,14,5
51,1,7:35.0,Defensive rebound by R. Felton,,14,5
52,1,7:20.0,R. Felton misses 2-pt jump shot from 22 ft,,14,5
53,1,7:20.0,,Defensive rebound by E. Bledsoe,14,5
54,1,7:15.0,,Shooting foul by A. Rivers (drawn by E. Bledsoe),14,5
55,1,7:15.0,,E. Bledsoe makes free throw 1 of 2,14,6
56,1,7:15.0,,E. Bledsoe makes free throw 2 of 2,14,7
57,1,7:05.0,A. Rivers misses 2-pt jump shot from 20 ft,,14,7
58,1,7:05.0,,Defensive rebound by D. Booker,14,7
59,1,6:56.0,,M. Chriss misses 2-pt layup from 3 ft (block by D. Jordan),14,7
60,1,6:56.0,,Offensive rebound by Team,14,7
61,1,6:51.0,,T. Warren makes 2-pt jump shot from 7 ft (assist by M. Chriss),14,9
62,1,6:51.0,,Shooting foul by A. Rivers (drawn by T. Warren),14,9
63,1,6:51.0,L. Mbah a Moute enters the game for A. Rivers,,14,9
64,1,6:51.0,,T. Warren makes free throw 1 of 1,14,10
65,1,6:38.0,Personal foul by D. Booker (drawn by D. Jordan),,14,10
66,1,6:33.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),,17,10
67,1,6:20.0,,E. Bledsoe makes 2-pt jump shot from 12 ft,17,12
68,1,6:07.0,J. Redick makes 2-pt layup from 1 ft (assist by B. Griffin),,19,12
69,1,5:53.0,,E. Bledsoe makes 2-pt jump shot from 19 ft,19,14
70,1,5:44.0,R. Felton makes 2-pt jump shot from 17 ft,,21,14
71,1,5:31.0,,Turnover by E. Bledsoe (bad pass; steal by D. Jordan),21,14
72,1,5:25.0,J. Redick misses 3-pt jump shot from 29 ft,,21,14
73,1,5:25.0,,Defensive rebound by Team,21,14
74,1,5:15.0,,E. Bledsoe misses 2-pt layup from 2 ft,21,14
75,1,5:14.0,Defensive rebound by D. Jordan,,21,14
76,1,5:02.0,B. Griffin makes 2-pt jump shot from 20 ft,,23,14
77,1,4:49.0,,M. Chriss makes 2-pt dunk at rim (assist by D. Booker),23,16
78,1,4:35.0,D. Jordan makes 2-pt hook shot from 4 ft (assist by B. Griffin),,25,16
79,1,4:22.0,,Turnover by E. Bledsoe (bad pass; steal by L. Mbah a Moute),25,16
80,1,4:18.0,L. Mbah a Moute makes 2-pt dunk from 2 ft,,27,16
81,1,4:03.0,,T. Warren misses 2-pt jump shot from 12 ft (block by D. Jordan),27,16
82,1,4:02.0,Defensive rebound by B. Griffin,,27,16
83,1,3:54.0,L. Mbah a Moute misses 2-pt jump shot from 19 ft,,27,16
84,1,3:54.0,,Defensive rebound by D. Booker,27,16
85,1,3:49.0,,E. Bledsoe misses 2-pt layup from 2 ft,27,16
86,1,3:47.0,,Offensive rebound by D. Booker,27,16
87,1,3:47.0,,D. Booker makes 2-pt layup from 2 ft,27,18
88,1,3:44.0,LA Clippers full timeout,,27,18
89,1,3:44.0,,A. Len enters the game for T. Warren,27,18
90,1,3:44.0,,P. Tucker enters the game for T. Chandler,27,18
91,1,3:44.0,J. Crawford enters the game for J. Redick,,27,18
92,1,3:34.0,B. Griffin makes 2-pt dunk at rim,,29,18
93,1,3:18.0,,Shooting foul by R. Felton (drawn by E. Bledsoe),29,18
94,1,3:18.0,,E. Bledsoe makes 2-pt layup from 3 ft,29,20
95,1,3:18.0,,E. Bledsoe makes free throw 1 of 1,29,21
96,1,3:05.0,Shooting foul by A. Len (drawn by B. Griffin),,29,21
97,1,3:05.0,B. Griffin misses free throw 1 of 2,,29,21
98,1,3:05.0,Offensive rebound by Team,,29,21
99,1,3:05.0,B. Griffin makes free throw 2 of 2,,30,21
100,1,2:52.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by A. Len),30,23
101,1,2:46.0,Turnover by R. Felton (bad pass),,30,23
102,1,2:32.0,,M. Chriss misses 3-pt jump shot from 26 ft,30,23
103,1,2:31.0,Defensive rebound by J. Crawford,,30,23
104,1,2:08.0,J. Crawford makes 2-pt jump shot from 21 ft,,32,23
105,1,1:52.0,,D. Booker misses 2-pt jump shot from 12 ft (block by L. Mbah a Moute),32,23
106,1,1:51.0,Defensive rebound by B. Griffin,,32,23
107,1,1:46.0,B. Griffin makes 2-pt layup from 2 ft,,34,23
108,1,1:31.0,,M. Chriss makes 2-pt jump shot from 16 ft,34,25
109,1,1:20.0,L. Mbah a Moute makes 2-pt dunk at rim (assist by J. Crawford),,36,25
110,1,1:02.0,,E. Bledsoe misses 2-pt jump shot from 20 ft,36,25
111,1,1:01.0,,Offensive rebound by A. Len,36,25
112,1,0:47.0,,A. Len misses 2-pt hook shot from 5 ft,36,25
113,1,0:45.0,,Offensive rebound by P. Tucker,36,25
