,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
0,1,11:36.0,L. Aldridge misses 2-pt jump shot from 19 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Durant,0,0
2,1,11:21.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
3,1,11:21.0,Defensive rebound by T. Parker,,0,0
4,1,11:11.0,T. Parker makes 2-pt layup from 1 ft,,2,0
5,1,10:55.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by Z. Pachulia),2,2
6,1,10:26.0,L. Aldridge makes 2-pt hook shot from 5 ft,,4,2
7,1,10:20.0,,K. Thompson misses 2-pt layup from 2 ft,4,2
8,1,10:19.0,Defensive rebound by P. Gasol,,4,2
9,1,10:06.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Parker),,6,2
10,1,9:52.0,,Turnover by Z. Pachulia (bad pass; steal by K. Leonard),6,2
11,1,9:41.0,K. Leonard misses 3-pt jump shot from 25 ft,,6,2
12,1,9:41.0,,Defensive rebound by K. Durant,6,2
13,1,9:28.0,,D. Green misses 2-pt layup from 2 ft,6,2
14,1,9:28.0,Defensive rebound by L. Aldridge,,6,2
15,1,9:11.0,P. Gasol misses 2-pt jump shot from 18 ft,,6,2
16,1,9:10.0,,Defensive rebound by D. Green,6,2
17,1,9:02.0,,S. Curry misses 3-pt jump shot from 29 ft,6,2
18,1,9:01.0,Defensive rebound by P. Gasol,,6,2
19,1,8:40.0,L. Aldridge makes 2-pt hook shot from 6 ft (assist by P. Gasol),,8,2
20,1,8:32.0,,Shooting foul by P. Gasol (drawn by S. Curry),8,2
21,1,8:32.0,,S. Curry makes free throw 1 of 2,8,3
22,1,8:32.0,,S. Curry makes free throw 2 of 2,8,4
23,1,8:19.0,K. Leonard makes 2-pt layup from 2 ft (assist by T. Parker),,10,4
24,1,8:06.0,,S. Curry makes 3-pt jump shot from 26 ft,10,7
25,1,8:06.0,San Antonio full timeout,,10,7
26,1,7:44.0,T. Parker misses 2-pt jump shot from 20 ft,,10,7
27,1,7:44.0,,Defensive rebound by K. Durant,10,7
28,1,7:26.0,,K. Thompson misses 3-pt jump shot from 25 ft,10,7
29,1,7:26.0,Defensive rebound by L. Aldridge,,10,7
30,1,7:14.0,Turnover by K. Leonard (bad pass; steal by D. Green),,10,7
31,1,7:13.0,,Personal foul by K. Leonard (drawn by D. Green),10,7
32,1,6:59.0,,K. Durant makes 2-pt jump shot from 17 ft,10,9
33,1,6:40.0,Shooting foul by Z. Pachulia (drawn by K. Leonard),,10,9
34,1,6:40.0,K. Leonard makes free throw 1 of 2,,11,9
35,1,6:40.0,K. Leonard makes free throw 2 of 2,,12,9
36,1,6:26.0,,K. Durant makes 2-pt jump shot from 17 ft,12,11
37,1,6:08.0,T. Parker misses 2-pt jump shot from 11 ft,,12,11
38,1,6:08.0,,Defensive rebound by D. Green,12,11
39,1,6:01.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by D. Green),12,14
40,1,5:35.0,P. Gasol misses 2-pt jump shot from 16 ft,,12,14
41,1,5:34.0,,Defensive rebound by K. Durant,12,14
42,1,5:23.0,,K. Thompson misses 3-pt jump shot from 23 ft,12,14
43,1,5:23.0,Defensive rebound by L. Aldridge,,12,14
44,1,5:12.0,L. Aldridge misses 2-pt jump shot from 18 ft,,12,14
45,1,5:11.0,,Defensive rebound by K. Durant,12,14
46,1,5:08.0,,Turnover by S. Curry (bad pass; steal by K. Leonard),12,14
47,1,4:58.0,Turnover by L. Aldridge (bad pass; steal by K. Durant),,12,14
48,1,4:50.0,,K. Thompson misses 2-pt layup from 1 ft,12,14
49,1,4:50.0,Defensive rebound by P. Gasol,,12,14
50,1,4:28.0,K. Leonard misses 2-pt jump shot from 17 ft,,12,14
51,1,4:28.0,,Defensive rebound by S. Curry,12,14
52,1,4:21.0,,Shooting foul by P. Gasol (drawn by S. Curry),12,14
53,1,4:21.0,,S. Curry makes free throw 1 of 2,12,15
54,1,4:21.0,P. Mills enters the game for T. Parker,,12,15
55,1,4:21.0,J. Simmons enters the game for P. Gasol,,12,15
56,1,4:21.0,D. Dedmon enters the game for K. Anderson,,12,15
57,1,4:21.0,,A. Iguodala enters the game for K. Durant,12,15
58,1,4:21.0,,I. Clark enters the game for K. Thompson,12,15
59,1,4:21.0,,S. Curry makes free throw 2 of 2,12,16
60,1,4:08.0,P. Mills misses 2-pt jump shot from 19 ft,,12,16
61,1,4:07.0,Offensive rebound by D. Dedmon,,12,16
62,1,3:49.0,J. Simmons makes 2-pt jump shot from 6 ft (assist by L. Aldridge),,14,16
63,1,3:30.0,,I. Clark misses 3-pt jump shot from 24 ft,14,16
64,1,3:29.0,Defensive rebound by P. Mills,,14,16
65,1,3:25.0,J. Simmons makes 2-pt layup from 1 ft (assist by P. Mills),,16,16
66,1,3:17.0,,Turnover by S. Curry (lost ball; steal by P. Mills),16,16
67,1,3:10.0,P. Mills misses 2-pt layup from 2 ft,,16,16
68,1,3:10.0,Offensive rebound by K. Leonard,,16,16
69,1,3:10.0,K. Leonard misses 2-pt layup from 1 ft,,16,16
70,1,3:10.0,Offensive rebound by L. Aldridge,,16,16
71,1,3:10.0,L. Aldridge makes 2-pt layup from 1 ft,,18,16
72,1,3:10.0,,Golden State full timeout,18,16
73,1,3:10.0,M. Ginóbili enters the game for L. Aldridge,,18,16
74,1,3:10.0,D. Lee enters the game for K. Leonard,,18,16
75,1,3:10.0,,D. West enters the game for Z. Pachulia,18,16
76,1,2:58.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),18,18
77,1,2:38.0,Turnover by D. Lee (bad pass; steal by D. West),,18,18
78,1,2:23.0,,S. Curry misses 3-pt jump shot from 28 ft,18,18
79,1,2:23.0,Defensive rebound by M. Ginóbili,,18,18
80,1,2:14.0,M. Ginóbili makes 3-pt jump shot from 27 ft,,21,18
81,1,2:01.0,,S. Curry misses 2-pt jump shot from 22 ft,21,18
82,1,2:00.0,Defensive rebound by D. Lee,,21,18
83,1,1:47.0,Shooting foul by D. West (drawn by D. Lee),,21,18
84,1,1:47.0,D. Lee makes free throw 1 of 2,,22,18
85,1,1:47.0,,S. Livingston enters the game for S. Curry,22,18
86,1,1:47.0,,K. Durant enters the game for D. Green,22,18
87,1,1:47.0,D. Lee makes free throw 2 of 2,,23,18
88,1,1:28.0,,D. West makes 2-pt layup at rim (assist by A. Iguodala),23,20
89,1,1:19.0,D. Lee misses 2-pt layup from 2 ft (block by K. Durant),,23,20
90,1,1:18.0,Offensive rebound by Team,,23,20
91,1,1:13.0,M. Ginóbili misses 2-pt jump shot from 18 ft,,23,20
92,1,1:13.0,Offensive rebound by J. Simmons,,23,20
93,1,1:10.0,D. Dedmon misses 2-pt dunk at rim,,23,20
94,1,1:09.0,Offensive rebound by D. Lee,,23,20
95,1,1:08.0,D. Lee makes 2-pt layup from 2 ft,,25,20
96,1,0:54.0,,K. Durant misses 2-pt jump shot from 14 ft,25,20
97,1,0:54.0,Defensive rebound by D. Dedmon,,25,20
98,1,0:43.0,D. Dedmon misses 2-pt layup from 1 ft (block by K. Durant),,25,20
99,1,0:42.0,,Defensive rebound by S. Livingston,25,20
100,1,0:32.0,,I. Clark misses 3-pt jump shot from 23 ft,25,20
101,1,0:31.0,Defensive rebound by M. Ginóbili,,25,20
102,1,0:09.0,P. Mills makes 3-pt jump shot from 26 ft (assist by J. Simmons),,28,20
103,1,0:07.0,,Turnover by D. West (bad pass; steal by M. Ginóbili),28,20
104,1,0:03.0,J. Simmons makes 3-pt jump shot from 26 ft (assist by D. Lee),,31,20
105,1,0:00.0,,S. Livingston misses 3-pt jump shot from 69 ft,31,20
106,1,0:00.0,,Offensive rebound by Team,31,20
107,2,11:45.0,,K. Thompson misses 2-pt jump shot from 17 ft,31,20
108,2,11:44.0,Defensive rebound by D. Lee,,31,20
109,2,11:32.0,P. Mills misses 3-pt jump shot from 24 ft,,31,20
110,2,11:32.0,Offensive rebound by D. Dedmon,,31,20
111,2,11:20.0,D. Lee misses 2-pt jump shot from 10 ft,,31,20
112,2,11:20.0,Offensive rebound by D. Lee,,31,20
113,2,11:18.0,Turnover by D. Lee (bad pass; steal by K. Durant),,31,20
114,2,11:09.0,,Turnover by A. Iguodala (lost ball; steal by P. Mills),31,20
115,2,10:51.0,J. Simmons makes 2-pt jump shot from 17 ft,,33,20
116,2,10:33.0,,Turnover by D. West (bad pass),33,20
117,2,10:16.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,33,20
118,2,10:15.0,,Defensive rebound by K. Durant,33,20
119,2,10:06.0,,S. Livingston makes 2-pt jump shot from 15 ft,33,22
120,2,9:59.0,,Z. Pachulia enters the game for D. West,33,22
121,2,9:59.0,L. Aldridge enters the game for D. Lee,,33,22
122,2,9:56.0,L. Aldridge misses 2-pt jump shot from 19 ft,,33,22
123,2,9:55.0,,Defensive rebound by K. Durant,33,22
124,2,9:52.0,,Shooting foul by J. Simmons (drawn by K. Durant),33,22
125,2,9:52.0,,K. Durant misses free throw 1 of 2,33,22
126,2,9:52.0,,Offensive rebound by Team,33,22
127,2,9:52.0,,K. Durant makes free throw 2 of 2,33,23
128,2,9:30.0,J. Simmons makes 3-pt jump shot from 25 ft (assist by P. Mills),,36,23
129,2,9:20.0,,Personal foul by D. Dedmon (drawn by Z. Pachulia),36,23
130,2,9:20.0,K. Leonard enters the game for M. Ginóbili,,36,23
131,2,9:07.0,,A. Iguodala misses 3-pt jump shot from 24 ft,36,23
132,2,9:06.0,Defensive rebound by J. Simmons,,36,23
133,2,8:51.0,L. Aldridge misses 2-pt jump shot from 12 ft,,36,23
134,2,8:50.0,,Defensive rebound by Z. Pachulia,36,23
135,2,8:35.0,,K. Thompson makes 2-pt jump shot from 16 ft,36,25
136,2,8:17.0,Shooting foul by K. Durant (drawn by K. Leonard),,36,25
137,2,8:17.0,Official timeout,,36,25
138,2,8:17.0,K. Leonard makes free throw 1 of 2,,37,25
139,2,8:17.0,P. Gasol enters the game for P. Mills,,36,25
140,2,8:17.0,K. Anderson enters the game for J. Simmons,,36,25
141,2,8:17.0,T. Parker enters the game for D. Dedmon,,36,25
142,2,8:17.0,,S. Curry enters the game for K. Thompson,36,25
143,2,8:17.0,,D. Green enters the game for A. Iguodala,36,25
