,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,11:33.0,K. Lowry misses 3-pt jump shot from 23 ft,,0,0
1,1,11:32.0,,Defensive rebound by N. Batum,0,0
2,1,11:19.0,,M. Williams misses 3-pt jump shot from 24 ft,0,0
3,1,11:17.0,,Offensive rebound by N. Batum,0,0
4,1,11:17.0,,N. Batum misses 2-pt layup from 1 ft,0,0
5,1,11:15.0,Defensive rebound by J. Valančiūnas,,0,0
6,1,11:05.0,D. DeRozan makes 2-pt layup from 1 ft,,2,0
7,1,10:49.0,,M. Williams misses 2-pt layup from 1 ft,2,0
8,1,10:48.0,Defensive rebound by D. Carroll,,2,0
9,1,10:35.0,J. Valančiūnas makes 2-pt layup from 2 ft,,4,0
10,1,10:23.0,,M. Williams misses 3-pt jump shot from 25 ft,4,0
11,1,10:22.0,Defensive rebound by D. Carroll,,4,0
12,1,10:17.0,P. Siakam misses 2-pt layup at rim,,4,0
13,1,10:16.0,,Defensive rebound by K. Walker,4,0
14,1,10:08.0,,K. Walker makes 2-pt layup from 1 ft,4,2
15,1,9:41.0,D. DeRozan misses 2-pt jump shot from 14 ft,,4,2
16,1,9:40.0,,Defensive rebound by C. Zeller,4,2
17,1,9:30.0,,K. Walker makes 2-pt jump shot from 19 ft,4,4
18,1,9:08.0,J. Valančiūnas misses 2-pt jump shot from 19 ft,,4,4
19,1,9:07.0,,Defensive rebound by M. Williams,4,4
20,1,8:51.0,,Personal foul by K. Lowry (drawn by C. Zeller),4,4
21,1,8:38.0,,T. Graham makes 2-pt jump shot from 11 ft,4,6
22,1,8:17.0,P. Siakam misses 2-pt jump shot from 8 ft,,4,6
23,1,8:16.0,,Defensive rebound by C. Zeller,4,6
24,1,8:04.0,,K. Walker makes 3-pt jump shot from 28 ft (assist by N. Batum),4,9
25,1,7:43.0,Shooting foul by C. Zeller (drawn by D. DeRozan),,4,9
26,1,7:43.0,D. DeRozan makes free throw 1 of 2,,5,9
27,1,7:43.0,D. DeRozan makes free throw 2 of 2,,6,9
28,1,7:29.0,,C. Zeller makes 2-pt jump shot from 18 ft (assist by T. Graham),6,11
29,1,7:15.0,D. Carroll makes 2-pt jump shot from 21 ft (assist by K. Lowry),,8,11
30,1,6:59.0,,N. Batum misses 2-pt jump shot from 20 ft,8,11
31,1,6:58.0,,Offensive rebound by C. Zeller,8,11
32,1,6:55.0,,Shooting foul by P. Siakam (drawn by C. Zeller),8,11
33,1,6:55.0,,C. Zeller makes free throw 1 of 2,8,12
34,1,6:55.0,,C. Zeller makes free throw 2 of 2,8,13
35,1,6:45.0,D. DeRozan makes 2-pt jump shot from 18 ft (assist by K. Lowry),,10,13
36,1,6:33.0,,Turnover by N. Batum (traveling),10,13
37,1,6:19.0,P. Siakam misses 2-pt jump shot from 17 ft,,10,13
38,1,6:17.0,,Defensive rebound by M. Williams,10,13
39,1,5:58.0,,Shooting foul by P. Siakam (drawn by K. Walker),10,13
40,1,5:58.0,,Charlotte full timeout,10,13
41,1,5:58.0,,K. Walker misses free throw 1 of 2,10,13
42,1,5:58.0,,Offensive rebound by Team,10,13
43,1,5:58.0,P. Patterson enters the game for P. Siakam,,10,13
44,1,5:58.0,,R. Hibbert enters the game for C. Zeller,10,13
45,1,5:58.0,,K. Walker makes free throw 2 of 2,10,14
46,1,5:44.0,Personal foul by N. Batum (drawn by D. Carroll),,10,14
47,1,5:36.0,D. DeRozan makes 2-pt jump shot from 15 ft,,12,14
48,1,5:36.0,Shooting foul by T. Graham (drawn by D. DeRozan),,12,14
49,1,5:36.0,D. DeRozan makes free throw 1 of 1,,13,14
50,1,5:17.0,,R. Hibbert misses 2-pt hook shot from 9 ft,13,14
51,1,5:16.0,Defensive rebound by K. Lowry,,13,14
52,1,5:08.0,Def 3 sec tech foul by R. Hibbert,,13,14
53,1,5:08.0,D. DeRozan makes technical free throw,,14,14
54,1,5:08.0,,M. Belinelli enters the game for M. Williams,14,14
55,1,5:08.0,,F. Kaminsky enters the game for T. Graham,14,14
56,1,5:00.0,Shooting foul by F. Kaminsky (drawn by D. Carroll),,14,14
57,1,5:00.0,D. Carroll makes free throw 1 of 2,,15,14
58,1,5:00.0,D. Carroll makes free throw 2 of 2,,16,14
59,1,4:48.0,,R. Hibbert makes 2-pt jump shot from 17 ft (assist by N. Batum),16,16
60,1,4:31.0,D. Carroll misses 3-pt jump shot from 26 ft,,16,16
61,1,4:30.0,,Defensive rebound by M. Belinelli,16,16
62,1,4:18.0,,N. Batum misses 2-pt jump shot from 15 ft,16,16
63,1,4:17.0,Defensive rebound by J. Valančiūnas,,16,16
64,1,4:07.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,18,16
65,1,3:53.0,,R. Hibbert misses 2-pt layup from 2 ft,18,16
66,1,3:52.0,,Offensive rebound by R. Hibbert,18,16
67,1,3:50.0,,Turnover by R. Hibbert (lost ball; steal by K. Lowry),18,16
68,1,3:46.0,Shooting foul by K. Walker (drawn by J. Valančiūnas),,18,16
69,1,3:46.0,J. Valančiūnas makes free throw 1 of 2,,19,16
70,1,3:46.0,J. Valančiūnas makes free throw 2 of 2,,20,16
71,1,3:36.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,20,16
72,1,3:34.0,Defensive rebound by K. Lowry,,20,16
73,1,3:24.0,J. Valančiūnas makes 2-pt dunk at rim (assist by D. Carroll),,22,16
74,1,3:17.0,,Charlotte full timeout,22,16
75,1,3:17.0,C. Joseph enters the game for J. Valančiūnas,,22,16
76,1,3:17.0,L. Nogueira enters the game for K. Lowry,,22,16
77,1,3:02.0,,N. Batum misses 3-pt jump shot from 29 ft,22,16
78,1,3:01.0,Defensive rebound by P. Patterson,,22,16
79,1,2:55.0,D. DeRozan makes 2-pt jump shot from 16 ft,,24,16
80,1,2:41.0,,Shooting foul by L. Nogueira (drawn by K. Walker),24,16
81,1,2:41.0,,K. Walker makes free throw 1 of 2,24,17
82,1,2:41.0,,K. Walker makes free throw 2 of 2,24,18
83,1,2:27.0,D. DeRozan misses 2-pt jump shot from 17 ft,,24,18
84,1,2:26.0,,Defensive rebound by K. Walker,24,18
85,1,2:15.0,,N. Batum misses 2-pt jump shot from 13 ft,24,18
86,1,2:15.0,,Offensive rebound by Team,24,18
87,1,2:15.0,Loose ball foul by C. Joseph (drawn by R. Hibbert),,24,18
88,1,2:15.0,,R. Hibbert makes free throw 1 of 2,24,19
89,1,2:15.0,,R. Sessions enters the game for K. Walker,24,19
90,1,2:15.0,,R. Hibbert makes free throw 2 of 2,24,20
91,1,2:02.0,D. Carroll makes 2-pt jump shot from 14 ft (assist by C. Joseph),,26,20
92,1,1:39.0,,F. Kaminsky misses 2-pt jump shot from 5 ft (block by L. Nogueira),26,20
93,1,1:36.0,,Offensive rebound by N. Batum,26,20
94,1,1:36.0,,N. Batum makes 2-pt layup from 1 ft,26,22
95,1,1:22.0,C. Joseph misses 2-pt jump shot from 19 ft,,26,22
96,1,1:20.0,,Defensive rebound by N. Batum,26,22
