,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:36.0,I. Smith makes 3-pt jump shot from 24 ft (assist by A. Drummond),,3,0
1,1,11:21.0,,B. Lopez makes 2-pt dunk at rim (assist by R. Hollis-Jefferson),3,2
2,1,11:01.0,A. Drummond misses 2-pt hook shot from 4 ft,,3,2
3,1,11:00.0,,Defensive rebound by B. Lopez,3,2
4,1,10:55.0,,Personal foul by T. Harris (drawn by J. Lin),3,2
5,1,10:50.0,,J. Lin makes 2-pt layup from 2 ft,3,4
6,1,10:30.0,M. Morris makes 2-pt jump shot from 9 ft,,5,4
7,1,10:19.0,,J. Lin makes 2-pt jump shot from 7 ft,5,6
8,1,10:06.0,Turnover by A. Drummond (lost ball; steal by R. Hollis-Jefferson),,5,6
9,1,10:01.0,,Turnover by J. Lin (traveling),5,6
10,1,9:51.0,I. Smith misses 2-pt jump shot from 7 ft,,5,6
11,1,9:50.0,,Defensive rebound by T. Booker,5,6
12,1,9:42.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Booker),5,9
13,1,9:18.0,Turnover by I. Smith (bad pass; steal by T. Booker),,5,9
14,1,9:08.0,,B. Lopez makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),5,11
15,1,9:01.0,Detroit full timeout,,5,11
16,1,8:55.0,Personal foul by B. Bogdanović (drawn by K. Caldwell-Pope),,5,11
17,1,8:47.0,A. Drummond misses 2-pt hook shot from 6 ft,,5,11
18,1,8:46.0,,Defensive rebound by R. Hollis-Jefferson,5,11
19,1,8:37.0,,B. Lopez makes 2-pt layup from 4 ft,5,13
20,1,8:37.0,,Shooting foul by M. Morris (drawn by B. Lopez),5,13
21,1,8:37.0,,B. Lopez makes free throw 1 of 1,5,14
22,1,8:19.0,M. Morris makes 2-pt jump shot from 13 ft,,7,14
23,1,8:07.0,,T. Booker makes 2-pt layup from 1 ft,7,16
