,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
0,1,11:49.0,,Turnover by B. Diaw (bad pass; steal by M. Williams),0,0
1,1,11:45.0,Turnover by K. Walker (lost ball),,0,0
2,1,11:29.0,,Turnover by J. Ingles (bad pass; steal by M. Kidd-Gilchrist),0,0
3,1,11:17.0,F. Kaminsky makes 2-pt jump shot from 7 ft (assist by N. Batum),,2,0
4,1,10:57.0,,B. Diaw misses 2-pt jump shot from 23 ft,2,0
5,1,10:56.0,Defensive rebound by F. Kaminsky,,2,0
6,1,10:42.0,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by K. Walker),,5,0
7,1,10:27.0,,G. Hayward misses 3-pt jump shot from 25 ft,5,0
8,1,10:27.0,Defensive rebound by M. Williams,,5,0
9,1,10:08.0,M. Williams misses 3-pt jump shot from 26 ft,,5,0
10,1,10:07.0,,Defensive rebound by J. Ingles,5,0
11,1,10:00.0,,Turnover by J. Ingles (step out of bounds),5,0
12,1,9:44.0,F. Kaminsky makes 2-pt layup from 3 ft,,7,0
13,1,9:31.0,,G. Hill makes 3-pt jump shot from 24 ft (assist by R. Gobert),7,3
14,1,9:06.0,N. Batum makes 2-pt layup from 2 ft,,9,3
15,1,8:51.0,,Turnover by J. Ingles (step out of bounds),9,3
16,1,8:40.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by N. Batum),,12,3
17,1,8:40.0,,Utah full timeout,12,3
18,1,8:28.0,,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Gobert),12,6
19,1,8:10.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by K. Walker),,14,6
20,1,7:54.0,,Turnover by G. Hayward (bad pass; steal by M. Kidd-Gilchrist),14,6
21,1,7:48.0,Turnover by F. Kaminsky (bad pass; steal by R. Gobert),,14,6
22,1,7:29.0,,Turnover by B. Diaw (bad pass; steal by M. Williams),14,6
23,1,7:14.0,M. Williams makes 2-pt jump shot from 5 ft,,16,6
24,1,6:59.0,,T. Lyles enters the game for B. Diaw,16,6
25,1,6:59.0,,D. Favors enters the game for R. Gobert,16,6
26,1,6:59.0,,A. Burks enters the game for J. Ingles,16,6
27,1,6:49.0,,A. Burks misses 3-pt jump shot from 23 ft,16,6
28,1,6:49.0,,Offensive rebound by T. Lyles,16,6
29,1,6:43.0,,G. Hayward makes 2-pt jump shot from 18 ft (assist by D. Favors),16,8
30,1,6:25.0,K. Walker misses 3-pt jump shot from 25 ft,,16,8
31,1,6:25.0,,Defensive rebound by G. Hayward,16,8
32,1,6:20.0,,Shooting foul by F. Kaminsky (drawn by G. Hayward),16,8
33,1,6:20.0,,G. Hayward makes free throw 1 of 2,16,9
34,1,6:20.0,,G. Hayward makes free throw 2 of 2,16,10
35,1,6:05.0,N. Batum misses 3-pt jump shot from 25 ft,,16,10
36,1,6:04.0,,Defensive rebound by T. Lyles,16,10
37,1,5:55.0,,G. Hill makes 2-pt jump shot from 13 ft,16,12
38,1,5:46.0,Charlotte full timeout,,16,12
39,1,5:46.0,J. Lamb enters the game for N. Batum,,16,12
40,1,5:35.0,J. Lamb makes 2-pt jump shot from 3 ft (assist by F. Kaminsky),,18,12
41,1,5:35.0,Shooting foul by A. Burks (drawn by J. Lamb),,18,12
42,1,5:35.0,J. Lamb misses free throw 1 of 1,,18,12
43,1,5:35.0,,Defensive rebound by T. Lyles,18,12
44,1,5:15.0,,Turnover by T. Lyles (bad pass),18,12
45,1,5:00.0,M. Williams misses 2-pt jump shot from 12 ft,,18,12
46,1,5:00.0,,Defensive rebound by T. Lyles,18,12
47,1,4:38.0,,A. Burks misses 3-pt jump shot from 23 ft,18,12
48,1,4:38.0,Defensive rebound by M. Kidd-Gilchrist,,18,12
49,1,4:21.0,K. Walker misses 2-pt jump shot from 14 ft,,18,12
50,1,4:20.0,,Defensive rebound by G. Hayward,18,12
51,1,4:10.0,,Shooting foul by F. Kaminsky (drawn by A. Burks),18,12
52,1,4:10.0,,A. Burks makes free throw 1 of 2,18,13
53,1,4:10.0,,A. Burks misses free throw 2 of 2,18,13
54,1,4:10.0,M. Plumlee enters the game for F. Kaminsky,,18,13
55,1,4:10.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,18,13
56,1,4:10.0,,R. Gobert enters the game for D. Favors,18,13
57,1,4:10.0,,D. Exum enters the game for G. Hill,18,13
58,1,4:09.0,Defensive rebound by M. Belinelli,,18,13
59,1,4:00.0,Shooting foul by T. Lyles (drawn by J. Lamb),,18,13
60,1,4:00.0,J. Lamb makes free throw 1 of 2,,19,13
61,1,4:00.0,J. Lamb makes free throw 2 of 2,,20,13
62,1,3:51.0,,G. Hayward misses 2-pt layup from 2 ft,20,13
63,1,3:50.0,Defensive rebound by M. Williams,,20,13
64,1,3:42.0,J. Lamb makes 2-pt jump shot from 6 ft (assist by K. Walker),,22,13
65,1,3:30.0,,Personal foul by K. Walker (drawn by D. Exum),22,13
66,1,3:30.0,B. Roberts enters the game for K. Walker,,22,13
67,1,3:23.0,,A. Burks misses 2-pt jump shot from 5 ft,22,13
68,1,3:23.0,Defensive rebound by M. Plumlee,,22,13
69,1,3:10.0,B. Roberts makes 2-pt jump shot from 12 ft,,24,13
70,1,2:46.0,,G. Hayward makes 2-pt jump shot from 7 ft,24,15
71,1,2:37.0,Offensive foul by M. Williams (drawn by D. Exum),,24,15
72,1,2:37.0,Turnover by M. Williams (offensive foul),,24,15
73,1,2:37.0,,J. Johnson enters the game for G. Hayward,24,15
74,1,2:37.0,M. Kidd-Gilchrist enters the game for M. Williams,,24,15
75,1,2:19.0,,Shooting foul by M. Kidd-Gilchrist (drawn by T. Lyles),24,15
76,1,2:19.0,,T. Lyles makes free throw 1 of 2,24,16
77,1,2:19.0,,T. Lyles misses free throw 2 of 2,24,16
78,1,2:18.0,Defensive rebound by M. Plumlee,,24,16
79,1,2:09.0,B. Roberts misses 2-pt jump shot from 21 ft,,24,16
80,1,2:09.0,,Defensive rebound by R. Gobert,24,16
81,1,2:00.0,,A. Burks misses 3-pt jump shot from 25 ft,24,16
82,1,2:00.0,Defensive rebound by M. Plumlee,,24,16
83,1,1:49.0,M. Plumlee makes 2-pt hook shot from 7 ft,,26,16
84,1,1:35.0,,D. Exum misses 2-pt layup from 2 ft,26,16
85,1,1:34.0,Defensive rebound by M. Plumlee,,26,16
86,1,1:19.0,M. Plumlee makes 2-pt layup from 2 ft (assist by J. Lamb),,28,16
87,1,1:04.0,,Shooting foul by M. Plumlee (drawn by R. Gobert),28,16
88,1,1:04.0,,R. Gobert makes free throw 1 of 2,28,17
89,1,1:04.0,,J. Ingles enters the game for T. Lyles,28,17
90,1,1:04.0,,R. Gobert makes free throw 2 of 2,28,18
91,1,0:56.0,Personal foul by D. Exum (drawn by B. Roberts),,28,18
92,1,0:42.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,28,18
93,1,0:41.0,,Defensive rebound by R. Gobert,28,18
94,1,0:33.0,,D. Exum makes 2-pt layup from 2 ft,28,20
95,1,0:09.0,B. Roberts misses 2-pt layup from 2 ft,,28,20
96,1,0:08.0,,Defensive rebound by J. Johnson,28,20
97,1,0:02.0,,D. Exum makes 3-pt jump shot from 25 ft (assist by J. Johnson),28,23
98,2,11:48.0,J. Lamb misses 2-pt jump shot from 15 ft,,28,23
99,2,11:48.0,,Defensive rebound by J. Johnson,28,23
100,2,11:26.0,,D. Exum misses 3-pt jump shot from 23 ft,28,23
101,2,11:26.0,,Offensive rebound by A. Burks,28,23
102,2,11:18.0,,A. Burks misses 2-pt jump shot from 17 ft,28,23
103,2,11:17.0,Defensive rebound by M. Belinelli,,28,23
104,2,11:03.0,Turnover by M. Belinelli (bad pass; steal by D. Exum),,28,23
