,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
0,1,11:42.0,,G. Harris misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by D. Collison,,0,0
2,1,11:27.0,Shooting foul by W. Chandler (drawn by D. Cousins),,0,0
3,1,11:27.0,D. Cousins makes free throw 1 of 2,,1,0
4,1,11:27.0,D. Cousins makes free throw 2 of 2,,2,0
5,1,11:14.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by D. Gallinari),2,3
6,1,10:52.0,D. Collison misses 2-pt layup from 3 ft (block by D. Gallinari),,2,3
7,1,10:52.0,Offensive rebound by Team,,2,3
8,1,10:46.0,D. Cousins misses 3-pt jump shot from 26 ft,,2,3
9,1,10:45.0,,Defensive rebound by D. Gallinari,2,3
10,1,10:28.0,,N. Jokić makes 2-pt hook shot from 5 ft,2,5
11,1,10:17.0,M. Barnes misses 3-pt jump shot from 25 ft,,2,5
12,1,10:16.0,,Defensive rebound by D. Gallinari,2,5
13,1,10:09.0,,D. Gallinari misses 3-pt jump shot from 26 ft,2,5
14,1,10:08.0,Defensive rebound by B. McLemore,,2,5
15,1,10:01.0,Turnover by D. Collison (bad pass; steal by N. Jokić),,2,5
16,1,9:49.0,,G. Harris misses 3-pt jump shot from 26 ft,2,5
17,1,9:48.0,Defensive rebound by D. Cousins,,2,5
18,1,9:33.0,D. Cousins makes 2-pt layup from 2 ft,,4,5
19,1,9:15.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by G. Harris),4,8
20,1,8:56.0,B. McLemore misses 2-pt jump shot from 21 ft,,4,8
21,1,8:55.0,,Defensive rebound by W. Chandler,4,8
22,1,8:47.0,,N. Jokić misses 2-pt hook shot from 4 ft,4,8
23,1,8:46.0,Defensive rebound by D. Cousins,,4,8
24,1,8:34.0,Sacramento full timeout,,4,8
25,1,8:25.0,D. Cousins makes 2-pt jump shot from 17 ft (assist by D. Collison),,6,8
26,1,8:06.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by E. Mudiay),6,11
27,1,7:51.0,K. Koufos makes 2-pt hook shot from 3 ft (assist by D. Cousins),,8,11
28,1,7:37.0,,N. Jokić misses 3-pt jump shot from 25 ft,8,11
29,1,7:37.0,Defensive rebound by D. Cousins,,8,11
30,1,7:28.0,D. Cousins misses 2-pt jump shot from 11 ft,,8,11
31,1,7:27.0,,Defensive rebound by N. Jokić,8,11
32,1,7:19.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by N. Jokić),8,14
33,1,7:06.0,D. Collison makes 3-pt jump shot from 25 ft,,11,14
34,1,6:47.0,,W. Chandler misses 3-pt jump shot from 26 ft,11,14
35,1,6:47.0,Defensive rebound by B. McLemore,,11,14
36,1,6:35.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Collison),,14,14
37,1,6:18.0,,G. Harris makes 2-pt layup from 3 ft (assist by N. Jokić),14,16
38,1,5:59.0,D. Collison makes 2-pt layup from 2 ft,,16,16
39,1,5:48.0,,E. Mudiay misses 3-pt jump shot from 26 ft,16,16
40,1,5:48.0,Defensive rebound by M. Barnes,,16,16
41,1,5:43.0,D. Collison makes 2-pt jump shot from 3 ft (assist by M. Barnes),,18,16
42,1,5:42.0,,Denver full timeout,18,16
43,1,5:42.0,,D. Arthur enters the game for W. Chandler,18,16
44,1,5:26.0,,Personal foul by B. McLemore (drawn by G. Harris),18,16
45,1,5:13.0,,D. Gallinari makes 3-pt jump shot from 23 ft (assist by E. Mudiay),18,19
46,1,4:58.0,B. McLemore misses 3-pt jump shot from 26 ft,,18,19
47,1,4:57.0,,Defensive rebound by D. Arthur,18,19
48,1,4:49.0,,Turnover by D. Gallinari (lost ball; steal by M. Barnes),18,19
49,1,4:43.0,M. Barnes misses 2-pt dunk at rim,,18,19
50,1,4:42.0,,Defensive rebound by E. Mudiay,18,19
51,1,4:42.0,,Turnover by D. Arthur (step out of bounds),18,19
52,1,4:29.0,Personal foul by D. Arthur (drawn by D. Cousins),,18,19
53,1,4:23.0,A. Tolliver enters the game for B. McLemore,,18,19
54,1,4:23.0,A. Afflalo enters the game for K. Koufos,,18,19
55,1,4:11.0,D. Collison misses 3-pt jump shot from 25 ft,,18,19
56,1,4:11.0,,Defensive rebound by Team,18,19
57,1,3:57.0,,D. Arthur makes 3-pt jump shot from 25 ft (assist by G. Harris),18,22
58,1,3:44.0,D. Cousins misses 2-pt jump shot from 3 ft (block by D. Arthur),,18,22
59,1,3:44.0,Offensive rebound by Team,,18,22
60,1,3:44.0,,J. Nelson enters the game for E. Mudiay,18,22
61,1,3:40.0,A. Afflalo makes 2-pt jump shot from 5 ft (assist by D. Collison),,20,22
62,1,3:19.0,,N. Jokić misses 2-pt jump shot from 16 ft,20,22
63,1,3:19.0,Defensive rebound by Team,,20,22
64,1,3:19.0,,J. Nurkić enters the game for N. Jokić,20,22
65,1,3:07.0,A. Afflalo makes 2-pt jump shot from 7 ft (assist by A. Tolliver),,22,22
66,1,2:57.0,G. Temple enters the game for M. Barnes,,22,22
67,1,2:43.0,,J. Nurkić makes 2-pt layup from 2 ft,22,24
68,1,2:26.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by G. Temple),,25,24
69,1,2:06.0,,D. Gallinari makes 2-pt layup from 2 ft,25,26
70,1,1:49.0,A. Tolliver misses 3-pt jump shot from 26 ft,,25,26
71,1,1:48.0,,Defensive rebound by J. Nelson,25,26
72,1,1:40.0,,Offensive foul by J. Nurkić (drawn by D. Collison),25,26
73,1,1:40.0,,Turnover by J. Nurkić (offensive foul),25,26
74,1,1:35.0,,W. Barton enters the game for G. Harris,25,26
75,1,1:27.0,D. Collison misses 2-pt jump shot from 17 ft,,25,26
76,1,1:26.0,,Defensive rebound by J. Nurkić,25,26
77,1,1:18.0,,J. Nurkić makes 2-pt dunk at rim (assist by J. Nelson),25,28
78,1,1:00.0,D. Cousins misses 2-pt jump shot from 19 ft,,25,28
79,1,0:59.0,Offensive rebound by G. Temple,,25,28
80,1,0:52.0,A. Afflalo misses 3-pt jump shot from 27 ft,,25,28
81,1,0:51.0,,Defensive rebound by J. Nurkić,25,28
82,1,0:49.0,,Personal foul by A. Afflalo (drawn by D. Arthur),25,28
83,1,0:49.0,,W. Chandler enters the game for D. Gallinari,25,28
84,1,0:49.0,K. Koufos enters the game for D. Cousins,,25,28
85,1,0:39.0,,Turnover by D. Arthur (lost ball; steal by D. Collison),25,28
86,1,0:25.0,D. Collison makes 2-pt jump shot from 16 ft,,27,28
87,1,0:08.0,,Turnover by J. Nelson (bad pass),27,28
88,1,0:08.0,D. Cousins enters the game for K. Koufos,,27,28
89,1,0:05.0,Shooting foul by J. Nelson (drawn by D. Collison),,27,28
90,1,0:05.0,D. Collison makes free throw 1 of 2,,28,28
91,1,0:05.0,K. Koufos enters the game for D. Cousins,,28,28
