,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:36.0,L. Aldridge misses 2-pt jump shot from 14 ft,,0,0
1,1,11:35.0,Offensive rebound by D. Dedmon,,0,0
2,1,11:30.0,D. Green misses 2-pt jump shot from 14 ft,,0,0
3,1,11:29.0,Offensive rebound by L. Aldridge,,0,0
4,1,11:16.0,K. Leonard misses 2-pt jump shot from 17 ft,,0,0
5,1,11:14.0,,Defensive rebound by D. Williams,0,0
6,1,11:04.0,,Personal foul by N. Laprovíttola (drawn by D. Williams),0,0
7,1,10:53.0,,D. Finney-Smith misses 2-pt layup from 1 ft (block by D. Dedmon),0,0
8,1,10:52.0,Defensive rebound by K. Leonard,,0,0
9,1,10:47.0,N. Laprovíttola makes 2-pt layup from 1 ft (assist by K. Leonard),,2,0
10,1,10:33.0,,D. Williams makes 2-pt layup from 1 ft (assist by A. Bogut),2,2
11,1,10:07.0,L. Aldridge misses 2-pt jump shot from 21 ft,,2,2
12,1,10:06.0,,Defensive rebound by D. Williams,2,2
13,1,9:54.0,,H. Barnes makes 2-pt dunk at rim (assist by A. Bogut),2,4
14,1,9:52.0,San Antonio full timeout,,2,4
15,1,9:39.0,Shooting foul by D. Finney-Smith (drawn by K. Leonard),,2,4
16,1,9:39.0,K. Leonard misses free throw 1 of 2,,2,4
17,1,9:39.0,Offensive rebound by Team,,2,4
18,1,9:39.0,K. Leonard makes free throw 2 of 2,,3,4
19,1,9:13.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by A. Bogut),3,7
20,1,8:59.0,K. Leonard makes 2-pt jump shot from 18 ft,,5,7
21,1,8:44.0,,D. Williams misses 3-pt jump shot from 25 ft,5,7
22,1,8:43.0,,Offensive rebound by D. Finney-Smith,5,7
23,1,8:22.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),5,10
24,1,7:53.0,D. Dedmon makes 2-pt jump shot from 19 ft,,7,10
25,1,7:42.0,,D. Williams misses 2-pt jump shot from 14 ft,7,10
26,1,7:41.0,Defensive rebound by N. Laprovíttola,,7,10
27,1,7:20.0,N. Laprovíttola misses 3-pt jump shot from 26 ft,,7,10
28,1,7:19.0,,Defensive rebound by A. Bogut,7,10
29,1,6:59.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Williams),7,13
30,1,6:38.0,D. Green makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,10,13
31,1,6:19.0,,W. Matthews misses 2-pt jump shot from 12 ft,10,13
32,1,6:18.0,Defensive rebound by L. Aldridge,,10,13
33,1,5:56.0,K. Leonard misses 2-pt jump shot from 11 ft,,10,13
34,1,5:56.0,,Defensive rebound by A. Bogut,10,13
35,1,5:56.0,Loose ball foul by N. Laprovíttola (drawn by A. Bogut),,10,13
36,1,5:56.0,,D. Powell enters the game for D. Finney-Smith,10,13
37,1,5:56.0,,D. Harris enters the game for A. Bogut,10,13
38,1,5:56.0,P. Mills enters the game for K. Leonard,,10,13
39,1,5:56.0,D. Lee enters the game for L. Aldridge,,10,13
40,1,5:56.0,D. Bertāns enters the game for D. Dedmon,,10,13
41,1,5:56.0,K. Anderson enters the game for D. Green,,10,13
42,1,5:56.0,J. Simmons enters the game for N. Laprovíttola,,10,13
43,1,5:40.0,,D. Powell misses 2-pt layup from 1 ft (block by D. Lee),10,13
44,1,5:38.0,Defensive rebound by P. Mills,,10,13
45,1,5:31.0,P. Mills makes 2-pt layup from 1 ft,,12,13
46,1,5:13.0,,H. Barnes misses 3-pt jump shot from 24 ft,12,13
47,1,5:13.0,,Offensive rebound by D. Williams,12,13
48,1,5:07.0,,D. Harris misses 3-pt jump shot from 25 ft,12,13
49,1,5:07.0,,Offensive rebound by D. Powell,12,13
50,1,5:00.0,Violation by K. Anderson (kicked ball),,12,13
51,1,4:54.0,,W. Matthews makes 2-pt jump shot from 15 ft (assist by D. Williams),12,15
52,1,4:44.0,J. Simmons misses 2-pt jump shot from 13 ft,,12,15
53,1,4:43.0,Offensive rebound by K. Anderson,,12,15
54,1,4:39.0,K. Anderson makes 2-pt jump shot from 4 ft,,14,15
55,1,4:26.0,,W. Matthews misses 2-pt jump shot from 24 ft,14,15
56,1,4:24.0,Defensive rebound by D. Lee,,14,15
57,1,4:14.0,,Violation by D. Harris (kicked ball),14,15
58,1,4:01.0,P. Mills misses 2-pt jump shot from 14 ft,,14,15
59,1,4:00.0,,Defensive rebound by D. Harris,14,15
60,1,3:45.0,,Turnover by W. Matthews (bad pass; steal by P. Mills),14,15
61,1,3:45.0,,Loose ball foul by D. Williams (drawn by J. Simmons),14,15
62,1,3:45.0,,A. Bogut enters the game for D. Williams,14,15
63,1,3:45.0,,S. Curry enters the game for H. Barnes,14,15
64,1,3:40.0,Turnover by P. Mills (bad pass),,14,15
65,1,3:24.0,,Turnover by D. Powell (traveling),14,15
66,1,3:13.0,Offensive foul by D. Lee (drawn by W. Matthews),,14,15
67,1,3:13.0,Turnover by D. Lee (offensive foul),,14,15
68,1,3:13.0,,Dallas full timeout,14,15
69,1,2:59.0,,D. Harris misses 2-pt layup from 1 ft (block by J. Simmons),14,15
70,1,2:59.0,Defensive rebound by Team,,14,15
71,1,2:41.0,D. Lee misses 2-pt layup from 2 ft,,14,15
72,1,2:39.0,,Defensive rebound by W. Matthews,14,15
73,1,2:23.0,,Offensive foul by A. Bogut (drawn by D. Bertāns),14,15
74,1,2:23.0,,Turnover by A. Bogut (offensive foul),14,15
75,1,2:16.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by K. Anderson),,17,15
76,1,1:50.0,,W. Matthews misses 3-pt jump shot from 25 ft,17,15
77,1,1:49.0,Defensive rebound by D. Lee,,17,15
78,1,1:41.0,Shooting foul by D. Powell (drawn by D. Bertāns),,17,15
79,1,1:41.0,D. Bertāns makes free throw 1 of 2,,18,15
80,1,1:41.0,,H. Barnes enters the game for D. Powell,18,15
81,1,1:41.0,,J. Anderson enters the game for W. Matthews,18,15
82,1,1:41.0,D. Bertāns makes free throw 2 of 2,,19,15
83,1,1:19.0,,Turnover by H. Barnes (lost ball; steal by K. Anderson),19,15
84,1,1:15.0,K. Anderson makes 2-pt layup from 1 ft (assist by P. Mills),,21,15
85,1,1:00.0,,H. Barnes makes 2-pt jump shot from 16 ft,21,17
86,1,0:52.0,P. Mills misses 3-pt jump shot from 24 ft,,21,17
87,1,0:49.0,Offensive rebound by Team,,21,17
88,1,0:44.0,J. Simmons misses 2-pt jump shot from 16 ft,,21,17
89,1,0:43.0,,Defensive rebound by A. Bogut,21,17
90,1,0:23.0,,J. Anderson misses 3-pt jump shot from 25 ft,21,17
91,1,0:22.0,,Offensive rebound by A. Bogut,21,17
92,1,0:15.0,,Offensive foul by J. Anderson (drawn by P. Mills),21,17
93,1,0:15.0,,Turnover by J. Anderson (offensive foul),21,17
94,1,0:15.0,K. Leonard enters the game for K. Anderson,,21,17
95,1,0:15.0,,D. Finney-Smith enters the game for S. Curry,21,17
96,1,0:02.0,K. Leonard misses 2-pt jump shot from 14 ft,,21,17
97,1,0:01.0,,Defensive rebound by D. Finney-Smith,21,17
98,2,11:50.0,,Personal foul by K. Leonard (drawn by S. Curry),21,17
99,2,11:36.0,,J. Anderson misses 3-pt jump shot from 23 ft,21,17
100,2,11:35.0,Defensive rebound by K. Leonard,,21,17
101,2,11:18.0,Shooting block foul by S. Mejri (drawn by D. Dedmon),,21,17
102,2,11:18.0,D. Dedmon makes free throw 1 of 2,,22,17
103,2,11:18.0,D. Dedmon makes free throw 2 of 2,,23,17
104,2,11:05.0,,H. Barnes misses 2-pt jump shot from 18 ft,23,17
105,2,11:04.0,,Offensive rebound by S. Curry,23,17
106,2,11:02.0,,S. Curry misses 2-pt jump shot from 10 ft,23,17
107,2,11:02.0,Defensive rebound by D. Dedmon,,23,17
108,2,10:47.0,K. Leonard misses 2-pt jump shot from 10 ft,,23,17
109,2,10:46.0,,Defensive rebound by H. Barnes,23,17
110,2,10:37.0,,Turnover by D. Williams (bad pass; steal by K. Leonard),23,17
111,2,10:24.0,D. Dedmon misses 2-pt hook shot from 7 ft,,23,17
112,2,10:21.0,Offensive rebound by D. Green,,23,17
113,2,10:18.0,D. Green makes 3-pt jump shot from 23 ft,,26,17
114,2,10:00.0,,S. Curry misses 3-pt jump shot from 24 ft,26,17
115,2,9:59.0,Defensive rebound by D. Dedmon,,26,17
116,2,9:34.0,N. Laprovíttola misses 3-pt jump shot from 24 ft,,26,17
117,2,9:33.0,,Defensive rebound by D. Williams,26,17
118,2,9:19.0,,J. Anderson makes 2-pt hook shot from 8 ft,26,19
119,2,9:08.0,,Violation by S. Curry (kicked ball),26,19
120,2,8:58.0,L. Aldridge makes 2-pt hook shot from 2 ft,,28,19
121,2,8:47.0,,D. Williams misses 2-pt jump shot from 14 ft,28,19
122,2,8:46.0,Defensive rebound by L. Aldridge,,28,19
123,2,8:31.0,L. Aldridge misses 2-pt jump shot from 11 ft,,28,19
124,2,8:29.0,,Defensive rebound by S. Curry,28,19
125,2,8:18.0,,D. Williams misses 3-pt jump shot from 25 ft,28,19
126,2,8:17.0,Defensive rebound by L. Aldridge,,28,19
127,2,8:05.0,K. Leonard misses 2-pt jump shot from 10 ft,,28,19
128,2,8:04.0,Offensive rebound by L. Aldridge,,28,19
129,2,7:58.0,Personal foul by J. Anderson (drawn by L. Aldridge),,28,19
130,2,7:58.0,Official timeout,,28,19
131,2,7:58.0,,D. Harris enters the game for H. Barnes,28,19
132,2,7:58.0,,D. Powell enters the game for D. Williams,28,19
133,2,7:52.0,N. Laprovíttola makes 3-pt jump shot from 25 ft (assist by K. Leonard),,31,19
134,2,7:34.0,,Def 3 sec tech foul by D. Dedmon,31,19
135,2,7:34.0,,S. Curry makes technical free throw,31,20
136,2,7:30.0,,S. Curry misses 2-pt jump shot from 20 ft,31,20
137,2,7:29.0,Defensive rebound by L. Aldridge,,31,20
138,2,7:12.0,Shooting foul by D. Harris (drawn by D. Green),,31,20
139,2,7:12.0,D. Green misses free throw 1 of 2,,31,20
140,2,7:12.0,Offensive rebound by Team,,31,20
141,2,7:12.0,D. Green makes free throw 2 of 2,,32,20
142,2,7:04.0,,Def 3 sec tech foul by D. Green,32,20
143,2,7:04.0,,S. Curry makes technical free throw,32,21
144,2,6:50.0,,D. Powell misses 2-pt layup from 1 ft,32,21
145,2,6:49.0,Defensive rebound by L. Aldridge,,32,21
146,2,6:28.0,D. Dedmon misses 2-pt hook shot from 10 ft,,32,21
147,2,6:27.0,,Defensive rebound by S. Mejri,32,21
148,2,6:13.0,,D. Powell makes 2-pt dunk at rim,32,23
149,2,6:13.0,San Antonio full timeout,,32,23
150,2,6:13.0,,A. Bogut enters the game for D. Powell,32,23
151,2,6:13.0,,W. Matthews enters the game for J. Anderson,32,23
152,2,6:13.0,,H. Barnes enters the game for S. Mejri,32,23
153,2,6:12.0,K. Anderson enters the game for K. Leonard,,32,23
154,2,6:12.0,J. Simmons enters the game for L. Aldridge,,32,23
155,2,6:12.0,D. Lee enters the game for D. Dedmon,,32,23
156,2,6:12.0,P. Mills enters the game for D. Green,,32,23
