,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
0,1,11:39.0,,D. Wade misses 2-pt jump shot from 15 ft,0,0
1,1,11:38.0,,Offensive rebound by R. Lopez,0,0
2,1,11:38.0,,R. Lopez makes 2-pt layup from 1 ft,0,2
3,1,11:17.0,Turnover by D. Green (bad pass; steal by J. Butler),,0,2
4,1,11:01.0,,R. Lopez misses 2-pt layup from 1 ft,0,2
5,1,10:59.0,Defensive rebound by D. Green,,0,2
6,1,10:51.0,K. Thompson misses 2-pt jump shot from 19 ft,,0,2
7,1,10:50.0,,Defensive rebound by J. Butler,0,2
8,1,10:42.0,,R. Lopez misses 2-pt jump shot from 4 ft,0,2
9,1,10:41.0,Defensive rebound by Z. Pachulia,,0,2
10,1,10:24.0,Z. Pachulia makes 2-pt jump shot from 19 ft (assist by D. Green),,2,2
11,1,10:04.0,,B. Portis misses 2-pt jump shot from 18 ft,2,2
12,1,10:01.0,Defensive rebound by D. Green,,2,2
13,1,9:55.0,Z. Pachulia misses 2-pt layup from 2 ft,,2,2
14,1,9:53.0,Offensive rebound by Z. Pachulia,,2,2
15,1,9:53.0,Z. Pachulia misses 2-pt layup from 2 ft,,2,2
16,1,9:52.0,,Defensive rebound by D. Wade,2,2
17,1,9:42.0,,D. Wade misses 2-pt jump shot from 10 ft,2,2
18,1,9:41.0,Defensive rebound by S. Curry,,2,2
19,1,9:35.0,S. Curry misses 2-pt layup from 2 ft,,2,2
20,1,9:34.0,,Defensive rebound by B. Portis,2,2
21,1,9:26.0,,Turnover by D. Wade (bad pass; steal by D. Green),2,2
22,1,9:21.0,K. Thompson makes 2-pt layup from 3 ft (assist by D. Green),,4,2
23,1,9:02.0,,R. Lopez misses 2-pt jump shot from 18 ft,4,2
24,1,9:01.0,Defensive rebound by D. Green,,4,2
25,1,8:54.0,D. Green misses 2-pt layup from 3 ft,,4,2
26,1,8:53.0,,Defensive rebound by B. Portis,4,2
27,1,8:37.0,,J. Grant makes 2-pt jump shot from 20 ft (assist by J. Butler),4,4
28,1,8:20.0,S. Curry makes 2-pt jump shot from 22 ft,,6,4
29,1,8:02.0,,B. Portis misses 2-pt jump shot from 13 ft,6,4
30,1,8:02.0,,Offensive rebound by Team,6,4
31,1,8:02.0,Loose ball foul by Z. Pachulia (drawn by J. Butler),,6,4
32,1,7:48.0,,J. Butler makes 2-pt layup from 3 ft,6,6
33,1,7:33.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Green),,8,6
34,1,7:16.0,,Turnover by D. Wade (bad pass; steal by Z. Pachulia),8,6
35,1,7:09.0,K. Thompson misses 2-pt jump shot from 17 ft,,8,6
36,1,7:09.0,,Defensive rebound by B. Portis,8,6
37,1,6:59.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by J. Butler),8,9
38,1,6:42.0,Turnover by S. Curry (bad pass; steal by J. Grant),,8,9
39,1,6:38.0,,J. Butler misses 2-pt layup from 2 ft,8,9
40,1,6:37.0,,Offensive rebound by B. Portis,8,9
41,1,6:37.0,,B. Portis makes 2-pt layup from 1 ft,8,11
42,1,6:37.0,Golden State full timeout,,8,11
43,1,6:29.0,Def 3 sec tech foul by R. Lopez,,8,11
44,1,6:29.0,S. Curry makes technical free throw,,9,11
45,1,6:16.0,S. Curry makes 2-pt jump shot from 4 ft (assist by D. Green),,11,11
46,1,5:55.0,,J. Butler misses 2-pt jump shot from 15 ft,11,11
47,1,5:54.0,Defensive rebound by P. McCaw,,11,11
48,1,5:42.0,Shooting foul by J. Butler (drawn by D. Green),,11,11
49,1,5:42.0,D. Green makes free throw 1 of 2,,12,11
50,1,5:42.0,,R. Rondo enters the game for J. Grant,12,11
51,1,5:42.0,D. Green makes free throw 2 of 2,,13,11
52,1,5:22.0,,Turnover by R. Rondo (bad pass; steal by S. Curry),13,11
53,1,5:14.0,K. Thompson misses 3-pt jump shot from 25 ft,,13,11
54,1,5:14.0,Offensive rebound by Team,,13,11
55,1,5:14.0,J. McGee enters the game for D. Green,,13,11
56,1,5:14.0,A. Iguodala enters the game for Z. Pachulia,,13,11
57,1,5:11.0,K. Thompson misses 2-pt jump shot from 21 ft,,13,11
58,1,5:09.0,,Defensive rebound by R. Rondo,13,11
59,1,4:59.0,,Shooting foul by P. McCaw (drawn by B. Portis),13,11
60,1,4:59.0,,B. Portis makes free throw 1 of 2,13,12
61,1,4:59.0,,B. Portis makes free throw 2 of 2,13,13
62,1,4:55.0,Personal block foul by R. Rondo (drawn by S. Curry),,13,13
63,1,4:48.0,Shooting foul by D. Wade (drawn by J. McGee),,13,13
64,1,4:48.0,J. McGee makes free throw 1 of 2,,14,13
65,1,4:48.0,,D. Valentine enters the game for D. Wade,14,13
66,1,4:48.0,J. McGee makes free throw 2 of 2,,15,13
67,1,4:27.0,,R. Lopez misses 2-pt jump shot from 5 ft (block by J. McGee),15,13
68,1,4:26.0,Defensive rebound by A. Iguodala,,15,13
69,1,4:25.0,Turnover by K. Thompson (lost ball),,15,13
70,1,4:00.0,,J. Butler misses 2-pt jump shot from 21 ft,15,13
71,1,3:59.0,Defensive rebound by J. McGee,,15,13
72,1,3:49.0,S. Curry misses 2-pt jump shot from 15 ft,,15,13
73,1,3:48.0,,Defensive rebound by B. Portis,15,13
74,1,3:33.0,,J. Butler makes 2-pt jump shot from 6 ft (assist by D. Valentine),15,15
75,1,3:23.0,Golden State full timeout,,15,15
76,1,3:23.0,,N. Mirotić enters the game for B. Portis,15,15
77,1,3:23.0,I. Clark enters the game for K. Thompson,,15,15
78,1,3:21.0,Turnover by A. Iguodala (traveling),,15,15
79,1,3:13.0,,Offensive foul by R. Rondo (drawn by P. McCaw),15,15
80,1,3:13.0,,Turnover by R. Rondo (offensive foul),15,15
81,1,3:00.0,P. McCaw makes 3-pt jump shot from 24 ft (assist by S. Curry),,18,15
82,1,2:40.0,,R. Lopez makes 2-pt hook shot from 5 ft,18,17
83,1,2:35.0,A. Iguodala makes 2-pt dunk at rim (assist by S. Curry),,20,17
84,1,2:33.0,,Chicago full timeout,20,17
85,1,2:16.0,,N. Mirotić misses 2-pt jump shot from 17 ft,20,17
86,1,2:15.0,Defensive rebound by A. Iguodala,,20,17
87,1,2:10.0,A. Iguodala makes 2-pt layup from 1 ft,,22,17
88,1,1:43.0,,Turnover by R. Rondo (bad pass; steal by S. Curry),22,17
89,1,1:38.0,S. Curry misses 3-pt jump shot from 27 ft,,22,17
90,1,1:38.0,Offensive rebound by Team,,22,17
91,1,1:38.0,,Loose ball foul by R. Lopez (drawn by J. McGee),22,17
92,1,1:38.0,,C. Felício enters the game for R. Lopez,22,17
93,1,1:38.0,D. Green enters the game for P. McCaw,,22,17
94,1,1:22.0,Personal foul by R. Rondo (drawn by I. Clark),,22,17
95,1,1:22.0,I. Clark makes free throw 1 of 2,,23,17
96,1,1:22.0,,C. Payne enters the game for R. Rondo,23,17
97,1,1:22.0,I. Clark makes free throw 2 of 2,,24,17
98,1,1:05.0,,Shooting foul by J. McGee (drawn by J. Butler),24,17
99,1,1:05.0,,J. Butler makes free throw 1 of 2,24,18
100,1,1:05.0,,J. Butler makes free throw 2 of 2,24,19
101,1,0:56.0,D. Green misses 2-pt layup from 3 ft,,24,19
102,1,0:56.0,Offensive rebound by Team,,24,19
