,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
0,1,11:45.0,,C. Brewer misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:29.0,Personal foul by J. Harden (drawn by P. Gasol),,0,0
3,1,11:14.0,P. Gasol misses 2-pt jump shot from 17 ft,,0,0
4,1,11:13.0,,Defensive rebound by J. Harden,0,0
5,1,11:04.0,,J. Harden misses 2-pt jump shot from 8 ft,0,0
6,1,11:03.0,,Offensive rebound by J. Harden,0,0
7,1,10:59.0,,R. Anderson misses 3-pt jump shot from 25 ft,0,0
8,1,10:57.0,Defensive rebound by P. Gasol,,0,0
9,1,10:49.0,P. Gasol misses 2-pt jump shot from 16 ft,,0,0
10,1,10:48.0,,Defensive rebound by J. Harden,0,0
11,1,10:45.0,,Turnover by J. Harden (bad pass; steal by K. Leonard),0,0
12,1,10:38.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Green),,2,0
13,1,10:19.0,,C. Capela misses 2-pt jump shot from 6 ft,2,0
14,1,10:18.0,Defensive rebound by Team,,2,0
15,1,9:59.0,L. Aldridge misses 2-pt jump shot from 17 ft,,2,0
16,1,9:59.0,,Defensive rebound by C. Capela,2,0
17,1,9:39.0,,R. Anderson misses 2-pt jump shot from 16 ft,2,0
18,1,9:38.0,,Offensive rebound by C. Capela,2,0
19,1,9:33.0,,C. Capela misses 2-pt layup from 2 ft,2,0
20,1,9:29.0,Defensive rebound by L. Aldridge,,2,0
21,1,9:25.0,T. Parker makes 2-pt layup from 3 ft,,4,0
22,1,9:25.0,Shooting foul by C. Brewer (drawn by T. Parker),,4,0
23,1,9:25.0,T. Parker misses free throw 1 of 1,,4,0
24,1,9:25.0,,Defensive rebound by C. Capela,4,0
25,1,9:09.0,,T. Ariza misses 3-pt jump shot from 26 ft,4,0
26,1,9:08.0,,Offensive rebound by C. Capela,4,0
27,1,9:05.0,,C. Capela misses 2-pt layup from 1 ft,4,0
28,1,9:01.0,,Offensive rebound by C. Capela,4,0
29,1,8:57.0,,C. Capela makes 2-pt layup from 3 ft,4,2
30,1,8:45.0,K. Leonard misses 2-pt jump shot from 13 ft,,4,2
31,1,8:44.0,,Defensive rebound by C. Capela,4,2
32,1,8:36.0,,Shooting foul by D. Green (drawn by T. Ariza),4,2
33,1,8:36.0,,T. Ariza makes free throw 1 of 2,4,3
34,1,8:36.0,,T. Ariza misses free throw 2 of 2,4,3
35,1,8:36.0,Defensive rebound by P. Gasol,,4,3
36,1,8:09.0,D. Green misses 2-pt jump shot from 22 ft,,4,3
37,1,8:08.0,Offensive rebound by Team,,4,3
38,1,8:08.0,Turnover by Team (shot clock),,4,3
39,1,8:05.0,,Personal foul by K. Leonard (drawn by R. Anderson),4,3
40,1,8:01.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by C. Capela),4,6
41,1,7:40.0,K. Leonard makes 2-pt jump shot from 17 ft (assist by P. Gasol),,6,6
42,1,7:34.0,,R. Anderson makes 3-pt jump shot from 29 ft (assist by J. Harden),6,9
43,1,7:13.0,Turnover by D. Green (bad pass; steal by C. Brewer),,6,9
44,1,7:09.0,,J. Harden makes 2-pt layup from 2 ft (assist by C. Brewer),6,11
45,1,7:09.0,San Antonio full timeout,,6,11
46,1,6:58.0,,Offensive charge foul by P. Gasol (drawn by R. Anderson),6,11
47,1,6:58.0,Turnover by P. Gasol (offensive foul),,6,11
48,1,6:58.0,P. Mills enters the game for T. Parker,,6,11
49,1,6:45.0,,Personal foul by L. Aldridge (drawn by R. Anderson),6,11
50,1,6:36.0,,R. Anderson misses 2-pt jump shot from 6 ft (block by D. Green),6,11
51,1,6:32.0,Defensive rebound by P. Gasol,,6,11
52,1,6:25.0,P. Mills misses 3-pt jump shot from 23 ft,,6,11
53,1,6:22.0,,Defensive rebound by J. Harden,6,11
54,1,6:07.0,,C. Brewer misses 3-pt jump shot from 24 ft,6,11
