,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MINNESOTA_ACTION,CLEVELAND_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,B. Rush makes 3-pt jump shot from 24 ft (assist by K. Towns),0,3
1,1,11:26.0,K. Irving misses 2-pt jump shot from 20 ft,,0,3
2,1,11:24.0,Offensive rebound by T. Thompson,,0,3
3,1,11:24.0,T. Thompson makes 2-pt layup from 1 ft,,2,3
4,1,11:05.0,,R. Rubio misses 2-pt jump shot from 21 ft,2,3
5,1,11:04.0,Defensive rebound by T. Thompson,,2,3
6,1,10:53.0,L. James misses 2-pt jump shot from 14 ft,,2,3
7,1,10:52.0,,Defensive rebound by K. Towns,2,3
8,1,10:43.0,,A. Wiggins misses 2-pt jump shot from 18 ft,2,3
9,1,10:42.0,Defensive rebound by C. Frye,,2,3
10,1,10:29.0,K. Irving misses 3-pt jump shot from 24 ft,,2,3
11,1,10:29.0,,Defensive rebound by B. Rush,2,3
12,1,10:18.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),2,5
13,1,9:55.0,I. Shumpert misses 2-pt jump shot from 17 ft,,2,5
14,1,9:53.0,,Defensive rebound by R. Rubio,2,5
15,1,9:42.0,,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),2,7
16,1,9:24.0,I. Shumpert makes 3-pt jump shot from 23 ft (assist by K. Irving),,5,7
17,1,9:02.0,,A. Wiggins makes 2-pt layup at rim (assist by G. Dieng),5,9
18,1,8:53.0,Shooting block foul by K. Towns (drawn by L. James),,5,9
19,1,8:53.0,L. James makes free throw 1 of 2,,6,9
20,1,8:53.0,L. James misses free throw 2 of 2,,6,9
21,1,8:53.0,,Defensive rebound by G. Dieng,6,9
22,1,8:34.0,,K. Towns makes 2-pt dunk from 1 ft,6,11
23,1,8:17.0,K. Irving misses 2-pt layup from 3 ft,,6,11
24,1,8:15.0,Offensive rebound by T. Thompson,,6,11
25,1,8:14.0,Turnover by T. Thompson (lost ball),,6,11
26,1,8:03.0,,Shooting foul by K. Irving (drawn by G. Dieng),6,11
27,1,8:03.0,,G. Dieng makes free throw 1 of 2,6,12
28,1,8:03.0,,G. Dieng makes free throw 2 of 2,6,13
29,1,7:50.0,T. Thompson misses 2-pt layup from 2 ft,,6,13
30,1,7:49.0,,Defensive rebound by K. Towns,6,13
31,1,7:34.0,,K. Towns makes 2-pt layup from 2 ft,6,15
32,1,7:27.0,Cleveland full timeout,,6,15
33,1,7:20.0,C. Frye makes 3-pt jump shot from 24 ft (assist by L. James),,9,15
34,1,7:07.0,,R. Rubio misses 2-pt jump shot from 21 ft,9,15
35,1,7:06.0,Defensive rebound by C. Frye,,9,15
36,1,6:59.0,,Offensive charge foul by L. James (drawn by G. Dieng),9,15
37,1,6:59.0,Turnover by L. James (offensive foul),,9,15
38,1,6:45.0,,A. Wiggins misses 2-pt jump shot from 5 ft,9,15
39,1,6:44.0,,Offensive rebound by G. Dieng,9,15
40,1,6:35.0,,A. Wiggins makes 2-pt jump shot from 13 ft,9,17
41,1,6:18.0,I. Shumpert makes 3-pt jump shot from 23 ft (assist by L. James),,12,17
42,1,5:59.0,,A. Wiggins misses 2-pt jump shot from 7 ft (block by C. Frye),12,17
43,1,5:58.0,,Offensive rebound by A. Wiggins,12,17
44,1,5:57.0,,R. Rubio misses 3-pt jump shot from 24 ft,12,17
45,1,5:56.0,Defensive rebound by C. Frye,,12,17
46,1,5:48.0,K. Irving makes 2-pt jump shot from 12 ft,,14,17
47,1,5:36.0,,Personal foul by I. Shumpert (drawn by R. Rubio),14,17
48,1,5:23.0,,R. Rubio misses 2-pt layup from 3 ft,14,17
49,1,5:22.0,Defensive rebound by T. Thompson,,14,17
50,1,5:06.0,L. James misses 3-pt jump shot from 26 ft,,14,17
51,1,5:04.0,Offensive rebound by C. Frye,,14,17
52,1,4:59.0,I. Shumpert misses 3-pt jump shot from 23 ft,,14,17
53,1,4:58.0,,Defensive rebound by R. Rubio,14,17
54,1,4:52.0,,G. Dieng misses 2-pt layup from 1 ft,14,17
55,1,4:51.0,Defensive rebound by C. Frye,,14,17
56,1,4:44.0,C. Frye makes 3-pt jump shot from 24 ft (assist by I. Shumpert),,17,17
57,1,4:23.0,,G. Dieng misses 2-pt jump shot from 21 ft,17,17
58,1,4:22.0,Defensive rebound by C. Frye,,17,17
59,1,4:14.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,19,17
60,1,4:03.0,,Minnesota full timeout,19,17
61,1,4:03.0,J. Jones enters the game for C. Frye,,19,17
62,1,3:46.0,,Turnover by Team (shot clock),19,17
63,1,3:36.0,K. Irving misses 3-pt jump shot from 25 ft,,19,17
64,1,3:35.0,,Defensive rebound by A. Wiggins,19,17
65,1,3:19.0,,K. Towns makes 2-pt jump shot from 8 ft,19,19
66,1,3:10.0,T. Thompson makes 2-pt layup from 2 ft (assist by K. Irving),,21,19
67,1,3:10.0,Shooting foul by G. Dieng (drawn by T. Thompson),,21,19
68,1,3:10.0,T. Thompson misses free throw 1 of 1,,21,19
69,1,3:10.0,,Defensive rebound by G. Dieng,21,19
70,1,3:10.0,D. Williams enters the game for I. Shumpert,,21,19
71,1,3:10.0,K. Korver enters the game for L. James,,21,19
72,1,3:04.0,,Shooting foul by D. Williams (drawn by A. Wiggins),21,19
73,1,3:04.0,,A. Wiggins makes free throw 1 of 2,21,20
74,1,3:04.0,,N. Bjelica enters the game for G. Dieng,21,20
75,1,3:04.0,,A. Wiggins makes free throw 2 of 2,21,21
76,1,2:53.0,K. Irving misses 2-pt layup from 5 ft (block by K. Towns),,21,21
77,1,2:51.0,,Defensive rebound by R. Rubio,21,21
78,1,2:43.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by R. Rubio),21,24
79,1,2:27.0,D. Williams makes 2-pt layup from 3 ft (assist by K. Korver),,23,24
80,1,2:15.0,,A. Wiggins misses 2-pt jump shot from 15 ft,23,24
81,1,2:14.0,Defensive rebound by K. Korver,,23,24
82,1,2:08.0,Turnover by T. Thompson (lost ball; steal by N. Bjelica),,23,24
83,1,2:04.0,,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),23,26
84,1,1:38.0,D. Williams misses 3-pt jump shot from 25 ft,,23,26
85,1,1:37.0,,Defensive rebound by K. Towns,23,26
86,1,1:28.0,,Turnover by R. Rubio (bad pass; steal by K. Korver),23,26
87,1,1:22.0,Shooting foul by K. Towns (drawn by D. Williams),,23,26
88,1,1:22.0,D. Williams misses free throw 1 of 2,,23,26
89,1,1:22.0,Offensive rebound by Team,,23,26
90,1,1:22.0,C. Frye enters the game for T. Thompson,,23,26
91,1,1:22.0,,S. Muhammad enters the game for A. Wiggins,23,26
92,1,1:22.0,,C. Aldrich enters the game for K. Towns,23,26
93,1,1:22.0,,L. Stephenson enters the game for B. Rush,23,26
94,1,1:22.0,D. Williams makes free throw 2 of 2,,24,26
95,1,1:10.0,,S. Muhammad makes 2-pt jump shot from 7 ft (assist by R. Rubio),24,28
96,1,1:00.0,K. Irving makes 2-pt jump shot from 15 ft,,26,28
97,1,0:47.0,,C. Aldrich misses 2-pt layup at rim,26,28
98,1,0:46.0,,Offensive rebound by R. Rubio,26,28
99,1,0:45.0,,Turnover by R. Rubio (lost ball),26,28
100,1,0:30.0,K. Korver misses 3-pt jump shot from 24 ft,,26,28
101,1,0:29.0,,Defensive rebound by N. Bjelica,26,28
102,1,0:07.0,,L. Stephenson makes 2-pt jump shot from 22 ft (assist by R. Rubio),26,30
103,1,0:01.0,K. Irving misses 2-pt jump shot from 17 ft,,26,30
104,1,0:00.0,Offensive rebound by Team,,26,30
105,2,11:49.0,C. Frye misses 3-pt jump shot from 25 ft,,26,30
106,2,11:49.0,,Defensive rebound by S. Muhammad,26,30
107,2,11:37.0,,S. Muhammad misses 3-pt jump shot from 24 ft,26,30
108,2,11:36.0,Defensive rebound by C. Frye,,26,30
109,2,11:23.0,L. James makes 2-pt layup from 1 ft (assist by C. Frye),,28,30
110,2,11:23.0,Shooting foul by C. Aldrich (drawn by L. James),,28,30
111,2,11:23.0,L. James misses free throw 1 of 1,,28,30
112,2,11:23.0,,Defensive rebound by N. Bjelica,28,30
113,2,11:09.0,,L. Stephenson makes 2-pt jump shot from 18 ft,28,32
114,2,10:54.0,C. Frye makes 2-pt jump shot from 20 ft,,30,32
115,2,10:32.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by S. Muhammad),30,35
116,2,10:13.0,R. Jefferson makes 2-pt dunk at rim (assist by L. James),,32,35
117,2,10:02.0,,Turnover by K. Dunn (bad pass),32,35
118,2,10:02.0,,Minnesota full timeout,32,35
119,2,10:02.0,,A. Wiggins enters the game for L. Stephenson,32,35
120,2,9:48.0,K. Korver makes 3-pt jump shot from 24 ft (assist by L. James),,35,35
121,2,9:26.0,,Offensive foul by C. Aldrich (drawn by L. James),35,35
122,2,9:26.0,,Turnover by C. Aldrich (offensive foul),35,35
123,2,9:15.0,Shooting foul by C. Aldrich (drawn by R. Jefferson),,35,35
124,2,9:15.0,R. Jefferson makes free throw 1 of 2,,36,35
125,2,9:15.0,R. Jefferson misses free throw 2 of 2,,36,35
126,2,9:15.0,,Defensive rebound by N. Bjelica,36,35
127,2,9:08.0,,A. Wiggins makes 2-pt jump shot from 14 ft (assist by K. Dunn),36,37
128,2,8:47.0,Shooting foul by N. Bjelica (drawn by C. Frye),,36,37
129,2,8:47.0,Cleveland full timeout,,36,37
130,2,8:47.0,C. Frye makes free throw 1 of 3,,37,37
131,2,8:47.0,C. Frye makes free throw 2 of 3,,38,37
132,2,8:47.0,,G. Dieng enters the game for C. Aldrich,36,37
133,2,8:47.0,C. Frye makes free throw 3 of 3,,39,37
134,2,8:30.0,,S. Muhammad misses 2-pt jump shot from 3 ft,39,37
135,2,8:29.0,Defensive rebound by L. James,,39,37
136,2,8:23.0,D. Williams makes 2-pt layup at rim (assist by L. James),,41,37
137,2,8:23.0,Shooting foul by A. Wiggins (drawn by D. Williams),,41,37
138,2,8:23.0,D. Williams makes free throw 1 of 1,,42,37
139,2,8:07.0,,A. Wiggins misses 2-pt jump shot from 19 ft,42,37
140,2,8:05.0,Defensive rebound by K. Korver,,42,37
141,2,7:59.0,C. Frye misses 3-pt jump shot from 25 ft,,42,37
142,2,7:57.0,,Defensive rebound by N. Bjelica,42,37
143,2,7:50.0,,K. Dunn misses 2-pt jump shot from 8 ft,42,37
144,2,7:49.0,Defensive rebound by C. Frye,,42,37
145,2,7:44.0,,K. Towns enters the game for N. Bjelica,42,37
146,2,7:44.0,T. Thompson enters the game for C. Frye,,42,37
147,2,7:25.0,L. James misses 2-pt jump shot from 16 ft,,42,37
148,2,7:24.0,,Defensive rebound by K. Dunn,42,37
149,2,7:02.0,,G. Dieng misses 2-pt jump shot from 6 ft,42,37
150,2,7:01.0,Defensive rebound by D. Williams,,42,37
151,2,6:57.0,Turnover by L. James (lost ball),,42,37
152,2,6:40.0,,G. Dieng makes 3-pt jump shot from 23 ft (assist by K. Dunn),42,40
153,2,6:22.0,L. James makes 2-pt layup from 2 ft,,44,40
154,2,6:22.0,Shooting foul by G. Dieng (drawn by L. James),,44,40
155,2,6:22.0,K. Irving enters the game for R. Jefferson,,44,40
156,2,6:22.0,,R. Rubio enters the game for K. Dunn,44,40
157,2,6:22.0,L. James makes free throw 1 of 1,,45,40
158,2,6:12.0,,Shooting foul by K. Korver (drawn by S. Muhammad),45,40
159,2,6:12.0,,S. Muhammad makes 2-pt layup from 2 ft (assist by R. Rubio),45,42
160,2,6:12.0,,S. Muhammad misses free throw 1 of 1,45,42
161,2,6:12.0,Defensive rebound by D. Williams,,45,42
162,2,5:59.0,K. Irving makes 2-pt jump shot from 16 ft,,47,42
163,2,5:47.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),47,44
164,2,5:27.0,D. Williams misses 2-pt layup from 1 ft,,47,44
165,2,5:26.0,Offensive rebound by T. Thompson,,47,44
166,2,5:26.0,T. Thompson makes 2-pt dunk at rim,,49,44
167,2,5:04.0,,Shooting foul by T. Thompson (drawn by S. Muhammad),49,44
168,2,5:04.0,,Minnesota full timeout,49,44
169,2,5:04.0,,S. Muhammad makes free throw 1 of 2,49,45
170,2,5:04.0,I. Shumpert enters the game for D. Williams,,49,44
171,2,5:04.0,C. Frye enters the game for K. Korver,,49,44
172,2,5:04.0,,S. Muhammad misses free throw 2 of 2,49,45
173,2,5:04.0,Defensive rebound by L. James,,49,45
174,2,4:46.0,C. Frye misses 3-pt jump shot from 25 ft,,49,45
175,2,4:45.0,Offensive rebound by C. Frye,,49,45
176,2,4:39.0,Turnover by I. Shumpert (bad pass; steal by S. Muhammad),,49,45
177,2,4:36.0,,Shooting foul by C. Frye (drawn by S. Muhammad),49,45
178,2,4:36.0,,S. Muhammad makes free throw 1 of 2,49,46
179,2,4:36.0,,S. Muhammad makes free throw 2 of 2,49,47
180,2,4:22.0,K. Irving makes 2-pt jump shot from 8 ft (assist by L. James),,51,47
181,2,4:08.0,,A. Wiggins misses 2-pt jump shot from 18 ft,51,47
182,2,4:06.0,Defensive rebound by L. James,,51,47
183,2,4:00.0,K. Irving makes 3-pt jump shot from 27 ft (assist by L. James),,54,47
184,2,3:42.0,,K. Towns misses 3-pt jump shot from 25 ft,54,47
185,2,3:41.0,Defensive rebound by T. Thompson,,54,47
186,2,3:37.0,L. James makes 2-pt layup from 2 ft (assist by T. Thompson),,56,47
187,2,3:17.0,,G. Dieng makes 2-pt layup at rim (assist by K. Towns),56,49
188,2,3:17.0,,Shooting foul by I. Shumpert (drawn by G. Dieng),56,49
189,2,3:17.0,,B. Rush enters the game for S. Muhammad,56,49
190,2,3:17.0,,G. Dieng makes free throw 1 of 1,56,50
191,2,3:02.0,Shooting foul by R. Rubio (drawn by T. Thompson),,56,50
192,2,3:02.0,T. Thompson makes free throw 1 of 2,,57,50
193,2,3:02.0,T. Thompson makes free throw 2 of 2,,58,50
194,2,2:50.0,,A. Wiggins makes 2-pt layup from 1 ft,58,52
195,2,2:39.0,K. Irving misses 3-pt jump shot from 25 ft,,58,52
196,2,2:37.0,Offensive rebound by T. Thompson,,58,52
197,2,2:34.0,L. James makes 2-pt dunk at rim (assist by K. Irving),,60,52
198,2,2:16.0,,B. Rush makes 3-pt jump shot from 22 ft (assist by R. Rubio),60,55
199,2,2:03.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,62,55
200,2,1:40.0,,G. Dieng makes 2-pt dunk at rim (assist by A. Wiggins),62,57
