,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
0,1,11:45.0,N. Young makes 2-pt jump shot from 13 ft (assist by D. Russell),,2,0
1,1,11:29.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by S. Curry),2,2
2,1,11:09.0,J. Randle misses 2-pt jump shot from 9 ft,,2,2
3,1,11:08.0,,Defensive rebound by Team,2,2
4,1,10:58.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),2,5
5,1,10:33.0,B. Ingram misses 2-pt jump shot from 12 ft,,2,5
6,1,10:32.0,Offensive rebound by J. Randle,,2,5
7,1,10:32.0,J. Randle makes 2-pt layup from 1 ft,,4,5
8,1,10:09.0,,W. Matthews misses 2-pt jump shot from 18 ft,4,5
9,1,10:07.0,Defensive rebound by T. Black,,4,5
10,1,9:54.0,D. Russell misses 2-pt jump shot from 15 ft,,4,5
11,1,9:53.0,,Defensive rebound by Y. Ferrell,4,5
12,1,9:45.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by H. Barnes),4,8
13,1,9:30.0,Shooting foul by D. Nowitzki (drawn by J. Randle),,4,8
14,1,9:30.0,J. Randle makes free throw 1 of 2,,5,8
15,1,9:30.0,J. Randle makes free throw 2 of 2,,6,8
16,1,9:08.0,,H. Barnes makes 2-pt layup from 2 ft,6,10
17,1,8:55.0,D. Russell misses 2-pt jump shot from 13 ft,,6,10
18,1,8:54.0,,Defensive rebound by H. Barnes,6,10
19,1,8:50.0,,Personal foul by T. Black (drawn by D. Nowitzki),6,10
20,1,8:45.0,,Y. Ferrell makes 2-pt layup from 1 ft,6,12
21,1,8:39.0,Shooting foul by W. Matthews (drawn by N. Young),,6,12
22,1,8:39.0,N. Young makes free throw 1 of 2,,7,12
23,1,8:39.0,N. Young makes free throw 2 of 2,,8,12
24,1,8:31.0,,Y. Ferrell misses 2-pt layup from 1 ft (block by T. Black),8,12
25,1,8:29.0,Defensive rebound by J. Randle,,8,12
26,1,8:22.0,D. Russell misses 3-pt jump shot from 22 ft,,8,12
27,1,8:21.0,,Defensive rebound by S. Curry,8,12
28,1,8:15.0,,S. Curry makes 3-pt jump shot from 24 ft,8,15
29,1,7:59.0,N. Young misses 3-pt jump shot from 22 ft,,8,15
30,1,7:58.0,,Defensive rebound by H. Barnes,8,15
31,1,7:57.0,,Personal foul by N. Young (drawn by Y. Ferrell),8,15
32,1,7:40.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by S. Curry),8,17
33,1,7:40.0,,Shooting foul by T. Black (drawn by D. Nowitzki),8,17
34,1,7:40.0,J. Clarkson enters the game for T. Black,,8,17
35,1,7:40.0,,D. Nowitzki makes free throw 1 of 1,8,18
36,1,7:31.0,,Violation by Y. Ferrell (kicked ball),8,18
37,1,7:25.0,B. Ingram makes 2-pt jump shot from 16 ft,,10,18
