,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA CLIPPERS_ACTION,ATLANTA_SCORE,LA CLIPPERS_SCORE
0,1,11:34.0,P. Millsap misses 2-pt jump shot from 20 ft,,0,0
1,1,11:31.0,,Defensive rebound by D. Jordan,0,0
2,1,11:10.0,,A. Rivers makes 2-pt jump shot from 17 ft,0,2
3,1,10:57.0,D. Schröder misses 2-pt layup from 3 ft,,0,2
4,1,10:56.0,Offensive rebound by D. Howard,,0,2
5,1,10:56.0,D. Howard makes 2-pt dunk at rim,,2,2
6,1,10:38.0,,B. Griffin makes 2-pt jump shot from 21 ft (assist by A. Rivers),2,4
7,1,10:20.0,D. Howard misses 2-pt jump shot from 19 ft,,2,4
8,1,10:18.0,,Defensive rebound by D. Jordan,2,4
9,1,10:00.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by B. Griffin),2,7
10,1,9:49.0,D. Schröder makes 3-pt jump shot from 27 ft,,5,7
11,1,9:30.0,,J. Redick misses 3-pt jump shot from 25 ft,5,7
12,1,9:29.0,Defensive rebound by D. Howard,,5,7
13,1,9:15.0,D. Schröder makes 2-pt jump shot from 7 ft,,7,7
14,1,8:56.0,,J. Redick misses 2-pt jump shot from 16 ft (block by K. Bazemore),7,7
15,1,8:55.0,Defensive rebound by D. Schröder,,7,7
16,1,8:35.0,Offensive foul by K. Bazemore (drawn by J. Redick),,7,7
17,1,8:35.0,Turnover by K. Bazemore (offensive foul),,7,7
18,1,8:13.0,,B. Griffin misses 2-pt jump shot from 7 ft,7,7
19,1,8:10.0,,Offensive rebound by B. Griffin,7,7
20,1,8:09.0,,B. Griffin misses 2-pt layup from 3 ft,7,7
21,1,8:08.0,Defensive rebound by D. Howard,,7,7
22,1,8:02.0,T. Hardaway misses 3-pt jump shot from 27 ft,,7,7
23,1,8:00.0,,Defensive rebound by A. Rivers,7,7
24,1,7:44.0,,B. Griffin misses 2-pt jump shot from 16 ft,7,7
25,1,7:42.0,Defensive rebound by D. Howard,,7,7
26,1,7:28.0,Turnover by P. Millsap (lost ball; steal by B. Griffin),,7,7
27,1,7:14.0,,A. Rivers misses 3-pt jump shot from 27 ft,7,7
28,1,7:12.0,Defensive rebound by D. Howard,,7,7
29,1,6:54.0,K. Bazemore misses 2-pt jump shot from 20 ft,,7,7
30,1,6:53.0,,Defensive rebound by Team,7,7
31,1,6:41.0,,B. Griffin makes 3-pt jump shot from 28 ft (assist by A. Rivers),7,10
32,1,6:28.0,D. Schröder misses 3-pt jump shot from 24 ft,,7,10
33,1,6:27.0,,Defensive rebound by D. Jordan,7,10
34,1,6:21.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by A. Rivers),7,12
35,1,6:21.0,Atlanta full timeout,,7,12
36,1,6:21.0,T. Prince enters the game for K. Bazemore,,7,12
37,1,6:08.0,T. Hardaway makes 2-pt jump shot from 14 ft (assist by D. Schröder),,9,12
38,1,5:54.0,,Turnover by B. Griffin (bad pass),9,12
39,1,5:44.0,P. Millsap misses 3-pt jump shot from 27 ft,,9,12
40,1,5:43.0,,Defensive rebound by L. Mbah a Moute,9,12
41,1,5:28.0,,Turnover by B. Griffin (lost ball; steal by P. Millsap),9,12
42,1,5:21.0,D. Schröder makes 2-pt jump shot from 17 ft (assist by T. Hardaway),,11,12
43,1,5:07.0,,A. Rivers misses 2-pt layup from 3 ft,11,12
44,1,5:02.0,Defensive rebound by T. Prince,,11,12
45,1,5:00.0,T. Hardaway makes 2-pt layup from 1 ft (assist by D. Schröder),,13,12
46,1,4:42.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Griffin),13,15
47,1,4:27.0,T. Prince makes 3-pt jump shot from 24 ft (assist by D. Schröder),,16,15
48,1,4:16.0,,Turnover by B. Griffin (lost ball; steal by P. Millsap),16,15
49,1,4:16.0,Personal foul by B. Griffin (drawn by P. Millsap),,16,15
50,1,4:16.0,M. Dunleavy enters the game for T. Hardaway,,16,15
51,1,4:16.0,M. Muscala enters the game for D. Howard,,16,15
52,1,4:07.0,D. Schröder misses 2-pt jump shot from 21 ft,,16,15
53,1,4:06.0,Offensive rebound by D. Schröder,,16,15
54,1,4:03.0,D. Schröder misses 3-pt jump shot from 26 ft,,16,15
55,1,4:01.0,,Defensive rebound by J. Redick,16,15
56,1,3:56.0,,J. Crawford enters the game for L. Mbah a Moute,16,15
57,1,3:50.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Griffin),16,18
58,1,3:27.0,Turnover by M. Dunleavy (lost ball; steal by A. Rivers),,16,18
59,1,3:03.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by B. Griffin),16,21
60,1,2:44.0,M. Muscala misses 2-pt jump shot from 20 ft,,16,21
61,1,2:43.0,,Defensive rebound by D. Jordan,16,21
62,1,2:33.0,,J. Crawford misses 2-pt jump shot from 19 ft,16,21
63,1,2:30.0,Defensive rebound by M. Dunleavy,,16,21
64,1,2:27.0,,Offensive charge foul by T. Prince (drawn by B. Griffin),16,21
65,1,2:27.0,Turnover by T. Prince (offensive foul),,16,21
66,1,2:27.0,,LA Clippers full timeout,16,21
67,1,2:27.0,,R. Felton enters the game for A. Rivers,16,21
68,1,2:27.0,M. Delaney enters the game for D. Schröder,,16,21
69,1,2:16.0,,J. Redick misses 3-pt jump shot from 26 ft,16,21
70,1,2:15.0,Defensive rebound by M. Dunleavy,,16,21
71,1,2:02.0,T. Prince misses 2-pt layup from 2 ft,,16,21
72,1,2:01.0,,Defensive rebound by D. Jordan,16,21
