,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:38.0,,R. Lopez misses 2-pt hook shot from 5 ft,0,0
1,1,11:37.0,Defensive rebound by L. James,,0,0
2,1,11:28.0,L. James misses 2-pt layup from 2 ft,,0,0
3,1,11:27.0,,Defensive rebound by R. Lopez,0,0
4,1,11:21.0,,R. Rondo misses 2-pt layup from 2 ft,0,0
5,1,11:20.0,,Offensive rebound by J. Butler,0,0
6,1,11:20.0,,J. Butler makes 2-pt layup from 1 ft,0,2
7,1,11:03.0,K. Love makes 2-pt jump shot from 8 ft (assist by L. James),,2,2
8,1,10:43.0,,N. Mirotić makes 2-pt jump shot from 8 ft (assist by J. Butler),2,4
9,1,10:31.0,K. Love misses 2-pt layup from 3 ft,,2,4
10,1,10:30.0,,Defensive rebound by R. Rondo,2,4
11,1,10:17.0,,R. Rondo misses 2-pt jump shot from 12 ft,2,4
12,1,10:16.0,,Offensive rebound by R. Lopez,2,4
13,1,10:16.0,,Shooting foul by K. Love (drawn by N. Mirotić),2,4
14,1,10:16.0,,N. Mirotić makes free throw 1 of 2,2,5
15,1,10:16.0,,N. Mirotić makes free throw 2 of 2,2,6
16,1,10:04.0,Turnover by L. James (bad pass; steal by J. Butler),,2,6
17,1,10:01.0,,J. Butler makes 2-pt dunk at rim,2,8
18,1,9:44.0,K. Irving misses 2-pt jump shot from 22 ft,,2,8
19,1,9:44.0,Offensive rebound by Team,,2,8
20,1,9:44.0,,Loose ball foul by R. Lopez (drawn by L. James),2,8
21,1,9:33.0,Shooting foul by N. Mirotić (drawn by K. Love),,2,8
22,1,9:33.0,K. Love makes free throw 1 of 2,,3,8
23,1,9:33.0,K. Love makes free throw 2 of 2,,4,8
24,1,9:19.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by R. Rondo),4,11
25,1,9:02.0,T. Thompson misses 2-pt jump shot from 6 ft,,4,11
26,1,9:01.0,,Defensive rebound by R. Rondo,4,11
27,1,8:48.0,,Turnover by P. Zipser (bad pass; steal by T. Thompson),4,11
28,1,8:33.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,7,11
29,1,8:13.0,,J. Butler misses 2-pt jump shot from 16 ft,7,11
30,1,8:12.0,Defensive rebound by K. Love,,7,11
31,1,8:02.0,T. Thompson makes 2-pt layup from 1 ft (assist by J. Smith),,9,11
32,1,7:51.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by R. Rondo),9,14
33,1,7:29.0,T. Thompson makes 2-pt dunk at rim (assist by J. Smith),,11,14
34,1,7:13.0,,N. Mirotić misses 3-pt jump shot from 25 ft,11,14
35,1,7:13.0,,Offensive rebound by Team,11,14
36,1,7:13.0,Loose ball foul by K. Love (drawn by R. Rondo),,11,14
37,1,7:13.0,C. Frye enters the game for K. Love,,11,14
38,1,7:06.0,,R. Lopez misses 2-pt jump shot from 17 ft,11,14
39,1,7:05.0,Defensive rebound by L. James,,11,14
40,1,6:57.0,T. Thompson misses 2-pt jump shot from 6 ft,,11,14
41,1,6:55.0,,Defensive rebound by N. Mirotić,11,14
42,1,6:42.0,,R. Lopez misses 2-pt jump shot from 8 ft,11,14
43,1,6:41.0,Defensive rebound by T. Thompson,,11,14
44,1,6:33.0,L. James misses 3-pt jump shot from 24 ft,,11,14
45,1,6:32.0,,Defensive rebound by N. Mirotić,11,14
46,1,6:28.0,,J. Butler misses 2-pt jump shot from 17 ft,11,14
47,1,6:27.0,Defensive rebound by C. Frye,,11,14
48,1,6:11.0,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Irving),,14,14
49,1,5:50.0,,P. Zipser misses 2-pt jump shot from 8 ft,14,14
50,1,5:49.0,Defensive rebound by L. James,,14,14
51,1,5:44.0,L. James makes 2-pt layup from 2 ft,,16,14
52,1,5:44.0,,Chicago full timeout,16,14
53,1,5:44.0,,D. Valentine enters the game for P. Zipser,16,14
54,1,5:22.0,,N. Mirotić makes 3-pt jump shot from 25 ft,16,17
55,1,5:06.0,L. James makes 2-pt dunk at rim,,18,17
56,1,4:37.0,,Turnover by Team (shot clock),18,17
57,1,4:16.0,J. Smith misses 3-pt jump shot from 25 ft,,18,17
58,1,4:15.0,,Defensive rebound by R. Rondo,18,17
59,1,4:08.0,,N. Mirotić misses 3-pt jump shot from 24 ft,18,17
60,1,4:07.0,Defensive rebound by C. Frye,,18,17
61,1,3:55.0,K. Irving misses 2-pt jump shot from 16 ft,,18,17
62,1,3:54.0,,Defensive rebound by R. Lopez,18,17
63,1,3:46.0,,D. Valentine misses 3-pt jump shot from 22 ft,18,17
64,1,3:45.0,,Offensive rebound by R. Rondo,18,17
65,1,3:42.0,,D. Valentine makes 3-pt jump shot from 25 ft (assist by R. Rondo),18,20
66,1,3:20.0,Turnover by J. Smith (bad pass; steal by R. Lopez),,18,20
67,1,3:14.0,,D. Valentine misses 2-pt jump shot from 6 ft,18,20
68,1,3:13.0,Defensive rebound by T. Thompson,,18,20
69,1,3:08.0,L. James makes 2-pt layup from 1 ft,,20,20
70,1,2:40.0,,Turnover by Team (shot clock),20,20
71,1,2:40.0,Cleveland full timeout,,20,20
72,1,2:40.0,D. Williams enters the game for L. James,,20,20
73,1,2:40.0,I. Shumpert enters the game for J. Smith,,20,20
74,1,2:40.0,,B. Portis enters the game for N. Mirotić,20,20
75,1,2:27.0,K. Irving makes 2-pt layup from 4 ft,,22,20
76,1,2:09.0,,J. Butler makes 2-pt jump shot from 7 ft,22,22
77,1,1:54.0,C. Frye makes 3-pt jump shot from 25 ft (assist by K. Irving),,25,22
78,1,1:33.0,,Turnover by R. Rondo (bad pass; steal by K. Irving),25,22
79,1,1:28.0,K. Irving misses 2-pt layup from 2 ft,,25,22
80,1,1:26.0,,Defensive rebound by J. Butler,25,22
81,1,1:07.0,,R. Lopez misses 2-pt hook shot from 12 ft,25,22
82,1,1:06.0,Defensive rebound by C. Frye,,25,22
83,1,0:53.0,Turnover by T. Thompson (lost ball; steal by B. Portis),,25,22
84,1,0:36.0,,P. Zipser enters the game for J. Butler,25,22
85,1,0:33.0,,P. Zipser misses 2-pt jump shot from 21 ft,25,22
86,1,0:31.0,Defensive rebound by C. Frye,,25,22
87,1,0:21.0,K. Irving misses 2-pt layup from 3 ft (block by R. Rondo),,25,22
88,1,0:19.0,Offensive rebound by K. Irving,,25,22
89,1,0:17.0,K. Irving makes 3-pt jump shot from 24 ft (assist by I. Shumpert),,28,22
90,2,11:57.0,L. James makes 2-pt dunk at rim (assist by C. Frye),,30,22
91,2,11:39.0,,B. Portis makes 2-pt jump shot from 19 ft (assist by J. Lauvergne),30,24
