,QUARTER,TIME_REMAINING,DETROIT_ACTION,HOUSTON_ACTION,DETROIT_SCORE,HOUSTON_SCORE
0,1,11:43.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),0,3
1,1,11:20.0,M. Morris makes 2-pt jump shot from 21 ft,,2,3
2,1,11:10.0,,N. Hilário misses 2-pt layup from 1 ft,2,3
3,1,11:09.0,Defensive rebound by K. Caldwell-Pope,,2,3
4,1,11:01.0,M. Morris misses 3-pt jump shot from 24 ft,,2,3
5,1,11:00.0,,Defensive rebound by R. Anderson,2,3
6,1,10:46.0,,N. Hilário misses 2-pt jump shot from 11 ft,2,3
7,1,10:45.0,Defensive rebound by A. Drummond,,2,3
8,1,10:39.0,H. Ellenson misses 2-pt jump shot from 21 ft,,2,3
9,1,10:38.0,,Defensive rebound by T. Ariza,2,3
10,1,10:31.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),2,5
11,1,10:15.0,I. Smith misses 2-pt jump shot from 3 ft,,2,5
12,1,10:14.0,,Defensive rebound by N. Hilário,2,5
13,1,10:01.0,,T. Ariza misses 3-pt jump shot from 23 ft,2,5
14,1,10:00.0,,Offensive rebound by N. Hilário,2,5
15,1,9:49.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),2,7
16,1,9:42.0,Detroit full timeout,,2,7
17,1,9:33.0,H. Ellenson misses 3-pt jump shot from 25 ft,,2,7
18,1,9:32.0,Offensive rebound by M. Morris,,2,7
19,1,9:30.0,M. Morris misses 2-pt layup from 2 ft,,2,7
20,1,9:30.0,,Defensive rebound by P. Beverley,2,7
21,1,9:23.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by P. Beverley),2,10
22,1,9:07.0,I. Smith makes 2-pt layup from 1 ft,,4,10
23,1,8:49.0,,R. Anderson makes 3-pt jump shot from 28 ft (assist by N. Hilário),4,13
24,1,8:22.0,M. Morris misses 2-pt jump shot from 19 ft,,4,13
25,1,8:21.0,,Defensive rebound by R. Anderson,4,13
26,1,8:13.0,,J. Harden misses 2-pt jump shot from 7 ft,4,13
27,1,8:12.0,,Offensive rebound by N. Hilário,4,13
28,1,8:09.0,,N. Hilário makes 2-pt layup from 1 ft,4,15
29,1,8:00.0,Shooting foul by P. Beverley (drawn by I. Smith),,4,15
30,1,8:00.0,I. Smith makes free throw 1 of 2,,5,15
31,1,8:00.0,I. Smith makes free throw 2 of 2,,6,15
32,1,7:47.0,,T. Ariza misses 3-pt jump shot from 26 ft,6,15
33,1,7:46.0,Defensive rebound by K. Caldwell-Pope,,6,15
34,1,7:37.0,I. Smith makes 2-pt jump shot from 18 ft,,8,15
35,1,7:29.0,,R. Anderson misses 3-pt jump shot from 27 ft,8,15
36,1,7:28.0,Defensive rebound by K. Caldwell-Pope,,8,15
37,1,7:20.0,H. Ellenson makes 2-pt layup from 2 ft (assist by I. Smith),,10,15
38,1,7:15.0,,Shooting foul by M. Morris (drawn by T. Ariza),10,15
39,1,7:15.0,,T. Ariza makes free throw 1 of 2,10,16
40,1,7:15.0,,T. Ariza misses free throw 2 of 2,10,16
41,1,7:14.0,Defensive rebound by A. Drummond,,10,16
42,1,6:52.0,A. Drummond misses 2-pt hook shot from 8 ft,,10,16
43,1,6:51.0,,Defensive rebound by N. Hilário,10,16
44,1,6:36.0,,R. Anderson misses 2-pt jump shot from 16 ft,10,16
45,1,6:35.0,Defensive rebound by K. Caldwell-Pope,,10,16
46,1,6:28.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,10,16
47,1,6:27.0,,Defensive rebound by J. Harden,10,16
48,1,6:13.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by N. Hilário),10,19
49,1,5:56.0,H. Ellenson makes 2-pt jump shot from 21 ft (assist by I. Smith),,12,19
50,1,5:32.0,,J. Harden misses 3-pt jump shot from 26 ft,12,19
51,1,5:31.0,Defensive rebound by H. Ellenson,,12,19
52,1,5:10.0,A. Drummond misses 2-pt jump shot from 8 ft,,12,19
53,1,5:08.0,Offensive rebound by H. Ellenson,,12,19
54,1,5:06.0,H. Ellenson misses 2-pt layup at rim,,12,19
55,1,5:05.0,,Defensive rebound by N. Hilário,12,19
56,1,4:58.0,,N. Hilário misses 2-pt layup at rim,12,19
57,1,4:58.0,,Offensive rebound by N. Hilário,12,19
58,1,4:58.0,,Personal foul by A. Drummond (drawn by N. Hilário),12,19
59,1,4:58.0,,L. Williams enters the game for R. Anderson,12,19
60,1,4:58.0,,E. Gordon enters the game for P. Beverley,12,19
61,1,4:58.0,,M. Harrell enters the game for N. Hilário,12,19
62,1,4:58.0,T. Harris enters the game for H. Ellenson,,12,19
