,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BROOKLYN_ACTION,CHICAGO_SCORE,BROOKLYN_SCORE
0,1,11:46.0,,Shooting foul by D. Wade (drawn by J. Lin),0,0
1,1,11:46.0,,J. Lin makes free throw 1 of 2,0,1
2,1,11:46.0,,J. Lin makes free throw 2 of 2,0,2
3,1,11:29.0,Turnover by R. Lopez (bad pass; steal by J. Lin),,0,2
4,1,11:17.0,,B. Lopez makes 2-pt hook shot from 12 ft,0,4
5,1,11:02.0,Turnover by R. Lopez (offensive foul),,0,4
6,1,11:02.0,Offensive foul by R. Lopez (drawn by J. Lin),,0,4
7,1,10:47.0,,B. Lopez misses 3-pt jump shot from 25 ft,0,4
8,1,10:46.0,Defensive rebound by D. Wade,,0,4
9,1,10:38.0,R. Lopez makes 2-pt jump shot from 17 ft (assist by J. Butler),,2,4
10,1,10:32.0,,Personal foul by J. Grant (drawn by J. Lin),2,4
11,1,10:17.0,,J. Lin misses 2-pt jump shot from 10 ft (block by J. Grant),2,4
12,1,10:16.0,Defensive rebound by N. Mirotić,,2,4
13,1,10:01.0,R. Lopez misses 2-pt jump shot from 22 ft,,2,4
14,1,10:00.0,,Defensive rebound by J. Lin,2,4
15,1,9:52.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,2,4
16,1,9:51.0,Defensive rebound by R. Lopez,,2,4
17,1,9:45.0,Turnover by J. Grant (bad pass; steal by C. LeVert),,2,4
18,1,9:35.0,,Personal foul by J. Grant (drawn by C. LeVert),2,4
19,1,9:35.0,M. Carter-Williams enters the game for J. Grant,,2,4
20,1,9:32.0,,Shooting foul by M. Carter-Williams (drawn by R. Hollis-Jefferson),2,4
21,1,9:32.0,,R. Hollis-Jefferson makes free throw 1 of 2,2,5
22,1,9:32.0,,R. Hollis-Jefferson makes free throw 2 of 2,2,6
23,1,9:16.0,D. Wade makes 2-pt layup from 1 ft,,4,6
24,1,9:03.0,,B. Lopez misses 3-pt jump shot from 26 ft,4,6
25,1,9:02.0,Defensive rebound by D. Wade,,4,6
26,1,8:56.0,N. Mirotić misses 2-pt layup from 3 ft (block by R. Hollis-Jefferson),,4,6
27,1,8:54.0,Offensive rebound by R. Lopez,,4,6
28,1,8:52.0,R. Lopez makes 2-pt layup from 2 ft,,6,6
29,1,8:41.0,,B. Lopez makes 2-pt jump shot from 4 ft (assist by R. Foye),6,8
30,1,8:25.0,Turnover by D. Wade (bad pass; steal by R. Hollis-Jefferson),,6,8
