,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:38.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,0,0
1,1,11:36.0,,Defensive rebound by W. Hernangómez,0,0
2,1,11:22.0,,Turnover by C. Lee (bad pass; steal by J. Valančiūnas),0,0
3,1,11:02.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,0,0
4,1,11:01.0,,Defensive rebound by M. Ndour,0,0
5,1,10:46.0,,J. Holiday makes 2-pt jump shot from 19 ft (assist by W. Hernangómez),0,2
6,1,10:32.0,S. Ibaka makes 2-pt jump shot from 13 ft,,2,2
7,1,10:20.0,,C. Lee misses 2-pt jump shot from 16 ft,2,2
8,1,10:19.0,Defensive rebound by J. Valančiūnas,,2,2
9,1,10:11.0,S. Ibaka misses 2-pt hook shot from 5 ft,,2,2
10,1,10:09.0,,Defensive rebound by W. Hernangómez,2,2
11,1,10:00.0,,W. Hernangómez makes 2-pt jump shot from 4 ft (assist by R. Baker),2,4
12,1,9:44.0,D. DeRozan misses 2-pt jump shot from 16 ft,,2,4
13,1,9:43.0,,Defensive rebound by R. Baker,2,4
14,1,9:33.0,,W. Hernangómez misses 2-pt jump shot from 6 ft,2,4
15,1,9:31.0,Defensive rebound by K. Lowry,,2,4
16,1,9:26.0,Turnover by K. Lowry (lost ball; steal by J. Holiday),,2,4
17,1,9:18.0,,J. Holiday misses 3-pt jump shot from 24 ft,2,4
18,1,9:17.0,Defensive rebound by S. Ibaka,,2,4
19,1,9:03.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),,4,4
20,1,8:37.0,,W. Hernangómez makes 2-pt layup from 1 ft (assist by C. Lee),4,6
21,1,8:24.0,D. Carroll misses 3-pt jump shot from 22 ft,,4,6
22,1,8:22.0,Offensive rebound by Team,,4,6
23,1,8:10.0,Turnover by J. Valančiūnas (lost ball; steal by W. Hernangómez),,4,6
24,1,8:03.0,,W. Hernangómez makes 2-pt jump shot from 4 ft (assist by C. Lee),4,8
