,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by D. Rose),,2,0
1,1,11:26.0,,J. Okafor makes 2-pt dunk at rim (assist by D. Šarić),2,2
2,1,11:13.0,C. Anthony misses 2-pt jump shot from 20 ft,,2,2
3,1,11:12.0,,Defensive rebound by T. McConnell,2,2
4,1,11:04.0,,D. Šarić misses 2-pt jump shot from 24 ft,2,2
5,1,11:00.0,Defensive rebound by C. Lee,,2,2
6,1,10:55.0,C. Lee makes 2-pt jump shot from 17 ft,,4,2
7,1,10:43.0,,Personal foul by C. Lee (drawn by N. Stauskas),4,2
8,1,10:21.0,,Turnover by J. Okafor (lost ball; steal by L. Thomas),4,2
9,1,10:12.0,D. Rose misses 2-pt jump shot from 21 ft,,4,2
10,1,10:10.0,,Defensive rebound by R. Covington,4,2
11,1,10:01.0,,D. Šarić makes 2-pt layup from 1 ft (assist by T. McConnell),4,4
12,1,9:43.0,L. Thomas makes 2-pt jump shot from 20 ft,,6,4
13,1,9:25.0,,T. McConnell makes 2-pt jump shot from 9 ft,6,6
14,1,9:15.0,C. Lee makes 2-pt layup from 3 ft (assist by D. Rose),,8,6
15,1,8:59.0,,Shooting foul by L. Thomas (drawn by D. Šarić),8,6
16,1,8:59.0,,D. Šarić misses free throw 1 of 2,8,6
17,1,8:59.0,,Offensive rebound by Team,8,6
18,1,8:59.0,,D. Šarić makes free throw 2 of 2,8,7
19,1,8:46.0,L. Thomas makes 2-pt jump shot from 23 ft (assist by D. Rose),,10,7
20,1,8:37.0,,J. Okafor misses 2-pt layup from 2 ft,10,7
21,1,8:35.0,Defensive rebound by C. Lee,,10,7
22,1,8:24.0,K. Porziņģis makes 2-pt jump shot from 20 ft,,12,7
23,1,8:15.0,,D. Šarić misses 3-pt jump shot from 26 ft,12,7
24,1,8:14.0,,Offensive rebound by J. Okafor,12,7
25,1,8:13.0,,Shooting foul by K. Porziņģis (drawn by J. Okafor),12,7
26,1,8:13.0,,J. Okafor makes free throw 1 of 2,12,8
27,1,8:13.0,,J. Okafor makes free throw 2 of 2,12,9
28,1,7:53.0,C. Anthony misses 2-pt jump shot from 7 ft (block by R. Covington),,12,9
29,1,7:51.0,Offensive rebound by C. Anthony,,12,9
30,1,7:50.0,C. Anthony makes 2-pt jump shot from 11 ft,,14,9
31,1,7:29.0,,N. Stauskas misses 3-pt jump shot from 27 ft,14,9
32,1,7:27.0,,Offensive rebound by D. Šarić,14,9
33,1,7:24.0,,D. Šarić makes 2-pt layup from 1 ft,14,11
34,1,7:23.0,,Violation by Team (jump ball),14,11
35,1,7:11.0,L. Thomas makes 3-pt jump shot from 24 ft (assist by C. Lee),,17,11
36,1,6:54.0,,Shooting foul by K. Porziņģis (drawn by R. Covington),17,11
37,1,6:54.0,,R. Covington misses free throw 1 of 3,17,11
38,1,6:54.0,,Offensive rebound by Team,17,11
39,1,6:54.0,,R. Covington makes free throw 2 of 3,17,12
40,1,6:54.0,K. O'Quinn enters the game for K. Porziņģis,,17,12
41,1,6:54.0,,R. Holmes enters the game for J. Okafor,17,12
42,1,6:54.0,,R. Covington makes free throw 3 of 3,17,13
43,1,6:47.0,Personal foul by R. Covington (drawn by C. Anthony),,17,13
44,1,6:47.0,,T. Luwawu-Cabarrot enters the game for R. Covington,17,13
45,1,6:38.0,Shooting foul by D. Šarić (drawn by C. Anthony),,17,13
46,1,6:38.0,C. Anthony makes free throw 1 of 2,,18,13
47,1,6:38.0,C. Anthony makes free throw 2 of 2,,19,13
48,1,6:23.0,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by C. Lee),19,13
49,1,6:20.0,C. Lee makes 2-pt dunk at rim,,21,13
50,1,6:19.0,,Philadelphia full timeout,21,13
51,1,6:07.0,,Turnover by N. Stauskas (traveling),21,13
52,1,5:47.0,D. Rose makes 2-pt layup from 3 ft (assist by C. Anthony),,23,13
53,1,5:32.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by R. Holmes),23,16
54,1,5:14.0,,J. Anderson enters the game for N. Stauskas,23,16
55,1,5:08.0,C. Anthony makes 2-pt jump shot from 13 ft,,25,16
56,1,4:51.0,J. Holiday enters the game for L. Thomas,,25,16
57,1,4:44.0,,T. McConnell misses 2-pt layup from 1 ft,25,16
58,1,4:42.0,Defensive rebound by K. O'Quinn,,25,16
59,1,4:38.0,Shooting foul by T. McConnell (drawn by D. Rose),,25,16
60,1,4:38.0,D. Rose makes free throw 1 of 2,,26,16
61,1,4:38.0,,S. Rodríguez enters the game for T. McConnell,26,16
62,1,4:38.0,,R. Covington enters the game for D. Šarić,26,16
63,1,4:38.0,D. Rose makes free throw 2 of 2,,27,16
64,1,4:16.0,,J. Anderson makes 3-pt jump shot from 26 ft (assist by S. Rodríguez),27,19
65,1,4:12.0,Turnover by D. Rose (inbound),,27,19
66,1,3:56.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 8 ft,27,19
67,1,3:55.0,,Offensive rebound by R. Holmes,27,19
68,1,3:55.0,,R. Holmes makes 2-pt layup from 2 ft,27,21
69,1,3:35.0,C. Anthony makes 2-pt jump shot from 17 ft,,29,21
70,1,3:18.0,,Turnover by J. Anderson (bad pass; steal by D. Rose),29,21
71,1,3:14.0,Shooting foul by T. Luwawu-Cabarrot (drawn by C. Lee),,29,21
72,1,3:14.0,C. Lee makes free throw 1 of 2,,30,21
73,1,3:14.0,C. Lee makes free throw 2 of 2,,31,21
74,1,3:03.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,31,21
75,1,3:02.0,Defensive rebound by K. O'Quinn,,31,21
76,1,2:46.0,Turnover by D. Rose (lost ball; steal by S. Rodríguez),,31,21
77,1,2:42.0,,J. Anderson makes 2-pt dunk at rim (assist by R. Covington),31,23
78,1,2:42.0,New York full timeout,,31,23
79,1,2:42.0,M. Kuzminskas enters the game for C. Lee,,31,23
80,1,2:29.0,Turnover by M. Kuzminskas (bad pass; steal by S. Rodríguez),,31,23
81,1,2:25.0,,Shooting foul by K. O'Quinn (drawn by R. Holmes),31,23
82,1,2:25.0,,R. Holmes makes free throw 1 of 2,31,24
83,1,2:25.0,,R. Holmes makes free throw 2 of 2,31,25
84,1,2:01.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. O'Quinn),,31,25
85,1,2:01.0,K. O'Quinn makes free throw 1 of 2,,32,25
86,1,2:01.0,K. O'Quinn makes free throw 2 of 2,,33,25
87,1,1:51.0,,R. Covington misses 3-pt jump shot from 24 ft,33,25
88,1,1:50.0,Defensive rebound by C. Anthony,,33,25
89,1,1:34.0,C. Anthony misses 2-pt jump shot from 17 ft,,33,25
90,1,1:33.0,,Defensive rebound by R. Holmes,33,25
