,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CLEVELAND_ACTION,PORTLAND_SCORE,CLEVELAND_SCORE
0,1,11:45.0,,K. Love makes 2-pt jump shot from 15 ft (assist by L. James),0,2
1,1,11:25.0,M. Plumlee makes 2-pt jump shot from 7 ft (assist by D. Lillard),,2,2
2,1,11:11.0,,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),2,5
3,1,10:50.0,E. Davis misses 2-pt layup from 3 ft,,2,5
4,1,10:49.0,Offensive rebound by E. Davis,,2,5
5,1,10:49.0,Shooting foul by T. Thompson (drawn by E. Davis),,2,5
6,1,10:49.0,E. Davis makes free throw 1 of 2,,3,5
7,1,10:49.0,E. Davis makes free throw 2 of 2,,4,5
8,1,10:32.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Irving),4,8
9,1,10:14.0,M. Harkless misses 3-pt jump shot from 25 ft,,4,8
10,1,10:14.0,,Defensive rebound by T. Thompson,4,8
11,1,10:05.0,,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),4,11
12,1,9:49.0,,Violation by T. Thompson (kicked ball),4,11
13,1,9:39.0,M. Plumlee makes 2-pt layup from 1 ft (assist by E. Davis),,6,11
14,1,9:28.0,,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),6,14
15,1,9:12.0,D. Lillard makes 3-pt jump shot from 29 ft (assist by M. Harkless),,9,14
16,1,8:57.0,,K. Irving makes 3-pt jump shot from 23 ft,9,17
17,1,8:40.0,C. McCollum misses 3-pt jump shot from 25 ft,,9,17
18,1,8:40.0,,Defensive rebound by L. James,9,17
19,1,8:31.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),9,20
20,1,8:31.0,Portland full timeout,,9,20
21,1,8:16.0,E. Davis misses 2-pt layup from 1 ft,,9,20
22,1,8:16.0,,Defensive rebound by Team,9,20
23,1,8:16.0,Loose ball foul by M. Plumlee (drawn by T. Thompson),,9,20
24,1,8:07.0,,K. Love makes 3-pt jump shot from 27 ft (assist by L. James),9,23
25,1,7:50.0,E. Davis makes 2-pt layup from 1 ft (assist by D. Lillard),,11,23
26,1,7:36.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),11,26
27,1,7:22.0,M. Plumlee makes 2-pt layup at rim (assist by D. Lillard),,13,26
28,1,7:10.0,,Personal foul by M. Plumlee (drawn by K. Love),13,26
29,1,7:10.0,E. Turner enters the game for M. Plumlee,,13,26
30,1,7:06.0,,K. Love misses 3-pt jump shot from 31 ft,13,26
31,1,7:05.0,,Offensive rebound by J. Smith,13,26
32,1,6:55.0,,Turnover by K. Irving (bad pass; steal by E. Turner),13,26
33,1,6:54.0,Turnover by E. Turner (bad pass; steal by L. James),,13,26
34,1,6:52.0,,Turnover by L. James (bad pass),13,26
35,1,6:38.0,Turnover by E. Davis (bad pass; steal by L. James),,13,26
36,1,6:34.0,,Turnover by L. James (bad pass; steal by C. McCollum),13,26
37,1,6:33.0,Personal foul by K. Love (drawn by C. McCollum),,13,26
38,1,6:23.0,C. McCollum misses 3-pt jump shot from 25 ft,,13,26
39,1,6:23.0,,Defensive rebound by K. Love,13,26
40,1,6:12.0,,Turnover by K. Love (bad pass),13,26
41,1,6:00.0,D. Lillard makes 2-pt jump shot from 18 ft (assist by E. Turner),,15,26
42,1,5:36.0,,K. Irving makes 2-pt layup from 2 ft,15,28
43,1,5:36.0,,Shooting foul by E. Davis (drawn by K. Irving),15,28
44,1,5:36.0,,K. Irving misses free throw 1 of 1,15,28
45,1,5:35.0,Defensive rebound by M. Harkless,,15,28
46,1,5:26.0,E. Turner makes 2-pt layup from 1 ft,,17,28
47,1,5:26.0,Shooting foul by J. Smith (drawn by E. Turner),,17,28
48,1,5:26.0,E. Turner makes free throw 1 of 1,,18,28
49,1,5:12.0,,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),18,31
50,1,4:50.0,E. Turner misses 3-pt jump shot from 26 ft,,18,31
51,1,4:49.0,,Defensive rebound by L. James,18,31
52,1,4:44.0,,L. James makes 2-pt layup at rim,18,33
53,1,4:44.0,,Shooting foul by M. Harkless (drawn by L. James),18,33
54,1,4:44.0,A. Crabbe enters the game for C. McCollum,,18,33
55,1,4:44.0,,L. James makes free throw 1 of 1,18,34
56,1,4:27.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Davis),,21,34
57,1,4:06.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),21,37
58,1,3:42.0,A. Crabbe misses 3-pt jump shot from 26 ft,,21,37
59,1,3:42.0,,Defensive rebound by T. Thompson,21,37
60,1,3:34.0,,Personal foul by E. Davis (drawn by T. Thompson),21,37
61,1,3:34.0,,T. Thompson makes free throw 1 of 2,21,38
62,1,3:34.0,,T. Thompson misses free throw 2 of 2,21,38
63,1,3:34.0,M. Plumlee enters the game for E. Davis,,21,38
64,1,3:34.0,,R. Jefferson enters the game for L. James,21,38
65,1,3:33.0,Defensive rebound by M. Harkless,,21,38
66,1,3:18.0,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),,23,38
67,1,3:01.0,,K. Love misses 2-pt jump shot from 6 ft (block by M. Plumlee),23,38
68,1,2:58.0,,Offensive rebound by K. Love,23,38
69,1,2:54.0,,K. Love makes 2-pt jump shot from 15 ft,23,40
70,1,2:35.0,A. Crabbe misses 3-pt jump shot from 25 ft,,23,40
71,1,2:35.0,,Defensive rebound by K. Love,23,40
72,1,2:23.0,,K. Irving misses 3-pt jump shot from 26 ft,23,40
73,1,2:23.0,Defensive rebound by M. Harkless,,23,40
74,1,2:14.0,E. Turner makes 3-pt jump shot from 25 ft (assist by A. Crabbe),,26,40
75,1,2:14.0,,Cleveland full timeout,26,40
76,1,2:14.0,,I. Shumpert enters the game for J. Smith,26,40
77,1,1:58.0,,Shooting foul by E. Turner (drawn by K. Love),26,40
78,1,1:58.0,,K. Love makes free throw 1 of 2,26,41
79,1,1:58.0,N. Vonleh enters the game for M. Harkless,,26,41
80,1,1:58.0,,K. Love makes free throw 2 of 2,26,42
81,1,1:38.0,Turnover by D. Lillard (bad pass; steal by K. Love),,26,42
82,1,1:38.0,,Personal foul by N. Vonleh (drawn by K. Love),26,42
83,1,1:38.0,,K. Love makes free throw 1 of 2,26,43
84,1,1:38.0,,K. Love makes free throw 2 of 2,26,44
85,1,1:26.0,D. Lillard makes 2-pt jump shot from 8 ft,,28,44
86,1,1:26.0,Shooting foul by I. Shumpert (drawn by D. Lillard),,28,44
87,1,1:26.0,D. Lillard makes free throw 1 of 1,,29,44
88,1,1:15.0,,K. Love misses 3-pt jump shot from 25 ft,29,44
89,1,1:14.0,Defensive rebound by M. Plumlee,,29,44
90,1,1:07.0,Personal foul by I. Shumpert (drawn by D. Lillard),,29,44
91,1,1:07.0,D. Lillard makes free throw 1 of 2,,30,44
92,1,1:07.0,M. Leonard enters the game for M. Plumlee,,30,44
93,1,1:07.0,D. Lillard makes free throw 2 of 2,,31,44
94,1,0:50.0,,K. Irving misses 2-pt jump shot from 8 ft,31,44
95,1,0:49.0,,Offensive rebound by I. Shumpert,31,44
96,1,0:39.0,,K. Love makes 2-pt jump shot from 6 ft (assist by I. Shumpert),31,46
97,1,0:33.0,D. Lillard misses 2-pt jump shot from 9 ft,,31,46
98,1,0:31.0,Offensive rebound by N. Vonleh,,31,46
99,1,0:31.0,N. Vonleh misses 2-pt layup from 1 ft (block by K. Love),,31,46
100,1,0:27.0,,Defensive rebound by K. Irving,31,46
101,1,0:24.0,,K. Irving misses 2-pt layup from 1 ft (block by M. Leonard),31,46
102,1,0:22.0,,Offensive rebound by Team,31,46
103,1,0:22.0,C. McCollum enters the game for D. Lillard,,31,46
104,1,0:07.0,,K. Irving misses 2-pt jump shot from 15 ft,31,46
105,1,0:04.0,Defensive rebound by A. Crabbe,,31,46
106,2,11:43.0,C. McCollum misses 2-pt layup from 3 ft (block by C. Frye),,31,46
107,2,11:42.0,,Defensive rebound by I. Shumpert,31,46
108,2,11:25.0,,C. Frye misses 3-pt jump shot from 25 ft,31,46
109,2,11:25.0,Defensive rebound by E. Turner,,31,46
110,2,11:16.0,M. Leonard makes 2-pt jump shot from 17 ft (assist by A. Crabbe),,33,46
111,2,10:59.0,,L. James misses 2-pt jump shot from 6 ft (block by E. Turner),33,46
112,2,10:59.0,,Offensive rebound by Team,33,46
113,2,10:50.0,,L. James misses 2-pt jump shot from 21 ft,33,46
114,2,10:49.0,Defensive rebound by N. Vonleh,,33,46
115,2,10:40.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,36,46
116,2,10:22.0,,C. Frye makes 3-pt jump shot from 23 ft (assist by L. James),36,49
117,2,9:55.0,A. Crabbe makes 2-pt layup from 1 ft (assist by C. McCollum),,38,49
118,2,9:38.0,,Shooting foul by M. Leonard (drawn by C. Frye),38,49
119,2,9:38.0,,C. Frye makes free throw 1 of 2,38,50
120,2,9:38.0,,C. Frye makes free throw 2 of 2,38,51
121,2,9:31.0,Personal foul by I. Shumpert (drawn by C. McCollum),,38,51
122,2,9:31.0,,J. Smith enters the game for I. Shumpert,38,51
123,2,9:23.0,C. McCollum makes 2-pt layup from 1 ft,,40,51
124,2,9:13.0,,J. McRae misses 3-pt jump shot from 25 ft,40,51
