,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SAN ANTONIO_ACTION,BROOKLYN_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,B. Lopez makes 2-pt hook shot from 12 ft (assist by I. Whitehead),,2,0
1,1,11:30.0,,P. Gasol makes 3-pt jump shot from 23 ft (assist by T. Parker),2,3
2,1,11:13.0,B. Lopez misses 2-pt jump shot from 10 ft,,2,3
3,1,11:11.0,,Defensive rebound by P. Gasol,2,3
4,1,11:03.0,,T. Parker makes 2-pt layup at rim,2,5
5,1,10:56.0,I. Whitehead misses 2-pt jump shot from 19 ft,,2,5
6,1,10:54.0,,Defensive rebound by K. Leonard,2,5
7,1,10:41.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by T. Parker),2,7
8,1,10:20.0,T. Booker misses 2-pt layup from 1 ft,,2,7
9,1,10:20.0,,Defensive rebound by P. Gasol,2,7
10,1,10:12.0,,T. Parker misses 2-pt layup from 1 ft,2,7
11,1,10:12.0,Defensive rebound by B. Bogdanović,,2,7
12,1,10:03.0,B. Bogdanović makes 2-pt layup from 1 ft,,4,7
13,1,9:47.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Parker),4,9
14,1,9:37.0,Personal foul by P. Gasol (drawn by B. Lopez),,4,9
15,1,9:32.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,4,9
16,1,9:32.0,,Defensive rebound by K. Leonard,4,9
17,1,9:20.0,,D. Green makes 2-pt layup from 1 ft (assist by P. Gasol),4,11
18,1,9:01.0,T. Booker makes 2-pt jump shot from 14 ft (assist by S. Kilpatrick),,6,11
19,1,8:42.0,,K. Leonard makes 2-pt jump shot from 6 ft (assist by T. Parker),6,13
20,1,8:36.0,Brooklyn full timeout,,6,13
21,1,8:33.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by B. Lopez),,8,13
22,1,8:16.0,,L. Aldridge misses 2-pt jump shot from 18 ft,8,13
23,1,8:16.0,Defensive rebound by T. Booker,,8,13
24,1,8:03.0,B. Lopez misses 2-pt jump shot from 7 ft,,8,13
25,1,8:02.0,,Defensive rebound by D. Green,8,13
26,1,7:48.0,,T. Parker makes 2-pt jump shot from 19 ft,8,15
27,1,7:30.0,I. Whitehead makes 2-pt layup from 2 ft,,10,15
28,1,7:13.0,,P. Gasol misses 2-pt jump shot from 17 ft,10,15
29,1,7:13.0,Defensive rebound by T. Booker,,10,15
30,1,7:04.0,Turnover by T. Booker (bad pass; steal by T. Parker),,10,15
31,1,6:53.0,,T. Parker makes 3-pt jump shot from 23 ft (assist by K. Leonard),10,18
32,1,6:34.0,B. Bogdanović makes 2-pt layup from 1 ft,,12,18
33,1,6:14.0,,K. Leonard misses 2-pt jump shot from 16 ft,12,18
34,1,6:12.0,,Offensive rebound by L. Aldridge,12,18
35,1,6:11.0,,L. Aldridge misses 2-pt layup from 1 ft,12,18
36,1,6:11.0,,Offensive rebound by Team,12,18
37,1,6:11.0,R. Foye enters the game for I. Whitehead,,12,18
38,1,6:11.0,A. Bennett enters the game for B. Lopez,,12,18
39,1,5:57.0,,K. Leonard makes 2-pt layup from 2 ft (assist by P. Gasol),12,20
40,1,5:38.0,B. Bogdanović makes 3-pt jump shot from 26 ft,,15,20
41,1,5:21.0,,K. Leonard misses 3-pt jump shot from 24 ft,15,20
42,1,5:20.0,Defensive rebound by A. Bennett,,15,20
43,1,5:15.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by R. Foye),,17,20
44,1,5:15.0,,San Antonio full timeout,17,20
45,1,5:15.0,,M. Ginóbili enters the game for P. Gasol,17,20
46,1,5:15.0,,P. Mills enters the game for D. Green,17,20
47,1,5:15.0,,D. Bertāns enters the game for T. Parker,17,20
48,1,5:04.0,,K. Leonard makes 2-pt jump shot from 13 ft (assist by L. Aldridge),17,22
49,1,4:45.0,A. Bennett makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,20,22
50,1,4:35.0,,K. Leonard misses 2-pt jump shot from 20 ft,20,22
51,1,4:33.0,,Offensive rebound by L. Aldridge,20,22
52,1,4:25.0,,L. Aldridge makes 2-pt jump shot from 11 ft,20,24
53,1,4:02.0,A. Bennett misses 3-pt jump shot from 24 ft,,20,24
54,1,4:01.0,,Defensive rebound by L. Aldridge,20,24
55,1,3:53.0,,K. Leonard misses 3-pt jump shot from 25 ft,20,24
56,1,3:51.0,,Offensive rebound by L. Aldridge,20,24
57,1,3:43.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by P. Mills),20,27
58,1,3:28.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,20,27
59,1,3:27.0,,Defensive rebound by L. Aldridge,20,27
60,1,3:19.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by P. Mills),20,29
61,1,3:19.0,Brooklyn full timeout,,20,29
62,1,3:19.0,,D. Dedmon enters the game for L. Aldridge,20,29
63,1,3:19.0,J. Harris enters the game for S. Kilpatrick,,20,29
64,1,3:05.0,J. Harris misses 3-pt jump shot from 24 ft,,20,29
65,1,3:05.0,,Defensive rebound by D. Dedmon,20,29
66,1,2:52.0,,M. Ginóbili misses 2-pt jump shot from 6 ft,20,29
67,1,2:50.0,Defensive rebound by A. Bennett,,20,29
68,1,2:37.0,T. Booker makes 2-pt jump shot from 7 ft,,22,29
69,1,2:37.0,Shooting foul by D. Bertāns (drawn by T. Booker),,22,29
70,1,2:37.0,R. Hollis-Jefferson enters the game for B. Bogdanović,,22,29
71,1,2:37.0,T. Booker makes free throw 1 of 1,,23,29
72,1,2:28.0,,P. Mills misses 3-pt jump shot from 25 ft,23,29
73,1,2:28.0,Defensive rebound by J. Harris,,23,29
74,1,2:12.0,A. Bennett misses 2-pt layup from 1 ft (block by D. Bertāns),,23,29
75,1,2:11.0,Offensive rebound by R. Hollis-Jefferson,,23,29
76,1,2:03.0,R. Foye makes 3-pt jump shot from 32 ft (assist by R. Hollis-Jefferson),,26,29
77,1,1:46.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by K. Leonard),26,32
78,1,1:27.0,R. Hollis-Jefferson misses 3-pt jump shot from 26 ft,,26,32
79,1,1:25.0,,Defensive rebound by D. Bertāns,26,32
80,1,1:18.0,,P. Mills misses 3-pt jump shot from 25 ft,26,32
81,1,1:15.0,Defensive rebound by J. Harris,,26,32
82,1,1:06.0,R. Foye misses 3-pt jump shot from 25 ft,,26,32
83,1,1:05.0,,Defensive rebound by K. Leonard,26,32
