,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:47.0,Personal foul by D. Nowitzki (drawn by T. Chandler),,0,0
1,1,11:34.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,0,0
2,1,11:33.0,,Defensive rebound by W. Matthews,0,0
3,1,11:20.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,0,0
4,1,11:19.0,Defensive rebound by T. Chandler,,0,0
5,1,11:02.0,T. Chandler makes 2-pt dunk at rim (assist by E. Bledsoe),,2,0
6,1,10:42.0,,H. Barnes misses 2-pt layup at rim,2,0
7,1,10:41.0,Defensive rebound by T. Chandler,,2,0
8,1,10:31.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by T. Chandler),,4,0
9,1,10:05.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,4,0
10,1,10:04.0,Defensive rebound by M. Chriss,,4,0
11,1,9:54.0,M. Chriss misses 2-pt jump shot from 22 ft,,4,0
12,1,9:54.0,,Defensive rebound by Team,4,0
13,1,9:34.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,4,0
14,1,9:33.0,Defensive rebound by T. Warren,,4,0
15,1,9:24.0,T. Warren misses 2-pt jump shot from 20 ft,,4,0
16,1,9:24.0,,Defensive rebound by D. Williams,4,0
17,1,9:12.0,,W. Matthews misses 3-pt jump shot from 24 ft,4,0
18,1,9:11.0,Defensive rebound by M. Chriss,,4,0
19,1,9:03.0,T. Warren misses 2-pt layup from 2 ft (block by D. Finney-Smith),,4,0
20,1,9:01.0,,Defensive rebound by D. Williams,4,0
21,1,8:51.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Williams),4,3
22,1,8:35.0,D. Booker misses 2-pt jump shot from 8 ft (block by W. Matthews),,4,3
23,1,8:35.0,Offensive rebound by Team,,4,3
24,1,8:22.0,D. Booker makes 2-pt jump shot from 23 ft,,6,3
25,1,7:58.0,,Turnover by Team (shot clock),6,3
26,1,7:44.0,T. Chandler misses 2-pt hook shot from 7 ft,,6,3
27,1,7:43.0,,Defensive rebound by H. Barnes,6,3
28,1,7:33.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by W. Matthews),6,6
29,1,7:14.0,T. Warren misses 3-pt jump shot from 24 ft,,6,6
30,1,7:14.0,,Defensive rebound by D. Nowitzki,6,6
31,1,7:07.0,,D. Finney-Smith makes 2-pt layup from 2 ft (assist by D. Williams),6,8
32,1,7:06.0,Phoenix full timeout,,6,8
33,1,7:06.0,,A. Bogut enters the game for D. Nowitzki,6,8
34,1,6:52.0,Shooting foul by A. Bogut (drawn by M. Chriss),,6,8
35,1,6:52.0,M. Chriss makes free throw 1 of 2,,7,8
36,1,6:52.0,M. Chriss makes free throw 2 of 2,,8,8
37,1,6:40.0,,H. Barnes makes 2-pt dunk at rim (assist by A. Bogut),8,10
38,1,6:18.0,D. Booker makes 2-pt jump shot from 21 ft,,10,10
39,1,5:57.0,,H. Barnes makes 2-pt jump shot from 12 ft,10,12
40,1,5:36.0,D. Booker misses 2-pt jump shot from 15 ft,,10,12
41,1,5:36.0,Offensive rebound by T. Chandler,,10,12
42,1,5:32.0,T. Warren makes 2-pt jump shot from 15 ft (assist by T. Chandler),,12,12
43,1,5:14.0,,D. Finney-Smith misses 2-pt jump shot from 16 ft,12,12
44,1,5:13.0,Defensive rebound by T. Chandler,,12,12
45,1,5:10.0,Turnover by E. Bledsoe (bad pass),,12,12
46,1,5:10.0,P. Tucker enters the game for T. Chandler,,12,12
47,1,4:57.0,,D. Finney-Smith makes 2-pt dunk at rim (assist by D. Williams),12,14
48,1,4:39.0,T. Warren makes 2-pt jump shot from 15 ft,,14,14
49,1,4:18.0,,D. Williams makes 2-pt jump shot from 14 ft,14,16
50,1,4:05.0,Turnover by M. Chriss (lost ball; steal by H. Barnes),,14,16
51,1,3:54.0,,W. Matthews misses 3-pt jump shot from 24 ft,14,16
52,1,3:53.0,Defensive rebound by M. Chriss,,14,16
53,1,3:37.0,Turnover by D. Booker (lost ball; steal by W. Matthews),,14,16
54,1,3:33.0,,W. Matthews misses 2-pt layup from 2 ft (block by D. Booker),14,16
55,1,3:31.0,,Offensive rebound by D. Finney-Smith,14,16
56,1,3:25.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Williams),14,19
57,1,3:00.0,T. Warren makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,16,19
58,1,3:00.0,,Dallas full timeout,16,19
59,1,3:00.0,,S. Curry enters the game for D. Finney-Smith,16,19
60,1,3:00.0,,D. Harris enters the game for D. Williams,16,19
61,1,3:00.0,B. Knight enters the game for M. Chriss,,16,19
62,1,3:00.0,A. Len enters the game for E. Bledsoe,,16,19
63,1,2:41.0,,Personal block foul by D. Booker (drawn by W. Matthews),16,19
64,1,2:33.0,,Shooting block foul by B. Knight (drawn by S. Curry),16,19
65,1,2:33.0,,S. Curry misses free throw 1 of 2,16,19
66,1,2:33.0,,Offensive rebound by Team,16,19
67,1,2:33.0,,S. Curry makes free throw 2 of 2,16,20
68,1,2:21.0,T. Warren misses 2-pt jump shot from 17 ft,,16,20
69,1,2:20.0,,Defensive rebound by D. Harris,16,20
70,1,2:06.0,Violation by B. Knight (kicked ball),,16,20
71,1,2:02.0,,S. Curry misses 2-pt layup from 1 ft,16,20
72,1,2:00.0,Defensive rebound by P. Tucker,,16,20
73,1,1:49.0,T. Warren misses 2-pt jump shot from 6 ft,,16,20
74,1,1:48.0,Offensive rebound by A. Len,,16,20
75,1,1:46.0,A. Len misses 2-pt hook shot from 4 ft,,16,20
76,1,1:45.0,Offensive rebound by T. Warren,,16,20
77,1,1:45.0,Shooting foul by A. Bogut (drawn by T. Warren),,16,20
78,1,1:45.0,T. Warren misses free throw 1 of 2,,16,20
79,1,1:45.0,Offensive rebound by Team,,16,20
80,1,1:45.0,,D. Nowitzki enters the game for A. Bogut,16,20
81,1,1:45.0,,D. Powell enters the game for H. Barnes,16,20
82,1,1:45.0,T. Warren makes free throw 2 of 2,,17,20
83,1,1:23.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by W. Matthews),17,22
84,1,1:08.0,B. Knight misses 2-pt jump shot from 20 ft,,17,22
85,1,1:08.0,,Defensive rebound by D. Nowitzki,17,22
86,1,1:00.0,,D. Powell misses 2-pt layup from 2 ft,17,22
87,1,0:59.0,,Offensive rebound by D. Powell,17,22
88,1,0:56.0,,D. Powell misses 2-pt layup from 1 ft (block by P. Tucker),17,22
89,1,0:55.0,Defensive rebound by T. Warren,,17,22
90,1,0:44.0,P. Tucker misses 2-pt jump shot from 20 ft,,17,22
91,1,0:43.0,,Defensive rebound by Team,17,22
92,1,0:43.0,D. Bender enters the game for T. Warren,,17,22
93,1,0:26.0,,D. Powell misses 2-pt jump shot from 15 ft (block by A. Len),17,22
94,1,0:24.0,Defensive rebound by D. Booker,,17,22
95,1,0:20.0,P. Tucker misses 3-pt jump shot from 23 ft,,17,22
96,1,0:19.0,Offensive rebound by P. Tucker,,17,22
97,1,0:05.0,D. Booker makes 2-pt jump shot from 17 ft,,19,22
98,1,0:00.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,19,22
99,1,0:00.0,,Offensive rebound by Team,19,22
