,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
38,1,7:37.0,,Defensive rebound by R. Covington,12,12
39,1,7:29.0,,Shooting foul by E. Bledsoe (drawn by G. Henderson),12,12
40,1,7:29.0,,G. Henderson misses free throw 1 of 2,12,12
41,1,7:29.0,,Offensive rebound by Team,12,12
42,1,7:29.0,,G. Henderson makes free throw 2 of 2,12,13
43,1,7:18.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,12,13
44,1,7:16.0,,Defensive rebound by S. Rodríguez,12,13
45,1,7:11.0,,G. Henderson makes 2-pt layup from 2 ft (assist by S. Rodríguez),12,15
46,1,7:00.0,D. Booker makes 2-pt layup from 1 ft,,14,15
47,1,6:47.0,,R. Covington misses 3-pt jump shot from 24 ft,14,15
48,1,6:46.0,Defensive rebound by A. Len,,14,15
49,1,6:34.0,Turnover by M. Chriss (lost ball; steal by G. Henderson),,14,15
50,1,6:28.0,,R. Covington misses 3-pt jump shot from 23 ft,14,15
51,1,6:27.0,Defensive rebound by P. Tucker,,14,15
52,1,6:17.0,E. Bledsoe misses 2-pt jump shot from 19 ft,,14,15
53,1,6:16.0,,Defensive rebound by S. Rodríguez,14,15
54,1,6:04.0,Violation by M. Chriss (def goaltending),,14,15
55,1,6:04.0,,J. Okafor makes 2-pt layup from 3 ft,14,17
56,1,5:49.0,Turnover by D. Booker (bad pass; steal by S. Rodríguez),,14,17
57,1,5:41.0,,E. İlyasova misses 3-pt jump shot from 24 ft,14,17
58,1,5:40.0,Defensive rebound by A. Len,,14,17
59,1,5:30.0,E. Bledsoe makes 2-pt jump shot from 18 ft (assist by A. Len),,16,17
60,1,5:29.0,,Philadelphia full timeout,16,17
61,1,5:29.0,,N. Stauskas enters the game for E. İlyasova,16,17
62,1,5:29.0,,D. Šarić enters the game for R. Covington,16,17
63,1,5:29.0,J. Dudley enters the game for E. Bledsoe,,16,17
64,1,5:29.0,B. Knight enters the game for M. Chriss,,16,17
65,1,5:13.0,,N. Stauskas makes 2-pt layup from 2 ft,16,19
66,1,4:58.0,Turnover by D. Booker (lost ball; steal by S. Rodríguez),,16,19
67,1,4:52.0,,G. Henderson makes 2-pt jump shot from 6 ft (assist by S. Rodríguez),16,21
68,1,4:33.0,A. Len misses 2-pt jump shot from 16 ft,,16,21
69,1,4:32.0,,Defensive rebound by D. Šarić,16,21
70,1,4:23.0,,D. Šarić misses 2-pt layup from 2 ft (block by A. Len),16,21
71,1,4:21.0,,Offensive rebound by G. Henderson,16,21
72,1,4:08.0,,S. Rodríguez misses 3-pt jump shot from 25 ft,16,21
73,1,4:07.0,Defensive rebound by D. Booker,,16,21
74,1,4:03.0,Shooting foul by N. Stauskas (drawn by D. Booker),,16,21
75,1,4:03.0,D. Booker misses free throw 1 of 2,,16,21
76,1,4:03.0,Offensive rebound by Team,,16,21
77,1,4:03.0,,T. McConnell enters the game for S. Rodríguez,16,21
78,1,4:03.0,,J. Embiid enters the game for J. Okafor,16,21
79,1,4:03.0,,H. Thompson enters the game for G. Henderson,16,21
80,1,4:03.0,A. Williams enters the game for A. Len,,16,21
81,1,4:03.0,D. Booker makes free throw 2 of 2,,17,21
82,1,3:47.0,,J. Embiid misses 2-pt jump shot from 10 ft (block by A. Williams),17,21
83,1,3:46.0,,Offensive rebound by Team,17,21
84,1,3:46.0,L. Barbosa enters the game for D. Booker,,17,21
85,1,3:42.0,,D. Šarić misses 2-pt jump shot from 21 ft,17,21
86,1,3:41.0,Defensive rebound by B. Knight,,17,21
87,1,3:34.0,B. Knight misses 2-pt jump shot from 22 ft,,17,21
88,1,3:33.0,,Defensive rebound by J. Embiid,17,21
89,1,3:27.0,,J. Embiid misses 3-pt jump shot from 25 ft,17,21
90,1,3:25.0,,Offensive rebound by Team,17,21
91,1,3:23.0,,Personal foul by A. Williams (drawn by J. Embiid),17,21
92,1,3:08.0,,H. Thompson misses 3-pt jump shot from 24 ft,17,21
93,1,3:07.0,Defensive rebound by A. Williams,,17,21
94,1,2:58.0,L. Barbosa misses 2-pt jump shot from 12 ft,,17,21
95,1,2:57.0,Offensive rebound by P. Tucker,,17,21
96,1,2:46.0,B. Knight misses 2-pt layup from 1 ft (block by J. Embiid),,17,21
97,1,2:45.0,Offensive rebound by J. Dudley,,17,21
98,1,2:44.0,J. Dudley misses 2-pt layup from 1 ft (block by D. Šarić),,17,21
99,1,2:43.0,Offensive rebound by B. Knight,,17,21
100,1,2:42.0,Phoenix full timeout,,17,21
101,1,2:37.0,Personal foul by J. Embiid (drawn by A. Williams),,17,21
102,1,2:37.0,D. Bender enters the game for P. Tucker,,17,21
103,1,2:27.0,J. Dudley misses 3-pt jump shot from 25 ft,,17,21
104,1,2:26.0,,Defensive rebound by D. Šarić,17,21
105,1,2:15.0,,Shooting foul by A. Williams (drawn by J. Embiid),17,21
106,1,2:15.0,,J. Embiid makes free throw 1 of 2,17,22
107,1,2:15.0,,J. Embiid makes free throw 2 of 2,17,23
108,1,1:55.0,B. Knight misses 2-pt jump shot from 6 ft,,17,23
109,1,1:54.0,,Defensive rebound by J. Embiid,17,23
110,1,1:42.0,,J. Embiid makes 2-pt hook shot from 1 ft (assist by D. Šarić),17,25
111,1,1:39.0,Turnover by D. Bender (bad pass; steal by T. McConnell),,17,25
112,1,1:35.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by T. McConnell),17,28
113,1,1:35.0,Phoenix full timeout,,17,28
114,1,1:18.0,L. Barbosa misses 2-pt jump shot from 17 ft,,17,28
