,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:45.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by C. Parsons),0,2
1,1,11:23.0,S. Adams misses 2-pt layup from 1 ft,,0,2
2,1,11:22.0,,Defensive rebound by M. Gasol,0,2
3,1,11:15.0,,M. Gasol misses 3-pt jump shot from 26 ft,0,2
4,1,11:12.0,,Offensive rebound by J. Green,0,2
5,1,10:59.0,,M. Gasol misses 2-pt jump shot from 20 ft,0,2
6,1,10:59.0,Defensive rebound by A. Roberson,,0,2
7,1,10:51.0,Turnover by R. Westbrook (bad pass; steal by C. Parsons),,0,2
8,1,10:35.0,,M. Gasol makes 2-pt dunk at rim (assist by A. Harrison),0,4
9,1,10:10.0,R. Westbrook misses 2-pt jump shot from 12 ft,,0,4
10,1,10:10.0,,Defensive rebound by T. Allen,0,4
11,1,10:01.0,,Turnover by T. Allen (lost ball; steal by A. Morrow),0,4
12,1,9:59.0,Shooting foul by A. Harrison (drawn by R. Westbrook),,0,4
13,1,9:59.0,R. Westbrook makes free throw 1 of 2,,1,4
14,1,9:59.0,R. Westbrook misses free throw 2 of 2,,1,4
15,1,9:52.0,Offensive rebound by D. Sabonis,,1,4
16,1,9:48.0,Turnover by R. Westbrook (bad pass),,1,4
17,1,9:23.0,,A. Harrison misses 2-pt jump shot from 8 ft,1,4
18,1,9:23.0,Defensive rebound by R. Westbrook,,1,4
19,1,9:07.0,D. Sabonis makes 2-pt layup from 2 ft,,3,4
20,1,8:45.0,,C. Parsons misses 3-pt jump shot from 26 ft,3,4
21,1,8:45.0,Defensive rebound by R. Westbrook,,3,4
22,1,8:37.0,Turnover by R. Westbrook (bad pass),,3,4
23,1,8:18.0,,C. Parsons makes 2-pt layup from 1 ft,3,6
24,1,8:02.0,Turnover by R. Westbrook (bad pass; steal by T. Allen),,3,6
25,1,7:58.0,,J. Green makes 2-pt layup from 1 ft (assist by T. Allen),3,8
26,1,7:58.0,,Shooting foul by D. Sabonis (drawn by J. Green),3,8
27,1,7:58.0,,J. Green makes free throw 1 of 1,3,9
28,1,7:38.0,D. Sabonis misses 2-pt jump shot from 5 ft,,3,9
29,1,7:35.0,Offensive rebound by S. Adams,,3,9
30,1,7:35.0,S. Adams misses 2-pt layup at rim,,3,9
31,1,7:34.0,Offensive rebound by S. Adams,,3,9
32,1,7:34.0,S. Adams makes 2-pt layup from 1 ft,,5,9
33,1,7:24.0,,Turnover by M. Gasol (lost ball),5,9
34,1,7:15.0,R. Westbrook makes 2-pt layup from 2 ft,,7,9
35,1,6:51.0,,Turnover by A. Harrison (lost ball; steal by R. Westbrook),7,9
36,1,6:44.0,Oklahoma City full timeout,,7,9
37,1,6:44.0,,J. Ennis enters the game for C. Parsons,7,9
38,1,6:37.0,R. Westbrook misses 2-pt jump shot from 19 ft,,7,9
39,1,6:36.0,,Defensive rebound by J. Green,7,9
40,1,6:11.0,,A. Harrison makes 2-pt layup from 2 ft (assist by M. Gasol),7,11
41,1,6:03.0,Offensive foul by R. Westbrook (drawn by A. Harrison),,7,11
42,1,6:03.0,Turnover by R. Westbrook (offensive foul),,7,11
43,1,5:51.0,,Shooting foul by S. Adams (drawn by M. Gasol),7,11
44,1,5:51.0,,M. Gasol misses free throw 1 of 2,7,11
45,1,5:51.0,,Offensive rebound by Team,7,11
46,1,5:51.0,Á. Abrines enters the game for A. Morrow,,7,11
47,1,5:51.0,,M. Gasol makes free throw 2 of 2,7,12
48,1,5:46.0,E. Freedom enters the game for D. Sabonis,,7,12
49,1,5:41.0,Shooting foul by J. Green (drawn by S. Adams),,7,12
50,1,5:41.0,S. Adams makes free throw 1 of 2,,8,12
51,1,5:41.0,,V. Carter enters the game for T. Allen,8,12
52,1,5:41.0,S. Adams makes free throw 2 of 2,,9,12
53,1,5:16.0,,J. Green misses 2-pt layup from 3 ft,9,12
54,1,5:16.0,,Offensive rebound by Team,9,12
55,1,5:16.0,,Turnover by Team (shot clock),9,12
56,1,5:01.0,E. Freedom makes 2-pt layup from 2 ft,,11,12
57,1,4:40.0,,V. Carter misses 2-pt layup from 1 ft,11,12
58,1,4:37.0,,Offensive rebound by J. Green,11,12
59,1,4:37.0,,J. Green makes 2-pt layup at rim,11,14
60,1,4:21.0,E. Freedom makes 2-pt hook shot from 3 ft (assist by S. Adams),,13,14
61,1,4:10.0,,M. Gasol makes 2-pt jump shot from 5 ft (assist by A. Harrison),13,16
62,1,4:10.0,,Shooting foul by E. Freedom (drawn by M. Gasol),13,16
63,1,4:10.0,,Z. Randolph enters the game for J. Green,13,16
64,1,4:10.0,,M. Gasol makes free throw 1 of 1,13,17
65,1,4:00.0,Turnover by R. Westbrook (bad pass; steal by V. Carter),,13,17
66,1,3:51.0,,M. Gasol misses 3-pt jump shot from 25 ft,13,17
67,1,3:49.0,Defensive rebound by S. Adams,,13,17
68,1,3:44.0,R. Westbrook makes 3-pt jump shot from 26 ft,,16,17
69,1,3:22.0,,M. Gasol misses 2-pt jump shot from 21 ft,16,17
70,1,3:19.0,Defensive rebound by S. Adams,,16,17
71,1,3:07.0,R. Westbrook misses 2-pt jump shot from 13 ft,,16,17
72,1,3:06.0,,Defensive rebound by M. Gasol,16,17
73,1,3:04.0,,Turnover by M. Gasol (bad pass; steal by R. Westbrook),16,17
74,1,3:00.0,R. Westbrook misses 2-pt layup from 1 ft,,16,17
75,1,3:00.0,Offensive rebound by R. Westbrook,,16,17
76,1,2:58.0,R. Westbrook makes 2-pt layup from 1 ft,,18,17
77,1,2:51.0,,Personal take foul by S. Adams (drawn by A. Harrison),18,17
78,1,2:51.0,,Memphis full timeout,18,17
79,1,2:51.0,Technical foul by Team,,18,17
80,1,2:51.0,S. Christon enters the game for R. Westbrook,,18,17
81,1,2:51.0,,M. Gasol makes technical free throw,18,18
82,1,2:36.0,,Z. Randolph makes 2-pt jump shot from 17 ft,18,20
83,1,2:17.0,E. Freedom makes 2-pt layup from 1 ft,,20,20
84,1,2:02.0,,T. Allen enters the game for A. Harrison,20,20
85,1,2:02.0,J. Lauvergne enters the game for S. Adams,,20,20
86,1,2:02.0,,J. Green enters the game for M. Gasol,20,20
87,1,1:52.0,,Turnover by Team (shot clock),20,20
88,1,1:30.0,A. Roberson misses 2-pt jump shot from 6 ft,,20,20
89,1,1:28.0,,Defensive rebound by J. Green,20,20
90,1,1:16.0,,Z. Randolph makes 2-pt jump shot from 7 ft,20,22
91,1,0:56.0,Á. Abrines misses 3-pt jump shot from 26 ft,,20,22
92,1,0:55.0,,Defensive rebound by V. Carter,20,22
93,1,0:42.0,,Z. Randolph makes 3-pt jump shot from 25 ft (assist by V. Carter),20,25
94,1,0:32.0,Shooting foul by V. Carter (drawn by E. Freedom),,20,25
95,1,0:32.0,E. Freedom misses free throw 1 of 2,,20,25
96,1,0:32.0,Offensive rebound by Team,,20,25
97,1,0:32.0,E. Freedom makes free throw 2 of 2,,21,25
98,1,0:12.0,,Z. Randolph makes 2-pt jump shot from 18 ft,21,27
99,1,0:01.0,E. Freedom misses 3-pt jump shot from 26 ft,,21,27
100,1,0:00.0,Offensive rebound by Team,,21,27
101,2,11:52.0,Turnover by S. Christon (bad pass; steal by J. Green),,21,27
102,2,11:48.0,,J. Green makes 2-pt dunk at rim,21,29
103,2,11:27.0,N. Collison makes 2-pt hook shot from 4 ft (assist by S. Christon),,23,29
104,2,11:12.0,,Turnover by T. Allen (traveling),23,29
105,2,11:12.0,,C. Parsons enters the game for J. Ennis,23,29
106,2,10:54.0,S. Christon misses 3-pt jump shot from 24 ft,,23,29
107,2,10:54.0,Offensive rebound by Team,,23,29
108,2,10:54.0,Personal foul by J. Green (drawn by N. Collison),,23,29
109,2,10:30.0,Á. Abrines misses 3-pt jump shot from 26 ft,,23,29
110,2,10:30.0,,Defensive rebound by Z. Randolph,23,29
111,2,10:16.0,,V. Carter misses 3-pt jump shot from 25 ft,23,29
112,2,10:16.0,Defensive rebound by E. Freedom,,23,29
113,2,9:51.0,J. Grant misses 2-pt jump shot from 22 ft (block by V. Carter),,23,29
114,2,9:51.0,Offensive rebound by Team,,23,29
115,2,9:51.0,Turnover by Team (shot clock),,23,29
116,2,9:51.0,,T. Daniels enters the game for V. Carter,23,29
117,2,9:39.0,,Turnover by J. Green (traveling),23,29
118,2,9:28.0,N. Collison misses 2-pt jump shot from 9 ft,,23,29
119,2,9:28.0,,Defensive rebound by Z. Randolph,23,29
120,2,9:16.0,,T. Allen makes 2-pt layup from 1 ft,23,31
121,2,8:59.0,E. Freedom misses 2-pt jump shot from 13 ft,,23,31
122,2,8:58.0,Offensive rebound by S. Christon,,23,31
123,2,8:55.0,N. Collison makes 2-pt layup from 1 ft (assist by S. Christon),,25,31
124,2,8:55.0,Shooting foul by T. Allen (drawn by N. Collison),,25,31
125,2,8:55.0,Oklahoma City full timeout,,25,31
126,2,8:55.0,R. Westbrook enters the game for Á. Abrines,,25,31
127,2,8:55.0,N. Collison makes free throw 1 of 1,,26,31
128,2,8:38.0,,Z. Randolph misses 2-pt layup from 2 ft (block by N. Collison),26,31
129,2,8:38.0,,Offensive rebound by Team,26,31
130,2,8:33.0,,Personal foul by N. Collison (drawn by Z. Randolph),26,31
131,2,8:33.0,,M. Gasol enters the game for Z. Randolph,26,31
132,2,8:17.0,,J. Green makes 2-pt layup from 1 ft (assist by M. Gasol),26,33
133,2,8:07.0,Turnover by E. Freedom (lost ball; steal by C. Parsons),,26,33
134,2,8:02.0,,T. Allen makes 2-pt layup from 2 ft (assist by C. Parsons),26,35
135,2,7:46.0,Shooting foul by T. Allen (drawn by R. Westbrook),,26,35
136,2,7:46.0,R. Westbrook makes free throw 1 of 2,,27,35
137,2,7:46.0,R. Westbrook misses free throw 2 of 2,,27,35
138,2,7:46.0,,Defensive rebound by Team,27,35
139,2,7:46.0,D. Sabonis enters the game for E. Freedom,,27,35
140,2,7:46.0,S. Adams enters the game for N. Collison,,27,35
141,2,7:32.0,,T. Allen misses 2-pt layup from 1 ft,27,35
142,2,7:30.0,Defensive rebound by S. Christon,,27,35
143,2,7:28.0,Shooting foul by T. Daniels (drawn by R. Westbrook),,27,35
144,2,7:28.0,R. Westbrook makes free throw 1 of 2,,28,35
145,2,7:28.0,R. Westbrook makes free throw 2 of 2,,29,35
146,2,7:20.0,,Personal foul by S. Christon (drawn by T. Daniels),29,35
147,2,7:20.0,,A. Harrison enters the game for T. Allen,29,35
148,2,7:04.0,,A. Harrison misses 2-pt jump shot from 14 ft,29,35
149,2,7:01.0,Defensive rebound by S. Adams,,29,35
150,2,6:55.0,Shooting foul by T. Daniels (drawn by R. Westbrook),,29,35
151,2,6:55.0,R. Westbrook makes free throw 1 of 2,,30,35
152,2,6:55.0,R. Westbrook misses free throw 2 of 2,,30,35
153,2,6:55.0,,V. Carter enters the game for C. Parsons,30,35
154,2,6:55.0,A. Morrow enters the game for S. Christon,,30,35
155,2,6:54.0,,Defensive rebound by Team,30,35
156,2,6:49.0,,Memphis full timeout,30,35
157,2,6:28.0,,M. Gasol makes 2-pt hook shot from 17 ft (assist by A. Harrison),30,37
158,2,6:03.0,R. Westbrook makes 3-pt jump shot from 27 ft,,33,37
159,2,5:49.0,,M. Gasol makes 2-pt jump shot from 7 ft,33,39
160,2,5:31.0,Turnover by D. Sabonis (bad pass),,33,39
161,2,5:17.0,,M. Gasol misses 2-pt hook shot from 11 ft,33,39
162,2,5:15.0,Defensive rebound by J. Grant,,33,39
163,2,5:07.0,R. Westbrook makes 2-pt layup from 1 ft,,35,39
164,2,4:51.0,,Shooting foul by D. Sabonis (drawn by V. Carter),35,39
165,2,4:51.0,,V. Carter misses free throw 1 of 2,35,39
166,2,4:51.0,,Offensive rebound by Team,35,39
167,2,4:51.0,,V. Carter makes free throw 2 of 2,35,40
168,2,4:43.0,Shooting foul by V. Carter (drawn by R. Westbrook),,35,40
169,2,4:43.0,R. Westbrook makes free throw 1 of 2,,36,40
170,2,4:43.0,,Z. Randolph enters the game for J. Green,36,40
171,2,4:43.0,R. Westbrook makes free throw 2 of 2,,37,40
172,2,4:30.0,,T. Daniels misses 2-pt layup from 1 ft (block by D. Sabonis),37,40
173,2,4:27.0,,Offensive rebound by T. Daniels,37,40
174,2,4:24.0,,V. Carter makes 3-pt jump shot from 25 ft,37,43
175,2,4:11.0,R. Westbrook misses 3-pt jump shot from 25 ft,,37,43
176,2,4:11.0,Offensive rebound by Team,,37,43
177,2,4:11.0,,Loose ball foul by T. Daniels (drawn by S. Adams),37,43
178,2,4:11.0,S. Adams misses free throw 1 of 2,,37,43
179,2,4:11.0,Offensive rebound by Team,,37,43
180,2,4:11.0,S. Adams misses free throw 2 of 2,,37,43
181,2,4:11.0,,T. Allen enters the game for T. Daniels,37,43
182,2,4:08.0,,Defensive rebound by Z. Randolph,37,43
183,2,3:54.0,,Z. Randolph makes 2-pt jump shot from 19 ft (assist by V. Carter),37,45
184,2,3:31.0,R. Westbrook misses 2-pt jump shot from 15 ft,,37,45
185,2,3:30.0,,Defensive rebound by T. Allen,37,45
186,2,3:25.0,,T. Allen misses 2-pt layup at rim (block by D. Sabonis),37,45
187,2,3:25.0,,Offensive rebound by Team,37,45
188,2,3:25.0,,J. Ennis enters the game for V. Carter,37,45
189,2,3:25.0,N. Collison enters the game for D. Sabonis,,37,45
190,2,3:14.0,,Turnover by T. Allen (bad pass),37,45
191,2,3:01.0,R. Westbrook misses 2-pt jump shot from 10 ft,,37,45
192,2,3:00.0,Offensive rebound by S. Adams,,37,45
193,2,2:56.0,A. Morrow misses 2-pt jump shot from 6 ft (block by M. Gasol),,37,45
194,2,2:54.0,,Defensive rebound by A. Harrison,37,45
195,2,2:52.0,,Shooting foul by J. Grant (drawn by J. Ennis),37,45
196,2,2:52.0,Technical foul by A. Morrow,,37,45
197,2,2:52.0,Oklahoma City full timeout,,37,45
198,2,2:52.0,,M. Gasol makes technical free throw,37,46
199,2,2:52.0,,J. Ennis makes free throw 1 of 2,37,47
200,2,2:52.0,A. Roberson enters the game for J. Grant,,37,45
201,2,2:52.0,,J. Ennis makes free throw 2 of 2,37,48
202,2,2:42.0,Turnover by S. Adams (lost ball; steal by M. Gasol),,37,48
203,2,2:21.0,,A. Harrison makes 3-pt jump shot from 27 ft,37,51
204,2,2:08.0,Personal foul by M. Gasol (drawn by S. Adams),,37,51
205,2,2:08.0,S. Adams misses free throw 1 of 2,,37,51
206,2,2:08.0,Offensive rebound by Team,,37,51
207,2,2:08.0,S. Adams makes free throw 2 of 2,,38,51
208,2,1:51.0,,J. Ennis misses 2-pt layup from 1 ft,38,51
209,2,1:50.0,,Offensive rebound by Z. Randolph,38,51
210,2,1:46.0,,Z. Randolph misses 2-pt jump shot from 21 ft,38,51
211,2,1:43.0,,Offensive rebound by T. Allen,38,51
212,2,1:43.0,,T. Allen misses 2-pt layup from 2 ft,38,51
213,2,1:39.0,,Offensive rebound by T. Allen,38,51
214,2,1:39.0,,T. Allen makes 2-pt layup from 1 ft,38,53
215,2,1:19.0,R. Westbrook misses 2-pt jump shot from 6 ft,,38,53
216,2,1:17.0,Offensive rebound by S. Adams,,38,53
217,2,1:17.0,S. Adams misses 2-pt layup from 1 ft,,38,53
218,2,1:16.0,Offensive rebound by S. Adams,,38,53
219,2,1:14.0,Oklahoma City full timeout,,38,53
220,2,1:09.0,R. Westbrook misses 2-pt layup from 1 ft,,38,53
221,2,1:08.0,,Defensive rebound by M. Gasol,38,53
222,2,1:00.0,,T. Allen misses 2-pt layup from 2 ft,38,53
223,2,1:00.0,,Offensive rebound by T. Allen,38,53
224,2,1:00.0,,T. Allen misses 2-pt layup from 2 ft,38,53
