,QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
0,1,11:42.0,,Shooting foul by A. Horford (drawn by D. Howard),0,0
1,1,11:42.0,,D. Howard misses free throw 1 of 2,0,0
2,1,11:42.0,,Offensive rebound by Team,0,0
3,1,11:42.0,,D. Howard misses free throw 2 of 2,0,0
4,1,11:42.0,Defensive rebound by A. Bradley,,0,0
5,1,11:27.0,I. Thomas makes 3-pt jump shot from 23 ft (assist by A. Johnson),,3,0
6,1,11:04.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by E. İlyasova),3,3
7,1,10:46.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by A. Johnson),,5,3
8,1,10:20.0,,T. Prince makes 2-pt jump shot from 9 ft (assist by D. Schröder),5,5
9,1,10:03.0,Shooting foul by D. Howard (drawn by A. Johnson),,5,5
10,1,10:03.0,A. Johnson makes free throw 1 of 2,,6,5
11,1,10:03.0,A. Johnson makes free throw 2 of 2,,7,5
12,1,9:37.0,,T. Hardaway misses 2-pt jump shot from 22 ft,7,5
13,1,9:35.0,,Offensive rebound by D. Howard,7,5
14,1,9:34.0,,Personal foul by A. Johnson (drawn by D. Howard),7,5
15,1,9:31.0,,Personal foul by A. Bradley (drawn by T. Hardaway),7,5
16,1,9:20.0,,T. Prince makes 2-pt layup from 2 ft (assist by T. Hardaway),7,7
17,1,9:03.0,Personal foul by E. İlyasova (drawn by J. Crowder),,7,7
18,1,8:55.0,A. Bradley misses 2-pt jump shot from 18 ft,,7,7
19,1,8:52.0,,Defensive rebound by T. Prince,7,7
20,1,8:41.0,,D. Schröder misses 2-pt jump shot from 12 ft,7,7
21,1,8:40.0,,Offensive rebound by Team,7,7
22,1,8:31.0,,E. İlyasova misses 3-pt jump shot from 24 ft,7,7
23,1,8:28.0,Defensive rebound by I. Thomas,,7,7
24,1,8:13.0,A. Johnson misses 3-pt jump shot from 24 ft,,7,7
25,1,8:11.0,,Defensive rebound by T. Prince,7,7
26,1,8:05.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by T. Hardaway),7,10
27,1,7:38.0,J. Crowder makes 2-pt jump shot from 8 ft (assist by I. Thomas),,9,10
28,1,7:30.0,,D. Schröder makes 3-pt jump shot from 25 ft,9,13
29,1,7:14.0,Personal foul by T. Prince (drawn by J. Crowder),,9,13
30,1,7:07.0,A. Bradley misses 3-pt jump shot from 24 ft,,9,13
31,1,7:06.0,,Defensive rebound by D. Howard,9,13
32,1,7:02.0,,T. Hardaway makes 2-pt layup at rim (assist by D. Howard),9,15
33,1,6:54.0,Personal foul by D. Schröder (drawn by I. Thomas),,9,15
34,1,6:54.0,K. Olynyk enters the game for A. Johnson,,9,15
35,1,6:44.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by I. Thomas),,12,15
36,1,6:25.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Schröder),12,18
37,1,6:04.0,A. Bradley misses 3-pt jump shot from 24 ft,,12,18
38,1,6:02.0,,Defensive rebound by D. Howard,12,18
39,1,5:57.0,,E. İlyasova misses 2-pt layup at rim,12,18
40,1,5:54.0,Defensive rebound by K. Olynyk,,12,18
41,1,5:49.0,Personal foul by D. Schröder (drawn by I. Thomas),,12,18
42,1,5:49.0,,Atlanta full timeout,12,18
43,1,5:49.0,I. Thomas makes free throw 1 of 2,,13,18
44,1,5:49.0,,K. Bazemore enters the game for T. Prince,12,18
45,1,5:49.0,,P. Millsap enters the game for E. İlyasova,12,18
46,1,5:49.0,M. Smart enters the game for J. Crowder,,12,18
47,1,5:49.0,I. Thomas makes free throw 2 of 2,,14,18
48,1,5:38.0,,Personal foul by K. Olynyk (drawn by D. Howard),14,18
49,1,5:34.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by K. Bazemore),14,20
50,1,5:16.0,A. Horford misses 2-pt jump shot from 19 ft,,14,20
51,1,5:15.0,,Defensive rebound by T. Hardaway,14,20
52,1,5:06.0,,D. Howard misses 2-pt layup from 1 ft,14,20
53,1,5:03.0,Defensive rebound by K. Olynyk,,14,20
54,1,4:54.0,K. Olynyk misses 3-pt jump shot from 24 ft,,14,20
55,1,4:53.0,,Defensive rebound by T. Hardaway,14,20
56,1,4:46.0,,Turnover by D. Howard (step out of bounds),14,20
57,1,4:46.0,,T. Prince enters the game for D. Schröder,14,20
58,1,4:36.0,I. Thomas makes 2-pt layup from 1 ft (assist by A. Horford),,16,20
59,1,4:19.0,,P. Millsap misses 3-pt jump shot from 25 ft,16,20
60,1,4:17.0,,Offensive rebound by Team,16,20
61,1,4:17.0,,M. Muscala enters the game for D. Howard,16,20
62,1,4:09.0,,P. Millsap misses 2-pt jump shot from 10 ft,16,20
63,1,4:06.0,Defensive rebound by A. Horford,,16,20
64,1,4:01.0,A. Bradley misses 3-pt jump shot from 24 ft,,16,20
65,1,4:00.0,,Defensive rebound by P. Millsap,16,20
66,1,3:54.0,Offensive charge foul by P. Millsap (drawn by K. Olynyk),,16,20
67,1,3:54.0,,Turnover by P. Millsap (offensive foul),16,20
68,1,3:36.0,K. Olynyk makes 2-pt jump shot from 11 ft (assist by M. Smart),,18,20
69,1,3:21.0,,T. Hardaway misses 2-pt layup from 2 ft,18,20
70,1,3:20.0,,Offensive rebound by P. Millsap,18,20
71,1,3:20.0,,P. Millsap makes 2-pt layup from 1 ft,18,22
72,1,3:08.0,A. Bradley misses 3-pt jump shot from 23 ft,,18,22
73,1,3:06.0,,Defensive rebound by M. Muscala,18,22
74,1,2:53.0,,M. Muscala misses 3-pt jump shot from 24 ft,18,22
75,1,2:52.0,,Offensive rebound by P. Millsap,18,22
76,1,2:52.0,Boston full timeout,,18,22
