,QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,N. Brussino misses 2-pt jump shot from 17 ft,,0,0
1,1,11:41.0,,Defensive rebound by L. Galloway,0,0
2,1,11:15.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by B. Hield),0,3
3,1,10:57.0,H. Barnes makes 2-pt jump shot from 16 ft,,2,3
4,1,10:41.0,,Shooting foul by N. Noel (drawn by L. Galloway),2,3
5,1,10:41.0,,L. Galloway makes free throw 1 of 2,2,4
6,1,10:41.0,,L. Galloway misses free throw 2 of 2,2,4
7,1,10:39.0,,Offensive rebound by L. Galloway,2,4
8,1,10:37.0,,Turnover by L. Galloway (bad pass),2,4
9,1,10:19.0,Shooting foul by S. Labissière (drawn by N. Noel),,2,4
10,1,10:19.0,N. Noel misses free throw 1 of 2,,2,4
11,1,10:19.0,Offensive rebound by Team,,2,4
12,1,10:19.0,N. Noel makes free throw 2 of 2,,3,4
13,1,10:04.0,,B. Hield misses 2-pt jump shot from 18 ft,3,4
14,1,10:04.0,Defensive rebound by N. Brussino,,3,4
15,1,9:54.0,N. Noel makes 2-pt jump shot from 7 ft (assist by Y. Ferrell),,5,4
16,1,9:37.0,,W. Cauley-Stein makes 2-pt layup from 5 ft (assist by T. Evans),5,6
17,1,9:14.0,Turnover by N. Noel (lost ball),,5,6
18,1,9:01.0,,T. Evans misses 2-pt jump shot from 22 ft,5,6
19,1,9:00.0,Defensive rebound by N. Noel,,5,6
20,1,8:51.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,5,6
21,1,8:51.0,,Defensive rebound by L. Galloway,5,6
22,1,8:37.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft,5,6
23,1,8:36.0,,Offensive rebound by Team,5,6
24,1,8:32.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by T. Evans),5,9
25,1,8:18.0,D. Powell misses 3-pt jump shot from 24 ft,,5,9
26,1,8:17.0,,Defensive rebound by W. Cauley-Stein,5,9
27,1,8:08.0,,S. Labissière misses 2-pt jump shot from 13 ft,5,9
28,1,8:07.0,Defensive rebound by D. Powell,,5,9
29,1,7:55.0,Turnover by Y. Ferrell (bad pass; steal by T. Evans),,5,9
30,1,7:52.0,,T. Evans makes 2-pt dunk at rim,5,11
31,1,7:26.0,D. Powell makes 2-pt jump shot from 4 ft,,7,11
32,1,7:20.0,,G. Papagiannis enters the game for S. Labissière,7,11
33,1,7:07.0,,L. Galloway makes 2-pt jump shot from 20 ft,7,13
34,1,6:48.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,7,13
35,1,6:47.0,,Defensive rebound by B. Hield,7,13
36,1,6:38.0,,B. Hield misses 2-pt jump shot from 20 ft,7,13
37,1,6:36.0,,Offensive rebound by G. Papagiannis,7,13
38,1,6:30.0,,T. Evans misses 2-pt layup from 4 ft,7,13
39,1,6:29.0,,Offensive rebound by G. Papagiannis,7,13
40,1,6:29.0,,G. Papagiannis makes 2-pt layup from 3 ft,7,15
41,1,6:29.0,Dallas full timeout,,7,15
42,1,6:20.0,N. Brussino misses 3-pt jump shot from 25 ft,,7,15
43,1,6:19.0,,Defensive rebound by W. Cauley-Stein,7,15
44,1,6:06.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,7,15
45,1,6:05.0,,Offensive rebound by W. Cauley-Stein,7,15
46,1,6:03.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,7,17
47,1,5:54.0,Personal foul by G. Papagiannis (drawn by N. Noel),,7,17
48,1,5:54.0,,G. Temple enters the game for L. Galloway,7,17
49,1,5:54.0,J. Barea enters the game for N. Brussino,,7,17
50,1,5:54.0,D. Harris enters the game for Y. Ferrell,,7,17
51,1,5:54.0,D. Finney-Smith enters the game for D. Powell,,7,17
52,1,5:39.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,7,17
53,1,5:39.0,,Defensive rebound by G. Temple,7,17
54,1,5:31.0,,T. Evans misses 3-pt jump shot from 25 ft,7,17
55,1,5:30.0,Defensive rebound by N. Noel,,7,17
56,1,5:15.0,D. Harris misses 3-pt jump shot from 25 ft,,7,17
57,1,5:14.0,,Defensive rebound by T. Evans,7,17
58,1,5:01.0,,G. Papagiannis misses 2-pt hook shot from 10 ft,7,17
59,1,5:01.0,Defensive rebound by N. Noel,,7,17
60,1,4:55.0,D. Harris makes 2-pt layup from 3 ft (assist by J. Barea),,9,17
61,1,4:35.0,,Turnover by G. Temple (bad pass; steal by D. Finney-Smith),9,17
62,1,4:25.0,Turnover by J. Barea (bad pass; steal by G. Temple),,9,17
63,1,4:20.0,,T. Evans misses 2-pt layup from 3 ft,9,17
64,1,4:17.0,Defensive rebound by J. Barea,,9,17
65,1,4:04.0,N. Noel misses 2-pt hook shot from 9 ft,,9,17
66,1,4:03.0,,Defensive rebound by W. Cauley-Stein,9,17
67,1,3:53.0,,G. Papagiannis makes 2-pt dunk at rim (assist by G. Temple),9,19
68,1,3:37.0,D. Harris misses 3-pt jump shot from 23 ft,,9,19
69,1,3:37.0,,Defensive rebound by W. Cauley-Stein,9,19
70,1,3:23.0,,G. Temple misses 3-pt jump shot from 24 ft,9,19
71,1,3:21.0,Defensive rebound by Team,,9,19
72,1,3:21.0,,B. McLemore enters the game for T. Evans,9,19
73,1,3:13.0,Personal foul by B. McLemore (drawn by D. Harris),,9,19
74,1,3:13.0,A. Hammons enters the game for N. Noel,,9,19
75,1,2:58.0,J. Barea makes 3-pt jump shot from 27 ft,,12,19
76,1,2:54.0,,Sacramento full timeout,12,19
77,1,2:54.0,,S. Labissière enters the game for W. Cauley-Stein,12,19
78,1,2:40.0,,B. Hield misses 2-pt jump shot from 18 ft,12,19
79,1,2:40.0,,Offensive rebound by S. Labissière,12,19
80,1,2:36.0,,Turnover by S. Labissière (lost ball),12,19
81,1,2:16.0,H. Barnes makes 2-pt jump shot from 18 ft,,14,19
82,1,2:03.0,,Personal foul by D. Harris (drawn by G. Papagiannis),14,19
83,1,2:03.0,,L. Galloway enters the game for B. Hield,14,19
84,1,1:49.0,,L. Galloway misses 3-pt jump shot from 25 ft,14,19
85,1,1:49.0,Defensive rebound by A. Hammons,,14,19
86,1,1:28.0,J. Barea misses 2-pt jump shot from 9 ft,,14,19
87,1,1:27.0,Offensive rebound by A. Hammons,,14,19
88,1,1:23.0,D. Finney-Smith misses 3-pt jump shot from 28 ft,,14,19
89,1,1:22.0,,Defensive rebound by G. Temple,14,19
90,1,1:09.0,,S. Labissière makes 2-pt jump shot from 13 ft,14,21
91,1,0:52.0,H. Barnes misses 2-pt jump shot from 15 ft,,14,21
92,1,0:50.0,,Defensive rebound by S. Labissière,14,21
93,1,0:46.0,J. Uthoff enters the game for H. Barnes,,14,21
94,1,0:33.0,,Shooting foul by D. Finney-Smith (drawn by G. Papagiannis),14,21
95,1,0:33.0,,G. Papagiannis misses free throw 1 of 2,14,21
96,1,0:33.0,,Offensive rebound by Team,14,21
97,1,0:33.0,,G. Papagiannis makes free throw 2 of 2,14,22
98,1,0:16.0,J. Barea makes 3-pt jump shot from 25 ft,,17,22
99,1,0:00.0,,B. McLemore misses 2-pt jump shot from 22 ft,17,22
100,1,0:00.0,,Offensive rebound by Team,17,22
101,2,11:45.0,,B. McLemore misses 2-pt jump shot from 5 ft (block by A. Hammons),17,22
