,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ORLANDO_ACTION,SAN ANTONIO_SCORE,ORLANDO_SCORE
0,1,11:36.0,K. Leonard misses 2-pt jump shot from 14 ft,,0,0
1,1,11:35.0,,Defensive rebound by E. Fournier,0,0
2,1,11:21.0,,Turnover by N. Vučević (bad pass; steal by K. Leonard),0,0
3,1,11:21.0,Personal take foul by E. Fournier (drawn by K. Leonard),,0,0
4,1,11:00.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by T. Parker),,2,0
5,1,10:37.0,,J. Green makes 2-pt jump shot from 16 ft,2,2
6,1,10:24.0,T. Parker makes 2-pt jump shot from 9 ft,,4,2
7,1,10:16.0,,Turnover by A. Gordon (lost ball; steal by D. Green),4,2
8,1,10:00.0,T. Parker misses 2-pt jump shot from 5 ft,,4,2
9,1,9:59.0,,Defensive rebound by N. Vučević,4,2
10,1,9:54.0,,E. Fournier misses 3-pt jump shot from 25 ft,4,2
11,1,9:53.0,Defensive rebound by K. Leonard,,4,2
12,1,9:52.0,Personal foul by C. Watson (drawn by K. Leonard),,4,2
13,1,9:36.0,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. Dedmon),,6,2
14,1,9:24.0,,Turnover by E. Fournier (lost ball; steal by D. Green),6,2
15,1,9:08.0,D. Green misses 2-pt jump shot from 9 ft,,6,2
16,1,9:07.0,,Defensive rebound by N. Vučević,6,2
17,1,8:59.0,,E. Fournier misses 2-pt layup from 3 ft (block by K. Leonard),6,2
18,1,8:57.0,,Offensive rebound by A. Gordon,6,2
19,1,8:49.0,,N. Vučević misses 2-pt jump shot from 13 ft,6,2
20,1,8:47.0,Defensive rebound by D. Green,,6,2
21,1,8:38.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),,8,2
22,1,8:21.0,,N. Vučević makes 2-pt jump shot from 8 ft (assist by E. Fournier),8,4
23,1,8:08.0,Turnover by L. Aldridge (lost ball),,8,4
24,1,7:52.0,,C. Watson makes 2-pt jump shot from 18 ft (assist by J. Green),8,6
25,1,7:35.0,T. Parker misses 2-pt jump shot from 9 ft,,8,6
26,1,7:34.0,Offensive rebound by Team,,8,6
27,1,7:17.0,K. Leonard misses 2-pt jump shot from 14 ft,,8,6
28,1,7:14.0,Offensive rebound by Team,,8,6
29,1,6:56.0,T. Parker misses 3-pt jump shot from 23 ft,,8,6
30,1,6:55.0,,Defensive rebound by Team,8,6
31,1,6:42.0,,Turnover by J. Green (lost ball; steal by L. Aldridge),8,6
32,1,6:36.0,D. Green misses 3-pt jump shot from 26 ft,,8,6
33,1,6:34.0,Offensive rebound by K. Leonard,,8,6
34,1,6:34.0,K. Leonard makes 2-pt layup from 2 ft,,10,6
