,QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
0,1,11:43.0,Offensive foul by D. Waiters (drawn by W. Matthews),,0,0
1,1,11:43.0,Turnover by D. Waiters (offensive foul),,0,0
2,1,11:26.0,,H. Barnes misses 2-pt layup from 3 ft,0,0
3,1,11:25.0,Defensive rebound by H. Whiteside,,0,0
4,1,11:08.0,Turnover by G. Dragić (lost ball),,0,0
5,1,10:47.0,,W. Matthews misses 2-pt jump shot from 10 ft (block by R. McGruder),0,0
6,1,10:45.0,Defensive rebound by H. Whiteside,,0,0
7,1,10:42.0,Turnover by H. Whiteside (lost ball; steal by Y. Ferrell),,0,0
8,1,10:36.0,,Y. Ferrell misses 2-pt jump shot from 4 ft,0,0
9,1,10:34.0,Defensive rebound by H. Whiteside,,0,0
10,1,10:31.0,D. Waiters misses 2-pt jump shot from 20 ft,,0,0
11,1,10:26.0,Offensive rebound by H. Whiteside,,0,0
12,1,10:26.0,H. Whiteside makes 2-pt dunk at rim,,2,0
13,1,10:12.0,,Turnover by W. Matthews (bad pass; steal by R. McGruder),2,0
14,1,10:07.0,G. Dragić makes 2-pt layup from 3 ft (assist by R. McGruder),,4,0
15,1,9:48.0,,Shooting foul by L. Babbitt (drawn by H. Barnes),4,0
16,1,9:48.0,,H. Barnes makes free throw 1 of 2,4,1
17,1,9:48.0,,H. Barnes makes free throw 2 of 2,4,2
18,1,9:35.0,G. Dragić misses 3-pt jump shot from 25 ft,,4,2
19,1,9:34.0,,Defensive rebound by H. Barnes,4,2
20,1,9:25.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,4,2
21,1,9:24.0,Defensive rebound by L. Babbitt,,4,2
22,1,9:17.0,D. Waiters misses 2-pt jump shot from 11 ft (block by D. Nowitzki),,4,2
23,1,9:17.0,Offensive rebound by Team,,4,2
24,1,9:14.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by G. Dragić),,7,2
25,1,8:48.0,,H. Barnes makes 2-pt jump shot from 17 ft,7,4
26,1,8:28.0,R. McGruder makes 3-pt jump shot from 26 ft (assist by D. Waiters),,10,4
27,1,8:13.0,,D. Nowitzki makes 2-pt layup from 4 ft (assist by S. Curry),10,6
28,1,8:04.0,D. Waiters misses 2-pt jump shot from 9 ft,,10,6
29,1,8:03.0,,Defensive rebound by Y. Ferrell,10,6
30,1,7:57.0,,Y. Ferrell misses 2-pt jump shot from 5 ft,10,6
31,1,7:55.0,,Offensive rebound by H. Barnes,10,6
32,1,7:55.0,,H. Barnes misses 2-pt jump shot from 5 ft,10,6
33,1,7:54.0,Defensive rebound by H. Whiteside,,10,6
34,1,7:53.0,Personal block foul by W. Matthews (drawn by G. Dragić),,10,6
35,1,7:36.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,12,6
36,1,7:08.0,,H. Barnes makes 2-pt jump shot from 11 ft (assist by D. Nowitzki),12,8
37,1,6:48.0,H. Whiteside misses 2-pt jump shot from 4 ft,,12,8
38,1,6:47.0,,Defensive rebound by D. Nowitzki,12,8
39,1,6:36.0,,W. Matthews misses 3-pt jump shot from 26 ft,12,8
40,1,6:35.0,Defensive rebound by L. Babbitt,,12,8
41,1,6:19.0,G. Dragić makes 2-pt jump shot from 11 ft,,14,8
42,1,6:18.0,,Dallas full timeout,14,8
43,1,6:18.0,,Q. Cook enters the game for D. Nowitzki,14,8
44,1,6:18.0,,N. Noel enters the game for Y. Ferrell,14,8
45,1,6:16.0,T. Johnson enters the game for G. Dragić,,14,8
46,1,5:57.0,,Turnover by Q. Cook (bad pass; steal by T. Johnson),14,8
47,1,5:54.0,D. Waiters makes 2-pt jump shot from 3 ft,,16,8
48,1,5:54.0,Shooting foul by S. Curry (drawn by D. Waiters),,16,8
49,1,5:54.0,D. Waiters makes free throw 1 of 1,,17,8
50,1,5:38.0,,H. Barnes makes 2-pt jump shot from 9 ft,17,10
51,1,5:17.0,Turnover by T. Johnson (bad pass; steal by W. Matthews),,17,10
52,1,5:01.0,,Q. Cook misses 2-pt jump shot from 13 ft,17,10
53,1,5:00.0,Defensive rebound by T. Johnson,,17,10
54,1,4:42.0,D. Waiters makes 2-pt jump shot from 19 ft,,19,10
55,1,4:21.0,,S. Curry misses 3-pt jump shot from 28 ft,19,10
56,1,4:20.0,Defensive rebound by H. Whiteside,,19,10
57,1,4:10.0,T. Johnson makes 2-pt jump shot from 11 ft,,21,10
58,1,3:48.0,,H. Barnes misses 2-pt jump shot from 12 ft,21,10
59,1,3:47.0,Defensive rebound by T. Johnson,,21,10
60,1,3:36.0,Shooting foul by N. Noel (drawn by H. Whiteside),,21,10
61,1,3:36.0,H. Whiteside misses free throw 1 of 2,,21,10
62,1,3:36.0,Offensive rebound by Team,,21,10
63,1,3:36.0,J. Johnson enters the game for L. Babbitt,,21,10
64,1,3:36.0,H. Whiteside makes free throw 2 of 2,,22,10
65,1,3:21.0,,S. Curry makes 3-pt jump shot from 24 ft,22,13
66,1,3:07.0,H. Whiteside makes 2-pt layup from 3 ft (assist by D. Waiters),,24,13
67,1,2:51.0,,Q. Cook makes 2-pt jump shot from 18 ft,24,15
68,1,2:37.0,H. Whiteside makes 2-pt dunk at rim (assist by T. Johnson),,26,15
69,1,2:14.0,,Shooting foul by T. Johnson (drawn by W. Matthews),26,15
70,1,2:14.0,Miami full timeout,,26,15
71,1,2:14.0,,W. Matthews makes free throw 1 of 2,26,16
72,1,2:14.0,,D. Harris enters the game for H. Barnes,26,15
73,1,2:14.0,,Y. Ferrell enters the game for S. Curry,26,15
74,1,2:14.0,,D. Nowitzki enters the game for Q. Cook,26,15
75,1,2:14.0,G. Dragić enters the game for D. Waiters,,26,15
76,1,2:14.0,,W. Matthews makes free throw 2 of 2,26,17
77,1,1:54.0,T. Johnson makes 2-pt jump shot from 9 ft,,28,17
78,1,1:34.0,,W. Matthews misses 2-pt jump shot from 16 ft,28,17
79,1,1:33.0,Defensive rebound by J. Johnson,,28,17
80,1,1:22.0,G. Dragić makes 2-pt jump shot from 6 ft,,30,17
81,1,1:22.0,Shooting foul by N. Noel (drawn by G. Dragić),,30,17
82,1,1:22.0,,D. Finney-Smith enters the game for W. Matthews,30,17
83,1,1:22.0,W. Ellington enters the game for R. McGruder,,30,17
84,1,1:22.0,G. Dragić makes free throw 1 of 1,,31,17
85,1,1:11.0,,Personal block foul by T. Johnson (drawn by Y. Ferrell),31,17
86,1,0:58.0,,D. Finney-Smith misses 2-pt jump shot from 9 ft,31,17
87,1,0:58.0,,Offensive rebound by D. Finney-Smith,31,17
88,1,0:58.0,,D. Finney-Smith makes 2-pt layup from 9 ft,31,19
89,1,0:47.0,G. Dragić misses 2-pt jump shot from 14 ft,,31,19
90,1,0:46.0,,Defensive rebound by D. Nowitzki,31,19
91,1,0:37.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Harris),31,22
92,1,0:21.0,G. Dragić misses 2-pt layup from 3 ft,,31,22
93,1,0:20.0,,Defensive rebound by D. Nowitzki,31,22
94,1,0:03.0,,Y. Ferrell misses 3-pt jump shot from 25 ft (block by W. Ellington),31,22
95,1,0:00.0,,Offensive rebound by Team,31,22
96,2,11:43.0,,Personal foul by O. White (drawn by N. Noel),31,22
97,2,11:28.0,,Y. Ferrell makes 2-pt layup from 3 ft,31,24
98,2,11:01.0,O. White makes 3-pt jump shot from 26 ft (assist by G. Dragić),,34,24
99,2,10:45.0,,D. Harris makes 2-pt layup from 3 ft (assist by Y. Ferrell),34,26
100,2,10:33.0,W. Ellington misses 3-pt jump shot from 23 ft,,34,26
101,2,10:30.0,,Defensive rebound by D. Nowitzki,34,26
102,2,10:25.0,,Y. Ferrell misses 2-pt jump shot from 18 ft,34,26
103,2,10:23.0,,Offensive rebound by D. Nowitzki,34,26
104,2,10:23.0,,D. Nowitzki misses 2-pt layup from 2 ft,34,26
105,2,10:22.0,,Offensive rebound by D. Finney-Smith,34,26
106,2,10:10.0,,D. Finney-Smith makes 2-pt jump shot from 17 ft (assist by Y. Ferrell),34,28
107,2,9:57.0,J. Johnson misses 2-pt jump shot from 9 ft,,34,28
108,2,9:55.0,,Defensive rebound by D. Finney-Smith,34,28
109,2,9:41.0,,Def 3 sec tech foul by O. White,34,28
110,2,9:41.0,,D. Nowitzki makes technical free throw,34,29
111,2,9:41.0,,D. Powell enters the game for N. Noel,34,29
112,2,9:34.0,,D. Harris misses 2-pt jump shot from 4 ft,34,29
113,2,9:33.0,,Offensive rebound by Y. Ferrell,34,29
114,2,9:27.0,,Personal foul by G. Dragić (drawn by D. Nowitzki),34,29
115,2,9:19.0,,D. Harris makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),34,32
116,2,9:13.0,Miami full timeout,,34,32
117,2,8:57.0,J. Johnson makes 2-pt jump shot from 12 ft,,36,32
118,2,8:37.0,,Turnover by D. Harris (bad pass; steal by J. Johnson),36,32
119,2,8:25.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by W. Ellington),,39,32
120,2,8:04.0,,Shooting foul by J. Johnson (drawn by D. Nowitzki),39,32
121,2,8:04.0,,D. Nowitzki makes free throw 1 of 2,39,33
122,2,8:04.0,,D. Nowitzki makes free throw 2 of 2,39,34
123,2,7:54.0,Def 3 sec tech foul by D. Nowitzki,,39,34
124,2,7:54.0,W. Ellington misses technical free throw,,39,34
125,2,7:54.0,Offensive rebound by Team,,39,34
126,2,7:54.0,,H. Barnes enters the game for D. Nowitzki,39,34
