,QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
0,1,11:42.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Exum),,3,0
1,1,11:18.0,,M. Conley misses 3-pt jump shot from 25 ft,3,0
2,1,11:17.0,Defensive rebound by D. Exum,,3,0
3,1,11:01.0,Turnover by D. Exum (bad pass; steal by T. Allen),,3,0
4,1,10:54.0,,M. Conley misses 3-pt jump shot from 25 ft,3,0
5,1,10:51.0,Defensive rebound by R. Gobert,,3,0
6,1,10:44.0,Personal foul by T. Daniels (drawn by G. Hayward),,3,0
7,1,10:29.0,R. Gobert makes 2-pt layup from 2 ft (assist by D. Exum),,5,0
8,1,10:17.0,,J. Green makes 2-pt dunk at rim (assist by T. Allen),5,2
9,1,9:58.0,G. Hayward misses 3-pt jump shot from 26 ft,,5,2
10,1,9:57.0,,Defensive rebound by J. Green,5,2
11,1,9:43.0,,M. Conley misses 2-pt jump shot from 5 ft (block by G. Hayward),5,2
12,1,9:42.0,Defensive rebound by G. Hayward,,5,2
13,1,9:30.0,Personal foul by T. Allen (drawn by B. Diaw),,5,2
14,1,9:18.0,B. Diaw makes 2-pt layup from 1 ft (assist by G. Hayward),,7,2
15,1,9:08.0,,Turnover by T. Daniels (bad pass; steal by R. Gobert),7,2
16,1,8:58.0,D. Exum misses 3-pt jump shot from 25 ft,,7,2
17,1,8:57.0,,Defensive rebound by Team,7,2
18,1,8:44.0,,M. Gasol misses 2-pt jump shot from 14 ft,7,2
19,1,8:43.0,Defensive rebound by R. Gobert,,7,2
20,1,8:28.0,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),,9,2
21,1,8:20.0,,Memphis full timeout,9,2
22,1,8:07.0,,M. Conley makes 2-pt jump shot from 18 ft,9,4
23,1,7:38.0,G. Hayward misses 3-pt jump shot from 26 ft,,9,4
24,1,7:37.0,,Defensive rebound by T. Allen,9,4
25,1,7:27.0,,J. Green misses 3-pt jump shot from 23 ft,9,4
26,1,7:27.0,Defensive rebound by R. Gobert,,9,4
27,1,7:20.0,Personal foul by T. Daniels (drawn by G. Hayward),,9,4
28,1,7:20.0,,J. Ennis enters the game for T. Daniels,9,4
29,1,7:11.0,D. Exum misses 2-pt layup from 2 ft,,9,4
30,1,7:10.0,,Defensive rebound by M. Gasol,9,4
31,1,7:00.0,,M. Gasol misses 3-pt jump shot from 25 ft,9,4
32,1,7:00.0,Defensive rebound by B. Diaw,,9,4
33,1,6:50.0,G. Hayward misses 2-pt jump shot from 6 ft,,9,4
34,1,6:50.0,Offensive rebound by Team,,9,4
35,1,6:50.0,,Loose ball foul by M. Gasol (drawn by R. Gobert),9,4
36,1,6:43.0,Turnover by R. Gobert (bad pass; steal by M. Conley),,9,4
37,1,6:37.0,,Personal take foul by D. Exum (drawn by M. Conley),9,4
38,1,6:23.0,,M. Gasol misses 2-pt jump shot from 11 ft,9,4
39,1,6:21.0,Defensive rebound by D. Exum,,9,4
40,1,6:11.0,B. Diaw makes 2-pt layup from 1 ft,,11,4
41,1,5:58.0,,T. Allen makes 2-pt jump shot from 19 ft (assist by M. Gasol),11,6
42,1,5:38.0,R. Hood makes 2-pt jump shot from 5 ft,,13,6
43,1,5:20.0,,Turnover by M. Gasol (kicked ball),13,6
44,1,5:20.0,J. Johnson enters the game for G. Hayward,,13,6
45,1,5:20.0,S. Mack enters the game for D. Exum,,13,6
46,1,5:10.0,S. Mack makes 3-pt jump shot from 26 ft,,16,6
47,1,5:10.0,,Memphis full timeout,16,6
48,1,5:10.0,,A. Harrison enters the game for M. Conley,16,6
49,1,4:51.0,,M. Gasol misses 2-pt jump shot from 11 ft,16,6
50,1,4:51.0,Defensive rebound by Team,,16,6
51,1,4:51.0,,Loose ball foul by J. Green (drawn by B. Diaw),16,6
52,1,4:51.0,B. Diaw makes free throw 1 of 2,,17,6
53,1,4:51.0,B. Diaw makes free throw 2 of 2,,18,6
54,1,4:32.0,,J. Ennis makes 2-pt jump shot from 12 ft,18,8
55,1,4:20.0,B. Diaw misses 2-pt jump shot from 4 ft,,18,8
56,1,4:19.0,Offensive rebound by B. Diaw,,18,8
57,1,4:15.0,R. Hood misses 3-pt jump shot from 26 ft,,18,8
58,1,4:15.0,,Defensive rebound by Team,18,8
59,1,4:15.0,,V. Carter enters the game for T. Allen,18,8
60,1,4:15.0,,Z. Randolph enters the game for M. Gasol,18,8
61,1,3:58.0,,Z. Randolph makes 2-pt jump shot from 15 ft,18,10
62,1,3:37.0,J. Johnson misses 2-pt jump shot from 15 ft,,18,10
63,1,3:37.0,,Defensive rebound by J. Ennis,18,10
64,1,3:26.0,,Z. Randolph misses 3-pt jump shot from 25 ft,18,10
65,1,3:26.0,Defensive rebound by R. Gobert,,18,10
66,1,3:08.0,S. Mack misses 2-pt jump shot from 10 ft,,18,10
67,1,3:06.0,,Defensive rebound by Z. Randolph,18,10
68,1,2:51.0,,J. Green misses 2-pt layup at rim (block by R. Gobert),18,10
69,1,2:51.0,,Offensive rebound by Team,18,10
70,1,2:51.0,Utah full timeout,,18,10
71,1,2:51.0,J. Ingles enters the game for B. Diaw,,18,10
72,1,2:51.0,D. Favors enters the game for R. Gobert,,18,10
73,1,2:51.0,T. Lyles enters the game for R. Hood,,18,10
74,1,2:45.0,,J. Ennis misses 2-pt jump shot from 15 ft,18,10
75,1,2:43.0,Defensive rebound by S. Mack,,18,10
76,1,2:31.0,J. Johnson misses 2-pt jump shot from 9 ft,,18,10
77,1,2:29.0,,Defensive rebound by J. Green,18,10
78,1,2:18.0,,Z. Randolph misses 2-pt jump shot from 16 ft,18,10
79,1,2:18.0,,Offensive rebound by Team,18,10
80,1,2:18.0,Loose ball foul by T. Lyles (drawn by J. Green),,18,10
81,1,2:10.0,,A. Harrison misses 2-pt layup from 1 ft (block by D. Favors),18,10
82,1,2:07.0,Defensive rebound by S. Mack,,18,10
83,1,2:02.0,T. Lyles misses 3-pt jump shot from 24 ft,,18,10
84,1,2:01.0,,Defensive rebound by J. Green,18,10
85,1,1:47.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by Z. Randolph),18,13
86,1,1:26.0,D. Favors misses 2-pt jump shot from 17 ft,,18,13
87,1,1:25.0,,Defensive rebound by J. Ennis,18,13
88,1,1:04.0,,J. Ennis misses 2-pt jump shot from 16 ft,18,13
89,1,1:04.0,,Offensive rebound by J. Green,18,13
90,1,0:57.0,,V. Carter misses 2-pt jump shot from 21 ft,18,13
91,1,0:55.0,Defensive rebound by T. Lyles,,18,13
92,1,0:55.0,Personal foul by V. Carter (drawn by T. Lyles),,18,13
93,1,0:55.0,T. Lyles misses free throw 1 of 2,,18,13
94,1,0:55.0,Offensive rebound by Team,,18,13
95,1,0:55.0,T. Lyles misses free throw 2 of 2,,18,13
96,1,0:55.0,,Defensive rebound by J. Green,18,13
97,1,0:41.0,,V. Carter makes 2-pt layup from 2 ft,18,15
98,1,0:41.0,,Shooting foul by T. Lyles (drawn by V. Carter),18,15
99,1,0:41.0,,J. Martin enters the game for J. Green,18,15
100,1,0:41.0,,T. Williams enters the game for J. Ennis,18,15
101,1,0:41.0,,V. Carter makes free throw 1 of 1,18,16
102,1,0:30.0,J. Ingles misses 3-pt jump shot from 25 ft,,18,16
103,1,0:29.0,,Defensive rebound by Team,18,16
104,1,0:18.0,,A. Harrison makes 2-pt layup from 1 ft,18,18
105,1,0:01.0,J. Johnson misses 3-pt jump shot from 40 ft,,18,18
106,1,0:00.0,Offensive rebound by Team,,18,18
107,2,11:44.0,,V. Carter misses 2-pt layup from 1 ft (block by T. Lyles),18,18
108,2,11:42.0,Defensive rebound by D. Favors,,18,18
109,2,11:41.0,Turnover by S. Mack (lost ball; steal by Z. Randolph),,18,18
110,2,11:29.0,,Z. Randolph makes 2-pt hook shot from 5 ft,18,20
111,2,11:10.0,D. Favors makes 2-pt jump shot from 10 ft,,20,20
112,2,10:56.0,,Turnover by T. Williams (bad pass; steal by G. Hayward),20,20
113,2,10:56.0,Personal foul by Z. Randolph (drawn by D. Favors),,20,20
114,2,10:42.0,D. Favors makes 2-pt jump shot from 18 ft,,22,20
115,2,10:22.0,,J. Martin makes 2-pt hook shot from 6 ft (assist by A. Harrison),22,22
116,2,9:59.0,J. Johnson misses 3-pt jump shot from 27 ft,,22,22
117,2,9:58.0,,Defensive rebound by Z. Randolph,22,22
118,2,9:47.0,,A. Harrison misses 2-pt layup from 2 ft (block by D. Favors),22,22
119,2,9:45.0,Defensive rebound by G. Hayward,,22,22
120,2,9:35.0,S. Mack misses 2-pt jump shot from 18 ft,,22,22
121,2,9:34.0,,Defensive rebound by Z. Randolph,22,22
122,2,9:18.0,,Z. Randolph makes 2-pt jump shot from 11 ft,22,24
123,2,8:59.0,G. Hayward misses 2-pt jump shot from 18 ft,,22,24
124,2,8:59.0,,Defensive rebound by Z. Randolph,22,24
125,2,8:45.0,,Turnover by A. Harrison (bad pass; steal by S. Mack),22,24
126,2,8:44.0,Personal take foul by A. Harrison (drawn by S. Mack),,22,24
127,2,8:44.0,Utah full timeout,,22,24
128,2,8:44.0,,T. Allen enters the game for V. Carter,22,24
129,2,8:28.0,Turnover by S. Mack (bad pass; steal by T. Williams),,22,24
130,2,8:21.0,,J. Martin misses 2-pt layup from 2 ft,22,24
131,2,8:19.0,,Offensive rebound by J. Martin,22,24
132,2,8:18.0,,J. Martin misses 2-pt layup from 2 ft (block by G. Hayward),22,24
133,2,8:15.0,Defensive rebound by S. Mack,,22,24
134,2,8:13.0,Offensive foul by S. Mack (drawn by J. Martin),,22,24
135,2,8:13.0,Turnover by S. Mack (offensive foul),,22,24
136,2,8:13.0,J. Ingles enters the game for J. Johnson,,22,24
137,2,8:13.0,D. Exum enters the game for S. Mack,,22,24
138,2,8:13.0,B. Diaw enters the game for D. Favors,,22,24
139,2,8:13.0,R. Gobert enters the game for T. Lyles,,22,24
140,2,7:54.0,,Z. Randolph misses 2-pt jump shot from 14 ft,22,24
141,2,7:54.0,Defensive rebound by B. Diaw,,22,24
142,2,7:43.0,Personal foul by T. Williams (drawn by J. Ingles),,22,24
143,2,7:43.0,,M. Gasol enters the game for T. Williams,22,24
144,2,7:32.0,Turnover by R. Gobert (traveling),,22,24
145,2,7:15.0,,T. Allen misses 2-pt jump shot from 7 ft (block by G. Hayward),22,24
146,2,7:14.0,Defensive rebound by R. Gobert,,22,24
147,2,6:57.0,B. Diaw makes 2-pt layup from 1 ft,,24,24
148,2,6:38.0,,J. Martin makes 2-pt layup from 2 ft (assist by M. Gasol),24,26
149,2,6:38.0,,Shooting foul by B. Diaw (drawn by J. Martin),24,26
150,2,6:38.0,,M. Conley enters the game for A. Harrison,24,26
151,2,6:38.0,R. Hood enters the game for J. Ingles,,24,26
152,2,6:38.0,,J. Martin makes free throw 1 of 1,24,27
153,2,6:28.0,Personal foul by J. Martin (drawn by G. Hayward),,24,27
154,2,6:24.0,G. Hayward makes 2-pt layup from 1 ft (assist by B. Diaw),,26,27
155,2,6:24.0,Shooting foul by J. Martin (drawn by G. Hayward),,26,27
156,2,6:24.0,,J. Green enters the game for Z. Randolph,26,27
157,2,6:24.0,G. Hayward makes free throw 1 of 1,,27,27
158,2,5:59.0,,J. Green misses 3-pt jump shot from 25 ft,27,27
159,2,5:59.0,,Offensive rebound by Team,27,27
160,2,5:59.0,,Turnover by Team (shot clock),27,27
161,2,5:59.0,,Memphis full timeout,27,27
162,2,5:41.0,D. Exum misses 3-pt jump shot from 26 ft,,27,27
163,2,5:40.0,,Defensive rebound by T. Allen,27,27
164,2,5:26.0,,Personal foul by D. Exum (drawn by M. Gasol),27,27
