,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
0,1,11:38.0,J. Lin makes 2-pt jump shot from 11 ft (assist by R. Foye),,2,0
1,1,11:26.0,,Turnover by J. Wall (bad pass),2,0
2,1,11:18.0,Shooting foul by J. Wall (drawn by J. Lin),,2,0
3,1,11:18.0,J. Lin misses free throw 1 of 2,,2,0
4,1,11:18.0,Offensive rebound by Team,,2,0
5,1,11:18.0,J. Lin makes free throw 2 of 2,,3,0
6,1,11:07.0,,J. Wall makes 2-pt layup at rim,3,2
7,1,10:43.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by C. LeVert),,5,2
8,1,10:30.0,,B. Beal misses 2-pt jump shot from 20 ft,5,2
9,1,10:29.0,Defensive rebound by J. Lin,,5,2
10,1,10:24.0,B. Lopez misses 2-pt layup from 1 ft,,5,2
11,1,10:23.0,,Defensive rebound by M. Gortat,5,2
12,1,10:16.0,,M. Morris misses 2-pt layup from 1 ft (block by R. Foye),5,2
13,1,10:15.0,Defensive rebound by B. Lopez,,5,2
14,1,10:07.0,J. Lin makes 2-pt layup from 2 ft (assist by C. LeVert),,7,2
15,1,9:44.0,,M. Gortat misses 2-pt jump shot from 10 ft,7,2
16,1,9:43.0,Defensive rebound by R. Hollis-Jefferson,,7,2
17,1,9:37.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,7,2
18,1,9:36.0,,Defensive rebound by O. Porter,7,2
19,1,9:25.0,,M. Gortat makes 2-pt hook shot from 4 ft (assist by J. Wall),7,4
20,1,9:06.0,R. Foye misses 3-pt jump shot from 27 ft,,7,4
21,1,9:05.0,,Defensive rebound by M. Gortat,7,4
22,1,8:57.0,,Personal foul by R. Foye (drawn by B. Beal),7,4
23,1,8:57.0,,Personal foul by C. LeVert (drawn by B. Beal),7,4
24,1,8:57.0,,Offensive foul by M. Morris (drawn by R. Hollis-Jefferson),7,4
25,1,8:57.0,,Turnover by M. Morris (offensive foul),7,4
26,1,8:46.0,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by R. Foye),,9,4
27,1,8:34.0,,M. Gortat misses 2-pt jump shot from 7 ft,9,4
28,1,8:33.0,Defensive rebound by B. Lopez,,9,4
29,1,8:17.0,J. Lin misses 3-pt jump shot from 28 ft,,9,4
30,1,8:17.0,Offensive rebound by Team,,9,4
31,1,8:07.0,R. Foye makes 2-pt layup from 3 ft (assist by J. Lin),,11,4
32,1,8:06.0,,Washington full timeout,11,4
33,1,7:59.0,,Offensive foul by M. Gortat (drawn by J. Lin),11,4
34,1,7:59.0,,Turnover by M. Gortat (offensive foul),11,4
35,1,7:44.0,B. Lopez makes 2-pt jump shot from 9 ft,,13,4
36,1,7:29.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by J. Wall),13,7
37,1,7:18.0,Turnover by J. Lin (bad pass; steal by J. Wall),,13,7
38,1,7:13.0,,O. Porter makes 2-pt jump shot from 11 ft,13,9
39,1,6:47.0,R. Foye misses 2-pt layup from 2 ft (block by O. Porter),,13,9
40,1,6:46.0,Offensive rebound by B. Lopez,,13,9
41,1,6:43.0,B. Lopez misses 2-pt jump shot from 18 ft,,13,9
42,1,6:42.0,,Defensive rebound by J. Wall,13,9
43,1,6:32.0,,O. Porter misses 3-pt jump shot from 24 ft,13,9
44,1,6:31.0,Defensive rebound by B. Lopez,,13,9
45,1,6:23.0,J. Lin misses 3-pt jump shot from 27 ft,,13,9
46,1,6:22.0,,Defensive rebound by O. Porter,13,9
47,1,6:21.0,,Personal foul by B. Lopez (drawn by O. Porter),13,9
48,1,6:21.0,I. Whitehead enters the game for R. Foye,,13,9
49,1,6:13.0,,J. Wall makes 2-pt jump shot from 16 ft,13,11
50,1,5:55.0,R. Hollis-Jefferson makes 2-pt jump shot from 18 ft (assist by J. Lin),,15,11
51,1,5:35.0,,B. Beal misses 2-pt jump shot from 17 ft,15,11
52,1,5:34.0,,Offensive rebound by O. Porter,15,11
53,1,5:22.0,,J. Wall makes 2-pt layup from 2 ft,15,13
54,1,5:09.0,J. Lin misses 2-pt jump shot from 5 ft (block by M. Morris),,15,13
55,1,5:08.0,Offensive rebound by R. Hollis-Jefferson,,15,13
56,1,5:01.0,B. Lopez makes 2-pt jump shot from 11 ft,,17,13
57,1,4:50.0,,Personal foul by J. Lin (drawn by J. Wall),17,13
58,1,4:50.0,S. Dinwiddie enters the game for R. Hollis-Jefferson,,17,13
59,1,4:50.0,Q. Acy enters the game for J. Lin,,17,13
60,1,4:50.0,,B. Bogdanović enters the game for M. Morris,17,13
61,1,4:44.0,,J. Wall misses 3-pt jump shot from 24 ft,17,13
62,1,4:43.0,Defensive rebound by B. Lopez,,17,13
63,1,4:29.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,17,13
64,1,4:29.0,,Defensive rebound by M. Gortat,17,13
65,1,4:22.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),17,16
66,1,4:11.0,I. Whitehead misses 2-pt jump shot from 14 ft,,17,16
67,1,4:10.0,Offensive rebound by C. LeVert,,17,16
68,1,3:59.0,C. LeVert makes 2-pt layup at rim,,19,16
69,1,3:43.0,,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),19,18
70,1,3:28.0,B. Lopez misses 3-pt jump shot from 28 ft,,19,18
71,1,3:27.0,,Defensive rebound by O. Porter,19,18
72,1,3:23.0,,Personal block foul by C. LeVert (drawn by J. Wall),19,18
73,1,3:23.0,Brooklyn full timeout,,19,18
74,1,3:23.0,,J. Wall makes free throw 1 of 2,19,19
75,1,3:23.0,K. McDaniels enters the game for C. LeVert,,19,18
76,1,3:23.0,T. Booker enters the game for B. Lopez,,19,18
77,1,3:23.0,,I. Mahinmi enters the game for O. Porter,19,18
78,1,3:23.0,,K. Oubre enters the game for M. Gortat,19,18
79,1,3:23.0,,J. Wall makes free throw 2 of 2,19,20
80,1,3:00.0,Shooting block foul by K. Oubre (drawn by I. Whitehead),,19,20
81,1,3:00.0,I. Whitehead makes free throw 1 of 2,,20,20
82,1,3:00.0,I. Whitehead makes free throw 2 of 2,,21,20
83,1,2:49.0,,Personal foul by K. McDaniels,21,20
84,1,2:49.0,,J. Wall makes free throw 1 of 2,21,21
85,1,2:49.0,,B. Jennings enters the game for B. Beal,21,21
86,1,2:49.0,,J. Wall makes free throw 2 of 2,21,22
87,1,2:36.0,Turnover by I. Whitehead (bad pass; steal by I. Mahinmi),,21,22
88,1,2:31.0,,J. Wall makes 2-pt layup from 1 ft,21,24
89,1,2:22.0,Shooting foul by B. Jennings (drawn by S. Dinwiddie),,21,24
90,1,2:22.0,S. Dinwiddie misses free throw 1 of 2,,21,24
91,1,2:22.0,Offensive rebound by Team,,21,24
92,1,2:22.0,S. Dinwiddie makes free throw 2 of 2,,22,24
93,1,2:07.0,,B. Jennings makes 3-pt jump shot from 28 ft (assist by J. Wall),22,27
94,1,1:51.0,Q. Acy misses 3-pt jump shot from 25 ft,,22,27
95,1,1:51.0,,Defensive rebound by J. Wall,22,27
96,1,1:44.0,,J. Wall misses 2-pt jump shot from 20 ft,22,27
97,1,1:42.0,,Offensive rebound by I. Mahinmi,22,27
98,1,1:39.0,,B. Jennings misses 2-pt jump shot from 4 ft,22,27
99,1,1:38.0,Defensive rebound by T. Booker,,22,27
100,1,1:29.0,,Violation by K. Oubre (kicked ball),22,27
101,1,1:29.0,,J. Smith enters the game for J. Wall,22,27
102,1,1:17.0,S. Dinwiddie misses 2-pt jump shot from 5 ft,,22,27
103,1,1:15.0,,Defensive rebound by I. Mahinmi,22,27
104,1,1:11.0,,Personal foul by I. Whitehead (drawn by B. Bogdanović),22,27
105,1,1:11.0,,B. Bogdanović makes free throw 1 of 2,22,28
106,1,1:11.0,A. Goodwin enters the game for I. Whitehead,,22,28
107,1,1:11.0,,B. Bogdanović makes free throw 2 of 2,22,29
108,1,0:59.0,Turnover by A. Goodwin (lost ball; steal by K. Oubre),,22,29
109,1,0:56.0,,K. Oubre misses 2-pt layup from 2 ft (block by Q. Acy),22,29
110,1,0:56.0,,Offensive rebound by Team,22,29
111,1,0:49.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,22,29
112,1,0:48.0,Defensive rebound by Q. Acy,,22,29
113,1,0:40.0,T. Booker misses 2-pt jump shot from 7 ft,,22,29
114,1,0:39.0,,Defensive rebound by B. Bogdanović,22,29
115,1,0:32.0,,I. Mahinmi makes 2-pt dunk at rim (assist by B. Jennings),22,31
116,1,0:19.0,Turnover by S. Dinwiddie (bad pass),,22,31
117,1,0:02.0,,J. Smith misses 2-pt jump shot from 20 ft,22,31
118,1,0:00.0,Defensive rebound by Q. Acy,,22,31
119,2,11:45.0,,I. Mahinmi makes 2-pt hook shot from 4 ft,22,33
120,2,11:29.0,Personal foul by K. Oubre (drawn by J. Lin),,22,33
121,2,11:27.0,J. Lin misses 2-pt layup from 2 ft,,22,33
122,2,11:26.0,,Defensive rebound by B. Bogdanović,22,33
123,2,11:14.0,,K. Oubre makes 2-pt jump shot from 20 ft,22,35
124,2,11:02.0,Shooting foul by J. Smith (drawn by R. Foye),,22,35
125,2,11:02.0,R. Foye makes free throw 1 of 2,,23,35
126,2,11:02.0,R. Foye makes free throw 2 of 2,,24,35
127,2,10:49.0,,B. Jennings misses 2-pt jump shot from 19 ft,24,35
128,2,10:48.0,Defensive rebound by C. LeVert,,24,35
129,2,10:40.0,B. Lopez makes 2-pt layup from 2 ft,,26,35
130,2,10:25.0,,K. Oubre misses 2-pt layup from 3 ft,26,35
131,2,10:23.0,Defensive rebound by B. Lopez,,26,35
132,2,10:17.0,B. Lopez misses 3-pt jump shot from 26 ft,,26,35
133,2,10:17.0,,Defensive rebound by B. Bogdanović,26,35
134,2,10:04.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by B. Jennings),26,38
135,2,9:54.0,J. Lin misses 3-pt jump shot from 27 ft,,26,38
136,2,9:53.0,,Defensive rebound by B. Bogdanović,26,38
