,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
0,1,11:39.0,K. Bazemore makes 2-pt layup from 2 ft (assist by P. Millsap),,2,0
1,1,11:14.0,,C. Parsons misses 3-pt jump shot from 25 ft,2,0
2,1,11:13.0,Defensive rebound by D. Schröder,,2,0
3,1,10:49.0,Turnover by T. Sefolosha (bad pass; steal by M. Conley),,2,0
4,1,10:41.0,,J. Green makes 2-pt dunk at rim (assist by J. Ennis),2,2
5,1,10:33.0,D. Schröder makes 2-pt jump shot from 20 ft,,4,2
6,1,10:10.0,,M. Conley misses 3-pt jump shot from 25 ft,4,2
7,1,10:09.0,Defensive rebound by P. Millsap,,4,2
8,1,9:55.0,Personal foul by J. Ennis (drawn by D. Schröder),,4,2
9,1,9:43.0,P. Millsap misses 3-pt jump shot from 23 ft,,4,2
10,1,9:42.0,,Defensive rebound by M. Gasol,4,2
11,1,9:29.0,,J. Ennis misses 3-pt jump shot from 23 ft,4,2
12,1,9:28.0,Defensive rebound by D. Schröder,,4,2
13,1,9:21.0,D. Schröder misses 2-pt jump shot from 20 ft,,4,2
14,1,9:18.0,,Defensive rebound by M. Gasol,4,2
15,1,9:13.0,,M. Gasol misses 2-pt jump shot from 13 ft,4,2
16,1,9:12.0,Defensive rebound by K. Humphries,,4,2
17,1,9:12.0,Personal foul by J. Green (drawn by K. Humphries),,4,2
18,1,9:00.0,T. Sefolosha makes 3-pt jump shot from 26 ft (assist by P. Millsap),,7,2
19,1,8:49.0,,Turnover by M. Gasol (bad pass),7,2
20,1,8:33.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by D. Schröder),,10,2
21,1,8:32.0,,Memphis full timeout,10,2
22,1,8:14.0,,M. Gasol misses 2-pt layup from 1 ft,10,2
23,1,8:11.0,,Offensive rebound by J. Green,10,2
24,1,8:11.0,,J. Green misses 2-pt layup from 1 ft,10,2
25,1,8:10.0,Defensive rebound by P. Millsap,,10,2
26,1,8:08.0,Turnover by K. Humphries (lost ball),,10,2
27,1,8:01.0,,Shooting foul by K. Humphries (drawn by M. Conley),10,2
28,1,8:01.0,,M. Conley makes free throw 1 of 2,10,3
29,1,8:01.0,,M. Conley makes free throw 2 of 2,10,4
30,1,7:45.0,P. Millsap misses 2-pt jump shot from 9 ft,,10,4
31,1,7:43.0,,Defensive rebound by Team,10,4
32,1,7:22.0,,C. Parsons misses 2-pt layup from 1 ft,10,4
33,1,7:21.0,,Offensive rebound by C. Parsons,10,4
34,1,7:18.0,,C. Parsons misses 2-pt jump shot from 11 ft,10,4
35,1,7:17.0,Defensive rebound by K. Humphries,,10,4
36,1,7:07.0,Shooting foul by M. Gasol (drawn by K. Humphries),,10,4
37,1,7:07.0,K. Humphries misses free throw 1 of 2,,10,4
38,1,7:07.0,Offensive rebound by Team,,10,4
39,1,7:07.0,K. Humphries makes free throw 2 of 2,,11,4
40,1,6:58.0,,Personal foul by K. Humphries (drawn by M. Gasol),11,4
41,1,6:45.0,,J. Ennis misses 2-pt layup from 2 ft,11,4
42,1,6:43.0,Defensive rebound by D. Schröder,,11,4
43,1,6:28.0,P. Millsap makes 2-pt jump shot from 10 ft,,13,4
44,1,6:17.0,,J. Green makes 2-pt layup from 3 ft (assist by J. Ennis),13,6
45,1,6:17.0,,Shooting foul by T. Sefolosha (drawn by J. Green),13,6
46,1,6:17.0,E. İlyasova enters the game for K. Humphries,,13,6
47,1,6:17.0,,T. Daniels enters the game for C. Parsons,13,6
48,1,6:17.0,,J. Green makes free throw 1 of 1,13,7
49,1,6:06.0,D. Schröder misses 2-pt layup from 2 ft,,13,7
50,1,6:04.0,,Defensive rebound by J. Ennis,13,7
51,1,5:56.0,,T. Daniels misses 3-pt jump shot from 26 ft,13,7
52,1,5:56.0,,Offensive rebound by J. Green,13,7
53,1,5:44.0,,Personal foul by T. Sefolosha (drawn by J. Green),13,7
54,1,5:44.0,,Memphis full timeout,13,7
55,1,5:44.0,,Z. Randolph enters the game for J. Green,13,7
56,1,5:44.0,T. Hardaway enters the game for T. Sefolosha,,13,7
57,1,5:32.0,,T. Daniels misses 3-pt jump shot from 25 ft,13,7
58,1,5:31.0,,Offensive rebound by Team,13,7
59,1,5:26.0,,M. Conley misses 3-pt jump shot from 26 ft,13,7
60,1,5:25.0,Defensive rebound by P. Millsap,,13,7
61,1,5:18.0,Turnover by D. Schröder (lost ball),,13,7
62,1,5:05.0,,Z. Randolph misses 2-pt layup from 1 ft (block by P. Millsap),13,7
63,1,5:04.0,Defensive rebound by K. Bazemore,,13,7
64,1,4:53.0,D. Schröder misses 3-pt jump shot from 26 ft,,13,7
65,1,4:53.0,,Defensive rebound by T. Daniels,13,7
66,1,4:42.0,,M. Gasol misses 2-pt jump shot from 20 ft,13,7
67,1,4:41.0,,Offensive rebound by Z. Randolph,13,7
68,1,4:40.0,,Z. Randolph makes 2-pt layup from 1 ft,13,9
69,1,4:40.0,,Shooting foul by P. Millsap (drawn by Z. Randolph),13,9
70,1,4:40.0,,T. Allen enters the game for J. Ennis,13,9
71,1,4:40.0,T. Prince enters the game for K. Bazemore,,13,9
72,1,4:40.0,,Z. Randolph makes free throw 1 of 1,13,10
73,1,4:19.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by T. Prince),,16,10
74,1,3:54.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),16,12
75,1,3:38.0,T. Prince makes 3-pt jump shot from 26 ft (assist by D. Schröder),,19,12
76,1,3:26.0,,M. Conley makes 2-pt layup from 2 ft,19,14
77,1,3:12.0,Turnover by D. Schröder (bad pass; steal by M. Gasol),,19,14
78,1,3:09.0,,Turnover by M. Gasol (bad pass; steal by D. Schröder),19,14
79,1,2:58.0,D. Schröder makes 2-pt layup from 1 ft,,21,14
