,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:42.0,T. Harris makes 2-pt jump shot from 14 ft,,2,0
1,1,11:24.0,,Turnover by D. Schröder (lost ball),2,0
2,1,11:11.0,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by K. Bazemore),,2,0
3,1,11:08.0,,Defensive rebound by T. Sefolosha,2,0
4,1,10:58.0,,P. Millsap misses 2-pt jump shot from 15 ft,2,0
5,1,10:56.0,Defensive rebound by T. Harris,,2,0
6,1,10:49.0,R. Jackson misses 2-pt jump shot from 8 ft,,2,0
7,1,10:48.0,,Defensive rebound by D. Howard,2,0
8,1,10:41.0,,T. Sefolosha misses 2-pt layup from 1 ft,2,0
9,1,10:40.0,Defensive rebound by T. Harris,,2,0
10,1,10:27.0,R. Jackson misses 2-pt jump shot from 11 ft (block by D. Howard),,2,0
11,1,10:25.0,Offensive rebound by R. Jackson,,2,0
12,1,10:24.0,Offensive foul by R. Jackson (drawn by D. Schröder),,2,0
13,1,10:24.0,Turnover by R. Jackson (offensive foul),,2,0
14,1,10:13.0,,K. Bazemore misses 2-pt jump shot from 19 ft,2,0
15,1,10:11.0,Defensive rebound by J. Leuer,,2,0
16,1,10:01.0,R. Jackson misses 2-pt jump shot from 11 ft,,2,0
17,1,10:00.0,,Defensive rebound by D. Howard,2,0
18,1,9:45.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Howard),2,2
19,1,9:26.0,Turnover by K. Caldwell-Pope (lost ball; steal by K. Bazemore),,2,2
20,1,9:19.0,,Turnover by P. Millsap (bad pass),2,2
21,1,9:08.0,Turnover by R. Jackson (bad pass; steal by P. Millsap),,2,2
22,1,9:04.0,,D. Schröder makes 2-pt layup from 1 ft (assist by P. Millsap),2,4
23,1,8:51.0,R. Jackson makes 2-pt jump shot from 12 ft,,4,4
24,1,8:43.0,,Turnover by D. Schröder (bad pass; steal by J. Leuer),4,4
25,1,8:37.0,Personal foul by P. Millsap (drawn by A. Drummond),,4,4
26,1,8:27.0,A. Drummond misses 2-pt layup from 1 ft,,4,4
27,1,8:26.0,,Defensive rebound by D. Howard,4,4
28,1,8:17.0,,D. Howard misses 2-pt jump shot from 20 ft,4,4
29,1,8:16.0,Defensive rebound by A. Drummond,,4,4
30,1,8:10.0,J. Leuer makes 2-pt layup at rim (assist by R. Jackson),,6,4
31,1,7:55.0,,D. Schröder makes 2-pt layup from 1 ft,6,6
32,1,7:43.0,R. Jackson misses 3-pt jump shot from 25 ft,,6,6
33,1,7:40.0,,Defensive rebound by D. Howard,6,6
34,1,7:28.0,,D. Howard misses 2-pt hook shot from 5 ft,6,6
35,1,7:25.0,Defensive rebound by J. Leuer,,6,6
36,1,7:17.0,Shooting foul by T. Sefolosha (drawn by A. Drummond),,6,6
37,1,7:17.0,A. Drummond makes free throw 1 of 2,,7,6
38,1,7:17.0,A. Drummond misses free throw 2 of 2,,7,6
39,1,7:16.0,,Defensive rebound by D. Howard,7,6
40,1,6:54.0,,D. Howard misses 2-pt jump shot from 7 ft,7,6
41,1,6:53.0,Defensive rebound by T. Harris,,7,6
42,1,6:45.0,Turnover by A. Drummond (traveling),,7,6
43,1,6:37.0,,P. Millsap misses 2-pt jump shot from 6 ft,7,6
44,1,6:37.0,Defensive rebound by Team,,7,6
