,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
0,1,11:36.0,,Turnover by A. Wiggins (bad pass),0,0
1,1,11:24.0,Turnover by M. Kidd-Gilchrist (traveling),,0,0
2,1,11:09.0,,K. Towns misses 2-pt jump shot from 4 ft,0,0
3,1,11:08.0,,Offensive rebound by R. Rubio,0,0
4,1,11:01.0,,A. Wiggins misses 2-pt jump shot from 21 ft,0,0
5,1,11:00.0,Defensive rebound by K. Walker,,0,0
6,1,10:46.0,Shooting foul by K. Towns (drawn by M. Williams),,0,0
7,1,10:46.0,M. Williams makes free throw 1 of 2,,1,0
8,1,10:46.0,M. Williams makes free throw 2 of 2,,2,0
9,1,10:36.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by R. Rubio),2,3
10,1,10:25.0,K. Walker makes 2-pt layup from 1 ft,,4,3
11,1,10:16.0,,Turnover by G. Dieng (traveling),4,3
12,1,10:03.0,K. Walker makes 2-pt jump shot from 14 ft,,6,3
13,1,9:50.0,,A. Wiggins makes 2-pt layup from 2 ft,6,5
14,1,9:47.0,Personal foul by R. Rubio (drawn by K. Walker),,6,5
15,1,9:33.0,M. Williams makes 2-pt jump shot from 20 ft (assist by N. Batum),,8,5
16,1,9:23.0,,Turnover by R. Rubio (bad pass; steal by N. Batum),8,5
17,1,9:13.0,M. Williams misses 2-pt layup from 1 ft,,8,5
18,1,9:12.0,,Defensive rebound by G. Dieng,8,5
19,1,9:01.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by A. Wiggins),8,8
20,1,8:43.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Williams),,10,8
21,1,8:36.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by R. Rubio),10,10
22,1,8:22.0,N. Batum misses 2-pt jump shot from 14 ft,,10,10
23,1,8:21.0,,Defensive rebound by G. Dieng,10,10
24,1,8:11.0,,Turnover by R. Rubio (bad pass; steal by K. Walker),10,10
25,1,8:04.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,10,10
26,1,8:03.0,,Defensive rebound by G. Dieng,10,10
27,1,8:01.0,,Turnover by G. Dieng (bad pass; steal by K. Walker),10,10
28,1,7:56.0,M. Williams misses 3-pt jump shot from 25 ft,,10,10
29,1,7:54.0,Offensive rebound by C. Zeller,,10,10
30,1,7:54.0,C. Zeller makes 2-pt layup from 1 ft,,12,10
31,1,7:41.0,,Z. LaVine misses 2-pt jump shot from 17 ft,12,10
32,1,7:40.0,Defensive rebound by M. Williams,,12,10
33,1,7:25.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by G. Dieng),,12,10
34,1,7:24.0,,Personal foul by N. Batum (drawn by Z. LaVine),12,10
35,1,7:15.0,,G. Dieng makes 2-pt layup from 2 ft (assist by R. Rubio),12,12
36,1,6:56.0,M. Williams misses 2-pt jump shot from 24 ft,,12,12
37,1,6:55.0,,Defensive rebound by G. Dieng,12,12
38,1,6:40.0,,A. Wiggins misses 2-pt jump shot from 13 ft,12,12
39,1,6:39.0,Defensive rebound by K. Walker,,12,12
40,1,6:19.0,Turnover by K. Walker (traveling),,12,12
41,1,6:06.0,,A. Wiggins misses 2-pt jump shot from 11 ft (block by M. Williams),12,12
42,1,6:05.0,,Offensive rebound by Team,12,12
43,1,6:02.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by R. Rubio),12,15
44,1,5:42.0,Turnover by M. Williams (bad pass),,12,15
45,1,5:42.0,,Minnesota full timeout,12,15
46,1,5:24.0,,Turnover by K. Towns (lost ball; steal by K. Walker),12,15
47,1,5:19.0,K. Walker makes 2-pt layup from 1 ft,,14,15
48,1,5:00.0,,Turnover by G. Dieng (kicked ball),14,15
49,1,4:47.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,17,15
50,1,4:35.0,,Z. LaVine misses 2-pt layup from 1 ft (block by N. Batum),17,15
51,1,4:33.0,,Offensive rebound by G. Dieng,17,15
52,1,4:24.0,,A. Wiggins misses 3-pt jump shot from 24 ft,17,15
53,1,4:23.0,,Offensive rebound by G. Dieng,17,15
54,1,4:20.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by G. Dieng),17,18
55,1,4:06.0,K. Walker makes 2-pt jump shot from 21 ft,,19,18
56,1,3:49.0,,R. Rubio misses 2-pt jump shot from 20 ft,19,18
57,1,3:47.0,,Offensive rebound by K. Towns,19,18
58,1,3:45.0,,K. Towns makes 2-pt jump shot from 6 ft,19,20
59,1,3:32.0,M. Williams misses 3-pt jump shot from 25 ft,,19,20
60,1,3:30.0,,Defensive rebound by R. Rubio,19,20
61,1,3:27.0,,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),19,22
62,1,3:18.0,Charlotte full timeout,,19,22
63,1,3:18.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,19,22
64,1,3:18.0,M. Belinelli enters the game for M. Williams,,19,22
65,1,3:18.0,,C. Aldrich enters the game for G. Dieng,19,22
66,1,3:18.0,,N. Bjelica enters the game for Z. LaVine,19,22
67,1,3:05.0,K. Walker makes 2-pt layup from 1 ft (assist by N. Batum),,21,22
68,1,2:48.0,,K. Towns misses 2-pt hook shot from 6 ft,21,22
69,1,2:47.0,Defensive rebound by C. Zeller,,21,22
70,1,2:40.0,M. Belinelli makes 3-pt jump shot from 22 ft (assist by C. Zeller),,24,22
71,1,2:16.0,,K. Towns makes 2-pt hook shot from 5 ft,24,24
72,1,2:00.0,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by K. Walker),,27,24
73,1,1:45.0,,K. Towns misses 3-pt jump shot from 25 ft,27,24
74,1,1:43.0,,Offensive rebound by C. Aldrich,27,24
75,1,1:40.0,,N. Bjelica misses 3-pt jump shot from 24 ft,27,24
76,1,1:39.0,Defensive rebound by C. Zeller,,27,24
77,1,1:27.0,C. Zeller misses 2-pt layup at rim,,27,24
78,1,1:26.0,,Defensive rebound by N. Bjelica,27,24
79,1,1:16.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by N. Bjelica),27,27
80,1,0:57.0,K. Walker misses 3-pt jump shot from 25 ft,,27,27
81,1,0:56.0,,Defensive rebound by K. Towns,27,27
82,1,0:47.0,,Turnover by R. Rubio (bad pass; steal by K. Walker),27,27
83,1,0:41.0,C. Zeller makes 2-pt layup from 1 ft (assist by F. Kaminsky),,29,27
84,1,0:26.0,,N. Bjelica makes 3-pt jump shot from 24 ft (assist by K. Towns),29,30
85,1,0:02.0,K. Walker makes 2-pt jump shot from 21 ft,,31,30
86,1,0:00.0,,K. Towns misses 3-pt jump shot from 61 ft,31,30
87,1,0:00.0,,Offensive rebound by Team,31,30
88,2,11:43.0,M. Belinelli misses 2-pt jump shot from 21 ft,,31,30
89,2,11:42.0,,Defensive rebound by K. Dunn,31,30
90,2,11:22.0,,A. Wiggins misses 2-pt layup from 2 ft (block by R. Hibbert),31,30
91,2,11:20.0,Defensive rebound by M. Kidd-Gilchrist,,31,30
92,2,11:14.0,Turnover by R. Sessions (traveling),,31,30
93,2,10:53.0,,A. Wiggins misses 3-pt jump shot from 25 ft,31,30
94,2,10:52.0,Defensive rebound by R. Hibbert,,31,30
95,2,10:41.0,R. Sessions misses 3-pt jump shot from 24 ft,,31,30
96,2,10:40.0,,Defensive rebound by K. Towns,31,30
97,2,10:32.0,,Shooting foul by R. Hibbert (drawn by A. Wiggins),31,30
98,2,10:32.0,,A. Wiggins misses free throw 1 of 2,31,30
99,2,10:32.0,,Offensive rebound by Team,31,30
100,2,10:32.0,,A. Payne enters the game for K. Towns,31,30
101,2,10:32.0,,A. Wiggins makes free throw 2 of 2,31,31
102,2,10:23.0,,Z. LaVine enters the game for A. Wiggins,31,31
103,2,10:14.0,R. Hibbert misses 2-pt jump shot from 18 ft,,31,31
104,2,10:13.0,,Defensive rebound by C. Aldrich,31,31
105,2,10:06.0,,C. Aldrich makes 2-pt layup from 1 ft (assist by K. Dunn),31,33
106,2,9:51.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,31,33
107,2,9:49.0,,Defensive rebound by C. Aldrich,31,33
108,2,9:31.0,,K. Dunn makes 2-pt jump shot from 18 ft,31,35
109,2,9:17.0,F. Kaminsky misses 2-pt layup from 2 ft,,31,35
110,2,9:15.0,,Defensive rebound by N. Bjelica,31,35
111,2,9:06.0,,A. Payne misses 2-pt layup at rim (block by F. Kaminsky),31,35
112,2,9:05.0,,Offensive rebound by A. Payne,31,35
113,2,9:03.0,,A. Payne misses 2-pt layup from 2 ft,31,35
114,2,9:02.0,Defensive rebound by R. Hibbert,,31,35
115,2,8:57.0,Shooting foul by Z. LaVine (drawn by R. Sessions),,31,35
116,2,8:57.0,Charlotte full timeout,,31,35
117,2,8:57.0,R. Sessions makes free throw 1 of 2,,32,35
118,2,8:57.0,R. Sessions makes free throw 2 of 2,,33,35
119,2,8:39.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by A. Payne),33,38
120,2,8:21.0,M. Belinelli misses 2-pt layup from 3 ft,,33,38
121,2,8:20.0,Offensive rebound by R. Hibbert,,33,38
122,2,8:20.0,R. Hibbert makes 2-pt layup from 1 ft,,35,38
123,2,8:08.0,Offensive charge foul by A. Payne (drawn by F. Kaminsky),,35,38
124,2,8:08.0,,Turnover by A. Payne (offensive foul),35,38
125,2,7:56.0,,Violation by K. Dunn (kicked ball),35,38
126,2,7:49.0,R. Hibbert makes 2-pt hook shot from 6 ft (assist by R. Sessions),,37,38
127,2,7:36.0,,K. Dunn makes 2-pt jump shot from 9 ft,37,40
128,2,7:17.0,,G. Dieng enters the game for C. Aldrich,37,40
129,2,7:17.0,Turnover by R. Sessions (lost ball; steal by K. Dunn),,37,40
130,2,7:00.0,,Z. LaVine misses 3-pt jump shot from 24 ft,37,40
131,2,6:59.0,,Offensive rebound by K. Dunn,37,40
132,2,6:53.0,,Z. LaVine misses 2-pt jump shot from 13 ft,37,40
133,2,6:52.0,,Offensive rebound by A. Payne,37,40
134,2,6:45.0,,Z. LaVine misses 3-pt jump shot from 23 ft,37,40
135,2,6:44.0,Defensive rebound by R. Sessions,,37,40
136,2,6:38.0,Offensive foul by R. Hibbert (drawn by K. Dunn),,37,40
137,2,6:38.0,Turnover by R. Hibbert (offensive foul),,37,40
138,2,6:29.0,,Turnover by K. Dunn (lost ball; steal by R. Sessions),37,40
139,2,6:27.0,Personal foul by A. Payne (drawn by R. Sessions),,37,40
140,2,6:27.0,M. Williams enters the game for R. Hibbert,,37,40
141,2,6:27.0,,K. Towns enters the game for A. Payne,37,40
142,2,6:16.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by R. Sessions),,39,40
143,2,6:04.0,,Turnover by K. Towns (traveling),39,40
144,2,5:52.0,R. Sessions misses 3-pt jump shot from 25 ft,,39,40
145,2,5:51.0,,Defensive rebound by K. Towns,39,40
146,2,5:38.0,,Turnover by K. Towns (bad pass; steal by F. Kaminsky),39,40
