,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,B. Lopez misses 2-pt jump shot from 14 ft,,0,0
1,1,11:43.0,,Defensive rebound by K. Thompson,0,0
2,1,11:29.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by S. Curry),0,2
3,1,11:12.0,R. Foye misses 3-pt jump shot from 26 ft,,0,2
4,1,11:11.0,,Defensive rebound by P. McCaw,0,2
5,1,10:59.0,,K. Thompson makes 2-pt jump shot from 13 ft,0,4
6,1,10:43.0,J. Lin misses 3-pt jump shot from 26 ft,,0,4
7,1,10:43.0,,Defensive rebound by S. Curry,0,4
8,1,10:40.0,,Turnover by S. Curry (bad pass; steal by J. Lin),0,4
9,1,10:34.0,J. Lin makes 2-pt layup from 1 ft,,2,4
10,1,10:20.0,,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by K. Thompson),2,6
11,1,10:07.0,R. Hollis-Jefferson misses 2-pt jump shot from 5 ft,,2,6
12,1,10:07.0,,Defensive rebound by D. Green,2,6
13,1,9:59.0,,D. Green misses 2-pt layup from 3 ft (block by J. Harris),2,6
14,1,9:59.0,Defensive rebound by Team,,2,6
15,1,9:51.0,J. Lin makes 2-pt layup from 2 ft (assist by B. Lopez),,4,6
16,1,9:39.0,,S. Curry misses 3-pt jump shot from 28 ft,4,6
17,1,9:38.0,Defensive rebound by Team,,4,6
18,1,9:29.0,Shooting foul by Z. Pachulia (drawn by B. Lopez),,4,6
19,1,9:29.0,B. Lopez misses free throw 1 of 2,,4,6
20,1,9:29.0,Offensive rebound by Team,,4,6
21,1,9:29.0,B. Lopez misses free throw 2 of 2,,4,6
22,1,9:27.0,,Defensive rebound by P. McCaw,4,6
23,1,9:15.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),4,9
24,1,9:00.0,R. Hollis-Jefferson misses 2-pt jump shot from 12 ft,,4,9
25,1,8:59.0,,Defensive rebound by K. Thompson,4,9
26,1,8:53.0,,Turnover by K. Thompson (bad pass; steal by R. Hollis-Jefferson),4,9
27,1,8:52.0,Personal foul by K. Thompson (drawn by R. Hollis-Jefferson),,4,9
28,1,8:44.0,Turnover by J. Lin (bad pass),,4,9
29,1,8:40.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),4,11
30,1,8:25.0,Turnover by J. Harris (lost ball; steal by S. Curry),,4,11
31,1,8:18.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),4,14
32,1,8:18.0,Brooklyn full timeout,,4,14
33,1,7:59.0,R. Foye misses 2-pt layup from 3 ft (block by Z. Pachulia),,4,14
34,1,7:57.0,Offensive rebound by R. Hollis-Jefferson,,4,14
35,1,7:48.0,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by J. Lin),,6,14
36,1,7:18.0,,D. Green misses 2-pt jump shot from 6 ft,6,14
37,1,7:17.0,,Offensive rebound by Z. Pachulia,6,14
38,1,7:16.0,,Turnover by Z. Pachulia (lost ball; steal by J. Harris),6,14
39,1,7:08.0,J. Harris misses 2-pt layup from 1 ft,,6,14
40,1,7:06.0,,Defensive rebound by Z. Pachulia,6,14
41,1,6:59.0,,Personal foul by R. Foye (drawn by Z. Pachulia),6,14
42,1,6:59.0,S. Dinwiddie enters the game for J. Lin,,6,14
43,1,6:52.0,,K. Thompson misses 2-pt jump shot from 19 ft,6,14
44,1,6:52.0,Defensive rebound by R. Hollis-Jefferson,,6,14
45,1,6:45.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft,,8,14
46,1,6:36.0,,S. Curry makes 3-pt jump shot from 25 ft,8,17
47,1,6:09.0,Turnover by Team (shot clock),,8,17
48,1,5:55.0,,S. Curry misses 2-pt jump shot from 3 ft,8,17
49,1,5:55.0,Defensive rebound by S. Dinwiddie,,8,17
50,1,5:47.0,B. Lopez misses 3-pt jump shot from 23 ft,,8,17
51,1,5:46.0,Offensive rebound by R. Hollis-Jefferson,,8,17
52,1,5:42.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),,11,17
53,1,5:42.0,,Golden State full timeout,11,17
54,1,5:42.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,11,17
55,1,5:42.0,T. Booker enters the game for R. Foye,,11,17
56,1,5:29.0,,Z. Pachulia misses 2-pt layup from 3 ft (block by B. Lopez),11,17
57,1,5:28.0,Defensive rebound by T. Booker,,11,17
58,1,5:17.0,S. Dinwiddie makes 2-pt layup from 2 ft,,13,17
59,1,5:17.0,Shooting foul by P. McCaw (drawn by S. Dinwiddie),,13,17
60,1,5:17.0,,A. Iguodala enters the game for D. Green,13,17
61,1,5:17.0,,J. McGee enters the game for Z. Pachulia,13,17
62,1,5:17.0,S. Dinwiddie makes free throw 1 of 1,,14,17
63,1,5:05.0,,A. Iguodala makes 3-pt jump shot from 27 ft (assist by S. Curry),14,20
64,1,4:45.0,J. Harris makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,17,20
65,1,4:37.0,,Shooting foul by S. Dinwiddie (drawn by S. Curry),17,20
66,1,4:37.0,,S. Curry makes free throw 1 of 2,17,21
67,1,4:37.0,I. Whitehead enters the game for J. Harris,,17,21
68,1,4:37.0,,I. Clark enters the game for K. Thompson,17,21
69,1,4:37.0,,S. Curry makes free throw 2 of 2,17,22
70,1,4:22.0,B. Lopez misses 2-pt layup from 3 ft (block by J. McGee),,17,22
71,1,4:21.0,,Defensive rebound by I. Clark,17,22
72,1,4:17.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by I. Clark),17,25
73,1,4:05.0,B. Lopez misses 2-pt jump shot from 3 ft,,17,25
74,1,4:04.0,,Defensive rebound by J. McGee,17,25
75,1,3:58.0,,I. Clark misses 2-pt jump shot from 19 ft,17,25
76,1,3:57.0,Defensive rebound by T. Booker,,17,25
77,1,3:43.0,Turnover by B. Lopez (traveling),,17,25
78,1,3:28.0,,P. McCaw misses 3-pt jump shot from 26 ft,17,25
79,1,3:27.0,Defensive rebound by S. Kilpatrick,,17,25
80,1,3:22.0,Shooting foul by A. Iguodala (drawn by S. Kilpatrick),,17,25
81,1,3:22.0,S. Kilpatrick makes free throw 1 of 2,,18,25
82,1,3:22.0,J. Hamilton enters the game for B. Lopez,,18,25
83,1,3:22.0,S. Kilpatrick makes free throw 2 of 2,,19,25
84,1,3:08.0,,S. Curry misses 2-pt jump shot from 8 ft,19,25
85,1,3:06.0,,Offensive rebound by J. McGee,19,25
86,1,3:06.0,,J. McGee misses 2-pt layup from 1 ft,19,25
87,1,3:05.0,,Offensive rebound by J. McGee,19,25
88,1,3:03.0,,J. McGee misses 2-pt layup from 1 ft,19,25
89,1,3:02.0,,Offensive rebound by J. McGee,19,25
90,1,3:01.0,,J. McGee misses 2-pt layup from 2 ft,19,25
91,1,3:00.0,,Offensive rebound by J. McGee,19,25
92,1,2:53.0,,S. Curry misses 3-pt jump shot from 27 ft,19,25
93,1,2:50.0,Defensive rebound by I. Whitehead,,19,25
94,1,2:45.0,Turnover by I. Whitehead (palming),,19,25
95,1,2:35.0,,Turnover by S. Curry (bad pass; steal by S. Kilpatrick),19,25
96,1,2:30.0,I. Whitehead makes 2-pt layup from 2 ft (assist by S. Kilpatrick),,21,25
97,1,2:05.0,,I. Clark makes 3-pt jump shot from 26 ft (assist by A. Iguodala),21,28
98,1,1:48.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,21,28
99,1,1:47.0,,Defensive rebound by S. Curry,21,28
100,1,1:41.0,,S. Curry makes 2-pt jump shot from 18 ft (assist by A. Iguodala),21,30
101,1,1:40.0,Brooklyn full timeout,,21,30
102,1,1:40.0,,D. Green enters the game for P. McCaw,21,30
103,1,1:28.0,T. Booker makes 2-pt dunk at rim (assist by I. Whitehead),,23,30
104,1,1:16.0,,D. Green misses 2-pt jump shot from 6 ft,23,30
105,1,1:15.0,,Offensive rebound by I. Clark,23,30
106,1,1:03.0,,J. McGee misses 2-pt layup from 2 ft,23,30
107,1,1:02.0,,Offensive rebound by J. McGee,23,30
108,1,1:02.0,,J. McGee misses 2-pt layup from 1 ft,23,30
109,1,1:01.0,,Offensive rebound by J. McGee,23,30
110,1,0:57.0,,A. Iguodala misses 2-pt jump shot from 9 ft,23,30
111,1,0:57.0,Defensive rebound by T. Booker,,23,30
112,1,0:50.0,,Violation by J. McGee (def goaltending),23,30
113,1,0:50.0,J. Hamilton makes 2-pt layup from 2 ft (assist by I. Whitehead),,25,30
114,1,0:42.0,,J. McGee makes 2-pt dunk at rim (assist by D. Green),25,32
115,1,0:30.0,S. Kilpatrick misses 2-pt jump shot from 19 ft,,25,32
116,1,0:29.0,Offensive rebound by T. Booker,,25,32
117,1,0:29.0,S. Dinwiddie makes 3-pt jump shot from 30 ft (assist by T. Booker),,28,32
118,1,0:09.0,,S. Curry misses 2-pt layup from 1 ft,28,32
119,1,0:06.0,,Offensive rebound by I. Clark,28,32
120,1,0:06.0,,Personal foul by I. Whitehead (drawn by I. Clark),28,32
121,1,0:00.0,,D. Green misses 3-pt jump shot from 23 ft,28,32
122,1,0:00.0,Defensive rebound by I. Whitehead,,28,32
123,2,11:41.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. West),28,34
124,2,11:39.0,Personal foul by D. Green (drawn by J. Hamilton),,28,34
125,2,11:29.0,Personal foul by A. Iguodala (drawn by S. Kilpatrick),,28,34
126,2,11:24.0,Turnover by J. Hamilton (bad pass; steal by D. West),,28,34
127,2,11:02.0,,D. Green makes 3-pt jump shot from 27 ft (assist by D. West),28,37
128,2,10:42.0,J. Hamilton misses 3-pt jump shot from 23 ft,,28,37
129,2,10:41.0,,Defensive rebound by D. Green,28,37
130,2,10:35.0,,Turnover by D. Green (lost ball; steal by S. Kilpatrick),28,37
131,2,10:32.0,Turnover by T. Booker (lost ball; steal by D. Green),,28,37
132,2,10:27.0,,K. Thompson misses 3-pt jump shot from 23 ft,28,37
133,2,10:26.0,Defensive rebound by J. Hamilton,,28,37
134,2,10:05.0,Turnover by R. Foye (bad pass; steal by A. Iguodala),,28,37
135,2,9:51.0,,K. Thompson misses 2-pt jump shot from 18 ft,28,37
136,2,9:51.0,Defensive rebound by R. Foye,,28,37
137,2,9:42.0,R. Foye misses 3-pt jump shot from 27 ft (block by D. West),,28,37
138,2,9:40.0,Offensive rebound by Team,,28,37
139,2,9:35.0,I. Whitehead misses 3-pt jump shot from 27 ft,,28,37
140,2,9:34.0,,Defensive rebound by S. Livingston,28,37
141,2,9:26.0,,S. Livingston makes 2-pt jump shot from 18 ft,28,39
142,2,9:04.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,28,39
143,2,9:04.0,Offensive rebound by J. Hamilton,,28,39
144,2,9:01.0,T. Booker makes 2-pt layup from 2 ft (assist by J. Hamilton),,30,39
145,2,8:42.0,,D. West misses 2-pt jump shot from 20 ft,30,39
146,2,8:42.0,Defensive rebound by S. Kilpatrick,,30,39
147,2,8:29.0,S. Kilpatrick makes 2-pt layup from 2 ft,,32,39
148,2,8:19.0,,Turnover by D. Green (traveling),32,39
149,2,8:19.0,Official timeout,,32,39
150,2,8:19.0,,I. Clark enters the game for A. Iguodala,32,39
151,2,7:55.0,J. Hamilton misses 2-pt hook shot from 9 ft,,32,39
152,2,7:54.0,,Defensive rebound by D. Green,32,39
153,2,7:39.0,,K. Thompson misses 2-pt jump shot from 13 ft,32,39
154,2,7:38.0,Defensive rebound by R. Foye,,32,39
155,2,7:26.0,J. Hamilton misses 2-pt jump shot from 9 ft (block by D. Green),,32,39
156,2,7:25.0,Offensive rebound by J. Hamilton,,32,39
157,2,7:22.0,J. Hamilton misses 2-pt hook shot from 8 ft,,32,39
158,2,7:21.0,Offensive rebound by T. Booker,,32,39
159,2,7:20.0,T. Booker makes 2-pt layup from 3 ft,,34,39
160,2,7:05.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. West),34,41
161,2,6:55.0,Personal foul by D. West (drawn by J. Hamilton),,34,41
162,2,6:55.0,B. Lopez enters the game for J. Hamilton,,34,41
163,2,6:55.0,,J. McAdoo enters the game for D. Green,34,41
164,2,6:46.0,S. Kilpatrick makes 2-pt jump shot from 10 ft,,36,41
165,2,6:29.0,,D. West misses 2-pt jump shot from 18 ft,36,41
166,2,6:29.0,Defensive rebound by S. Kilpatrick,,36,41
167,2,6:21.0,S. Kilpatrick makes 3-pt jump shot from 26 ft,,39,41
168,2,6:21.0,,Golden State full timeout,39,41
169,2,6:21.0,J. Harris enters the game for R. Foye,,39,41
170,2,6:21.0,S. Dinwiddie enters the game for T. Booker,,39,41
171,2,6:21.0,R. Hollis-Jefferson enters the game for I. Whitehead,,39,41
172,2,6:21.0,,Z. Pachulia enters the game for D. West,39,41
173,2,6:21.0,,S. Curry enters the game for K. Thompson,39,41
174,2,5:58.0,,S. Livingston makes 2-pt jump shot from 7 ft,39,43
175,2,5:44.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft,,41,43
176,2,5:36.0,,S. Curry misses 2-pt jump shot from 4 ft,41,43
177,2,5:36.0,Defensive rebound by B. Lopez,,41,43
178,2,5:33.0,Turnover by B. Lopez (bad pass; steal by I. Clark),,41,43
179,2,5:20.0,,S. Livingston misses 2-pt jump shot from 18 ft,41,43
180,2,5:18.0,Defensive rebound by S. Dinwiddie,,41,43
181,2,5:12.0,Personal foul by Z. Pachulia (drawn by S. Dinwiddie),,41,43
182,2,5:12.0,J. Lin enters the game for S. Kilpatrick,,41,43
183,2,5:05.0,J. Lin misses 2-pt jump shot from 4 ft,,41,43
184,2,5:04.0,Offensive rebound by R. Hollis-Jefferson,,41,43
185,2,5:00.0,Turnover by B. Lopez (lost ball; steal by I. Clark),,41,43
186,2,4:57.0,,I. Clark makes 2-pt layup from 1 ft,41,45
187,2,4:36.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,43,45
188,2,4:18.0,,I. Clark misses 3-pt jump shot from 26 ft,43,45
189,2,4:17.0,Defensive rebound by S. Dinwiddie,,43,45
190,2,4:02.0,J. Harris makes 3-pt jump shot from 23 ft (assist by B. Lopez),,46,45
191,2,3:53.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by S. Curry),46,47
192,2,3:53.0,,Shooting foul by J. Harris (drawn by Z. Pachulia),46,47
193,2,3:53.0,,Z. Pachulia makes free throw 1 of 1,46,48
194,2,3:32.0,R. Hollis-Jefferson misses 3-pt jump shot from 22 ft,,46,48
195,2,3:31.0,,Defensive rebound by Z. Pachulia,46,48
196,2,3:26.0,,I. Clark makes 2-pt layup from 1 ft (assist by S. Livingston),46,50
197,2,3:26.0,Brooklyn full timeout,,46,50
198,2,3:26.0,,K. Thompson enters the game for I. Clark,46,50
199,2,3:26.0,,A. Iguodala enters the game for S. Livingston,46,50
200,2,3:05.0,J. Lin makes 3-pt jump shot from 27 ft (assist by B. Lopez),,49,50
201,2,2:44.0,,Turnover by S. Curry (step out of bounds),49,50
202,2,2:36.0,J. Lin misses 2-pt jump shot from 23 ft,,49,50
203,2,2:36.0,,Defensive rebound by Z. Pachulia,49,50
204,2,2:27.0,,J. McAdoo makes 2-pt layup from 1 ft (assist by A. Iguodala),49,52
205,2,2:17.0,Offensive foul by B. Lopez (drawn by Z. Pachulia),,49,52
206,2,2:17.0,Turnover by B. Lopez (offensive foul),,49,52
207,2,2:06.0,,Personal foul by J. Lin (drawn by S. Curry),49,52
208,2,2:02.0,,K. Thompson misses 2-pt jump shot from 12 ft,49,52
209,2,2:00.0,Defensive rebound by R. Hollis-Jefferson,,49,52
210,2,1:52.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft,,51,52
211,2,1:39.0,,A. Iguodala makes 2-pt jump shot from 19 ft,51,54
212,2,1:25.0,B. Lopez misses 3-pt jump shot from 26 ft,,51,54
213,2,1:25.0,,Defensive rebound by K. Thompson,51,54
214,2,1:13.0,,Shooting foul by S. Dinwiddie (drawn by K. Thompson),51,54
215,2,1:13.0,,K. Thompson makes free throw 1 of 2,51,55
216,2,1:13.0,J. Hamilton enters the game for B. Lopez,,51,55
217,2,1:13.0,,K. Thompson makes free throw 2 of 2,51,56
218,2,1:03.0,J. Harris misses 3-pt jump shot from 28 ft,,51,56
219,2,1:03.0,,Defensive rebound by Z. Pachulia,51,56
220,2,0:56.0,,J. McAdoo makes 2-pt layup from 3 ft (assist by K. Thompson),51,58
221,2,0:37.0,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,,51,58
222,2,0:36.0,,Defensive rebound by S. Curry,51,58
223,2,0:30.0,,S. Curry misses 3-pt jump shot from 27 ft,51,58
224,2,0:29.0,Defensive rebound by S. Dinwiddie,,51,58
225,2,0:07.0,Turnover by J. Harris (bad pass; steal by A. Iguodala),,51,58
226,2,0:00.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),51,61
227,2,0:00.0,,Shooting foul by S. Dinwiddie (drawn by S. Curry),51,61
228,2,0:00.0,,S. Curry makes free throw 1 of 1,51,62
229,3,11:44.0,,D. Green misses 2-pt jump shot from 18 ft,51,62
230,3,11:43.0,Defensive rebound by J. Harris,,51,62
231,3,11:33.0,Turnover by R. Hollis-Jefferson (bad pass),,51,62
232,3,11:24.0,,Shooting foul by R. Foye (drawn by K. Thompson),51,62
233,3,11:24.0,,K. Thompson makes free throw 1 of 2,51,63
234,3,11:24.0,,K. Thompson makes free throw 2 of 2,51,64
235,3,11:06.0,J. Lin misses 2-pt jump shot from 15 ft,,51,64
236,3,11:05.0,,Defensive rebound by D. Green,51,64
237,3,10:57.0,,Turnover by D. Green (bad pass; steal by J. Harris),51,64
238,3,10:50.0,R. Foye makes 2-pt layup from 3 ft,,53,64
239,3,10:37.0,,P. McCaw makes 2-pt dunk at rim (assist by Z. Pachulia),53,66
240,3,10:18.0,J. Harris makes 2-pt layup from 2 ft (assist by J. Lin),,55,66
241,3,10:09.0,,Shooting block foul by B. Lopez (drawn by Z. Pachulia),55,66
242,3,10:09.0,,Z. Pachulia misses free throw 1 of 2,55,66
243,3,10:09.0,,Offensive rebound by Team,55,66
244,3,10:09.0,,Z. Pachulia makes free throw 2 of 2,55,67
245,3,9:56.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,55,67
246,3,9:56.0,,Defensive rebound by Z. Pachulia,55,67
247,3,9:47.0,,Z. Pachulia misses 2-pt jump shot from 4 ft,55,67
