,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DALLAS_ACTION,CHICAGO_SCORE,DALLAS_SCORE
0,1,11:34.0,,D. Williams misses 2-pt jump shot from 19 ft,0,0
1,1,11:33.0,Defensive rebound by N. Mirotić,,0,0
2,1,11:19.0,Turnover by T. Gibson (lost ball),,0,0
3,1,10:58.0,,H. Barnes misses 2-pt jump shot from 22 ft,0,0
4,1,10:57.0,Defensive rebound by J. Butler,,0,0
5,1,10:49.0,J. Butler misses 2-pt jump shot from 17 ft,,0,0
6,1,10:48.0,,Defensive rebound by A. Bogut,0,0
7,1,10:30.0,,H. Barnes misses 3-pt jump shot from 25 ft,0,0
8,1,10:29.0,Defensive rebound by N. Mirotić,,0,0
9,1,10:21.0,R. Rondo misses 2-pt layup from 2 ft,,0,0
10,1,10:21.0,,Defensive rebound by A. Bogut,0,0
11,1,10:11.0,,D. Williams misses 3-pt jump shot from 24 ft,0,0
12,1,10:10.0,Defensive rebound by N. Mirotić,,0,0
13,1,10:01.0,R. Lopez misses 2-pt jump shot from 19 ft,,0,0
14,1,10:00.0,,Defensive rebound by A. Bogut,0,0
15,1,9:45.0,,H. Barnes makes 2-pt jump shot from 6 ft (assist by D. Williams),0,2
16,1,9:45.0,,Shooting block foul by J. Butler (drawn by H. Barnes),0,2
17,1,9:45.0,,H. Barnes makes free throw 1 of 1,0,3
18,1,9:20.0,J. Butler misses 2-pt jump shot from 19 ft,,0,3
19,1,9:20.0,,Defensive rebound by A. Bogut,0,3
20,1,9:09.0,,A. Bogut makes 2-pt hook shot from 4 ft (assist by D. Williams),0,5
21,1,8:51.0,N. Mirotić misses 3-pt jump shot from 25 ft,,0,5
22,1,8:50.0,,Defensive rebound by A. Bogut,0,5
23,1,8:42.0,,D. Williams makes 2-pt jump shot from 12 ft,0,7
24,1,8:42.0,Chicago full timeout,,0,7
25,1,8:27.0,T. Gibson misses 2-pt hook shot from 6 ft,,0,7
26,1,8:25.0,Offensive rebound by R. Lopez,,0,7
27,1,8:25.0,R. Lopez makes 2-pt layup from 1 ft,,2,7
28,1,8:08.0,,Turnover by D. Williams (bad pass),2,7
29,1,7:51.0,T. Gibson misses 2-pt hook shot from 7 ft,,2,7
30,1,7:51.0,,Defensive rebound by A. Bogut,2,7
31,1,7:36.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by D. Williams),2,10
32,1,7:10.0,Turnover by R. Rondo (lost ball),,2,10
33,1,6:56.0,,Turnover by W. Matthews (lost ball; steal by J. Butler),2,10
34,1,6:52.0,Turnover by R. Lopez (bad pass; steal by A. Bogut),,2,10
