,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
0,1,11:34.0,R. Gay makes 2-pt jump shot from 15 ft (assist by D. Cousins),,2,0
1,1,11:08.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by B. Beal),2,3
2,1,10:47.0,D. Cousins misses 2-pt jump shot from 16 ft,,2,3
3,1,10:44.0,Offensive rebound by R. Gay,,2,3
4,1,10:40.0,R. Gay misses 2-pt layup from 2 ft,,2,3
5,1,10:39.0,,Defensive rebound by O. Porter,2,3
6,1,10:35.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by J. Wall),2,5
7,1,10:15.0,A. Afflalo makes 2-pt jump shot from 5 ft,,4,5
8,1,10:05.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by J. Wall),4,8
9,1,9:41.0,Turnover by D. Cousins (lost ball; steal by O. Porter),,4,8
10,1,9:38.0,,Shooting foul by R. Gay (drawn by O. Porter),4,8
11,1,9:38.0,,O. Porter misses free throw 1 of 2,4,8
12,1,9:38.0,,Offensive rebound by Team,4,8
13,1,9:38.0,,O. Porter makes free throw 2 of 2,4,9
14,1,9:14.0,D. Cousins misses 2-pt jump shot from 16 ft,,4,9
15,1,9:12.0,Offensive rebound by K. Koufos,,4,9
16,1,9:08.0,R. Gay misses 3-pt jump shot from 25 ft,,4,9
17,1,9:07.0,,Defensive rebound by J. Wall,4,9
18,1,9:01.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),4,12
19,1,8:38.0,D. Cousins misses 3-pt jump shot from 26 ft,,4,12
20,1,8:37.0,,Defensive rebound by J. Wall,4,12
21,1,8:31.0,,B. Beal misses 3-pt jump shot from 25 ft,4,12
22,1,8:29.0,Defensive rebound by R. Gay,,4,12
23,1,8:20.0,D. Collison makes 2-pt jump shot from 18 ft,,6,12
24,1,8:02.0,,M. Gortat makes 2-pt layup from 1 ft (assist by M. Morris),6,14
25,1,7:53.0,K. Koufos makes 2-pt jump shot from 11 ft (assist by D. Collison),,8,14
26,1,7:36.0,,B. Beal misses 2-pt jump shot from 21 ft,8,14
27,1,7:36.0,Defensive rebound by Team,,8,14
28,1,7:36.0,,Loose ball foul by M. Gortat (drawn by D. Cousins),8,14
29,1,7:11.0,D. Cousins makes 2-pt jump shot from 17 ft (assist by R. Gay),,10,14
30,1,6:57.0,,M. Morris misses 3-pt jump shot from 26 ft,10,14
31,1,6:55.0,Defensive rebound by R. Gay,,10,14
32,1,6:47.0,D. Cousins makes 2-pt layup from 2 ft (assist by R. Gay),,12,14
33,1,6:35.0,,J. Wall misses 2-pt jump shot from 8 ft,12,14
34,1,6:33.0,,Offensive rebound by M. Gortat,12,14
35,1,6:33.0,,M. Gortat misses 2-pt layup from 1 ft,12,14
36,1,6:32.0,Defensive rebound by D. Cousins,,12,14
37,1,6:25.0,D. Collison misses 2-pt layup from 1 ft (block by J. Wall),,12,14
38,1,6:23.0,,Defensive rebound by O. Porter,12,14
39,1,6:20.0,,Personal foul by A. Afflalo (drawn by B. Beal),12,14
40,1,6:13.0,,M. Morris misses 3-pt jump shot from 23 ft,12,14
41,1,6:11.0,,Offensive rebound by M. Gortat,12,14
42,1,6:07.0,,M. Gortat makes 2-pt layup from 1 ft,12,16
43,1,5:57.0,Turnover by D. Cousins (lost ball),,12,16
44,1,5:57.0,,Washington full timeout,12,16
45,1,5:42.0,,Turnover by J. Wall (lost ball; steal by D. Cousins),12,16
46,1,5:24.0,Personal foul by O. Porter (drawn by K. Koufos),,12,16
47,1,5:24.0,,J. Smith enters the game for M. Morris,12,16
48,1,5:12.0,R. Gay misses 2-pt jump shot from 19 ft,,12,16
49,1,5:11.0,,Defensive rebound by J. Wall,12,16
50,1,4:57.0,,B. Beal misses 2-pt jump shot from 17 ft,12,16
51,1,4:55.0,Defensive rebound by D. Cousins,,12,16
52,1,4:46.0,A. Afflalo misses 3-pt jump shot from 25 ft,,12,16
53,1,4:45.0,Offensive rebound by D. Cousins,,12,16
54,1,4:44.0,M. Barnes enters the game for D. Cousins,,12,16
55,1,4:44.0,T. Lawson enters the game for D. Collison,,12,16
56,1,4:44.0,Turnover by R. Gay (back court),,12,16
57,1,4:36.0,,Turnover by J. Wall (lost ball; steal by M. Barnes),12,16
58,1,4:28.0,T. Lawson makes 2-pt layup from 1 ft (assist by M. Barnes),,14,16
59,1,4:17.0,,Personal foul by T. Lawson (drawn by J. Wall),14,16
60,1,4:17.0,,Technical foul by J. Wall,14,16
61,1,4:17.0,A. Afflalo makes technical free throw,,15,16
62,1,4:10.0,,J. Wall misses 2-pt jump shot from 18 ft,15,16
63,1,4:06.0,,Offensive rebound by M. Gortat,15,16
64,1,4:01.0,Violation by K. Koufos (kicked ball),,15,16
65,1,3:56.0,,Turnover by M. Gortat (bad pass; steal by T. Lawson),15,16
66,1,3:49.0,T. Lawson misses 2-pt layup from 1 ft (block by B. Beal),,15,16
67,1,3:47.0,,Defensive rebound by J. Wall,15,16
68,1,3:43.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),15,19
69,1,3:33.0,Turnover by R. Gay (lost ball),,15,19
70,1,3:33.0,,T. Satoranský enters the game for B. Beal,15,19
71,1,3:16.0,,O. Porter makes 2-pt jump shot from 8 ft,15,21
72,1,3:03.0,Sacramento full timeout,,15,21
73,1,3:03.0,G. Temple enters the game for A. Afflalo,,15,21
74,1,2:55.0,G. Temple misses 2-pt jump shot from 20 ft,,15,21
75,1,2:53.0,,Defensive rebound by M. Gortat,15,21
76,1,2:41.0,,Turnover by J. Wall (bad pass; steal by R. Gay),15,21
77,1,2:28.0,Turnover by M. Barnes (step out of bounds),,15,21
78,1,2:15.0,,J. Smith misses 2-pt jump shot from 17 ft,15,21
79,1,2:14.0,Defensive rebound by R. Gay,,15,21
80,1,2:01.0,Shooting foul by O. Porter (drawn by R. Gay),,15,21
81,1,2:01.0,R. Gay makes free throw 1 of 2,,16,21
82,1,2:01.0,,T. Burke enters the game for J. Wall,16,21
83,1,2:01.0,,K. Oubre enters the game for O. Porter,16,21
84,1,2:01.0,R. Gay makes free throw 2 of 2,,17,21
85,1,1:43.0,,Turnover by T. Satoranský (bad pass; steal by G. Temple),17,21
86,1,1:35.0,T. Lawson makes 2-pt layup from 1 ft (assist by G. Temple),,19,21
87,1,1:18.0,,M. Gortat makes 2-pt jump shot from 15 ft (assist by T. Burke),19,23
88,1,0:51.0,G. Temple misses 3-pt jump shot from 26 ft,,19,23
89,1,0:50.0,,Defensive rebound by M. Gortat,19,23
90,1,0:27.0,,T. Satoranský misses 3-pt jump shot from 26 ft,19,23
91,1,0:26.0,,Offensive rebound by K. Oubre,19,23
92,1,0:26.0,,K. Oubre makes 2-pt dunk at rim,19,25
93,1,0:07.0,Turnover by G. Temple (lost ball),,19,25
94,1,0:01.0,,T. Burke misses 3-pt jump shot from 26 ft,19,25
95,1,0:00.0,,Offensive rebound by Team,19,25
96,2,11:42.0,,T. Satoranský misses 2-pt jump shot from 7 ft,19,25
