,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:37.0,,E. Payton misses 2-pt jump shot from 15 ft,0,0
1,1,11:35.0,Defensive rebound by M. Morris,,0,0
2,1,11:17.0,M. Morris makes 2-pt jump shot from 15 ft,,2,0
3,1,11:08.0,,S. Ibaka makes 2-pt jump shot from 6 ft (assist by N. Vučević),2,2
4,1,10:53.0,Shooting foul by S. Ibaka (drawn by M. Morris),,2,2
5,1,10:53.0,M. Morris misses free throw 1 of 2,,2,2
6,1,10:53.0,Offensive rebound by Team,,2,2
7,1,10:53.0,M. Morris makes free throw 2 of 2,,3,2
8,1,10:35.0,,E. Fournier misses 2-pt layup from 2 ft,3,2
9,1,10:33.0,Defensive rebound by M. Gortat,,3,2
10,1,10:26.0,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),,6,2
11,1,10:16.0,,Turnover by N. Vučević (bad pass; steal by M. Morris),6,2
12,1,10:02.0,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),,9,2
13,1,9:51.0,,N. Vučević misses 2-pt hook shot at rim,9,2
14,1,9:50.0,Defensive rebound by B. Beal,,9,2
15,1,9:40.0,O. Porter misses 2-pt jump shot from 9 ft,,9,2
16,1,9:39.0,,Defensive rebound by N. Vučević,9,2
17,1,9:35.0,,Shooting foul by O. Porter (drawn by E. Fournier),9,2
18,1,9:35.0,,E. Fournier makes free throw 1 of 2,9,3
19,1,9:35.0,,E. Fournier makes free throw 2 of 2,9,4
20,1,9:26.0,B. Beal misses 2-pt jump shot from 16 ft,,9,4
21,1,9:25.0,,Defensive rebound by S. Ibaka,9,4
22,1,9:15.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by S. Ibaka),9,6
23,1,8:59.0,M. Morris makes 2-pt layup from 1 ft (assist by M. Gortat),,11,6
24,1,8:38.0,,Turnover by J. Green (bad pass; steal by J. Wall),11,6
25,1,8:35.0,Personal foul by E. Fournier (drawn by B. Beal),,11,6
26,1,8:29.0,O. Porter misses 2-pt jump shot from 22 ft,,11,6
27,1,8:27.0,,Defensive rebound by N. Vučević,11,6
28,1,8:20.0,,N. Vučević misses 2-pt jump shot from 11 ft,11,6
29,1,8:17.0,,Offensive rebound by E. Payton,11,6
30,1,8:15.0,,J. Green misses 2-pt jump shot from 20 ft,11,6
31,1,8:15.0,,Offensive rebound by Team,11,6
32,1,8:08.0,,S. Ibaka misses 3-pt jump shot from 24 ft,11,6
33,1,8:06.0,Defensive rebound by M. Gortat,,11,6
34,1,7:58.0,Turnover by J. Wall (bad pass),,11,6
35,1,7:44.0,,Turnover by S. Ibaka (lost ball; steal by M. Morris),11,6
36,1,7:32.0,M. Morris misses 3-pt jump shot from 26 ft,,11,6
37,1,7:31.0,,Defensive rebound by S. Ibaka,11,6
38,1,7:25.0,,E. Payton misses 2-pt jump shot from 21 ft,11,6
39,1,7:23.0,Defensive rebound by J. Wall,,11,6
40,1,7:15.0,J. Wall misses 3-pt jump shot from 25 ft,,11,6
41,1,7:13.0,,Defensive rebound by E. Payton,11,6
42,1,7:13.0,,Orlando full timeout,11,6
43,1,7:13.0,,M. Hezonja enters the game for E. Fournier,11,6
44,1,7:13.0,,D. Augustin enters the game for E. Payton,11,6
45,1,7:01.0,,Turnover by M. Hezonja (lost ball),11,6
46,1,6:48.0,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),,13,6
47,1,6:27.0,,D. Augustin misses 3-pt jump shot from 23 ft,13,6
48,1,6:25.0,Defensive rebound by M. Gortat,,13,6
49,1,6:20.0,O. Porter makes 2-pt dunk at rim (assist by J. Wall),,15,6
50,1,6:01.0,,M. Hezonja misses 2-pt jump shot from 22 ft,15,6
51,1,6:00.0,Defensive rebound by M. Gortat,,15,6
52,1,5:54.0,Turnover by B. Beal (lost ball),,15,6
53,1,5:54.0,,B. Biyombo enters the game for N. Vučević,15,6
54,1,5:31.0,,Turnover by J. Green (lost ball; steal by J. Wall),15,6
55,1,5:27.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,17,6
56,1,5:25.0,,Orlando full timeout,17,6
57,1,5:25.0,,E. Fournier enters the game for D. Augustin,17,6
58,1,5:25.0,,E. Payton enters the game for M. Hezonja,17,6
59,1,5:02.0,,S. Ibaka misses 2-pt jump shot from 15 ft,17,6
60,1,5:00.0,Defensive rebound by B. Beal,,17,6
61,1,4:52.0,B. Beal misses 2-pt layup from 4 ft (block by S. Ibaka),,17,6
62,1,4:49.0,,Defensive rebound by B. Biyombo,17,6
63,1,4:47.0,,Turnover by E. Payton (lost ball; steal by J. Wall),17,6
64,1,4:42.0,J. Wall makes 2-pt dunk at rim,,19,6
65,1,4:25.0,,Shooting foul by J. Wall (drawn by B. Biyombo),19,6
66,1,4:25.0,,B. Biyombo misses free throw 1 of 2,19,6
67,1,4:25.0,,Offensive rebound by Team,19,6
68,1,4:25.0,,A. Gordon enters the game for J. Green,19,6
69,1,4:25.0,A. Nicholson enters the game for M. Morris,,19,6
70,1,4:25.0,,B. Biyombo makes free throw 2 of 2,19,7
71,1,4:12.0,,Violation by E. Payton (kicked ball),19,7
72,1,4:04.0,A. Nicholson makes 2-pt jump shot from 4 ft (assist by B. Beal),,21,7
73,1,3:43.0,,S. Ibaka misses 2-pt jump shot from 20 ft,21,7
74,1,3:42.0,Defensive rebound by M. Gortat,,21,7
75,1,3:32.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,24,7
76,1,3:12.0,,E. Fournier misses 2-pt jump shot from 17 ft,24,7
77,1,3:11.0,Defensive rebound by O. Porter,,24,7
78,1,3:02.0,O. Porter makes 2-pt jump shot from 22 ft (assist by J. Wall),,26,7
79,1,3:01.0,,Orlando full timeout,26,7
80,1,3:01.0,,D. Augustin enters the game for E. Payton,26,7
81,1,3:01.0,T. Satoranský enters the game for J. Wall,,26,7
82,1,2:44.0,,S. Ibaka makes 2-pt jump shot from 8 ft (assist by E. Fournier),26,9
83,1,2:29.0,Turnover by B. Beal (bad pass),,26,9
84,1,2:16.0,,E. Fournier misses 3-pt jump shot from 26 ft,26,9
85,1,2:15.0,Defensive rebound by A. Nicholson,,26,9
86,1,2:00.0,T. Satoranský misses 3-pt jump shot from 26 ft,,26,9
87,1,1:59.0,,Defensive rebound by A. Gordon,26,9
88,1,1:47.0,,S. Ibaka makes 3-pt jump shot from 27 ft (assist by E. Fournier),26,12
89,1,1:39.0,Washington full timeout,,26,12
90,1,1:39.0,M. Thornton enters the game for B. Beal,,26,12
91,1,1:39.0,,N. Vučević enters the game for S. Ibaka,26,12
92,1,1:21.0,O. Porter misses 3-pt jump shot from 24 ft,,26,12
93,1,1:19.0,,Defensive rebound by B. Biyombo,26,12
94,1,1:09.0,,N. Vučević misses 2-pt jump shot from 3 ft,26,12
95,1,1:08.0,,Offensive rebound by N. Vučević,26,12
96,1,1:08.0,,N. Vučević misses 2-pt layup at rim,26,12
97,1,1:07.0,,Offensive rebound by N. Vučević,26,12
98,1,1:07.0,,N. Vučević misses 2-pt layup from 1 ft,26,12
99,1,1:06.0,,Offensive rebound by N. Vučević,26,12
100,1,1:06.0,,N. Vučević makes 2-pt layup from 1 ft,26,14
101,1,0:43.0,A. Nicholson misses 3-pt jump shot from 25 ft,,26,14
102,1,0:42.0,,Defensive rebound by B. Biyombo,26,14
103,1,0:28.0,,Turnover by D. Augustin (bad pass),26,14
104,1,0:11.0,Personal foul by D. Augustin (drawn by T. Satoranský),,26,14
105,1,0:06.0,Turnover by T. Satoranský (bad pass; steal by E. Fournier),,26,14
106,1,0:03.0,,Turnover by E. Fournier (lost ball; steal by T. Satoranský),26,14
107,1,0:00.0,T. Satoranský misses 3-pt jump shot from 34 ft,,26,14
108,1,0:00.0,Offensive rebound by Team,,26,14
109,2,11:47.0,J. Smith makes 2-pt jump shot from 19 ft (assist by M. Thornton),,28,14
110,2,11:24.0,,Shooting foul by K. Oubre (drawn by B. Biyombo),28,14
111,2,11:24.0,,B. Biyombo misses free throw 1 of 2,28,14
112,2,11:24.0,,Offensive rebound by Team,28,14
113,2,11:24.0,,B. Biyombo misses free throw 2 of 2,28,14
114,2,11:23.0,Defensive rebound by Team,,28,14
115,2,11:23.0,,Loose ball foul by A. Gordon (drawn by J. Smith),28,14
116,2,11:12.0,M. Thornton misses 2-pt jump shot from 6 ft,,28,14
117,2,11:10.0,,Defensive rebound by N. Vučević,28,14
118,2,11:04.0,,Turnover by M. Hezonja (bad pass; steal by M. Thornton),28,14
119,2,10:54.0,Shooting foul by M. Hezonja (drawn by M. Thornton),,28,14
120,2,10:54.0,M. Thornton makes free throw 1 of 2,,29,14
121,2,10:54.0,M. Thornton makes free throw 2 of 2,,30,14
122,2,10:43.0,,Turnover by B. Biyombo (back court),30,14
123,2,10:17.0,T. Satoranský misses 3-pt jump shot from 27 ft,,30,14
124,2,10:16.0,Offensive rebound by Team,,30,14
125,2,10:16.0,Turnover by Team (shot clock),,30,14
126,2,10:01.0,,N. Vučević misses 2-pt jump shot from 12 ft,30,14
127,2,9:48.0,,Offensive rebound by A. Gordon,30,14
128,2,9:47.0,,A. Gordon makes 2-pt layup at rim,30,16
129,2,9:43.0,A. Nicholson makes 2-pt layup from 1 ft,,32,16
130,2,9:24.0,,D. Augustin misses 2-pt layup from 1 ft (block by J. Smith),32,16
131,2,9:22.0,,Offensive rebound by N. Vučević,32,16
132,2,9:22.0,,N. Vučević makes 2-pt layup at rim,32,18
133,2,9:04.0,A. Nicholson misses 2-pt jump shot from 12 ft,,32,18
134,2,9:02.0,Offensive rebound by J. Smith,,32,18
135,2,8:53.0,M. Thornton misses 2-pt layup from 2 ft (block by N. Vučević),,32,18
136,2,8:53.0,Offensive rebound by Team,,32,18
137,2,8:53.0,Official timeout,,32,18
138,2,8:41.0,J. Smith misses 2-pt jump shot from 20 ft,,32,18
139,2,8:39.0,,Defensive rebound by N. Vučević,32,18
140,2,8:29.0,,D. Augustin makes 2-pt layup from 4 ft (assist by N. Vučević),32,20
141,2,8:19.0,T. Satoranský misses 2-pt layup from 1 ft (block by N. Vučević),,32,20
142,2,8:17.0,Offensive rebound by K. Oubre,,32,20
143,2,8:12.0,M. Thornton misses 3-pt jump shot from 26 ft,,32,20
144,2,8:11.0,,Defensive rebound by N. Vučević,32,20
145,2,8:05.0,,Personal foul by T. Satoranský (drawn by D. Augustin),32,20
146,2,8:05.0,J. Wall enters the game for T. Satoranský,,32,20
147,2,8:05.0,M. Morris enters the game for A. Nicholson,,32,20
148,2,7:57.0,,A. Gordon misses 2-pt jump shot from 16 ft,32,20
149,2,7:50.0,Defensive rebound by J. Wall,,32,20
150,2,7:45.0,J. Wall misses 2-pt jump shot from 4 ft,,32,20
151,2,7:43.0,,Defensive rebound by N. Vučević,32,20
152,2,7:41.0,,M. Hezonja makes 2-pt dunk at rim (assist by D. Augustin),32,22
153,2,7:21.0,M. Morris makes 2-pt layup from 3 ft,,34,22
154,2,7:08.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),34,25
155,2,6:41.0,J. Wall makes 2-pt layup from 1 ft,,36,25
156,2,6:29.0,,Turnover by N. Vučević (bad pass; steal by M. Morris),36,25
157,2,6:17.0,K. Oubre misses 3-pt jump shot from 26 ft,,36,25
158,2,6:16.0,,Defensive rebound by A. Gordon,36,25
159,2,6:10.0,,D. Augustin misses 3-pt jump shot from 26 ft,36,25
160,2,6:08.0,Defensive rebound by J. Wall,,36,25
161,2,6:03.0,Washington full timeout,,36,25
162,2,6:03.0,M. Gortat enters the game for M. Thornton,,36,25
163,2,6:03.0,B. Beal enters the game for J. Smith,,36,25
164,2,6:03.0,O. Porter enters the game for K. Oubre,,36,25
165,2,6:03.0,,S. Ibaka enters the game for B. Biyombo,36,25
166,2,5:50.0,O. Porter misses 3-pt jump shot from 24 ft,,36,25
167,2,5:49.0,,Defensive rebound by M. Hezonja,36,25
168,2,5:36.0,,N. Vučević makes 2-pt hook shot from 9 ft,36,27
169,2,5:25.0,Turnover by M. Gortat (bad pass; steal by N. Vučević),,36,27
170,2,5:19.0,,A. Gordon makes 2-pt layup from 3 ft (assist by D. Augustin),36,29
171,2,5:01.0,M. Morris misses 3-pt jump shot from 26 ft,,36,29
172,2,4:59.0,Offensive rebound by Team,,36,29
173,2,4:59.0,,E. Fournier enters the game for M. Hezonja,36,29
174,2,4:56.0,B. Beal makes 2-pt jump shot from 16 ft (assist by O. Porter),,38,29
175,2,4:33.0,,Turnover by D. Augustin (bad pass; steal by B. Beal),38,29
176,2,4:29.0,J. Wall makes 2-pt layup at rim (assist by B. Beal),,40,29
177,2,4:29.0,,Orlando full timeout,40,29
178,2,4:15.0,,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Fournier),40,31
179,2,3:56.0,Turnover by J. Wall (bad pass; steal by N. Vučević),,40,31
180,2,3:54.0,,Turnover by N. Vučević (bad pass),40,31
181,2,3:45.0,B. Beal misses 2-pt jump shot from 7 ft (block by N. Vučević),,40,31
182,2,3:43.0,,Defensive rebound by N. Vučević,40,31
183,2,3:40.0,,Shooting foul by O. Porter (drawn by A. Gordon),40,31
184,2,3:40.0,,A. Gordon misses free throw 1 of 2,40,31
185,2,3:40.0,,Offensive rebound by Team,40,31
186,2,3:40.0,,A. Gordon misses free throw 2 of 2,40,31
187,2,3:40.0,Defensive rebound by Team,,40,31
188,2,3:39.0,,Loose ball foul by S. Ibaka (drawn by M. Morris),40,31
189,2,3:23.0,O. Porter misses 3-pt jump shot from 24 ft,,40,31
190,2,3:21.0,,Defensive rebound by S. Ibaka,40,31
191,2,3:06.0,,B. Biyombo enters the game for N. Vučević,40,31
192,2,2:58.0,,E. Fournier makes 2-pt layup at rim,40,33
193,2,2:41.0,J. Wall misses 2-pt jump shot from 18 ft,,40,33
194,2,2:37.0,,Defensive rebound by B. Biyombo,40,33
195,2,2:28.0,,S. Ibaka misses 2-pt jump shot from 14 ft,40,33
196,2,2:27.0,Defensive rebound by M. Gortat,,40,33
197,2,2:19.0,Personal foul by E. Fournier (drawn by J. Wall),,40,33
198,2,2:12.0,B. Beal makes 2-pt layup from 2 ft,,42,33
199,2,1:46.0,,E. Fournier misses 3-pt jump shot from 26 ft,42,33
200,2,1:44.0,Defensive rebound by J. Wall,,42,33
201,2,1:40.0,O. Porter makes 2-pt layup from 2 ft (assist by J. Wall),,44,33
202,2,1:27.0,,Turnover by E. Fournier (bad pass),44,33
203,2,1:27.0,,E. Payton enters the game for E. Fournier,44,33
204,2,1:27.0,,N. Vučević enters the game for S. Ibaka,44,33
205,2,1:17.0,J. Wall makes 2-pt layup from 2 ft,,46,33
206,2,1:07.0,,Shooting foul by M. Morris (drawn by B. Biyombo),46,33
207,2,1:07.0,,B. Biyombo makes free throw 1 of 2,46,34
208,2,1:07.0,,B. Biyombo makes free throw 2 of 2,46,35
209,2,0:47.0,J. Wall misses 3-pt jump shot from 23 ft,,46,35
210,2,0:44.0,,Defensive rebound by N. Vučević,46,35
211,2,0:33.0,,Turnover by A. Gordon (bad pass),46,35
212,2,0:11.0,J. Wall makes 2-pt jump shot from 19 ft,,48,35
213,2,0:03.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by E. Payton),48,38
214,2,0:00.0,M. Gortat misses 3-pt jump shot from 38 ft,,48,38
215,2,0:00.0,Offensive rebound by Team,,48,38
216,3,11:39.0,M. Morris misses 2-pt jump shot from 6 ft (block by S. Ibaka),,48,38
217,3,11:39.0,Offensive rebound by Team,,48,38
218,3,11:36.0,O. Porter makes 2-pt dunk at rim (assist by B. Beal),,50,38
219,3,11:20.0,,J. Green misses 2-pt layup from 2 ft,50,38
220,3,11:19.0,Defensive rebound by O. Porter,,50,38
221,3,11:08.0,Turnover by M. Morris (step out of bounds),,50,38
222,3,10:49.0,,S. Ibaka makes 2-pt hook shot from 10 ft (assist by E. Payton),50,40
223,3,10:49.0,,Shooting foul by M. Morris (drawn by S. Ibaka),50,40
224,3,10:49.0,,S. Ibaka makes free throw 1 of 1,50,41
225,3,10:32.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,52,41
226,3,10:09.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by E. Fournier),52,43
