,QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
0,1,11:42.0,C. Anthony makes 2-pt jump shot from 21 ft (assist by D. Rose),,2,0
1,1,11:26.0,,Shooting foul by K. Porziņģis (drawn by M. Turner),2,0
2,1,11:26.0,,M. Turner makes free throw 1 of 2,2,1
3,1,11:26.0,,M. Turner makes free throw 2 of 2,2,2
4,1,11:15.0,Shooting foul by M. Turner (drawn by J. Noah),,2,2
5,1,11:15.0,J. Noah misses free throw 1 of 2,,2,2
6,1,11:15.0,Offensive rebound by Team,,2,2
7,1,11:15.0,J. Noah misses free throw 2 of 2,,2,2
8,1,11:15.0,,Defensive rebound by Team,2,2
9,1,11:02.0,,C. Miles misses 3-pt jump shot from 25 ft,2,2
10,1,11:00.0,,Offensive rebound by Team,2,2
11,1,10:48.0,,P. George misses 2-pt jump shot from 14 ft,2,2
12,1,10:47.0,Defensive rebound by D. Rose,,2,2
13,1,10:42.0,Shooting block foul by P. George (drawn by D. Rose),,2,2
14,1,10:42.0,D. Rose makes free throw 1 of 2,,3,2
15,1,10:42.0,D. Rose makes free throw 2 of 2,,4,2
16,1,10:27.0,,M. Turner makes 2-pt jump shot from 21 ft (assist by P. George),4,4
17,1,10:11.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,4,4
18,1,10:11.0,,Defensive rebound by P. George,4,4
19,1,10:04.0,,P. George makes 2-pt jump shot from 7 ft,4,6
20,1,10:04.0,,Shooting foul by C. Lee (drawn by P. George),4,6
21,1,10:04.0,,P. George makes free throw 1 of 1,4,7
22,1,9:46.0,Turnover by C. Anthony (bad pass; steal by T. Young),,4,7
23,1,9:39.0,,P. George misses 3-pt jump shot from 27 ft,4,7
24,1,9:38.0,Defensive rebound by J. Noah,,4,7
25,1,9:28.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,4,7
26,1,9:28.0,,Defensive rebound by P. George,4,7
27,1,9:12.0,,P. George makes 3-pt jump shot from 24 ft (assist by C. Miles),4,10
28,1,9:06.0,New York full timeout,,4,10
29,1,8:59.0,C. Anthony makes 2-pt layup from 2 ft,,6,10
30,1,8:59.0,Shooting foul by M. Turner (drawn by C. Anthony),,6,10
31,1,8:59.0,C. Anthony makes free throw 1 of 1,,7,10
32,1,8:42.0,,M. Turner makes 2-pt jump shot from 15 ft (assist by T. Young),7,12
33,1,8:25.0,C. Lee makes 2-pt jump shot from 21 ft,,9,12
34,1,8:14.0,,P. George makes 3-pt jump shot from 28 ft (assist by J. Teague),9,15
35,1,8:04.0,K. Porziņģis misses 2-pt jump shot from 8 ft,,9,15
36,1,8:03.0,,Defensive rebound by M. Turner,9,15
37,1,7:56.0,,P. George misses 3-pt jump shot from 28 ft,9,15
38,1,7:55.0,Defensive rebound by J. Noah,,9,15
39,1,7:49.0,D. Rose makes 2-pt layup from 1 ft,,11,15
40,1,7:28.0,,P. George makes 2-pt jump shot from 19 ft,11,17
41,1,7:13.0,C. Anthony misses 2-pt jump shot from 19 ft,,11,17
42,1,7:11.0,Offensive rebound by J. Noah,,11,17
43,1,7:08.0,Turnover by K. Porziņģis (traveling),,11,17
44,1,7:08.0,,A. Jefferson enters the game for M. Turner,11,17
45,1,7:08.0,M. Kuzminskas enters the game for K. Porziņģis,,11,17
46,1,6:46.0,,C. Miles misses 3-pt jump shot from 26 ft,11,17
47,1,6:45.0,,Offensive rebound by Team,11,17
48,1,6:42.0,,J. Teague makes 2-pt layup from 3 ft,11,19
49,1,6:37.0,Turnover by D. Rose (bad pass),,11,19
50,1,6:22.0,,T. Young misses 2-pt jump shot from 13 ft,11,19
51,1,6:21.0,Defensive rebound by J. Noah,,11,19
52,1,6:14.0,C. Anthony makes 2-pt jump shot from 20 ft,,13,19
53,1,6:00.0,,Personal foul by J. Noah (drawn by P. George),13,19
54,1,6:00.0,K. Porziņģis enters the game for J. Noah,,13,19
55,1,5:47.0,,J. Teague misses 3-pt jump shot from 26 ft,13,19
56,1,5:45.0,,Offensive rebound by T. Young,13,19
57,1,5:43.0,,A. Jefferson makes 2-pt layup at rim (assist by T. Young),13,21
58,1,5:33.0,Turnover by C. Anthony (bad pass; steal by T. Young),,13,21
59,1,5:24.0,,C. Miles makes 2-pt dunk at rim,13,23
60,1,5:24.0,,P. George misses 3-pt jump shot from 25 ft,13,23
61,1,5:24.0,,Offensive rebound by C. Miles,13,23
62,1,5:17.0,New York full timeout,,13,23
63,1,5:17.0,,M. Ellis enters the game for T. Young,13,23
64,1,5:10.0,Turnover by K. Porziņģis (lost ball; steal by P. George),,13,23
65,1,4:51.0,,J. Teague misses 2-pt jump shot from 20 ft,13,23
66,1,4:50.0,Defensive rebound by M. Kuzminskas,,13,23
67,1,4:38.0,C. Lee misses 2-pt jump shot from 7 ft,,13,23
68,1,4:37.0,,Defensive rebound by C. Miles,13,23
69,1,4:32.0,,Shooting foul by C. Anthony (drawn by P. George),13,23
70,1,4:32.0,,P. George makes free throw 1 of 2,13,24
71,1,4:32.0,J. Holiday enters the game for C. Lee,,13,24
72,1,4:32.0,B. Jennings enters the game for D. Rose,,13,24
73,1,4:32.0,,P. George makes free throw 2 of 2,13,25
74,1,4:15.0,Shooting foul by P. George (drawn by C. Anthony),,13,25
75,1,4:15.0,C. Anthony makes free throw 1 of 2,,14,25
76,1,4:15.0,,G. Robinson enters the game for P. George,14,25
