,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,T. Hardaway misses 2-pt layup from 2 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Henson,0,0
2,1,11:35.0,,Turnover by G. Antetokounmpo (lost ball),0,0
3,1,11:22.0,Turnover by D. Schröder (bad pass; steal by J. Parker),,0,0
4,1,11:17.0,,J. Parker makes 2-pt layup at rim,0,2
5,1,11:08.0,D. Howard makes 2-pt layup from 2 ft (assist by T. Hardaway),,2,2
6,1,10:49.0,,J. Henson misses 2-pt hook shot from 6 ft,2,2
7,1,10:48.0,Defensive rebound by P. Millsap,,2,2
8,1,10:36.0,D. Schröder misses 3-pt jump shot from 25 ft,,2,2
9,1,10:34.0,,Defensive rebound by G. Antetokounmpo,2,2
10,1,10:17.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,2,2
11,1,10:15.0,Defensive rebound by D. Howard,,2,2
12,1,10:01.0,Turnover by P. Millsap (traveling),,2,2
13,1,9:51.0,,M. Dellavedova misses 2-pt jump shot from 9 ft,2,2
14,1,9:51.0,Defensive rebound by Team,,2,2
15,1,9:32.0,,Violation by J. Henson (def goaltending),2,2
16,1,9:32.0,D. Schröder makes 2-pt layup from 1 ft (assist by P. Millsap),,4,2
17,1,9:22.0,,J. Parker misses 2-pt jump shot from 18 ft,4,2
18,1,9:21.0,Defensive rebound by T. Sefolosha,,4,2
19,1,9:07.0,T. Hardaway misses 3-pt jump shot from 27 ft,,4,2
20,1,9:06.0,,Defensive rebound by Team,4,2
21,1,8:45.0,,M. Dellavedova makes 2-pt jump shot from 5 ft,4,4
22,1,8:34.0,T. Hardaway misses 3-pt jump shot from 26 ft,,4,4
23,1,8:33.0,,Defensive rebound by T. Snell,4,4
24,1,8:26.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,4,6
25,1,8:12.0,P. Millsap misses 2-pt jump shot from 13 ft,,4,6
26,1,8:10.0,,Defensive rebound by J. Parker,4,6
27,1,8:01.0,,J. Henson makes 2-pt hook shot from 5 ft (assist by J. Parker),4,8
28,1,7:35.0,T. Sefolosha misses 2-pt jump shot from 20 ft,,4,8
29,1,7:35.0,Offensive rebound by Team,,4,8
30,1,7:35.0,Turnover by Team (shot clock),,4,8
31,1,7:18.0,,J. Parker misses 2-pt layup at rim (block by P. Millsap),4,8
32,1,7:16.0,,Offensive rebound by J. Parker,4,8
33,1,7:14.0,,J. Parker makes 2-pt dunk at rim,4,10
34,1,7:03.0,Def 3 sec tech foul by J. Parker,,4,10
35,1,7:03.0,D. Schröder makes technical free throw,,5,10
36,1,7:03.0,K. Korver enters the game for D. Howard,,5,10
37,1,7:03.0,M. Muscala enters the game for T. Hardaway,,5,10
38,1,6:59.0,Turnover by D. Schröder (bad pass),,5,10
39,1,6:42.0,,Offensive foul by G. Antetokounmpo (drawn by M. Muscala),5,10
40,1,6:42.0,,Turnover by G. Antetokounmpo (offensive foul),5,10
41,1,6:34.0,D. Schröder misses 2-pt jump shot from 4 ft,,5,10
42,1,6:33.0,,Defensive rebound by J. Henson,5,10
43,1,6:28.0,,G. Antetokounmpo makes 2-pt layup at rim,5,12
44,1,6:28.0,Atlanta full timeout,,5,12
45,1,6:28.0,,M. Beasley enters the game for G. Antetokounmpo,5,12
46,1,6:11.0,D. Schröder makes 2-pt layup from 2 ft (assist by T. Sefolosha),,7,12
47,1,5:57.0,,Turnover by M. Dellavedova (bad pass),7,12
48,1,5:42.0,D. Schröder makes 2-pt jump shot from 16 ft (assist by T. Sefolosha),,9,12
49,1,5:42.0,Shooting foul by M. Beasley (drawn by D. Schröder),,9,12
50,1,5:42.0,T. Hardaway enters the game for T. Sefolosha,,9,12
