,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:44.0,J. Henson makes 2-pt dunk at rim (assist by G. Antetokounmpo),,2,0
1,1,11:24.0,,D. Waiters misses 3-pt jump shot from 24 ft,2,0
2,1,11:23.0,,Offensive rebound by G. Dragić,2,0
3,1,11:13.0,,H. Whiteside misses 2-pt hook shot from 9 ft,2,0
4,1,11:12.0,Defensive rebound by J. Parker,,2,0
5,1,11:04.0,J. Parker misses 2-pt jump shot from 12 ft,,2,0
6,1,11:03.0,,Defensive rebound by J. Richardson,2,0
7,1,10:51.0,,D. Williams misses 2-pt layup from 2 ft,2,0
8,1,10:50.0,,Offensive rebound by H. Whiteside,2,0
9,1,10:49.0,,H. Whiteside makes 2-pt layup from 1 ft,2,2
10,1,10:27.0,Turnover by G. Antetokounmpo (bad pass),,2,2
11,1,10:18.0,,Personal foul by G. Antetokounmpo (drawn by D. Williams),2,2
12,1,10:08.0,,H. Whiteside misses 2-pt jump shot from 4 ft (block by J. Henson),2,2
13,1,10:07.0,,Offensive rebound by H. Whiteside,2,2
14,1,10:06.0,,H. Whiteside misses 2-pt hook shot from 6 ft,2,2
15,1,10:05.0,,Offensive rebound by D. Williams,2,2
16,1,10:04.0,,D. Williams makes 2-pt layup from 3 ft,2,4
17,1,9:53.0,Personal foul by J. Richardson (drawn by G. Antetokounmpo),,2,4
18,1,9:40.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,5,4
19,1,9:21.0,,J. Richardson misses 3-pt jump shot from 25 ft,5,4
20,1,9:20.0,Defensive rebound by G. Antetokounmpo,,5,4
21,1,9:11.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,5,4
22,1,9:10.0,,Defensive rebound by H. Whiteside,5,4
23,1,8:58.0,,Turnover by J. Richardson (bad pass; steal by M. Dellavedova),5,4
24,1,8:52.0,T. Snell makes 3-pt jump shot from 24 ft (assist by J. Parker),,8,4
25,1,8:39.0,,Personal foul by G. Antetokounmpo (drawn by G. Dragić),8,4
26,1,8:39.0,M. Beasley enters the game for G. Antetokounmpo,,8,4
27,1,8:28.0,,J. Richardson misses 3-pt jump shot from 24 ft,8,4
28,1,8:27.0,Defensive rebound by M. Beasley,,8,4
