,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ATLANTA_ACTION,PHOENIX_SCORE,ATLANTA_SCORE
0,1,11:40.0,,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),0,2
1,1,11:29.0,Shooting foul by E. İlyasova (drawn by M. Chriss),,0,2
2,1,11:29.0,M. Chriss makes free throw 1 of 2,,1,2
3,1,11:29.0,M. Chriss misses free throw 2 of 2,,1,2
4,1,11:25.0,Offensive rebound by A. Len,,1,2
5,1,11:12.0,D. Jones misses 2-pt jump shot from 20 ft,,1,2
6,1,11:11.0,,Defensive rebound by D. Howard,1,2
7,1,10:55.0,,Turnover by D. Schröder (bad pass; steal by T. Ulis),1,2
8,1,10:50.0,D. Jones misses 2-pt jump shot from 7 ft,,1,2
9,1,10:48.0,,Defensive rebound by T. Prince,1,2
10,1,10:35.0,,D. Schröder makes 2-pt layup from 2 ft,1,4
11,1,10:09.0,M. Chriss misses 2-pt jump shot from 21 ft,,1,4
12,1,10:06.0,,Defensive rebound by D. Howard,1,4
13,1,10:01.0,,E. İlyasova misses 3-pt jump shot from 23 ft,1,4
14,1,9:58.0,Defensive rebound by M. Chriss,,1,4
15,1,9:53.0,T. Warren misses 2-pt jump shot from 20 ft,,1,4
16,1,9:51.0,,Defensive rebound by T. Hardaway,1,4
17,1,9:43.0,,D. Schröder misses 2-pt jump shot from 7 ft,1,4
18,1,9:41.0,Defensive rebound by A. Len,,1,4
19,1,9:36.0,T. Ulis makes 2-pt jump shot from 12 ft,,3,4
20,1,9:21.0,,Turnover by T. Prince (traveling),3,4
21,1,9:02.0,M. Chriss misses 2-pt hook shot from 6 ft,,3,4
22,1,9:01.0,,Defensive rebound by D. Howard,3,4
23,1,8:50.0,,E. İlyasova makes 3-pt jump shot from 23 ft (assist by D. Schröder),3,7
24,1,8:31.0,T. Ulis makes 3-pt jump shot from 25 ft,,6,7
25,1,8:06.0,,T. Prince makes 2-pt layup from 2 ft (assist by D. Howard),6,9
26,1,7:58.0,M. Chriss misses 2-pt layup from 3 ft,,6,9
27,1,7:56.0,Offensive rebound by M. Chriss,,6,9
28,1,7:55.0,M. Chriss misses 2-pt layup from 1 ft (block by D. Howard),,6,9
29,1,7:51.0,Offensive rebound by T. Ulis,,6,9
30,1,7:30.0,D. Jones misses 3-pt jump shot from 25 ft,,6,9
31,1,7:29.0,,Defensive rebound by D. Schröder,6,9
32,1,7:16.0,,E. İlyasova makes 2-pt jump shot from 15 ft (assist by D. Howard),6,11
33,1,6:56.0,T. Warren makes 2-pt jump shot from 10 ft (assist by T. Ulis),,8,11
34,1,6:47.0,,E. İlyasova misses 2-pt layup from 4 ft (block by M. Chriss),8,11
35,1,6:45.0,Defensive rebound by T. Warren,,8,11
36,1,6:41.0,T. Warren misses 2-pt layup from 1 ft,,8,11
37,1,6:39.0,,Defensive rebound by D. Schröder,8,11
38,1,6:36.0,,E. İlyasova misses 3-pt jump shot from 25 ft,8,11
39,1,6:36.0,Defensive rebound by Team,,8,11
40,1,6:36.0,,Loose ball foul by D. Howard (drawn by A. Len),8,11
41,1,6:22.0,T. Warren misses 2-pt jump shot from 10 ft (block by D. Howard),,8,11
42,1,6:18.0,,Defensive rebound by D. Howard,8,11
43,1,6:16.0,,Turnover by D. Howard (lost ball; steal by T. Warren),8,11
44,1,5:56.0,A. Len misses 2-pt hook shot from 7 ft,,8,11
45,1,5:53.0,Offensive rebound by D. Jones,,8,11
46,1,5:53.0,D. Jones makes 2-pt layup at rim,,10,11
47,1,5:50.0,,Atlanta full timeout,10,11
48,1,5:50.0,,M. Dunleavy enters the game for T. Prince,10,11
49,1,5:33.0,,M. Dunleavy misses 3-pt jump shot from 22 ft,10,11
50,1,5:30.0,Defensive rebound by T. Ulis,,10,11
51,1,5:18.0,T. Ulis misses 3-pt jump shot from 25 ft,,10,11
52,1,5:18.0,,Defensive rebound by Team,10,11
53,1,5:18.0,Loose ball foul by A. Len (drawn by E. İlyasova),,10,11
54,1,5:08.0,,Personal foul by T. Warren,10,11
55,1,4:57.0,,T. Hardaway makes 2-pt jump shot from 11 ft (assist by D. Schröder),10,13
56,1,4:37.0,T. Warren makes 2-pt jump shot from 18 ft (assist by T. Ulis),,12,13
57,1,4:26.0,,D. Schröder makes 2-pt layup from 1 ft,12,15
58,1,4:26.0,,Shooting foul by A. Len (drawn by D. Schröder),12,15
59,1,4:26.0,A. Williams enters the game for A. Len,,12,15
60,1,4:26.0,,M. Muscala enters the game for E. İlyasova,12,15
61,1,4:26.0,,D. Schröder makes free throw 1 of 1,12,16
62,1,4:08.0,M. Chriss misses 3-pt jump shot from 23 ft,,12,16
63,1,4:06.0,,Defensive rebound by M. Dunleavy,12,16
64,1,3:59.0,,Personal foul by A. Williams (drawn by D. Howard),12,16
65,1,3:59.0,,T. Prince enters the game for T. Hardaway,12,16
66,1,3:53.0,,Turnover by D. Schröder (lost ball; steal by A. Williams),12,16
67,1,3:44.0,A. Williams misses 2-pt jump shot from 6 ft,,12,16
68,1,3:43.0,,Defensive rebound by T. Prince,12,16
69,1,3:20.0,,D. Schröder makes 2-pt jump shot from 12 ft,12,18
70,1,2:55.0,Offensive foul by A. Williams (drawn by D. Schröder),,12,18
71,1,2:55.0,Turnover by A. Williams (offensive foul),,12,18
72,1,2:55.0,Phoenix full timeout,,12,18
73,1,2:55.0,J. Dudley enters the game for A. Williams,,12,18
74,1,2:55.0,,K. Humphries enters the game for D. Howard,12,18
75,1,2:39.0,,D. Schröder makes 2-pt layup from 1 ft (assist by M. Dunleavy),12,20
76,1,2:16.0,J. Dudley misses 3-pt jump shot from 25 ft,,12,20
77,1,2:15.0,,Defensive rebound by Team,12,20
78,1,2:15.0,Loose ball foul by M. Chriss (drawn by K. Humphries),,12,20
79,1,2:15.0,,K. Humphries makes free throw 1 of 2,12,21
80,1,2:15.0,,K. Humphries makes free throw 2 of 2,12,22
81,1,2:09.0,Personal foul by K. Humphries (drawn by M. Chriss),,12,22
82,1,2:04.0,Personal foul by T. Prince,,12,22
83,1,2:00.0,J. Dudley misses 2-pt jump shot from 17 ft,,12,22
84,1,1:58.0,,Defensive rebound by M. Dunleavy,12,22
85,1,1:45.0,,D. Schröder makes 2-pt jump shot from 19 ft (assist by K. Humphries),12,24
86,1,1:33.0,D. Jones misses 2-pt jump shot from 22 ft,,12,24
87,1,1:30.0,,Defensive rebound by K. Humphries,12,24
88,1,1:27.0,,Personal foul by M. Chriss (drawn by T. Prince),12,24
89,1,1:27.0,,T. Prince misses free throw 1 of 2,12,24
90,1,1:27.0,,Offensive rebound by Team,12,24
91,1,1:27.0,A. Williams enters the game for M. Chriss,,12,24
92,1,1:27.0,J. Eddie enters the game for D. Jones,,12,24
93,1,1:27.0,,T. Prince makes free throw 2 of 2,12,25
94,1,1:18.0,Turnover by T. Warren (bad pass; steal by M. Muscala),,12,25
95,1,1:12.0,,K. Humphries misses 2-pt dunk at rim (block by T. Warren),12,25
96,1,1:10.0,Defensive rebound by T. Warren,,12,25
97,1,1:06.0,T. Ulis misses 3-pt jump shot from 24 ft,,12,25
98,1,1:03.0,Offensive rebound by T. Warren,,12,25
99,1,1:00.0,T. Warren misses 2-pt jump shot from 5 ft,,12,25
100,1,0:56.0,,Defensive rebound by M. Dunleavy,12,25
101,1,0:53.0,,D. Schröder makes 2-pt jump shot from 15 ft,12,27
102,1,0:34.0,J. Eddie misses 3-pt jump shot from 25 ft,,12,27
103,1,0:32.0,Offensive rebound by A. Williams,,12,27
104,1,0:30.0,A. Williams misses 2-pt hook shot from 6 ft,,12,27
105,1,0:26.0,,Defensive rebound by M. Muscala,12,27
106,1,0:09.0,,D. Schröder misses 3-pt jump shot from 25 ft,12,27
107,1,0:07.0,Defensive rebound by J. Dudley,,12,27
108,1,0:03.0,,Offensive charge foul by T. Warren (drawn by M. Dunleavy),12,27
109,1,0:03.0,Turnover by T. Warren (offensive foul),,12,27
110,1,0:00.0,,T. Prince misses 3-pt jump shot from 32 ft,12,27
111,1,0:00.0,,Offensive rebound by Team,12,27
112,2,11:46.0,J. Dudley misses 2-pt jump shot from 21 ft,,12,27
113,2,11:44.0,,Defensive rebound by Team,12,27
114,2,11:29.0,,T. Prince makes 3-pt jump shot from 25 ft,12,30
115,2,11:10.0,A. Williams makes 2-pt layup from 1 ft (assist by R. Price),,14,30
116,2,11:03.0,,M. Dunleavy misses 2-pt layup from 2 ft,14,30
117,2,11:00.0,,Offensive rebound by K. Humphries,14,30
118,2,11:00.0,,K. Humphries misses 2-pt layup from 1 ft,14,30
119,2,10:59.0,Defensive rebound by R. Price,,14,30
120,2,10:40.0,T. Warren makes 2-pt jump shot from 13 ft,,16,30
121,2,10:21.0,,Personal foul by R. Price (drawn by J. Calderón),16,30
122,2,10:21.0,,T. Hardaway enters the game for M. Dunleavy,16,30
123,2,10:16.0,,Shooting foul by J. Dudley (drawn by K. Humphries),16,30
124,2,10:16.0,,K. Humphries makes free throw 1 of 2,16,31
125,2,10:16.0,,D. Bembry enters the game for T. Prince,16,31
126,2,10:16.0,,K. Humphries makes free throw 2 of 2,16,32
127,2,10:07.0,T. Warren misses 2-pt jump shot from 8 ft,,16,32
128,2,10:05.0,,Defensive rebound by K. Humphries,16,32
129,2,9:58.0,,M. Muscala misses 2-pt jump shot from 20 ft,16,32
130,2,9:57.0,Defensive rebound by A. Williams,,16,32
131,2,9:51.0,J. Eddie makes 3-pt jump shot from 25 ft (assist by R. Price),,19,32
132,2,9:36.0,,Shooting foul by R. Price (drawn by K. Humphries),19,32
133,2,9:36.0,,K. Humphries makes free throw 1 of 2,19,33
134,2,9:36.0,,K. Humphries misses free throw 2 of 2,19,33
135,2,9:34.0,Defensive rebound by A. Williams,,19,33
136,2,9:19.0,Turnover by T. Warren (traveling),,19,33
137,2,9:10.0,,D. Bembry misses 2-pt layup from 2 ft,19,33
138,2,9:07.0,Defensive rebound by A. Williams,,19,33
139,2,9:00.0,J. Eddie makes 3-pt jump shot from 24 ft (assist by R. Price),,22,33
140,2,8:43.0,,J. Calderón makes 2-pt jump shot from 17 ft (assist by K. Humphries),22,35
141,2,8:36.0,Personal foul by K. Humphries (drawn by A. Williams),,22,35
142,2,8:36.0,Official timeout,,22,35
143,2,8:36.0,T. Ulis enters the game for T. Warren,,22,35
144,2,8:36.0,,D. Howard enters the game for M. Muscala,22,35
145,2,8:36.0,,E. İlyasova enters the game for K. Humphries,22,35
146,2,8:28.0,J. Eddie misses 2-pt jump shot from 15 ft,,22,35
147,2,8:25.0,Offensive rebound by T. Ulis,,22,35
148,2,8:18.0,R. Price misses 3-pt jump shot from 24 ft,,22,35
149,2,8:17.0,,Defensive rebound by T. Hardaway,22,35
150,2,8:04.0,,E. İlyasova misses 2-pt jump shot from 10 ft,22,35
151,2,8:01.0,Defensive rebound by A. Williams,,22,35
152,2,7:47.0,T. Ulis makes 2-pt jump shot from 9 ft,,24,35
153,2,7:38.0,,T. Hardaway misses 3-pt jump shot from 25 ft,24,35
154,2,7:37.0,,Offensive rebound by D. Bembry,24,35
155,2,7:37.0,,D. Bembry misses 2-pt layup from 1 ft,24,35
156,2,7:37.0,,Offensive rebound by Team,24,35
157,2,7:37.0,Loose ball foul by J. Dudley (drawn by D. Bembry),,24,35
158,2,7:36.0,,Shooting foul by A. Williams (drawn by D. Bembry),24,35
159,2,7:36.0,,D. Bembry misses free throw 1 of 2,24,35
160,2,7:36.0,,Offensive rebound by Team,24,35
161,2,7:36.0,,D. Bembry misses free throw 2 of 2,24,35
162,2,7:36.0,A. Len enters the game for A. Williams,,24,35
163,2,7:35.0,Defensive rebound by J. Eddie,,24,35
164,2,7:22.0,J. Eddie misses 3-pt jump shot from 25 ft,,24,35
165,2,7:21.0,Offensive rebound by A. Len,,24,35
166,2,7:17.0,R. Price misses 3-pt jump shot from 23 ft,,24,35
167,2,7:15.0,,Defensive rebound by Team,24,35
168,2,7:02.0,,D. Howard misses 2-pt hook shot from 8 ft,24,35
169,2,6:59.0,Defensive rebound by J. Dudley,,24,35
170,2,6:53.0,Shooting foul by J. Calderón (drawn by J. Eddie),,24,35
171,2,6:53.0,A. Len makes free throw 1 of 2,,25,35
172,2,6:53.0,,D. Schröder enters the game for J. Calderón,25,35
173,2,6:53.0,A. Len makes free throw 2 of 2,,26,35
174,2,6:42.0,,Personal foul by R. Price (drawn by E. İlyasova),26,35
175,2,6:42.0,,E. İlyasova makes free throw 1 of 2,26,36
