,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:38.0,,J. Valančiūnas misses 2-pt jump shot from 17 ft,0,0
1,1,11:38.0,Defensive rebound by C. Zeller,,0,0
2,1,11:31.0,K. Walker misses 2-pt layup from 2 ft,,0,0
3,1,11:30.0,,Defensive rebound by J. Valančiūnas,0,0
4,1,11:07.0,,S. Ibaka misses 3-pt jump shot from 26 ft,0,0
5,1,11:06.0,Defensive rebound by M. Williams,,0,0
6,1,10:58.0,M. Williams misses 3-pt jump shot from 28 ft,,0,0
7,1,10:57.0,,Defensive rebound by J. Valančiūnas,0,0
8,1,10:38.0,,S. Ibaka misses 2-pt jump shot from 14 ft,0,0
9,1,10:37.0,Defensive rebound by C. Zeller,,0,0
10,1,10:18.0,C. Zeller misses 2-pt layup from 5 ft,,0,0
11,1,10:18.0,,Defensive rebound by J. Valančiūnas,0,0
12,1,10:08.0,,D. DeRozan makes 2-pt jump shot from 3 ft,0,2
13,1,9:54.0,Personal foul by C. Joseph (drawn by N. Batum),,0,2
14,1,9:48.0,N. Batum misses 3-pt jump shot from 26 ft,,0,2
15,1,9:48.0,,Defensive rebound by D. DeRozan,0,2
16,1,9:39.0,,Personal foul by C. Zeller (drawn by J. Valančiūnas),0,2
17,1,9:27.0,,D. DeRozan misses 2-pt jump shot from 17 ft,0,2
18,1,9:27.0,Defensive rebound by M. Williams,,0,2
19,1,9:19.0,Turnover by C. Zeller (lost ball),,0,2
20,1,9:06.0,,S. Ibaka misses 3-pt jump shot from 26 ft,0,2
21,1,9:06.0,Defensive rebound by N. Batum,,0,2
22,1,8:58.0,M. Williams misses 2-pt layup from 3 ft (block by S. Ibaka),,0,2
23,1,8:57.0,,Defensive rebound by J. Valančiūnas,0,2
24,1,8:48.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by C. Joseph),0,5
25,1,8:33.0,Personal foul by S. Ibaka (drawn by M. Williams),,0,5
26,1,8:28.0,K. Walker misses 3-pt jump shot from 27 ft,,0,5
27,1,8:27.0,Offensive rebound by C. Zeller,,0,5
28,1,8:21.0,N. Batum makes 3-pt jump shot from 27 ft (assist by C. Zeller),,3,5
29,1,8:07.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft,3,7
30,1,7:53.0,K. Walker makes 2-pt jump shot from 4 ft,,5,7
31,1,7:38.0,,Turnover by S. Ibaka (traveling),5,7
32,1,7:27.0,N. Batum makes 2-pt layup from 2 ft (assist by C. Zeller),,7,7
33,1,7:07.0,,D. Carroll misses 2-pt jump shot from 18 ft,7,7
34,1,7:06.0,Defensive rebound by M. Kidd-Gilchrist,,7,7
35,1,6:56.0,M. Kidd-Gilchrist makes 2-pt layup at rim,,9,7
36,1,6:37.0,,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by D. DeRozan),9,9
37,1,6:23.0,Personal foul by D. Carroll (drawn by C. Zeller),,9,9
38,1,6:11.0,N. Batum misses 2-pt jump shot from 17 ft (block by D. Carroll),,9,9
39,1,6:10.0,Offensive rebound by N. Batum,,9,9
40,1,6:06.0,C. Zeller misses 2-pt jump shot from 18 ft,,9,9
41,1,6:06.0,,Defensive rebound by C. Joseph,9,9
42,1,5:58.0,,D. DeRozan misses 2-pt jump shot from 12 ft,9,9
43,1,5:58.0,Defensive rebound by C. Zeller,,9,9
44,1,5:44.0,M. Kidd-Gilchrist misses 2-pt jump shot from 10 ft,,9,9
45,1,5:43.0,,Defensive rebound by J. Valančiūnas,9,9
46,1,5:39.0,,Toronto full timeout,9,9
47,1,5:39.0,F. Kaminsky enters the game for M. Williams,,9,9
48,1,5:32.0,,Shooting foul by C. Zeller (drawn by D. DeRozan),9,9
49,1,5:32.0,,D. DeRozan makes free throw 1 of 2,9,10
50,1,5:32.0,,D. DeRozan misses free throw 2 of 2,9,10
51,1,5:32.0,,P. Tucker enters the game for D. Carroll,9,10
52,1,5:32.0,M. Plumlee enters the game for C. Zeller,,9,10
53,1,5:31.0,Defensive rebound by F. Kaminsky,,9,10
54,1,5:17.0,N. Batum makes 2-pt jump shot from 15 ft,,11,10
55,1,5:00.0,,C. Joseph misses 3-pt jump shot from 26 ft,11,10
56,1,5:00.0,Defensive rebound by F. Kaminsky,,11,10
57,1,4:45.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,11,10
58,1,4:45.0,,Defensive rebound by C. Joseph,11,10
59,1,4:34.0,,S. Ibaka misses 2-pt jump shot from 18 ft,11,10
60,1,4:34.0,Defensive rebound by N. Batum,,11,10
61,1,4:16.0,F. Kaminsky misses 2-pt jump shot from 19 ft,,11,10
62,1,4:16.0,Offensive rebound by N. Batum,,11,10
63,1,4:14.0,N. Batum makes 2-pt layup from 1 ft,,13,10
64,1,4:04.0,,C. Joseph misses 3-pt jump shot from 26 ft,13,10
65,1,4:03.0,Defensive rebound by F. Kaminsky,,13,10
66,1,3:53.0,Turnover by K. Walker (bad pass; steal by C. Joseph),,13,10
67,1,3:38.0,,P. Patterson enters the game for S. Ibaka,13,10
68,1,3:38.0,C. Zeller enters the game for N. Batum,,13,10
69,1,3:38.0,M. Belinelli enters the game for F. Kaminsky,,13,10
70,1,3:29.0,,C. Joseph makes 2-pt jump shot from 22 ft (assist by P. Patterson),13,12
71,1,3:12.0,M. Belinelli misses 3-pt jump shot from 26 ft,,13,12
72,1,3:11.0,,Defensive rebound by J. Valančiūnas,13,12
73,1,3:04.0,,P. Patterson misses 3-pt jump shot from 24 ft,13,12
74,1,3:04.0,Defensive rebound by M. Kidd-Gilchrist,,13,12
75,1,2:54.0,M. Kidd-Gilchrist misses 2-pt hook shot from 5 ft,,13,12
76,1,2:54.0,Offensive rebound by Team,,13,12
77,1,2:54.0,Charlotte full timeout,,13,12
78,1,2:54.0,,J. Poeltl enters the game for J. Valančiūnas,13,12
79,1,2:54.0,,D. Wright enters the game for C. Joseph,13,12
80,1,2:54.0,F. Kaminsky enters the game for C. Zeller,,13,12
81,1,2:54.0,B. Roberts enters the game for K. Walker,,13,12
82,1,2:42.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by B. Roberts),,16,12
83,1,2:22.0,,P. Patterson misses 3-pt jump shot from 25 ft,16,12
84,1,2:22.0,,Offensive rebound by J. Poeltl,16,12
85,1,2:15.0,,Offensive foul by P. Patterson (drawn by M. Kidd-Gilchrist),16,12
86,1,2:15.0,,Turnover by P. Patterson (offensive foul),16,12
87,1,1:59.0,Personal foul by P. Patterson (drawn by M. Kidd-Gilchrist),,16,12
88,1,1:50.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by M. Belinelli),,19,12
89,1,1:35.0,,D. DeRozan makes 2-pt layup from 2 ft,19,14
90,1,1:17.0,Turnover by B. Roberts (lost ball),,19,14
91,1,1:03.0,,Turnover by D. DeRozan (bad pass; steal by M. Belinelli),19,14
92,1,0:44.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,19,14
93,1,0:44.0,,Defensive rebound by J. Poeltl,19,14
94,1,0:29.0,,P. Patterson makes 2-pt layup at rim (assist by D. Wright),19,16
95,1,0:29.0,,Shooting foul by F. Kaminsky (drawn by P. Patterson),19,16
96,1,0:29.0,,P. Patterson makes free throw 1 of 1,19,17
97,1,0:11.0,B. Roberts makes 3-pt jump shot from 24 ft (assist by M. Belinelli),,22,17
98,1,0:00.0,,D. DeRozan makes 2-pt jump shot from 16 ft,22,19
99,2,11:41.0,M. Belinelli misses 2-pt jump shot from 19 ft,,22,19
100,2,11:40.0,,Defensive rebound by N. Powell,22,19
101,2,11:20.0,,P. Patterson makes 2-pt jump shot from 16 ft (assist by P. Tucker),22,21
