,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
0,1,11:41.0,,C. Frye misses 2-pt jump shot from 9 ft,0,0
1,1,11:41.0,,Offensive rebound by T. Thompson,0,0
2,1,11:41.0,,Personal foul by W. Hernangómez (drawn by T. Thompson),0,0
3,1,11:37.0,,K. Irving makes 2-pt jump shot from 17 ft (assist by T. Thompson),0,2
4,1,11:16.0,C. Lee makes 2-pt jump shot from 16 ft,,2,2
5,1,11:00.0,,C. Frye misses 2-pt jump shot from 5 ft,2,2
6,1,10:58.0,Defensive rebound by C. Anthony,,2,2
7,1,10:40.0,C. Lee makes 3-pt jump shot from 24 ft (assist by W. Hernangómez),,5,2
8,1,10:25.0,,I. Shumpert misses 3-pt jump shot from 24 ft,5,2
9,1,10:25.0,Defensive rebound by W. Hernangómez,,5,2
10,1,10:11.0,D. Rose misses 2-pt layup from 1 ft (block by T. Thompson),,5,2
11,1,10:10.0,,Defensive rebound by L. James,5,2
12,1,10:04.0,,L. James makes 2-pt layup from 3 ft,5,4
13,1,9:54.0,K. Porziņģis makes 2-pt jump shot from 20 ft (assist by D. Rose),,7,4
14,1,9:32.0,,C. Frye misses 3-pt jump shot from 24 ft,7,4
15,1,9:30.0,,Offensive rebound by T. Thompson,7,4
16,1,9:30.0,,T. Thompson makes 2-pt layup at rim,7,6
17,1,9:13.0,C. Anthony misses 2-pt jump shot from 14 ft,,7,6
18,1,9:13.0,,Defensive rebound by Team,7,6
19,1,9:01.0,,C. Frye misses 2-pt jump shot from 17 ft,7,6
20,1,9:01.0,Defensive rebound by C. Lee,,7,6
21,1,8:54.0,C. Lee makes 2-pt jump shot from 13 ft,,9,6
22,1,8:34.0,,K. Irving misses 2-pt layup from 3 ft,9,6
23,1,8:30.0,,Offensive rebound by T. Thompson,9,6
24,1,8:30.0,,T. Thompson makes 2-pt layup from 3 ft,9,8
25,1,8:22.0,D. Rose makes 2-pt jump shot from 6 ft (assist by C. Lee),,11,8
26,1,8:08.0,,I. Shumpert misses 2-pt jump shot from 18 ft,11,8
27,1,8:07.0,,Offensive rebound by T. Thompson,11,8
28,1,7:56.0,,T. Thompson misses 2-pt layup from 1 ft (block by K. Porziņģis),11,8
29,1,7:56.0,,Offensive rebound by T. Thompson,11,8
30,1,7:56.0,,Turnover by Team (shot clock),11,8
31,1,7:56.0,K. O'Quinn enters the game for W. Hernangómez,,11,8
32,1,7:40.0,D. Rose misses 2-pt jump shot from 20 ft,,11,8
33,1,7:40.0,Offensive rebound by K. O'Quinn,,11,8
34,1,7:32.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by C. Lee),,14,8
35,1,7:31.0,,Cleveland full timeout,14,8
36,1,7:19.0,,K. Irving misses 2-pt layup from 3 ft,14,8
37,1,7:17.0,Defensive rebound by K. O'Quinn,,14,8
38,1,7:00.0,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by C. Anthony),,16,8
39,1,6:44.0,,Shooting foul by K. O'Quinn (drawn by L. James),16,8
40,1,6:44.0,,L. James makes free throw 1 of 2,16,9
41,1,6:44.0,,L. James makes free throw 2 of 2,16,10
42,1,6:26.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,16,10
43,1,6:26.0,,Defensive rebound by C. Frye,16,10
44,1,6:20.0,,I. Shumpert misses 3-pt jump shot from 24 ft,16,10
45,1,6:19.0,Defensive rebound by C. Anthony,,16,10
46,1,6:04.0,C. Anthony misses 2-pt layup at rim,,16,10
47,1,6:03.0,,Defensive rebound by T. Thompson,16,10
48,1,5:51.0,,I. Shumpert misses 2-pt jump shot from 5 ft,16,10
49,1,5:51.0,Defensive rebound by K. Porziņģis,,16,10
50,1,5:46.0,K. O'Quinn misses 2-pt layup from 2 ft (block by C. Frye),,16,10
51,1,5:45.0,Offensive rebound by K. O'Quinn,,16,10
52,1,5:43.0,K. O'Quinn misses 2-pt layup from 1 ft,,16,10
53,1,5:42.0,Offensive rebound by K. O'Quinn,,16,10
54,1,5:40.0,K. O'Quinn misses 2-pt layup from 2 ft (block by C. Frye),,16,10
55,1,5:40.0,,Defensive rebound by I. Shumpert,16,10
56,1,5:28.0,,I. Shumpert misses 3-pt jump shot from 26 ft,16,10
57,1,5:27.0,Defensive rebound by K. O'Quinn,,16,10
58,1,5:16.0,C. Lee makes 2-pt layup from 1 ft,,18,10
59,1,5:06.0,,K. Irving makes 2-pt jump shot from 20 ft,18,12
60,1,4:54.0,Turnover by C. Anthony (offensive foul),,18,12
61,1,4:54.0,Offensive foul by C. Anthony (drawn by I. Shumpert),,18,12
62,1,4:54.0,L. Thomas enters the game for K. Porziņģis,,18,12
63,1,4:54.0,,K. Korver enters the game for I. Shumpert,18,12
64,1,4:42.0,,Turnover by K. Irving (bad pass),18,12
65,1,4:32.0,D. Rose misses 2-pt jump shot from 10 ft,,18,12
66,1,4:32.0,Offensive rebound by K. O'Quinn,,18,12
67,1,4:25.0,C. Anthony misses 3-pt jump shot from 25 ft,,18,12
68,1,4:25.0,Offensive rebound by C. Lee,,18,12
69,1,4:22.0,C. Lee makes 2-pt layup from 1 ft,,20,12
70,1,4:13.0,,K. Irving makes 2-pt jump shot from 7 ft,20,14
71,1,3:57.0,D. Rose misses 2-pt layup at rim (block by T. Thompson),,20,14
72,1,3:56.0,,Defensive rebound by C. Frye,20,14
73,1,3:52.0,,C. Frye misses 3-pt jump shot from 24 ft,20,14
74,1,3:51.0,,Offensive rebound by T. Thompson,20,14
75,1,3:51.0,,T. Thompson makes 2-pt dunk at rim,20,16
76,1,3:29.0,L. Thomas misses 2-pt layup at rim,,20,16
77,1,3:28.0,,Defensive rebound by C. Frye,20,16
78,1,3:23.0,,L. James makes 2-pt dunk at rim,20,18
79,1,3:23.0,New York full timeout,,20,18
80,1,3:23.0,,D. Williams enters the game for C. Frye,20,18
81,1,3:08.0,C. Anthony misses 2-pt layup from 1 ft (block by K. Irving),,20,18
82,1,3:06.0,,Defensive rebound by L. James,20,18
83,1,3:02.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by K. Irving),20,21
84,1,2:47.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by C. Anthony),,23,21
85,1,2:32.0,,K. Korver makes 2-pt jump shot from 18 ft (assist by L. James),23,23
86,1,2:26.0,D. Rose makes 2-pt jump shot from 13 ft,,25,23
87,1,2:26.0,Shooting foul by K. Irving (drawn by D. Rose),,25,23
88,1,2:26.0,,R. Jefferson enters the game for L. James,25,23
89,1,2:26.0,D. Rose makes free throw 1 of 1,,26,23
90,1,2:04.0,,R. Jefferson makes 3-pt jump shot from 25 ft (assist by K. Korver),26,26
91,1,1:51.0,C. Anthony misses 2-pt jump shot from 17 ft,,26,26
92,1,1:51.0,,Defensive rebound by R. Jefferson,26,26
93,1,1:40.0,,R. Jefferson misses 3-pt jump shot from 26 ft,26,26
94,1,1:39.0,,Offensive rebound by K. Irving,26,26
95,1,1:32.0,,Shooting foul by K. O'Quinn (drawn by R. Jefferson),26,26
96,1,1:32.0,,R. Jefferson makes free throw 1 of 2,26,27
97,1,1:32.0,W. Hernangómez enters the game for K. O'Quinn,,26,27
98,1,1:32.0,B. Jennings enters the game for D. Rose,,26,27
99,1,1:32.0,,R. Jefferson makes free throw 2 of 2,26,28
100,1,1:14.0,C. Lee makes 2-pt jump shot from 20 ft (assist by B. Jennings),,28,28
101,1,0:57.0,,D. Williams makes 2-pt jump shot from 20 ft,28,30
102,1,0:42.0,L. Thomas makes 2-pt layup from 1 ft (assist by C. Anthony),,30,30
103,1,0:31.0,,K. Irving makes 2-pt jump shot from 16 ft,30,32
104,1,0:21.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by B. Jennings),,33,32
105,1,0:08.0,,K. Irving makes 2-pt jump shot from 6 ft,33,34
106,1,0:04.0,Personal foul by D. Williams (drawn by C. Anthony),,33,34
107,1,0:04.0,,D. Liggins enters the game for K. Irving,33,34
108,2,11:40.0,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by W. Hernangómez),,35,34
109,2,11:23.0,Violation by K. Porziņģis (def goaltending),,35,34
110,2,11:23.0,,R. Jefferson makes 2-pt layup from 1 ft (assist by L. James),35,36
111,2,11:02.0,W. Hernangómez misses 2-pt layup from 1 ft,,35,36
112,2,10:59.0,,Defensive rebound by L. James,35,36
113,2,10:54.0,,D. Williams makes 3-pt jump shot from 27 ft (assist by K. Korver),35,39
114,2,10:45.0,Personal foul by C. Frye (drawn by W. Hernangómez),,35,39
115,2,10:35.0,B. Jennings makes 2-pt jump shot from 16 ft (assist by W. Hernangómez),,37,39
116,2,10:28.0,,Personal foul by B. Jennings (drawn by D. Williams),37,39
117,2,10:16.0,,C. Frye makes 2-pt jump shot from 22 ft (assist by D. Williams),37,41
118,2,10:07.0,B. Jennings misses 2-pt jump shot from 15 ft,,37,41
119,2,10:07.0,,Defensive rebound by D. Williams,37,41
120,2,9:58.0,,D. Williams misses 3-pt jump shot from 24 ft (block by B. Jennings),37,41
121,2,9:57.0,Defensive rebound by W. Hernangómez,,37,41
122,2,9:37.0,Turnover by W. Hernangómez (bad pass; steal by K. Korver),,37,41
123,2,9:26.0,,Turnover by R. Jefferson (bad pass; steal by L. Thomas),37,41
124,2,9:17.0,W. Hernangómez misses 2-pt jump shot from 16 ft,,37,41
125,2,9:16.0,,Defensive rebound by L. James,37,41
126,2,9:06.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by L. James),37,44
127,2,8:50.0,J. Holiday makes 2-pt jump shot from 11 ft (assist by W. Hernangómez),,39,44
128,2,8:35.0,,C. Frye misses 2-pt dunk at rim (block by K. Porziņģis),39,44
129,2,8:31.0,Defensive rebound by J. Holiday,,39,44
130,2,8:22.0,Shooting foul by K. Korver (drawn by W. Hernangómez),,39,44
131,2,8:22.0,Official timeout,,39,44
132,2,8:22.0,W. Hernangómez makes free throw 1 of 2,,40,44
133,2,8:22.0,,I. Shumpert enters the game for R. Jefferson,39,44
134,2,8:22.0,W. Hernangómez makes free throw 2 of 2,,41,44
135,2,8:10.0,,L. James makes 2-pt dunk at rim,41,46
136,2,7:57.0,W. Hernangómez misses 2-pt hook shot from 5 ft,,41,46
137,2,7:54.0,,Defensive rebound by C. Frye,41,46
138,2,7:45.0,,L. James misses 2-pt layup at rim,41,46
139,2,7:44.0,Defensive rebound by K. Porziņģis,,41,46
140,2,7:41.0,Shooting foul by I. Shumpert (drawn by B. Jennings),,41,46
141,2,7:41.0,B. Jennings makes free throw 1 of 2,,42,46
142,2,7:41.0,K. O'Quinn enters the game for W. Hernangómez,,42,46
143,2,7:41.0,C. Anthony enters the game for L. Thomas,,42,46
144,2,7:41.0,B. Jennings makes free throw 2 of 2,,43,46
145,2,7:24.0,,K. Korver misses 2-pt jump shot from 14 ft (block by J. Holiday),43,46
146,2,7:24.0,Defensive rebound by K. Porziņģis,,43,46
147,2,7:16.0,B. Jennings misses 3-pt jump shot from 24 ft,,43,46
148,2,7:16.0,Offensive rebound by Team,,43,46
149,2,7:16.0,,T. Thompson enters the game for C. Frye,43,46
150,2,7:09.0,B. Jennings misses 2-pt jump shot from 15 ft,,43,46
151,2,7:09.0,Offensive rebound by K. Porziņģis,,43,46
152,2,7:09.0,K. Porziņģis misses 2-pt layup from 2 ft,,43,46
153,2,7:08.0,,Defensive rebound by K. Korver,43,46
154,2,6:54.0,,I. Shumpert makes 2-pt jump shot from 19 ft (assist by L. James),43,48
155,2,6:34.0,K. Porziņģis misses 2-pt jump shot from 3 ft (block by L. James),,43,48
156,2,6:33.0,,Defensive rebound by L. James,43,48
157,2,6:29.0,,Turnover by L. James (lost ball),43,48
158,2,6:29.0,,K. Irving enters the game for L. James,43,48
159,2,6:11.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,43,48
160,2,6:11.0,Offensive rebound by Team,,43,48
161,2,6:10.0,D. Rose enters the game for B. Jennings,,43,48
162,2,6:10.0,D. Rose misses 2-pt layup from 1 ft,,43,48
163,2,6:10.0,,Defensive rebound by K. Korver,43,48
164,2,6:02.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by K. Irving),43,51
165,2,5:52.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,43,51
166,2,5:51.0,,Defensive rebound by K. Irving,43,51
167,2,5:45.0,,K. Korver misses 3-pt jump shot from 27 ft,43,51
168,2,5:45.0,Defensive rebound by C. Anthony,,43,51
169,2,5:35.0,J. Holiday misses 3-pt jump shot from 26 ft,,43,51
170,2,5:35.0,,Defensive rebound by T. Thompson,43,51
171,2,5:27.0,,K. Korver misses 3-pt jump shot from 29 ft,43,51
172,2,5:27.0,Defensive rebound by C. Anthony,,43,51
173,2,5:22.0,Turnover by C. Anthony (bad pass; steal by I. Shumpert),,43,51
