,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,S. Rodríguez misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by P. Siakam,,0,0
2,1,11:32.0,Turnover by P. Siakam (lost ball),,0,0
3,1,11:20.0,,J. Okafor makes 2-pt layup from 2 ft (assist by G. Henderson),0,2
4,1,11:02.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by J. Okafor),,0,2
5,1,11:00.0,Offensive rebound by J. Valančiūnas,,0,2
6,1,10:54.0,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by D. DeRozan),,2,2
7,1,10:43.0,,Turnover by J. Embiid (lost ball; steal by P. Siakam),2,2
8,1,10:29.0,P. Siakam misses 2-pt jump shot from 17 ft,,2,2
9,1,10:28.0,,Defensive rebound by J. Okafor,2,2
10,1,10:16.0,,Turnover by R. Covington (palming),2,2
11,1,10:07.0,Turnover by J. Valančiūnas (bad pass; steal by J. Embiid),,2,2
12,1,9:59.0,,Turnover by G. Henderson (bad pass; steal by J. Valančiūnas),2,2
13,1,9:48.0,J. Valančiūnas makes 2-pt jump shot from 4 ft (assist by K. Lowry),,4,2
14,1,9:48.0,Shooting foul by J. Embiid (drawn by J. Valančiūnas),,4,2
15,1,9:48.0,J. Valančiūnas makes free throw 1 of 1,,5,2
16,1,9:37.0,,Shooting block foul by J. Valančiūnas (drawn by J. Embiid),5,2
17,1,9:37.0,,J. Embiid misses free throw 1 of 2,5,2
18,1,9:37.0,,Offensive rebound by Team,5,2
19,1,9:37.0,,J. Embiid makes free throw 2 of 2,5,3
20,1,9:24.0,Turnover by P. Siakam (lost ball),,5,3
21,1,9:06.0,,G. Henderson makes 3-pt jump shot from 25 ft (assist by J. Okafor),5,6
22,1,8:53.0,D. Carroll misses 3-pt jump shot from 25 ft,,5,6
23,1,8:51.0,,Defensive rebound by J. Embiid,5,6
24,1,8:38.0,,J. Okafor makes 2-pt hook shot from 2 ft (assist by S. Rodríguez),5,8
25,1,8:13.0,D. Carroll misses 2-pt jump shot from 17 ft (block by J. Embiid),,5,8
