,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,WASHINGTON_ACTION,LA LAKERS_SCORE,WASHINGTON_SCORE
0,1,11:43.0,D. Russell makes 2-pt jump shot from 20 ft (assist by T. Mozgov),,2,0
1,1,11:29.0,,M. Gortat makes 2-pt hook shot from 10 ft (assist by J. Wall),2,2
2,1,11:03.0,N. Young misses 3-pt jump shot from 26 ft,,2,2
3,1,11:02.0,,Defensive rebound by B. Beal,2,2
4,1,10:52.0,,O. Porter misses 2-pt jump shot from 21 ft,2,2
5,1,10:51.0,Defensive rebound by D. Russell,,2,2
6,1,10:42.0,T. Black makes 2-pt dunk at rim (assist by D. Russell),,4,2
7,1,10:35.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),4,5
8,1,10:20.0,Turnover by T. Black (lost ball; steal by M. Morris),,4,5
9,1,10:08.0,,Turnover by B. Beal (lost ball; steal by D. Russell),4,5
10,1,10:02.0,Turnover by D. Russell (bad pass; steal by M. Gortat),,4,5
11,1,9:56.0,,M. Morris misses 3-pt jump shot from 24 ft,4,5
12,1,9:55.0,Defensive rebound by T. Mozgov,,4,5
13,1,9:46.0,D. Russell misses 3-pt jump shot from 25 ft,,4,5
14,1,9:45.0,,Defensive rebound by M. Gortat,4,5
15,1,9:32.0,,M. Gortat misses 2-pt jump shot from 14 ft,4,5
16,1,9:31.0,Defensive rebound by T. Black,,4,5
17,1,9:24.0,N. Young misses 3-pt jump shot from 23 ft,,4,5
18,1,9:23.0,Offensive rebound by Team,,4,5
19,1,9:20.0,Turnover by T. Mozgov (illegal screen),,4,5
20,1,9:07.0,,M. Gortat misses 2-pt layup from 2 ft,4,5
21,1,9:06.0,,Offensive rebound by M. Gortat,4,5
22,1,9:04.0,,M. Gortat makes 2-pt layup from 2 ft,4,7
23,1,8:50.0,L. Deng makes 3-pt jump shot from 27 ft (assist by D. Russell),,7,7
24,1,8:26.0,,M. Morris misses 2-pt jump shot from 17 ft,7,7
25,1,8:26.0,,Offensive rebound by M. Gortat,7,7
26,1,8:22.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),7,10
27,1,8:06.0,N. Young makes 2-pt jump shot from 16 ft,,9,10
28,1,7:59.0,,O. Porter misses 3-pt jump shot from 27 ft,9,10
29,1,7:59.0,Defensive rebound by T. Black,,9,10
30,1,7:45.0,Turnover by D. Russell (bad pass; steal by B. Beal),,9,10
31,1,7:38.0,,J. Wall misses 3-pt jump shot from 26 ft,9,10
32,1,7:37.0,,Offensive rebound by J. Wall,9,10
33,1,7:33.0,,J. Wall misses 2-pt layup from 1 ft (block by T. Mozgov),9,10
34,1,7:31.0,,Offensive rebound by Team,9,10
35,1,7:28.0,,M. Morris makes 2-pt jump shot from 22 ft (assist by O. Porter),9,12
36,1,7:11.0,N. Young misses 3-pt jump shot from 25 ft,,9,12
37,1,7:10.0,,Defensive rebound by O. Porter,9,12
38,1,7:06.0,,J. Wall makes 2-pt layup at rim (assist by O. Porter),9,14
39,1,7:06.0,LA Lakers full timeout,,9,14
40,1,6:46.0,D. Russell makes 3-pt jump shot from 27 ft,,12,14
41,1,6:30.0,,Shooting foul by T. Mozgov (drawn by J. Wall),12,14
42,1,6:30.0,,J. Wall makes free throw 1 of 2,12,15
43,1,6:30.0,J. Clarkson enters the game for N. Young,,12,15
44,1,6:30.0,,J. Wall makes free throw 2 of 2,12,16
