,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
88,1,1:26.0,,R. Jefferson makes 2-pt jump shot from 16 ft,20,29
89,1,1:06.0,Turnover by N. Vučević (3 sec),,20,29
90,1,1:06.0,,Cleveland full timeout,20,29
91,1,1:06.0,,K. Love enters the game for L. James,20,29
92,1,1:06.0,,C. Andersen enters the game for T. Thompson,20,29
93,1,1:06.0,B. Biyombo enters the game for N. Vučević,,20,29
94,1,1:06.0,D. Augustin enters the game for E. Payton,,20,29
95,1,0:48.0,,R. Jefferson misses 3-pt jump shot from 25 ft,20,29
96,1,0:47.0,Defensive rebound by B. Biyombo,,20,29
97,1,0:28.0,A. Gordon misses 2-pt jump shot from 16 ft,,20,29
98,1,0:27.0,Offensive rebound by B. Biyombo,,20,29
99,1,0:25.0,Turnover by B. Biyombo (lost ball; steal by C. Andersen),,20,29
100,1,0:07.0,,K. Love makes 2-pt jump shot from 22 ft (assist by K. Felder),20,31
101,1,0:05.0,Offensive foul by E. Fournier (drawn by I. Shumpert),,20,31
102,1,0:05.0,Turnover by E. Fournier (offensive foul),,20,31
103,1,0:05.0,M. Hezonja enters the game for A. Gordon,,20,31
104,1,0:05.0,,M. Dunleavy enters the game for C. Andersen,20,31
105,1,0:00.0,,K. Felder makes 2-pt layup from 1 ft,20,33
106,2,11:48.0,,C. Andersen makes 2-pt dunk at rim (assist by M. Dunleavy),20,35
107,2,11:37.0,Offensive foul by B. Biyombo (drawn by R. Jefferson),,20,35
108,2,11:37.0,Turnover by B. Biyombo (offensive foul),,20,35
109,2,11:29.0,,Offensive foul by R. Jefferson (drawn by C. Wilcox),20,35
110,2,11:29.0,,Turnover by R. Jefferson (offensive foul),20,35
111,2,11:26.0,B. Biyombo misses 2-pt dunk at rim,,20,35
112,2,11:26.0,,Defensive rebound by R. Jefferson,20,35
113,2,11:14.0,,K. Irving misses 2-pt jump shot from 13 ft,20,35
114,2,11:13.0,Defensive rebound by J. Green,,20,35
115,2,10:58.0,J. Green misses 2-pt jump shot from 14 ft,,20,35
116,2,10:57.0,,Defensive rebound by M. Dunleavy,20,35
117,2,10:46.0,,Shooting foul by M. Hezonja (drawn by C. Andersen),20,35
118,2,10:46.0,,C. Andersen misses free throw 1 of 2,20,35
119,2,10:46.0,,Offensive rebound by Team,20,35
120,2,10:46.0,,C. Andersen misses free throw 2 of 2,20,35
121,2,10:46.0,Defensive rebound by J. Green,,20,35
122,2,10:36.0,M. Hezonja misses 2-pt jump shot from 16 ft,,20,35
123,2,10:35.0,,Defensive rebound by R. Jefferson,20,35
124,2,10:26.0,,K. Irving makes 2-pt jump shot from 13 ft,20,37
125,2,10:26.0,,Shooting foul by D. Augustin (drawn by K. Irving),20,37
126,2,10:26.0,,K. Irving makes free throw 1 of 1,20,38
127,2,10:16.0,D. Augustin misses 2-pt layup from 1 ft,,20,38
128,2,10:13.0,Offensive rebound by B. Biyombo,,20,38
129,2,10:10.0,M. Hezonja misses 3-pt jump shot from 25 ft,,20,38
130,2,10:10.0,Offensive rebound by B. Biyombo,,20,38
131,2,10:10.0,Personal foul by C. Andersen (drawn by B. Biyombo),,20,38
132,2,10:00.0,J. Green makes 3-pt jump shot from 26 ft (assist by D. Augustin),,23,38
133,2,9:40.0,,I. Shumpert misses 2-pt dunk at rim (block by B. Biyombo),23,38
134,2,9:30.0,,Offensive rebound by C. Andersen,23,38
135,2,9:30.0,,C. Andersen makes 2-pt layup from 1 ft,23,40
136,2,9:25.0,Turnover by M. Hezonja (lost ball),,23,40
137,2,9:12.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by C. Andersen),23,43
138,2,9:06.0,Orlando full timeout,,23,43
139,2,8:50.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by J. Green),,26,43
140,2,8:36.0,,M. Dunleavy misses 2-pt jump shot from 20 ft,26,43
141,2,8:36.0,Defensive rebound by J. Green,,26,43
142,2,8:28.0,Shooting foul by R. Jefferson (drawn by J. Green),,26,43
143,2,8:28.0,J. Green makes free throw 1 of 2,,27,43
144,2,8:28.0,J. Green makes free throw 2 of 2,,28,43
145,2,8:14.0,,R. Jefferson makes 2-pt jump shot from 15 ft (assist by I. Shumpert),28,45
146,2,7:53.0,J. Green misses 3-pt jump shot from 25 ft,,28,45
147,2,7:52.0,Offensive rebound by B. Biyombo,,28,45
148,2,7:42.0,M. Hezonja misses 3-pt jump shot from 27 ft,,28,45
149,2,7:42.0,,Defensive rebound by M. Dunleavy,28,45
150,2,7:30.0,,Turnover by K. Irving (lost ball; steal by J. Green),28,45
151,2,7:25.0,Shooting foul by I. Shumpert (drawn by J. Green),,28,45
152,2,7:25.0,J. Green makes free throw 1 of 2,,29,45
153,2,7:25.0,J. Green misses free throw 2 of 2,,29,45
154,2,7:25.0,,Defensive rebound by K. Love,29,45
155,2,7:25.0,S. Ibaka enters the game for D. Augustin,,29,45
156,2,7:25.0,E. Payton enters the game for M. Hezonja,,29,45
157,2,7:25.0,A. Gordon enters the game for C. Wilcox,,29,45
158,2,7:25.0,,K. Love enters the game for I. Shumpert,29,45
159,2,7:25.0,,J. Smith enters the game for R. Jefferson,29,45
160,2,7:25.0,,L. James enters the game for C. Andersen,29,45
161,2,7:25.0,,T. Thompson enters the game for M. Dunleavy,29,45
162,2,7:03.0,,K. Love misses 2-pt hook shot from 7 ft,29,45
163,2,7:01.0,Defensive rebound by S. Ibaka,,29,45
164,2,6:53.0,B. Biyombo misses 2-pt dunk at rim (block by T. Thompson),,29,45
165,2,6:52.0,,Defensive rebound by T. Thompson,29,45
166,2,6:44.0,,K. Love misses 3-pt jump shot from 24 ft,29,45
167,2,6:44.0,,Offensive rebound by T. Thompson,29,45
168,2,6:38.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by L. James),29,48
169,2,6:31.0,Orlando full timeout,,29,48
170,2,6:31.0,E. Fournier enters the game for J. Green,,29,48
171,2,6:31.0,,M. Dunleavy enters the game for K. Irving,29,48
172,2,6:14.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),,32,48
173,2,6:03.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by L. James),32,51
174,2,5:48.0,A. Gordon misses 3-pt jump shot from 23 ft,,32,51
175,2,5:47.0,,Defensive rebound by L. James,32,51
176,2,5:37.0,,Shooting foul by B. Biyombo (drawn by T. Thompson),32,51
177,2,5:37.0,Official timeout,,32,51
178,2,5:37.0,,T. Thompson misses free throw 1 of 2,32,51
179,2,5:37.0,,Offensive rebound by Team,32,51
180,2,5:37.0,,T. Thompson misses free throw 2 of 2,32,51
181,2,5:37.0,Defensive rebound by E. Fournier,,32,51
182,2,5:37.0,N. Vučević enters the game for B. Biyombo,,32,51
183,2,5:26.0,Turnover by N. Vučević (bad pass),,32,51
184,2,5:13.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by L. James),32,54
185,2,4:59.0,E. Payton makes 2-pt jump shot from 14 ft,,34,54
186,2,4:41.0,,Shooting foul by A. Gordon (drawn by L. James),34,54
187,2,4:41.0,,L. James misses free throw 1 of 2,34,54
188,2,4:41.0,,Offensive rebound by Team,34,54
189,2,4:41.0,,L. James misses free throw 2 of 2,34,54
190,2,4:41.0,Defensive rebound by N. Vučević,,34,54
191,2,4:28.0,E. Payton misses 3-pt jump shot from 25 ft,,34,54
192,2,4:28.0,,Defensive rebound by L. James,34,54
193,2,4:24.0,,Personal foul by E. Payton (drawn by L. James),34,54
194,2,4:18.0,,L. James misses 3-pt jump shot from 26 ft,34,54
195,2,4:17.0,Defensive rebound by N. Vučević,,34,54
196,2,4:09.0,S. Ibaka makes 2-pt hook shot from 7 ft (assist by N. Vučević),,36,54
197,2,3:54.0,,J. Smith misses 3-pt jump shot from 27 ft,36,54
198,2,3:54.0,,Offensive rebound by T. Thompson,36,54
199,2,3:45.0,,Turnover by K. Love (bad pass; steal by A. Gordon),36,54
200,2,3:41.0,E. Payton makes 2-pt dunk at rim (assist by A. Gordon),,38,54
201,2,3:41.0,,Cleveland full timeout,38,54
202,2,3:41.0,,K. Irving enters the game for M. Dunleavy,38,54
203,2,3:32.0,,Personal foul by S. Ibaka (drawn by K. Love),38,54
204,2,3:32.0,,K. Love makes free throw 1 of 2,38,55
205,2,3:32.0,,K. Love makes free throw 2 of 2,38,56
206,2,3:16.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,40,56
207,2,2:54.0,,L. James makes 3-pt jump shot from 25 ft (assist by J. Smith),40,59
208,2,2:54.0,,Shooting foul by A. Gordon (drawn by L. James),40,59
209,2,2:54.0,J. Green enters the game for A. Gordon,,40,59
210,2,2:54.0,,L. James makes free throw 1 of 1,40,60
211,2,2:39.0,E. Fournier misses 3-pt jump shot from 25 ft,,40,60
212,2,2:39.0,,Defensive rebound by L. James,40,60
213,2,2:29.0,,Cleveland full timeout,40,60
214,2,2:29.0,,I. Shumpert enters the game for J. Smith,40,60
215,2,2:18.0,,L. James misses 2-pt jump shot from 21 ft,40,60
216,2,2:16.0,Defensive rebound by E. Payton,,40,60
217,2,2:04.0,S. Ibaka misses 2-pt jump shot from 15 ft,,40,60
218,2,2:03.0,,Defensive rebound by T. Thompson,40,60
219,2,1:55.0,,K. Irving misses 2-pt jump shot from 16 ft (block by E. Payton),40,60
220,2,1:54.0,Defensive rebound by N. Vučević,,40,60
221,2,1:51.0,Turnover by N. Vučević (bad pass; steal by T. Thompson),,40,60
222,2,1:46.0,,T. Thompson misses 2-pt jump shot from 3 ft,40,60
223,2,1:44.0,Defensive rebound by N. Vučević,,40,60
224,2,1:28.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by E. Fournier),,42,60
225,2,1:13.0,,K. Irving misses 3-pt jump shot from 24 ft,42,60
226,2,1:12.0,Defensive rebound by J. Green,,42,60
227,2,1:04.0,J. Green misses 3-pt jump shot from 25 ft,,42,60
228,2,1:03.0,Offensive rebound by N. Vučević,,42,60
229,2,1:03.0,N. Vučević makes 2-pt layup from 1 ft,,44,60
230,2,0:40.0,,K. Irving misses 3-pt jump shot from 23 ft,44,60
231,2,0:40.0,Defensive rebound by Team,,44,60
232,2,0:40.0,D. Augustin enters the game for S. Ibaka,,44,60
233,2,0:28.0,Personal foul by K. Love (drawn by N. Vučević),,44,60
234,2,0:17.0,D. Augustin misses 3-pt jump shot from 24 ft,,44,60
235,2,0:17.0,Offensive rebound by Team,,44,60
236,2,0:17.0,Personal foul by K. Love (drawn by N. Vučević),,44,60
237,2,0:17.0,N. Vučević misses free throw 1 of 2,,44,60
238,2,0:17.0,Offensive rebound by Team,,44,60
239,2,0:17.0,M. Hezonja enters the game for D. Augustin,,44,60
240,2,0:17.0,,M. Dunleavy enters the game for T. Thompson,44,60
241,2,0:17.0,N. Vučević makes free throw 2 of 2,,45,60
242,2,0:01.0,,L. James makes 2-pt dunk at rim,45,62
243,3,11:47.0,,Turnover by L. James (bad pass; steal by A. Gordon),45,62
244,3,11:29.0,E. Fournier misses 3-pt jump shot from 26 ft,,45,62
245,3,11:29.0,,Defensive rebound by J. Smith,45,62
246,3,11:09.0,,L. James misses 2-pt jump shot from 13 ft,45,62
247,3,11:08.0,Defensive rebound by N. Vučević,,45,62
248,3,11:04.0,S. Ibaka misses 2-pt layup from 3 ft (block by K. Irving),,45,62
249,3,11:03.0,,Defensive rebound by K. Irving,45,62
250,3,11:01.0,,Shooting foul by N. Vučević (drawn by L. James),45,62
251,3,11:01.0,,L. James misses free throw 1 of 2,45,62
252,3,11:01.0,,Offensive rebound by Team,45,62
253,3,11:01.0,,L. James makes free throw 2 of 2,45,63
254,3,10:46.0,S. Ibaka misses 2-pt jump shot from 15 ft,,45,63
255,3,10:45.0,,Defensive rebound by T. Thompson,45,63
256,3,10:35.0,,K. Irving makes 2-pt jump shot from 19 ft,45,65
257,3,10:22.0,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),,47,65
258,3,10:03.0,,K. Love makes 2-pt jump shot from 4 ft,47,67
259,3,9:50.0,A. Gordon misses 3-pt jump shot from 25 ft,,47,67
260,3,9:50.0,,Defensive rebound by T. Thompson,47,67
261,3,9:29.0,,Turnover by K. Love (lost ball; steal by A. Gordon),47,67
262,3,9:23.0,E. Fournier makes 2-pt layup from 1 ft (assist by A. Gordon),,49,67
263,3,9:11.0,,K. Irving misses 2-pt jump shot from 13 ft,49,67
264,3,9:11.0,Defensive rebound by N. Vučević,,49,67
265,3,9:06.0,Shooting foul by L. James (drawn by A. Gordon),,49,67
266,3,9:06.0,A. Gordon makes free throw 1 of 2,,50,67
267,3,9:06.0,A. Gordon misses free throw 2 of 2,,50,67
268,3,9:05.0,,Defensive rebound by T. Thompson,50,67
269,3,8:49.0,,J. Smith misses 3-pt jump shot from 27 ft,50,67
270,3,8:49.0,Defensive rebound by A. Gordon,,50,67
271,3,8:38.0,N. Vučević misses 2-pt hook shot from 6 ft,,50,67
272,3,8:36.0,Offensive rebound by N. Vučević,,50,67
273,3,8:33.0,N. Vučević makes 2-pt layup from 1 ft,,52,67
274,3,8:12.0,,Shooting foul by E. Fournier (drawn by K. Love),52,67
275,3,8:12.0,,K. Love makes free throw 1 of 2,52,68
276,3,8:12.0,,K. Love makes free throw 2 of 2,52,69
277,3,7:54.0,E. Fournier misses 3-pt jump shot from 25 ft,,52,69
278,3,7:54.0,Offensive rebound by Team,,52,69
279,3,7:54.0,,Loose ball foul by K. Love (drawn by S. Ibaka),52,69
280,3,7:39.0,Turnover by E. Fournier (traveling),,52,69
281,3,7:25.0,,K. Love misses 2-pt jump shot from 6 ft,52,69
282,3,7:24.0,,Offensive rebound by K. Love,52,69
283,3,7:24.0,,Shooting foul by S. Ibaka (drawn by K. Love),52,69
284,3,7:24.0,,K. Love makes free throw 1 of 2,52,70
285,3,7:24.0,,K. Love makes free throw 2 of 2,52,71
286,3,7:04.0,Turnover by A. Gordon (bad pass),,52,71
287,3,6:52.0,Offensive charge foul by K. Love (drawn by A. Gordon),,52,71
288,3,6:52.0,,Turnover by K. Love (offensive foul),52,71
289,3,6:36.0,E. Fournier misses 2-pt jump shot from 19 ft,,52,71
290,3,6:36.0,,Defensive rebound by Team,52,71
291,3,6:36.0,,R. Jefferson enters the game for K. Love,52,71
292,3,6:21.0,,K. Irving makes 2-pt jump shot from 17 ft,52,73
293,3,6:08.0,N. Vučević misses 2-pt jump shot from 18 ft,,52,73
294,3,6:08.0,,Defensive rebound by K. Irving,52,73
295,3,6:00.0,,L. James misses 3-pt jump shot from 29 ft,52,73
296,3,5:59.0,,Offensive rebound by J. Smith,52,73
297,3,5:54.0,,L. James misses 3-pt jump shot from 24 ft,52,73
298,3,5:54.0,Defensive rebound by E. Payton,,52,73
299,3,5:48.0,E. Payton misses 2-pt layup from 1 ft (block by L. James),,52,73
300,3,5:47.0,,Defensive rebound by Team,52,73
301,3,5:47.0,,Cleveland full timeout,52,73
302,3,5:25.0,,L. James misses 2-pt jump shot from 20 ft,52,73
303,3,5:24.0,Defensive rebound by S. Ibaka,,52,73
304,3,5:16.0,A. Gordon makes 2-pt jump shot from 6 ft,,54,73
305,3,4:58.0,,Def 3 sec tech foul by N. Vučević,54,73
306,3,4:58.0,,K. Irving makes technical free throw,54,74
307,3,4:44.0,,K. Irving misses 2-pt jump shot from 8 ft,54,74
308,3,4:44.0,Defensive rebound by Team,,54,74
309,3,4:26.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Fournier),,56,74
310,3,4:13.0,,Shooting foul by E. Fournier (drawn by L. James),56,74
311,3,4:13.0,,L. James makes free throw 1 of 2,56,75
312,3,4:13.0,,K. Felder enters the game for K. Irving,56,75
313,3,4:13.0,,I. Shumpert enters the game for J. Smith,56,75
314,3,4:13.0,,L. James makes free throw 2 of 2,56,76
315,3,3:50.0,Personal foul by R. Jefferson (drawn by E. Payton),,56,76
316,3,3:50.0,B. Biyombo enters the game for N. Vučević,,56,76
317,3,3:42.0,E. Payton misses 3-pt jump shot from 26 ft,,56,76
318,3,3:41.0,,Defensive rebound by L. James,56,76
319,3,3:31.0,,K. Felder misses 2-pt jump shot from 6 ft,56,76
320,3,3:30.0,,Offensive rebound by K. Felder,56,76
321,3,3:20.0,,L. James misses 3-pt jump shot from 26 ft,56,76
322,3,3:19.0,Defensive rebound by Team,,56,76
323,3,3:19.0,D. Augustin enters the game for E. Payton,,56,76
324,3,3:19.0,,Cleveland full timeout,56,76
