,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
0,1,11:43.0,L. Deng makes 2-pt layup from 2 ft (assist by J. Randle),,2,0
1,1,11:15.0,,D. Williams misses 3-pt jump shot from 33 ft,2,0
2,1,11:14.0,Defensive rebound by T. Mozgov,,2,0
3,1,11:03.0,N. Young misses 3-pt jump shot from 25 ft,,2,0
4,1,11:02.0,,Defensive rebound by W. Matthews,2,0
5,1,10:45.0,,W. Matthews makes 2-pt jump shot from 5 ft,2,2
6,1,10:28.0,B. Ingram misses 2-pt layup from 2 ft,,2,2
7,1,10:27.0,,Defensive rebound by D. Nowitzki,2,2
8,1,10:21.0,,D. Williams makes 2-pt layup from 3 ft,2,4
9,1,10:12.0,L. Deng misses 3-pt jump shot from 25 ft,,2,4
10,1,10:11.0,,Defensive rebound by D. Nowitzki,2,4
11,1,9:54.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Williams),2,6
12,1,9:27.0,B. Ingram misses 3-pt jump shot from 24 ft,,2,6
13,1,9:27.0,Offensive rebound by Team,,2,6
14,1,9:27.0,Turnover by Team (shot clock),,2,6
15,1,9:18.0,,Personal foul by B. Ingram (drawn by D. Williams),2,6
16,1,9:07.0,,H. Barnes misses 2-pt jump shot from 17 ft,2,6
17,1,9:07.0,Defensive rebound by L. Deng,,2,6
18,1,8:46.0,T. Mozgov misses 2-pt hook shot from 5 ft,,2,6
19,1,8:45.0,,Defensive rebound by H. Barnes,2,6
20,1,8:35.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,2,6
21,1,8:34.0,Defensive rebound by J. Randle,,2,6
22,1,8:28.0,Shooting foul by D. Nowitzki (drawn by T. Mozgov),,2,6
23,1,8:28.0,T. Mozgov makes free throw 1 of 2,,3,6
24,1,8:28.0,T. Mozgov makes free throw 2 of 2,,4,6
25,1,8:20.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Williams),4,9
26,1,8:10.0,Turnover by B. Ingram (bad pass; steal by W. Matthews),,4,9
27,1,8:06.0,,S. Curry makes 2-pt layup from 1 ft (assist by W. Matthews),4,11
28,1,7:46.0,N. Young makes 2-pt jump shot from 18 ft,,6,11
29,1,7:33.0,,S. Curry makes 2-pt jump shot from 6 ft,6,13
30,1,7:22.0,Personal foul by S. Curry (drawn by B. Ingram),,6,13
31,1,7:22.0,J. Calderón enters the game for B. Ingram,,6,13
32,1,7:22.0,,S. Mejri enters the game for D. Nowitzki,6,13
33,1,7:14.0,L. Deng makes 3-pt jump shot from 23 ft (assist by T. Mozgov),,9,13
